,time,2dmu,2dmv
0,0.0,0.509,0.51
1,0.0,0.509,0.51
2,0.0,0.509,0.51
3,0.0,0.509,0.51
4,0.0,0.509,0.51
5,0.0,0.509,0.51
6,0.0,0.509,0.51
7,0.0,0.509,0.51
8,0.0,0.509,0.51
9,0.0,0.509,0.51
10,0.0,0.509,0.51
11,0.0,0.509,0.51
12,0.0,0.508,0.51
13,0.0,0.508,0.51
14,0.0,0.508,0.51
15,0.0,0.508,0.51
16,0.0,0.508,0.51
17,0.0,0.508,0.51
18,0.0,0.508,0.51
19,0.0,0.508,0.51
20,0.0,0.508,0.51
21,0.0,0.508,0.51
22,0.0,0.508,0.51
23,0.0,0.508,0.51
24,0.0,0.508,0.51
25,0.0,0.508,0.51
26,0.0,0.508,0.51
27,0.0,0.508,0.51
28,0.0,0.508,0.509
29,0.0,0.508,0.509
30,0.0,0.508,0.509
31,0.0,0.508,0.509
32,0.0,0.508,0.509
33,0.0,0.508,0.509
34,0.0,0.508,0.509
35,0.0,0.508,0.509
36,0.0,0.508,0.509
37,0.0,0.508,0.509
38,0.0,0.507,0.509
39,0.0,0.507,0.509
40,0.0,0.507,0.509
41,0.0,0.507,0.509
42,0.0,0.507,0.509
43,0.0,0.507,0.509
44,0.0,0.507,0.509
45,0.0,0.507,0.509
46,0.0,0.507,0.509
47,0.0,0.507,0.509
48,0.0,0.507,0.509
49,0.0,0.507,0.509
50,0.0,0.507,0.509
51,0.0,0.507,0.509
52,0.0,0.506,0.509
53,0.0,0.506,0.509
54,0.0,0.506,0.509
55,0.0,0.506,0.509
56,0.0,0.506,0.509
57,0.0,0.506,0.509
58,0.0,0.506,0.509
59,0.0,0.506,0.509
60,0.0,0.506,0.509
61,0.0,0.506,0.509
62,0.021,0.505,0.509
63,0.021,0.505,0.509
64,0.021,0.505,0.509
65,0.021,0.505,0.509
66,0.021,0.505,0.509
67,0.021,0.505,0.509
68,0.062,0.505,0.509
69,0.062,0.505,0.509
70,0.062,0.504,0.509
71,0.062,0.504,0.509
72,0.102,0.503,0.508
73,0.102,0.503,0.508
