,time,2dmu,2dmv
0,0.0,0.516,0.504
1,0.0,0.516,0.504
2,0.0,0.516,0.504
3,0.0,0.516,0.504
4,0.0,0.516,0.504
5,0.0,0.516,0.504
6,0.0,0.516,0.503
7,0.0,0.516,0.503
8,0.0,0.516,0.503
9,0.0,0.516,0.503
10,0.0,0.516,0.503
11,0.0,0.516,0.503
12,0.0,0.516,0.503
13,0.0,0.516,0.503
14,0.0,0.516,0.503
15,0.0,0.516,0.503
16,0.0,0.516,0.503
17,0.0,0.516,0.503
18,0.0,0.515,0.503
19,0.0,0.515,0.503
20,0.0,0.515,0.503
21,0.0,0.515,0.503
22,0.0,0.515,0.503
23,0.0,0.515,0.503
24,0.0,0.515,0.503
25,0.0,0.515,0.503
26,0.0,0.515,0.502
27,0.0,0.515,0.502
28,0.0,0.515,0.502
29,0.0,0.515,0.502
30,0.0,0.515,0.502
31,0.0,0.515,0.502
32,0.0,0.515,0.502
33,0.0,0.515,0.502
34,0.0,0.516,0.503
35,0.0,0.516,0.503
36,0.0,0.516,0.503
37,0.0,0.516,0.503
38,0.0,0.516,0.503
39,0.0,0.516,0.503
40,0.0,0.516,0.503
41,0.0,0.516,0.503
42,0.0,0.516,0.503
43,0.0,0.516,0.503
44,0.0,0.515,0.503
45,0.0,0.515,0.503
46,0.0,0.515,0.503
47,0.0,0.515,0.503
48,0.0,0.515,0.503
49,0.0,0.515,0.503
50,0.0,0.515,0.503
51,0.0,0.515,0.503
52,0.0,0.516,0.503
53,0.0,0.516,0.503
54,0.0,0.516,0.503
55,0.0,0.516,0.503
56,0.0,0.516,0.502
57,0.0,0.516,0.502
58,0.0,0.516,0.502
59,0.0,0.516,0.502
60,0.0,0.517,0.502
61,0.0,0.517,0.502
62,0.0,0.517,0.501
63,0.0,0.517,0.501
64,0.018000000000000002,0.518,0.5
65,0.018000000000000002,0.518,0.5
66,0.018000000000000002,0.52,0.498
67,0.018000000000000002,0.52,0.498
68,0.059,0.52,0.498
69,0.059,0.52,0.498
70,0.059,0.521,0.4970000000000001
71,0.059,0.521,0.4970000000000001
72,0.099,0.521,0.4970000000000001
73,0.099,0.521,0.4970000000000001
74,0.099,0.522,0.496
75,0.099,0.522,0.496
76,0.099,0.523,0.496
77,0.099,0.523,0.496
78,0.139,0.523,0.496
79,0.139,0.523,0.496
80,0.139,0.523,0.495
81,0.139,0.523,0.495
82,0.179,0.523,0.495
83,0.179,0.523,0.495
84,0.179,0.524,0.494
85,0.179,0.524,0.494
86,0.179,0.524,0.494
87,0.179,0.524,0.494
88,0.22,0.524,0.494
89,0.22,0.524,0.494
90,0.22,0.524,0.493
91,0.22,0.524,0.493
92,0.26,0.524,0.4920000000000001
93,0.26,0.524,0.4920000000000001
94,0.26,0.525,0.491
95,0.26,0.525,0.491
96,0.26,0.525,0.49
97,0.26,0.525,0.49
98,0.302,0.526,0.489
99,0.302,0.526,0.489
100,0.302,0.526,0.489
101,0.302,0.526,0.489
102,0.343,0.526,0.488
103,0.343,0.526,0.488
104,0.343,0.527,0.486
105,0.343,0.527,0.486
106,0.382,0.528,0.485
107,0.382,0.528,0.485
108,0.382,0.528,0.485
109,0.382,0.528,0.485
110,0.382,0.529,0.484
111,0.382,0.529,0.484
112,0.423,0.53,0.483
113,0.423,0.53,0.483
114,0.423,0.531,0.483
115,0.423,0.531,0.483
116,0.464,0.532,0.481
117,0.464,0.532,0.481
118,0.464,0.532,0.481
119,0.464,0.532,0.481
120,0.464,0.534,0.48
121,0.464,0.534,0.48
122,0.505,0.535,0.479
123,0.505,0.535,0.479
124,0.505,0.536,0.478
125,0.505,0.536,0.478
126,0.545,0.5379999999999999,0.477
127,0.545,0.5379999999999999,0.477
128,0.545,0.5379999999999999,0.477
129,0.545,0.5379999999999999,0.477
130,0.545,0.539,0.477
131,0.545,0.539,0.477
132,0.586,0.54,0.476
133,0.586,0.54,0.476
134,0.586,0.541,0.476
135,0.586,0.541,0.476
136,0.627,0.542,0.475
137,0.627,0.542,0.475
138,0.627,0.542,0.473
139,0.627,0.542,0.473
140,0.627,0.542,0.473
141,0.627,0.542,0.473
142,0.667,0.5429999999999999,0.471
143,0.667,0.5429999999999999,0.471
144,0.667,0.544,0.469
145,0.667,0.544,0.469
146,0.708,0.545,0.466
147,0.708,0.545,0.466
148,0.708,0.545,0.466
149,0.708,0.545,0.466
150,0.7490000000000001,0.546,0.462
151,0.7490000000000001,0.546,0.462
152,0.7490000000000001,0.547,0.459
153,0.7490000000000001,0.547,0.459
154,0.7490000000000001,0.5489999999999999,0.454
155,0.7490000000000001,0.5489999999999999,0.454
156,0.79,0.5489999999999999,0.452
157,0.79,0.5489999999999999,0.452
158,0.79,0.5489999999999999,0.452
159,0.79,0.5489999999999999,0.452
160,0.83,0.551,0.448
161,0.83,0.551,0.448
162,0.83,0.552,0.442
163,0.83,0.552,0.442
164,0.83,0.5539999999999999,0.4370000000000001
165,0.83,0.5539999999999999,0.4370000000000001
166,0.87,0.555,0.4320000000000001
167,0.87,0.555,0.4320000000000001
168,0.87,0.555,0.4320000000000001
169,0.87,0.555,0.4320000000000001
170,0.911,0.557,0.428
171,0.911,0.557,0.428
172,0.911,0.5589999999999999,0.424
173,0.911,0.5589999999999999,0.424
174,0.911,0.56,0.42
175,0.911,0.56,0.42
176,0.951,0.561,0.417
177,0.951,0.561,0.417
178,0.951,0.563,0.414
179,0.951,0.563,0.414
180,0.991,0.563,0.414
181,0.991,0.563,0.414
182,0.991,0.563,0.412
183,0.991,0.563,0.412
184,1.032,0.565,0.411
185,1.032,0.565,0.411
186,1.032,0.565,0.41
187,1.032,0.565,0.41
188,1.032,0.565,0.41
189,1.032,0.565,0.41
190,1.073,0.5660000000000001,0.41
191,1.073,0.5660000000000001,0.41
192,1.073,0.5660000000000001,0.409
