,time,2dmu,2dmv
0,0.0,0.507,0.473
1,0.0,0.507,0.473
2,0.0,0.507,0.474
3,0.0,0.507,0.474
4,0.0,0.507,0.474
5,0.0,0.507,0.474
6,0.0,0.507,0.476
7,0.0,0.507,0.476
8,0.0,0.506,0.48
9,0.0,0.506,0.48
10,0.0,0.506,0.48
11,0.0,0.506,0.48
12,0.0,0.507,0.483
13,0.0,0.507,0.483
14,0.0,0.507,0.483
15,0.0,0.507,0.483
16,0.0,0.509,0.4920000000000001
17,0.0,0.509,0.4920000000000001
18,0.0,0.509,0.4920000000000001
19,0.0,0.509,0.4920000000000001
20,0.0,0.511,0.496
21,0.0,0.511,0.496
22,0.0,0.511,0.496
23,0.0,0.511,0.496
24,0.0,0.511,0.4970000000000001
25,0.0,0.511,0.4970000000000001
26,0.0,0.511,0.4970000000000001
27,0.0,0.511,0.4970000000000001
28,0.0,0.511,0.4970000000000001
29,0.0,0.511,0.4970000000000001
30,0.0,0.51,0.4970000000000001
31,0.0,0.51,0.4970000000000001
32,0.0,0.51,0.4970000000000001
33,0.0,0.51,0.4970000000000001
34,0.0,0.509,0.494
35,0.0,0.509,0.494
36,0.0,0.509,0.494
37,0.0,0.509,0.494
38,0.0,0.507,0.49
39,0.0,0.507,0.49
40,0.0,0.507,0.49
41,0.0,0.507,0.49
42,0.0,0.507,0.488
43,0.0,0.507,0.488
44,0.0,0.507,0.488
45,0.0,0.507,0.488
46,0.0,0.507,0.488
47,0.0,0.507,0.488
48,0.0,0.507,0.488
49,0.0,0.507,0.488
50,0.0,0.507,0.488
51,0.0,0.507,0.488
52,0.0,0.507,0.488
53,0.0,0.507,0.488
54,0.0,0.507,0.488
55,0.0,0.507,0.488
56,0.0,0.507,0.488
57,0.0,0.507,0.488
58,0.0,0.507,0.489
59,0.0,0.507,0.489
60,0.0,0.507,0.49
61,0.0,0.507,0.49
62,0.0,0.508,0.49
63,0.0,0.508,0.49
64,0.0,0.508,0.49
65,0.0,0.508,0.49
66,0.0,0.508,0.49
67,0.0,0.508,0.49
68,0.02,0.508,0.49
69,0.02,0.508,0.49
70,0.02,0.508,0.489
71,0.02,0.508,0.489
72,0.062,0.508,0.489
73,0.062,0.508,0.489
74,0.062,0.507,0.488
75,0.062,0.507,0.488
76,0.062,0.507,0.487
77,0.062,0.507,0.487
78,0.102,0.507,0.487
79,0.102,0.507,0.487
80,0.102,0.506,0.485
81,0.102,0.506,0.485
82,0.142,0.506,0.483
83,0.142,0.506,0.483
84,0.142,0.505,0.48
85,0.142,0.505,0.48
86,0.183,0.505,0.48
87,0.183,0.505,0.48
88,0.183,0.504,0.478
89,0.183,0.504,0.478
90,0.183,0.504,0.475
91,0.183,0.504,0.475
92,0.223,0.504,0.473
93,0.223,0.504,0.473
94,0.223,0.503,0.471
95,0.223,0.503,0.471
96,0.264,0.503,0.471
97,0.264,0.503,0.471
98,0.264,0.503,0.468
99,0.264,0.503,0.468
100,0.264,0.502,0.466
101,0.264,0.502,0.466
102,0.304,0.502,0.464
103,0.304,0.502,0.464
104,0.304,0.501,0.462
105,0.304,0.501,0.462
106,0.34600000000000003,0.501,0.462
107,0.34600000000000003,0.501,0.462
108,0.34600000000000003,0.502,0.462
109,0.34600000000000003,0.502,0.462
110,0.34600000000000003,0.501,0.461
111,0.34600000000000003,0.501,0.461
112,0.387,0.501,0.46
113,0.387,0.501,0.46
114,0.387,0.501,0.459
115,0.387,0.501,0.459
116,0.4270000000000001,0.501,0.458
117,0.4270000000000001,0.501,0.458
118,0.4270000000000001,0.501,0.458
119,0.4270000000000001,0.501,0.458
120,0.467,0.501,0.457
121,0.467,0.501,0.457
122,0.467,0.501,0.457
123,0.467,0.501,0.457
124,0.467,0.501,0.455
125,0.467,0.501,0.455
126,0.508,0.502,0.454
127,0.508,0.502,0.454
128,0.508,0.502,0.454
129,0.508,0.502,0.454
130,0.55,0.502,0.453
131,0.55,0.502,0.453
132,0.55,0.502,0.452
133,0.55,0.502,0.452
134,0.55,0.502,0.452
135,0.55,0.502,0.452
136,0.591,0.502,0.452
137,0.591,0.502,0.452
138,0.591,0.503,0.451
139,0.591,0.503,0.451
140,0.632,0.503,0.451
141,0.632,0.503,0.451
142,0.632,0.503,0.45
143,0.632,0.503,0.45
144,0.632,0.503,0.45
145,0.632,0.503,0.45
146,0.672,0.503,0.449
147,0.672,0.503,0.449
148,0.672,0.503,0.448
149,0.672,0.503,0.448
150,0.713,0.503,0.447
151,0.713,0.503,0.447
152,0.713,0.503,0.447
153,0.713,0.503,0.447
154,0.713,0.503,0.446
155,0.713,0.503,0.446
156,0.755,0.503,0.445
157,0.755,0.503,0.445
158,0.755,0.503,0.444
159,0.755,0.503,0.444
160,0.795,0.503,0.444
161,0.795,0.503,0.444
162,0.795,0.503,0.443
163,0.795,0.503,0.443
164,0.795,0.503,0.442
165,0.795,0.503,0.442
166,0.836,0.503,0.442
167,0.836,0.503,0.442
168,0.836,0.503,0.442
169,0.836,0.503,0.442
170,0.8759999999999999,0.503,0.441
171,0.8759999999999999,0.503,0.441
172,0.8759999999999999,0.503,0.441
173,0.8759999999999999,0.503,0.441
174,0.916,0.504,0.441
175,0.916,0.504,0.441
176,0.916,0.504,0.441
177,0.916,0.504,0.441
178,0.916,0.504,0.441
179,0.916,0.504,0.441
180,0.956,0.505,0.441
181,0.956,0.505,0.441
182,0.956,0.505,0.441
183,0.956,0.505,0.441
184,0.998,0.505,0.441
185,0.998,0.505,0.441
186,0.998,0.505,0.441
187,0.998,0.505,0.441
188,0.998,0.505,0.441
189,0.998,0.505,0.441
190,1.039,0.505,0.441
191,1.039,0.505,0.441
192,1.039,0.505,0.441
193,1.039,0.505,0.441
194,1.079,0.505,0.441
195,1.079,0.505,0.441
196,1.079,0.505,0.441
197,1.079,0.505,0.441
198,1.079,0.505,0.441
199,1.079,0.505,0.441
200,1.119,0.505,0.441
201,1.119,0.505,0.441
202,1.119,0.505,0.441
203,1.119,0.505,0.441
204,1.159,0.506,0.441
205,1.159,0.506,0.441
206,1.159,0.506,0.441
207,1.159,0.506,0.441
208,1.2009999999999998,0.506,0.441
209,1.2009999999999998,0.506,0.441
210,1.2009999999999998,0.506,0.441
211,1.2009999999999998,0.506,0.441
212,1.2009999999999998,0.506,0.441
213,1.2009999999999998,0.506,0.441
214,1.241,0.506,0.441
215,1.241,0.506,0.441
216,1.241,0.506,0.441
217,1.241,0.506,0.441
218,1.283,0.506,0.441
219,1.283,0.506,0.441
220,1.283,0.505,0.441
221,1.283,0.505,0.441
222,1.283,0.505,0.442
223,1.283,0.505,0.442
224,1.3219999999999998,0.505,0.442
225,1.3219999999999998,0.505,0.442
226,1.3219999999999998,0.505,0.442
227,1.3219999999999998,0.505,0.442
228,1.362,0.505,0.442
229,1.362,0.505,0.442
230,1.362,0.505,0.443
231,1.362,0.505,0.443
232,1.362,0.504,0.443
233,1.362,0.504,0.443
234,1.403,0.504,0.443
235,1.403,0.504,0.443
236,1.403,0.504,0.444
237,1.403,0.504,0.444
238,1.444,0.504,0.444
239,1.444,0.504,0.444
240,1.444,0.504,0.444
241,1.444,0.504,0.444
242,1.484,0.503,0.445
243,1.484,0.503,0.445
244,1.484,0.503,0.445
245,1.484,0.503,0.445
246,1.484,0.503,0.445
247,1.484,0.503,0.445
248,1.526,0.503,0.445
249,1.526,0.503,0.445
250,1.526,0.503,0.445
251,1.526,0.503,0.445
252,1.5659999999999998,0.503,0.445
253,1.5659999999999998,0.503,0.445
254,1.5659999999999998,0.503,0.445
255,1.5659999999999998,0.503,0.445
256,1.5659999999999998,0.503,0.446
257,1.5659999999999998,0.503,0.446
258,1.607,0.503,0.446
259,1.607,0.503,0.446
260,1.607,0.502,0.446
261,1.607,0.502,0.446
262,1.649,0.502,0.446
263,1.649,0.502,0.446
264,1.649,0.502,0.446
265,1.649,0.502,0.446
266,1.649,0.502,0.446
267,1.649,0.502,0.446
268,1.69,0.502,0.446
269,1.69,0.502,0.446
270,1.69,0.502,0.446
271,1.69,0.502,0.446
272,1.731,0.502,0.446
273,1.731,0.502,0.446
274,1.731,0.502,0.447
275,1.731,0.502,0.447
276,1.731,0.502,0.447
277,1.731,0.502,0.447
278,1.771,0.502,0.447
279,1.771,0.502,0.447
280,1.771,0.502,0.447
281,1.771,0.502,0.447
282,1.812,0.502,0.448
283,1.812,0.502,0.448
284,1.812,0.503,0.448
285,1.812,0.503,0.448
286,1.812,0.503,0.448
287,1.812,0.503,0.448
288,1.854,0.503,0.448
289,1.854,0.503,0.448
290,1.854,0.503,0.448
291,1.854,0.503,0.448
292,1.894,0.503,0.449
293,1.894,0.503,0.449
294,1.894,0.503,0.449
295,1.894,0.503,0.449
296,1.934,0.503,0.449
297,1.934,0.503,0.449
298,1.934,0.503,0.449
299,1.934,0.503,0.449
300,1.934,0.503,0.449
301,1.934,0.503,0.449
302,1.974,0.503,0.449
303,1.974,0.503,0.449
304,1.974,0.503,0.45
305,1.974,0.503,0.45
306,2.014,0.503,0.45
307,2.014,0.503,0.45
308,2.014,0.503,0.45
309,2.014,0.503,0.45
310,2.014,0.502,0.45
311,2.014,0.502,0.45
312,2.0540000000000003,0.502,0.45
313,2.0540000000000003,0.502,0.45
314,2.0540000000000003,0.502,0.45
315,2.0540000000000003,0.502,0.45
316,2.095,0.502,0.45
317,2.095,0.502,0.45
318,2.095,0.502,0.45
319,2.095,0.502,0.45
320,2.134,0.502,0.45
321,2.134,0.502,0.45
322,2.134,0.502,0.451
323,2.134,0.502,0.451
324,2.134,0.502,0.451
325,2.134,0.502,0.451
326,2.175,0.502,0.451
327,2.175,0.502,0.451
328,2.175,0.502,0.451
329,2.175,0.502,0.451
330,2.215,0.502,0.451
331,2.215,0.502,0.451
332,2.215,0.502,0.451
333,2.215,0.502,0.451
334,2.215,0.502,0.451
335,2.215,0.502,0.451
336,2.255,0.502,0.451
337,2.255,0.502,0.451
338,2.255,0.502,0.452
339,2.255,0.502,0.452
340,2.296,0.502,0.452
341,2.296,0.502,0.452
342,2.296,0.502,0.452
343,2.296,0.502,0.452
344,2.296,0.502,0.452
345,2.296,0.502,0.452
346,2.337,0.502,0.452
347,2.337,0.502,0.452
348,2.337,0.502,0.452
349,2.337,0.502,0.452
350,2.377,0.502,0.452
351,2.377,0.502,0.452
352,2.377,0.502,0.452
353,2.377,0.502,0.452
354,2.417,0.502,0.451
355,2.417,0.502,0.451
356,2.417,0.502,0.451
357,2.417,0.502,0.451
358,2.417,0.502,0.451
359,2.417,0.502,0.451
360,2.457,0.502,0.451
361,2.457,0.502,0.451
362,2.457,0.502,0.451
363,2.457,0.502,0.451
364,2.498,0.502,0.45
365,2.498,0.502,0.45
366,2.498,0.502,0.45
367,2.498,0.502,0.45
368,2.498,0.502,0.45
369,2.498,0.502,0.45
370,2.539,0.502,0.45
371,2.539,0.502,0.45
372,2.539,0.502,0.45
373,2.539,0.502,0.45
374,2.5780000000000003,0.502,0.45
375,2.5780000000000003,0.502,0.45
376,2.5780000000000003,0.502,0.45
377,2.5780000000000003,0.502,0.45
378,2.5780000000000003,0.502,0.45
379,2.5780000000000003,0.502,0.45
380,2.619,0.502,0.45
381,2.619,0.502,0.45
382,2.619,0.502,0.45
383,2.619,0.502,0.45
384,2.66,0.502,0.45
385,2.66,0.502,0.45
386,2.66,0.502,0.45
387,2.66,0.502,0.45
388,2.701,0.502,0.45
389,2.701,0.502,0.45
390,2.701,0.502,0.45
391,2.701,0.502,0.45
392,2.701,0.502,0.449
393,2.701,0.502,0.449
394,2.7430000000000003,0.502,0.449
395,2.7430000000000003,0.502,0.449
396,2.7430000000000003,0.502,0.449
