,time,2dmu,2dmv
0,0.0,0.493,0.472
1,0.0,0.493,0.472
2,0.0,0.493,0.472
3,0.0,0.493,0.472
4,0.0,0.493,0.471
5,0.0,0.493,0.471
6,0.0,0.493,0.471
7,0.0,0.493,0.471
8,0.0,0.493,0.471
9,0.0,0.493,0.471
10,0.0,0.493,0.471
11,0.0,0.493,0.471
12,0.0,0.493,0.471
13,0.0,0.493,0.471
14,0.0,0.493,0.471
15,0.0,0.493,0.471
16,0.0,0.493,0.471
17,0.0,0.493,0.471
18,0.0,0.493,0.471
19,0.0,0.493,0.471
20,0.0,0.493,0.471
21,0.0,0.493,0.471
22,0.0,0.493,0.471
23,0.0,0.493,0.471
24,0.0,0.493,0.471
25,0.0,0.493,0.471
26,0.0,0.493,0.47
27,0.0,0.493,0.47
28,0.0,0.493,0.47
29,0.0,0.493,0.47
30,0.0,0.493,0.47
31,0.0,0.493,0.47
32,0.0,0.493,0.47
33,0.0,0.493,0.47
34,0.0,0.493,0.47
35,0.0,0.493,0.47
36,0.0,0.493,0.47
37,0.0,0.493,0.47
38,0.0,0.493,0.469
39,0.0,0.493,0.469
40,0.0,0.493,0.469
41,0.0,0.493,0.469
42,0.0,0.493,0.469
43,0.0,0.493,0.469
44,0.0,0.493,0.469
45,0.0,0.493,0.469
46,0.0,0.493,0.469
47,0.0,0.493,0.469
48,0.0,0.493,0.469
49,0.0,0.493,0.469
50,0.021,0.493,0.469
51,0.021,0.493,0.469
52,0.021,0.493,0.469
53,0.021,0.493,0.469
54,0.061,0.493,0.469
55,0.061,0.493,0.469
56,0.061,0.493,0.469
57,0.061,0.493,0.469
58,0.102,0.493,0.469
59,0.102,0.493,0.469
60,0.102,0.493,0.469
61,0.102,0.493,0.469
62,0.102,0.493,0.469
63,0.102,0.493,0.469
64,0.14300000000000002,0.493,0.469
65,0.14300000000000002,0.493,0.469
66,0.14300000000000002,0.493,0.468
67,0.14300000000000002,0.493,0.468
68,0.183,0.493,0.468
69,0.183,0.493,0.468
70,0.183,0.493,0.468
71,0.183,0.493,0.468
72,0.183,0.493,0.468
73,0.183,0.493,0.468
74,0.223,0.493,0.468
75,0.223,0.493,0.468
76,0.223,0.493,0.468
77,0.223,0.493,0.468
78,0.263,0.4920000000000001,0.468
79,0.263,0.4920000000000001,0.468
80,0.263,0.4920000000000001,0.468
81,0.263,0.4920000000000001,0.468
82,0.263,0.491,0.468
