,time,2dmu,2dmv
0,0.0,0.512,0.537
1,0.0,0.512,0.537
2,0.0,0.512,0.537
3,0.0,0.512,0.537
4,0.0,0.512,0.537
5,0.0,0.512,0.537
6,0.0,0.512,0.537
7,0.0,0.512,0.537
8,0.0,0.512,0.537
9,0.0,0.512,0.537
10,0.0,0.512,0.537
11,0.0,0.512,0.537
12,0.0,0.512,0.537
13,0.0,0.512,0.537
14,0.0,0.512,0.537
15,0.0,0.512,0.537
16,0.0,0.512,0.537
17,0.0,0.512,0.537
18,0.0,0.513,0.537
19,0.0,0.513,0.537
20,0.0,0.513,0.537
21,0.0,0.513,0.537
22,0.0,0.513,0.537
23,0.0,0.513,0.537
24,0.0,0.513,0.537
25,0.0,0.513,0.537
26,0.0,0.513,0.537
27,0.0,0.513,0.537
28,0.0,0.513,0.537
29,0.0,0.513,0.537
30,0.0,0.513,0.537
31,0.0,0.513,0.537
32,0.0,0.513,0.537
33,0.0,0.513,0.537
34,0.0,0.513,0.537
35,0.0,0.513,0.537
36,0.0,0.513,0.537
37,0.0,0.513,0.537
38,0.0,0.513,0.537
39,0.0,0.513,0.537
40,0.0,0.513,0.537
41,0.0,0.513,0.537
42,0.0,0.513,0.537
43,0.0,0.513,0.537
44,0.019,0.513,0.537
45,0.019,0.513,0.537
46,0.019,0.513,0.537
47,0.019,0.513,0.537
48,0.06,0.513,0.537
49,0.06,0.513,0.537
50,0.06,0.513,0.537
51,0.06,0.513,0.537
52,0.102,0.513,0.537
53,0.102,0.513,0.537
54,0.102,0.513,0.537
55,0.102,0.513,0.537
56,0.141,0.513,0.536
57,0.141,0.513,0.536
58,0.141,0.513,0.536
59,0.141,0.513,0.536
60,0.141,0.513,0.536
61,0.141,0.513,0.536
62,0.181,0.513,0.536
63,0.181,0.513,0.536
64,0.181,0.513,0.536
65,0.181,0.513,0.536
66,0.221,0.513,0.536
67,0.221,0.513,0.536
68,0.221,0.513,0.536
69,0.221,0.513,0.536
70,0.221,0.513,0.537
71,0.221,0.513,0.537
72,0.261,0.513,0.537
73,0.261,0.513,0.537
74,0.261,0.513,0.537
75,0.261,0.513,0.537
76,0.301,0.513,0.537
77,0.301,0.513,0.537
78,0.301,0.513,0.537
79,0.301,0.513,0.537
80,0.341,0.513,0.537
81,0.341,0.513,0.537
82,0.341,0.513,0.537
83,0.341,0.513,0.537
84,0.341,0.513,0.537
85,0.341,0.513,0.537
86,0.383,0.513,0.537
87,0.383,0.513,0.537
88,0.383,0.513,0.537
89,0.383,0.513,0.537
90,0.423,0.513,0.537
91,0.423,0.513,0.537
92,0.423,0.513,0.537
93,0.423,0.513,0.537
94,0.423,0.513,0.537
95,0.423,0.513,0.537
96,0.464,0.513,0.537
97,0.464,0.513,0.537
98,0.464,0.513,0.537
99,0.464,0.513,0.537
100,0.504,0.513,0.5379999999999999
101,0.504,0.513,0.5379999999999999
102,0.504,0.513,0.5379999999999999
103,0.504,0.513,0.5379999999999999
104,0.504,0.512,0.5379999999999999
105,0.504,0.512,0.5379999999999999
106,0.544,0.512,0.5379999999999999
107,0.544,0.512,0.5379999999999999
108,0.544,0.512,0.5379999999999999
109,0.544,0.512,0.5379999999999999
