,time,2dmu,2dmv
0,0.0,0.505,0.539
1,0.0,0.505,0.539
2,0.0,0.505,0.539
3,0.0,0.505,0.539
4,0.0,0.505,0.539
5,0.0,0.505,0.539
6,0.0,0.505,0.539
7,0.0,0.505,0.539
8,0.0,0.506,0.539
9,0.0,0.506,0.539
10,0.0,0.506,0.539
11,0.0,0.506,0.539
12,0.0,0.506,0.539
13,0.0,0.506,0.539
14,0.0,0.506,0.539
15,0.0,0.506,0.539
16,0.0,0.506,0.539
17,0.0,0.506,0.539
18,0.0,0.506,0.539
19,0.0,0.506,0.539
20,0.0,0.506,0.539
21,0.0,0.506,0.539
22,0.0,0.506,0.539
23,0.0,0.506,0.539
24,0.0,0.506,0.539
25,0.0,0.506,0.539
26,0.0,0.506,0.539
27,0.0,0.506,0.539
28,0.0,0.506,0.539
29,0.0,0.506,0.539
30,0.0,0.506,0.539
31,0.0,0.506,0.539
32,0.0,0.506,0.539
33,0.0,0.506,0.539
34,0.0,0.506,0.5379999999999999
35,0.0,0.506,0.5379999999999999
36,0.0,0.506,0.5379999999999999
37,0.0,0.506,0.5379999999999999
38,0.0,0.506,0.5379999999999999
39,0.0,0.506,0.5379999999999999
40,0.0,0.506,0.5379999999999999
41,0.0,0.506,0.5379999999999999
42,0.0,0.506,0.537
43,0.0,0.506,0.537
44,0.0,0.506,0.537
45,0.0,0.506,0.537
46,0.018000000000000002,0.506,0.537
47,0.018000000000000002,0.506,0.537
48,0.018000000000000002,0.506,0.537
49,0.018000000000000002,0.506,0.537
50,0.058,0.506,0.536
51,0.058,0.506,0.536
52,0.058,0.506,0.536
53,0.058,0.506,0.536
54,0.058,0.505,0.536
55,0.058,0.505,0.536
56,0.1,0.505,0.536
57,0.1,0.505,0.536
58,0.1,0.505,0.536
59,0.1,0.505,0.536
60,0.141,0.505,0.535
61,0.141,0.505,0.535
62,0.141,0.505,0.535
63,0.141,0.505,0.535
64,0.181,0.505,0.535
65,0.181,0.505,0.535
66,0.181,0.505,0.535
67,0.181,0.505,0.535
68,0.181,0.505,0.535
69,0.181,0.505,0.535
70,0.221,0.505,0.535
71,0.221,0.505,0.535
72,0.221,0.505,0.534
73,0.221,0.505,0.534
74,0.261,0.505,0.534
75,0.261,0.505,0.534
76,0.261,0.505,0.534
77,0.261,0.505,0.534
78,0.261,0.505,0.534
79,0.261,0.505,0.534
80,0.302,0.505,0.5329999999999999
81,0.302,0.505,0.5329999999999999
82,0.302,0.505,0.532
83,0.302,0.505,0.532
84,0.341,0.505,0.53
85,0.341,0.505,0.53
86,0.341,0.505,0.529
87,0.341,0.505,0.529
88,0.382,0.505,0.529
89,0.382,0.505,0.529
90,0.382,0.505,0.528
91,0.382,0.505,0.528
92,0.382,0.505,0.526
93,0.382,0.505,0.526
94,0.422,0.505,0.526
95,0.422,0.505,0.526
96,0.422,0.505,0.526
97,0.422,0.505,0.526
98,0.462,0.505,0.525
99,0.462,0.505,0.525
100,0.462,0.505,0.524
101,0.462,0.505,0.524
102,0.462,0.505,0.522
103,0.462,0.505,0.522
104,0.504,0.505,0.52
105,0.504,0.505,0.52
106,0.504,0.505,0.519
107,0.504,0.505,0.519
108,0.545,0.505,0.518
109,0.545,0.505,0.518
110,0.545,0.505,0.516
111,0.545,0.505,0.516
112,0.545,0.505,0.513
113,0.545,0.505,0.513
114,0.586,0.505,0.511
115,0.586,0.505,0.511
116,0.586,0.505,0.509
117,0.586,0.505,0.509
118,0.625,0.505,0.507
119,0.625,0.505,0.507
120,0.625,0.504,0.502
121,0.625,0.504,0.502
122,0.665,0.504,0.5
123,0.665,0.504,0.5
124,0.665,0.504,0.5
125,0.665,0.504,0.5
126,0.665,0.504,0.4920000000000001
127,0.665,0.504,0.4920000000000001
128,0.706,0.504,0.487
129,0.706,0.504,0.487
130,0.706,0.504,0.481
131,0.706,0.504,0.481
132,0.746,0.504,0.477
133,0.746,0.504,0.477
134,0.746,0.504,0.477
135,0.746,0.504,0.477
136,0.746,0.505,0.473
137,0.746,0.505,0.473
138,0.787,0.504,0.47
139,0.787,0.504,0.47
140,0.787,0.504,0.466
141,0.787,0.504,0.466
142,0.828,0.504,0.462
143,0.828,0.504,0.462
144,0.828,0.504,0.459
145,0.828,0.504,0.459
146,0.828,0.504,0.459
147,0.828,0.504,0.459
148,0.868,0.504,0.456
149,0.868,0.504,0.456
150,0.868,0.504,0.453
151,0.868,0.504,0.453
152,0.909,0.504,0.449
153,0.909,0.504,0.449
154,0.909,0.504,0.449
155,0.909,0.504,0.449
156,0.909,0.504,0.446
157,0.909,0.504,0.446
158,0.951,0.504,0.443
159,0.951,0.504,0.443
160,0.951,0.504,0.444
161,0.951,0.504,0.444
162,0.991,0.504,0.441
163,0.991,0.504,0.441
164,0.991,0.504,0.441
165,0.991,0.504,0.441
166,1.032,0.504,0.439
167,1.032,0.504,0.439
168,1.032,0.503,0.436
169,1.032,0.503,0.436
170,1.032,0.503,0.435
171,1.032,0.503,0.435
172,1.073,0.503,0.434
173,1.073,0.503,0.434
174,1.073,0.503,0.434
175,1.073,0.503,0.434
176,1.114,0.503,0.4320000000000001
177,1.114,0.503,0.4320000000000001
178,1.114,0.502,0.431
179,1.114,0.502,0.431
180,1.114,0.502,0.429
181,1.114,0.502,0.429
182,1.153,0.502,0.428
183,1.153,0.502,0.428
184,1.153,0.501,0.4270000000000001
185,1.153,0.501,0.4270000000000001
186,1.194,0.501,0.4270000000000001
187,1.194,0.501,0.4270000000000001
188,1.194,0.501,0.426
189,1.194,0.501,0.426
190,1.194,0.501,0.425
191,1.194,0.501,0.425
192,1.235,0.501,0.425
193,1.235,0.501,0.425
194,1.235,0.501,0.425
195,1.235,0.501,0.425
196,1.275,0.5,0.424
197,1.275,0.5,0.424
198,1.275,0.5,0.423
199,1.275,0.5,0.423
200,1.275,0.5,0.423
201,1.275,0.5,0.423
202,1.3159999999999998,0.5,0.422
203,1.3159999999999998,0.5,0.422
204,1.3159999999999998,0.5,0.422
205,1.3159999999999998,0.5,0.422
206,1.356,0.499,0.421
207,1.356,0.499,0.421
208,1.356,0.499,0.421
209,1.356,0.499,0.421
210,1.3969999999999998,0.499,0.42
211,1.3969999999999998,0.498,0.419
212,1.3969999999999998,0.499,0.42
213,1.3969999999999998,0.498,0.419
214,1.3969999999999998,0.498,0.419
215,1.3969999999999998,0.498,0.419
216,1.4369999999999998,0.498,0.419
217,1.4369999999999998,0.498,0.419
218,1.4369999999999998,0.4970000000000001,0.42
219,1.4369999999999998,0.4970000000000001,0.42
220,1.477,0.4970000000000001,0.423
221,1.477,0.4970000000000001,0.423
222,1.477,0.496,0.426
223,1.477,0.496,0.426
224,1.477,0.496,0.426
225,1.477,0.496,0.426
226,1.517,0.495,0.43
227,1.517,0.495,0.43
228,1.517,0.494,0.435
229,1.517,0.494,0.435
230,1.557,0.493,0.441
231,1.557,0.493,0.441
232,1.557,0.4920000000000001,0.445
233,1.557,0.4920000000000001,0.445
234,1.599,0.4920000000000001,0.445
235,1.599,0.4920000000000001,0.445
236,1.599,0.491,0.451
237,1.599,0.491,0.451
238,1.599,0.49,0.456
239,1.599,0.49,0.456
240,1.639,0.489,0.462
241,1.639,0.489,0.462
242,1.639,0.488,0.467
