,time,2dmu,2dmv
0,0.0,0.512,0.447
1,0.0,0.512,0.447
2,0.0,0.512,0.447
3,0.0,0.512,0.447
4,0.0,0.513,0.447
5,0.0,0.513,0.447
6,0.0,0.514,0.448
7,0.0,0.514,0.448
8,0.0,0.514,0.448
9,0.0,0.514,0.448
10,0.0,0.514,0.449
11,0.0,0.514,0.449
12,0.0,0.515,0.451
13,0.0,0.515,0.451
14,0.0,0.515,0.451
15,0.0,0.515,0.451
16,0.0,0.515,0.452
17,0.0,0.515,0.452
18,0.0,0.515,0.452
19,0.0,0.515,0.452
20,0.0,0.515,0.453
21,0.0,0.515,0.453
22,0.0,0.515,0.453
23,0.0,0.515,0.453
24,0.0,0.515,0.454
25,0.0,0.515,0.454
26,0.0,0.515,0.454
27,0.0,0.515,0.454
28,0.0,0.515,0.455
29,0.0,0.515,0.455
30,0.0,0.515,0.455
31,0.0,0.515,0.455
32,0.0,0.515,0.456
33,0.0,0.515,0.456
34,0.0,0.515,0.456
35,0.0,0.515,0.456
36,0.0,0.515,0.458
37,0.0,0.515,0.458
38,0.0,0.515,0.459
39,0.0,0.515,0.459
40,0.0,0.515,0.459
41,0.0,0.515,0.459
42,0.0,0.515,0.46
43,0.0,0.515,0.46
44,0.0,0.515,0.46
45,0.0,0.515,0.46
46,0.0,0.515,0.46
47,0.0,0.515,0.46
48,0.0,0.514,0.461
49,0.0,0.514,0.461
50,0.0,0.514,0.461
51,0.0,0.514,0.461
52,0.0,0.514,0.461
53,0.0,0.514,0.461
54,0.0,0.514,0.461
55,0.0,0.514,0.461
56,0.0,0.514,0.462
57,0.0,0.514,0.462
58,0.0,0.514,0.462
59,0.0,0.514,0.462
60,0.0,0.514,0.462
61,0.0,0.514,0.462
62,0.0,0.513,0.462
63,0.0,0.513,0.462
64,0.0,0.513,0.463
65,0.0,0.513,0.463
66,0.0,0.513,0.463
67,0.0,0.513,0.463
68,0.013,0.513,0.463
69,0.013,0.513,0.463
70,0.013,0.513,0.463
71,0.013,0.513,0.463
72,0.013,0.513,0.463
73,0.013,0.513,0.463
74,0.054000000000000006,0.513,0.463
75,0.054000000000000006,0.513,0.463
76,0.054000000000000006,0.513,0.463
77,0.054000000000000006,0.513,0.463
78,0.096,0.513,0.463
79,0.096,0.513,0.463
80,0.096,0.513,0.463
81,0.096,0.513,0.463
82,0.096,0.513,0.463
83,0.096,0.513,0.463
84,0.136,0.513,0.463
85,0.136,0.513,0.463
86,0.136,0.513,0.463
87,0.136,0.513,0.463
88,0.17600000000000002,0.513,0.463
89,0.17600000000000002,0.513,0.463
90,0.17600000000000002,0.513,0.463
91,0.17600000000000002,0.513,0.463
92,0.21600000000000005,0.513,0.462
93,0.21600000000000005,0.513,0.462
94,0.21600000000000005,0.513,0.462
95,0.21600000000000005,0.513,0.462
96,0.21600000000000005,0.513,0.462
97,0.21600000000000005,0.513,0.462
98,0.257,0.513,0.462
99,0.257,0.513,0.462
100,0.257,0.513,0.462
101,0.257,0.513,0.462
102,0.297,0.513,0.462
103,0.297,0.513,0.462
104,0.297,0.513,0.462
105,0.297,0.513,0.462
106,0.297,0.513,0.462
107,0.297,0.513,0.462
108,0.338,0.513,0.461
109,0.338,0.513,0.461
110,0.338,0.513,0.461
111,0.338,0.513,0.461
112,0.378,0.513,0.461
113,0.378,0.513,0.461
114,0.378,0.513,0.46
115,0.378,0.513,0.46
116,0.418,0.513,0.46
117,0.418,0.513,0.46
118,0.418,0.513,0.459
119,0.418,0.513,0.459
120,0.418,0.513,0.459
121,0.418,0.513,0.459
122,0.458,0.513,0.458
123,0.458,0.513,0.458
124,0.458,0.513,0.457
125,0.458,0.513,0.457
126,0.498,0.513,0.457
127,0.498,0.513,0.457
128,0.498,0.512,0.456
129,0.498,0.512,0.456
130,0.498,0.512,0.455
131,0.498,0.512,0.455
132,0.5379999999999999,0.512,0.454
133,0.5379999999999999,0.512,0.454
134,0.5379999999999999,0.512,0.452
135,0.5379999999999999,0.512,0.452
136,0.578,0.512,0.452
137,0.578,0.512,0.452
138,0.578,0.511,0.45
139,0.578,0.511,0.45
140,0.619,0.511,0.448
141,0.619,0.511,0.448
142,0.619,0.511,0.446
143,0.619,0.511,0.446
144,0.619,0.51,0.445
145,0.619,0.51,0.445
146,0.659,0.51,0.445
147,0.659,0.51,0.445
148,0.659,0.51,0.444
149,0.659,0.51,0.444
150,0.6990000000000001,0.51,0.444
151,0.6990000000000001,0.51,0.444
152,0.6990000000000001,0.51,0.443
153,0.6990000000000001,0.51,0.443
154,0.6990000000000001,0.51,0.443
155,0.6990000000000001,0.51,0.443
156,0.7390000000000001,0.509,0.442
