,time,2dmu,2dmv
0,0.0,0.486,0.526
1,0.0,0.486,0.526
2,0.0,0.486,0.526
3,0.0,0.486,0.526
4,0.0,0.486,0.526
5,0.0,0.486,0.526
6,0.0,0.486,0.526
7,0.0,0.486,0.526
8,0.0,0.486,0.526
9,0.0,0.486,0.526
10,0.0,0.486,0.527
11,0.0,0.486,0.527
12,0.0,0.486,0.527
13,0.0,0.486,0.527
14,0.0,0.487,0.528
15,0.0,0.487,0.528
16,0.0,0.487,0.529
17,0.0,0.487,0.529
18,0.0,0.487,0.529
19,0.0,0.487,0.529
20,0.0,0.487,0.529
21,0.0,0.487,0.529
22,0.0,0.487,0.53
23,0.0,0.487,0.53
24,0.0,0.487,0.53
25,0.0,0.487,0.53
26,0.0,0.488,0.531
27,0.0,0.488,0.531
28,0.0,0.488,0.531
29,0.0,0.488,0.531
30,0.0,0.488,0.531
31,0.0,0.488,0.531
32,0.0,0.489,0.5329999999999999
33,0.0,0.489,0.5329999999999999
34,0.0,0.489,0.5329999999999999
35,0.0,0.489,0.5329999999999999
36,0.0,0.489,0.5329999999999999
37,0.0,0.489,0.5329999999999999
38,0.0,0.49,0.5329999999999999
39,0.0,0.49,0.5329999999999999
40,0.0,0.49,0.534
41,0.0,0.49,0.534
42,0.0,0.491,0.534
43,0.0,0.491,0.534
44,0.0,0.491,0.534
45,0.0,0.491,0.534
46,0.0,0.491,0.534
47,0.0,0.491,0.534
48,0.0,0.4920000000000001,0.534
49,0.0,0.4920000000000001,0.534
50,0.0,0.4920000000000001,0.535
51,0.0,0.4920000000000001,0.535
52,0.0,0.4920000000000001,0.535
53,0.0,0.4920000000000001,0.535
54,0.0,0.493,0.536
55,0.0,0.493,0.536
56,0.0,0.493,0.537
57,0.0,0.493,0.537
58,0.0,0.493,0.537
59,0.0,0.493,0.537
60,0.0,0.494,0.537
61,0.0,0.494,0.537
62,0.0,0.494,0.5379999999999999
63,0.0,0.494,0.5379999999999999
64,0.0,0.494,0.5379999999999999
65,0.0,0.494,0.5379999999999999
66,0.0,0.494,0.5379999999999999
67,0.0,0.494,0.5379999999999999
68,0.014,0.494,0.539
69,0.014,0.494,0.539
70,0.014,0.494,0.539
71,0.014,0.494,0.539
72,0.014,0.494,0.539
73,0.014,0.494,0.539
74,0.054000000000000006,0.494,0.539
75,0.054000000000000006,0.494,0.539
76,0.054000000000000006,0.494,0.539
77,0.054000000000000006,0.494,0.539
78,0.095,0.494,0.539
79,0.095,0.494,0.539
80,0.095,0.494,0.539
81,0.095,0.494,0.539
82,0.095,0.494,0.539
83,0.095,0.494,0.539
84,0.135,0.494,0.539
85,0.135,0.494,0.539
86,0.135,0.494,0.539
87,0.135,0.494,0.539
88,0.17600000000000002,0.494,0.5379999999999999
89,0.17600000000000002,0.494,0.5379999999999999
90,0.17600000000000002,0.494,0.537
91,0.17600000000000002,0.494,0.537
92,0.21600000000000005,0.493,0.536
93,0.21600000000000005,0.493,0.536
94,0.21600000000000005,0.493,0.536
95,0.21600000000000005,0.493,0.536
96,0.21600000000000005,0.493,0.535
97,0.21600000000000005,0.493,0.535
98,0.256,0.4920000000000001,0.534
99,0.256,0.4920000000000001,0.534
100,0.256,0.4920000000000001,0.534
101,0.256,0.4920000000000001,0.534
102,0.29600000000000004,0.4920000000000001,0.5329999999999999
