,time,2dmu,2dmv
0,0.0,0.488,0.499
1,0.0,0.488,0.499
2,0.0,0.488,0.499
3,0.0,0.488,0.499
4,0.0,0.488,0.499
5,0.0,0.488,0.499
6,0.0,0.488,0.499
7,0.0,0.488,0.499
8,0.0,0.488,0.499
9,0.0,0.488,0.499
10,0.0,0.488,0.499
11,0.0,0.488,0.499
12,0.0,0.488,0.499
13,0.0,0.488,0.499
14,0.0,0.488,0.499
15,0.0,0.488,0.499
16,0.0,0.488,0.499
17,0.0,0.488,0.499
18,0.0,0.488,0.499
19,0.0,0.488,0.499
20,0.0,0.488,0.498
21,0.0,0.488,0.498
22,0.0,0.488,0.498
23,0.0,0.488,0.498
24,0.0,0.488,0.498
25,0.0,0.488,0.498
26,0.0,0.488,0.498
27,0.0,0.488,0.498
28,0.0,0.488,0.498
29,0.0,0.488,0.498
30,0.0,0.488,0.498
31,0.0,0.488,0.498
32,0.0,0.488,0.498
33,0.0,0.488,0.498
34,0.0,0.488,0.498
35,0.0,0.488,0.498
36,0.0,0.488,0.498
37,0.0,0.488,0.498
38,0.0,0.488,0.498
39,0.0,0.488,0.498
40,0.0,0.489,0.498
41,0.0,0.489,0.498
42,0.0,0.489,0.498
43,0.0,0.489,0.498
44,0.0,0.489,0.498
45,0.0,0.489,0.498
46,0.0,0.489,0.498
47,0.0,0.489,0.498
48,0.0,0.489,0.498
49,0.0,0.489,0.498
50,0.0,0.489,0.498
51,0.0,0.489,0.498
52,0.0,0.489,0.498
53,0.0,0.489,0.498
54,0.0,0.489,0.498
55,0.0,0.489,0.498
56,0.0,0.489,0.498
57,0.0,0.489,0.498
58,0.0,0.489,0.498
59,0.0,0.489,0.498
60,0.016,0.489,0.498
61,0.016,0.489,0.498
62,0.016,0.489,0.498
63,0.016,0.489,0.498
64,0.056,0.489,0.498
65,0.056,0.489,0.498
66,0.056,0.489,0.4970000000000001
67,0.056,0.489,0.4970000000000001
68,0.056,0.489,0.4970000000000001
69,0.056,0.489,0.4970000000000001
70,0.096,0.489,0.4970000000000001
71,0.096,0.489,0.4970000000000001
72,0.096,0.489,0.4970000000000001
73,0.096,0.489,0.4970000000000001
74,0.136,0.489,0.4970000000000001
75,0.136,0.489,0.4970000000000001
76,0.136,0.489,0.4970000000000001
77,0.136,0.489,0.4970000000000001
78,0.17600000000000002,0.489,0.4970000000000001
79,0.17600000000000002,0.489,0.4970000000000001
80,0.17600000000000002,0.489,0.4970000000000001
81,0.17600000000000002,0.489,0.4970000000000001
82,0.17600000000000002,0.489,0.4970000000000001
83,0.17600000000000002,0.489,0.4970000000000001
84,0.21600000000000005,0.489,0.4970000000000001
85,0.21600000000000005,0.489,0.4970000000000001
86,0.21600000000000005,0.489,0.4970000000000001
87,0.21600000000000005,0.489,0.4970000000000001
88,0.257,0.489,0.4970000000000001
89,0.257,0.489,0.4970000000000001
90,0.257,0.489,0.4970000000000001
91,0.257,0.489,0.4970000000000001
92,0.257,0.489,0.4970000000000001
93,0.257,0.489,0.4970000000000001
94,0.297,0.489,0.4970000000000001
95,0.297,0.489,0.4970000000000001
96,0.297,0.489,0.4970000000000001
97,0.297,0.489,0.4970000000000001
98,0.338,0.489,0.4970000000000001
99,0.338,0.489,0.4970000000000001
100,0.338,0.489,0.4970000000000001
101,0.338,0.489,0.4970000000000001
102,0.338,0.489,0.4970000000000001
103,0.338,0.489,0.4970000000000001
104,0.379,0.489,0.496
105,0.379,0.489,0.496
106,0.379,0.489,0.4970000000000001
107,0.379,0.489,0.4970000000000001
108,0.42,0.489,0.4970000000000001
109,0.42,0.489,0.4970000000000001
110,0.42,0.489,0.4970000000000001
111,0.42,0.489,0.4970000000000001
112,0.42,0.489,0.4970000000000001
113,0.42,0.489,0.4970000000000001
114,0.461,0.489,0.496
115,0.461,0.489,0.496
116,0.461,0.489,0.496
117,0.461,0.489,0.496
118,0.501,0.489,0.496
119,0.501,0.489,0.496
120,0.501,0.489,0.496
121,0.501,0.489,0.496
122,0.542,0.489,0.496
123,0.542,0.489,0.496
124,0.542,0.489,0.496
125,0.542,0.489,0.496
126,0.542,0.489,0.496
127,0.542,0.489,0.496
128,0.5820000000000001,0.489,0.496
129,0.5820000000000001,0.489,0.496
130,0.5820000000000001,0.489,0.496
131,0.5820000000000001,0.489,0.496
132,0.624,0.489,0.496
133,0.624,0.489,0.496
134,0.624,0.489,0.496
135,0.624,0.489,0.496
136,0.624,0.489,0.496
137,0.624,0.489,0.496
138,0.665,0.489,0.496
139,0.665,0.489,0.496
140,0.665,0.489,0.496
141,0.665,0.489,0.496
142,0.706,0.488,0.496
143,0.706,0.488,0.496
144,0.706,0.486,0.4970000000000001
145,0.706,0.486,0.4970000000000001
146,0.706,0.486,0.4970000000000001
147,0.706,0.486,0.4970000000000001
148,0.746,0.483,0.496
149,0.746,0.483,0.496
150,0.746,0.48,0.496
151,0.746,0.48,0.496
152,0.787,0.475,0.495
153,0.787,0.475,0.495
154,0.787,0.47,0.493
155,0.787,0.47,0.493
156,0.787,0.47,0.493
157,0.787,0.47,0.493
158,0.8270000000000001,0.469,0.493
159,0.8270000000000001,0.469,0.493
160,0.8270000000000001,0.464,0.491
161,0.8270000000000001,0.464,0.491
162,0.868,0.458,0.489
163,0.868,0.458,0.489
164,0.868,0.452,0.487
165,0.868,0.452,0.487
166,0.908,0.447,0.484
167,0.908,0.447,0.484
168,0.908,0.447,0.484
169,0.908,0.447,0.484
170,0.908,0.442,0.482
171,0.908,0.442,0.482
172,0.947,0.436,0.481
173,0.947,0.436,0.481
174,0.947,0.431,0.479
175,0.947,0.431,0.479
176,0.987,0.426,0.477
177,0.987,0.426,0.477
178,0.987,0.426,0.477
179,0.987,0.426,0.477
180,0.987,0.422,0.476
181,0.987,0.422,0.476
182,1.027,0.417,0.475
183,1.027,0.417,0.475
184,1.027,0.412,0.475
185,1.027,0.412,0.475
186,1.067,0.408,0.474
187,1.067,0.408,0.474
188,1.067,0.408,0.475
189,1.067,0.408,0.475
190,1.108,0.408,0.475
191,1.108,0.408,0.475
192,1.108,0.404,0.475
193,1.108,0.404,0.475
194,1.108,0.399,0.474
195,1.108,0.399,0.474
196,1.148,0.395,0.474
197,1.148,0.395,0.474
198,1.148,0.392,0.474
199,1.148,0.392,0.474
200,1.189,0.388,0.475
201,1.189,0.388,0.475
202,1.189,0.388,0.475
203,1.189,0.388,0.475
204,1.189,0.384,0.476
205,1.189,0.384,0.476
206,1.23,0.38,0.476
207,1.23,0.38,0.476
208,1.23,0.376,0.476
209,1.23,0.376,0.476
210,1.27,0.3720000000000001,0.477
211,1.27,0.3720000000000001,0.477
212,1.27,0.3720000000000001,0.477
213,1.27,0.3720000000000001,0.477
214,1.27,0.373,0.477
215,1.27,0.373,0.477
216,1.311,0.369,0.477
217,1.311,0.369,0.477
218,1.311,0.365,0.478
219,1.311,0.365,0.478
220,1.351,0.361,0.478
221,1.351,0.361,0.478
222,1.351,0.359,0.478
223,1.351,0.359,0.478
224,1.391,0.358,0.478
225,1.391,0.358,0.478
226,1.391,0.354,0.478
227,1.391,0.354,0.478
228,1.391,0.35,0.478
229,1.391,0.35,0.478
230,1.431,0.348,0.478
231,1.431,0.348,0.478
232,1.431,0.344,0.477
233,1.431,0.344,0.477
234,1.471,0.342,0.477
235,1.471,0.342,0.477
236,1.471,0.34,0.477
237,1.471,0.34,0.477
238,1.471,0.334,0.476
239,1.471,0.334,0.476
240,1.511,0.334,0.476
241,1.511,0.334,0.476
242,1.511,0.331,0.475
243,1.511,0.331,0.475
244,1.551,0.328,0.474
245,1.551,0.328,0.474
246,1.551,0.324,0.473
247,1.551,0.324,0.473
248,1.592,0.324,0.473
249,1.592,0.324,0.473
250,1.592,0.322,0.472
251,1.592,0.322,0.472
252,1.592,0.319,0.472
253,1.592,0.319,0.472
254,1.633,0.317,0.471
255,1.633,0.317,0.471
256,1.633,0.315,0.472
257,1.633,0.315,0.472
258,1.6740000000000002,0.315,0.472
259,1.6740000000000002,0.315,0.472
260,1.6740000000000002,0.313,0.472
261,1.6740000000000002,0.313,0.472
262,1.6740000000000002,0.311,0.471
263,1.6740000000000002,0.311,0.471
264,1.714,0.31,0.471
265,1.714,0.31,0.471
266,1.714,0.308,0.471
267,1.714,0.308,0.471
268,1.754,0.308,0.471
269,1.754,0.308,0.471
270,1.754,0.308,0.472
271,1.754,0.308,0.472
272,1.754,0.306,0.472
273,1.754,0.306,0.472
274,1.794,0.305,0.472
275,1.794,0.305,0.472
276,1.794,0.303,0.472
277,1.794,0.303,0.472
278,1.835,0.302,0.472
279,1.835,0.302,0.472
280,1.835,0.302,0.472
281,1.835,0.302,0.472
282,1.876,0.301,0.473
283,1.876,0.301,0.473
284,1.876,0.3,0.473
285,1.876,0.3,0.473
286,1.876,0.299,0.473
287,1.876,0.299,0.473
288,1.916,0.298,0.474
289,1.916,0.298,0.474
290,1.916,0.298,0.474
291,1.916,0.298,0.474
292,1.956,0.297,0.474
293,1.956,0.297,0.474
294,1.956,0.297,0.474
295,1.956,0.297,0.474
296,1.956,0.29600000000000004,0.474
297,1.956,0.29600000000000004,0.474
298,1.996,0.29600000000000004,0.474
299,1.996,0.29600000000000004,0.474
300,1.996,0.29600000000000004,0.474
301,1.996,0.29600000000000004,0.474
302,2.036,0.29600000000000004,0.473
303,2.036,0.29600000000000004,0.473
304,2.036,0.29600000000000004,0.473
305,2.036,0.29600000000000004,0.473
306,2.076,0.295,0.472
307,2.076,0.295,0.472
308,2.076,0.29600000000000004,0.471
309,2.076,0.29600000000000004,0.471
310,2.076,0.29600000000000004,0.47
311,2.076,0.29600000000000004,0.47
312,2.116,0.29600000000000004,0.47
313,2.116,0.29600000000000004,0.47
314,2.116,0.29600000000000004,0.469
315,2.116,0.29600000000000004,0.469
316,2.156,0.29600000000000004,0.468
317,2.156,0.29600000000000004,0.468
318,2.156,0.29600000000000004,0.466
319,2.156,0.29600000000000004,0.466
320,2.156,0.297,0.465
321,2.156,0.297,0.465
322,2.196,0.297,0.465
323,2.196,0.297,0.465
324,2.196,0.297,0.465
325,2.196,0.297,0.465
326,2.236,0.298,0.464
327,2.236,0.298,0.464
328,2.236,0.298,0.464
329,2.236,0.298,0.464
330,2.236,0.298,0.464
331,2.236,0.298,0.464
332,2.276,0.298,0.464
333,2.276,0.298,0.464
334,2.276,0.298,0.464
335,2.276,0.298,0.464
336,2.318,0.299,0.464
337,2.318,0.299,0.464
338,2.318,0.299,0.465
339,2.318,0.299,0.465
340,2.359,0.299,0.465
341,2.359,0.299,0.465
342,2.359,0.299,0.465
343,2.359,0.299,0.465
344,2.359,0.299,0.465
345,2.359,0.299,0.465
346,2.4,0.3,0.466
347,2.4,0.3,0.466
348,2.4,0.3,0.467
349,2.4,0.3,0.467
350,2.44,0.3,0.467
351,2.44,0.3,0.467
352,2.44,0.3,0.467
353,2.44,0.3,0.467
354,2.44,0.299,0.468
355,2.44,0.299,0.468
356,2.481,0.299,0.469
357,2.481,0.299,0.469
358,2.481,0.298,0.469
359,2.481,0.298,0.469
360,2.522,0.298,0.47
361,2.522,0.298,0.47
362,2.522,0.298,0.471
363,2.522,0.298,0.471
364,2.522,0.298,0.472
365,2.522,0.298,0.472
366,2.563,0.298,0.472
367,2.563,0.298,0.472
368,2.563,0.298,0.472
369,2.563,0.298,0.472
370,2.603,0.298,0.472
371,2.603,0.298,0.472
372,2.603,0.298,0.472
373,2.603,0.298,0.472
374,2.603,0.298,0.472
375,2.603,0.298,0.472
376,2.644,0.299,0.473
377,2.644,0.299,0.473
378,2.644,0.299,0.473
379,2.644,0.299,0.473
380,2.684,0.3,0.473
381,2.684,0.3,0.473
382,2.684,0.3,0.473
383,2.684,0.3,0.473
384,2.725,0.3,0.473
385,2.725,0.3,0.473
386,2.725,0.3,0.473
387,2.725,0.3,0.473
388,2.725,0.3,0.473
389,2.725,0.3,0.473
390,2.766,0.301,0.473
391,2.766,0.301,0.473
392,2.766,0.301,0.473
393,2.766,0.301,0.473
394,2.8080000000000003,0.301,0.473
395,2.8080000000000003,0.301,0.473
396,2.8080000000000003,0.302,0.473
397,2.8080000000000003,0.302,0.473
398,2.8080000000000003,0.302,0.474
399,2.8080000000000003,0.302,0.474
400,2.8480000000000003,0.303,0.474
401,2.8480000000000003,0.303,0.474
402,2.8480000000000003,0.304,0.475
403,2.8480000000000003,0.304,0.475
404,2.889,0.304,0.475
405,2.889,0.304,0.475
406,2.889,0.304,0.475
407,2.889,0.304,0.475
408,2.889,0.305,0.476
409,2.889,0.305,0.476
410,2.93,0.305,0.477
411,2.93,0.305,0.477
412,2.93,0.306,0.478
413,2.93,0.306,0.478
414,2.97,0.306,0.479
415,2.97,0.306,0.479
416,2.97,0.307,0.48
417,2.97,0.307,0.48
418,2.97,0.307,0.48
419,2.97,0.307,0.48
420,3.01,0.307,0.48
421,3.01,0.307,0.48
422,3.01,0.307,0.48
423,3.01,0.307,0.48
424,3.051,0.308,0.48
425,3.051,0.308,0.48
426,3.051,0.309,0.478
427,3.051,0.309,0.478
428,3.091,0.309,0.478
429,3.091,0.309,0.478
430,3.091,0.309,0.479
431,3.091,0.309,0.479
432,3.091,0.31,0.477
433,3.091,0.31,0.477
434,3.132,0.31,0.476
435,3.132,0.31,0.476
436,3.132,0.311,0.475
437,3.132,0.311,0.475
438,3.172,0.311,0.475
439,3.172,0.311,0.475
