,time,2dmu,2dmv
0,0.0,0.488,0.475
1,0.0,0.488,0.475
2,0.0,0.489,0.476
3,0.0,0.489,0.476
4,0.0,0.49,0.478
5,0.0,0.49,0.478
6,0.0,0.49,0.48
7,0.0,0.49,0.48
8,0.0,0.49,0.48
9,0.0,0.49,0.48
10,0.0,0.491,0.483
11,0.0,0.491,0.483
12,0.0,0.491,0.483
13,0.0,0.491,0.483
14,0.0,0.493,0.489
15,0.0,0.493,0.489
16,0.0,0.493,0.489
17,0.0,0.493,0.489
18,0.0,0.495,0.4970000000000001
19,0.0,0.495,0.4970000000000001
20,0.0,0.495,0.4970000000000001
21,0.0,0.495,0.4970000000000001
22,0.0,0.495,0.4970000000000001
23,0.0,0.495,0.4970000000000001
24,0.0,0.496,0.4970000000000001
25,0.0,0.496,0.4970000000000001
26,0.0,0.496,0.4970000000000001
27,0.0,0.496,0.4970000000000001
28,0.0,0.496,0.495
29,0.0,0.496,0.495
30,0.0,0.496,0.495
31,0.0,0.496,0.495
32,0.0,0.4970000000000001,0.499
33,0.0,0.4970000000000001,0.499
34,0.0,0.4970000000000001,0.499
35,0.0,0.4970000000000001,0.499
36,0.0,0.4970000000000001,0.5
37,0.0,0.4970000000000001,0.5
38,0.0,0.4970000000000001,0.5
39,0.0,0.4970000000000001,0.5
40,0.0,0.498,0.501
41,0.0,0.498,0.501
42,0.0,0.498,0.501
43,0.0,0.498,0.501
44,0.0,0.498,0.501
45,0.0,0.498,0.501
46,0.0,0.498,0.501
47,0.0,0.498,0.501
48,0.0,0.498,0.502
49,0.0,0.498,0.502
50,0.0,0.498,0.502
51,0.0,0.498,0.502
52,0.0,0.4970000000000001,0.502
53,0.0,0.4970000000000001,0.502
54,0.017,0.4970000000000001,0.501
55,0.017,0.4970000000000001,0.501
56,0.017,0.496,0.501
57,0.017,0.496,0.501
58,0.017,0.496,0.501
59,0.017,0.496,0.501
60,0.058,0.495,0.5
61,0.058,0.495,0.5
62,0.058,0.495,0.5
63,0.058,0.495,0.5
64,0.1,0.494,0.499
65,0.1,0.494,0.499
66,0.1,0.493,0.498
67,0.1,0.493,0.498
68,0.1,0.493,0.498
69,0.1,0.493,0.498
70,0.14,0.493,0.4970000000000001
71,0.14,0.493,0.4970000000000001
72,0.14,0.493,0.4970000000000001
73,0.14,0.493,0.4970000000000001
74,0.182,0.494,0.4970000000000001
75,0.182,0.494,0.4970000000000001
76,0.182,0.494,0.496
77,0.182,0.494,0.496
78,0.182,0.494,0.496
79,0.182,0.494,0.496
80,0.222,0.495,0.495
81,0.222,0.495,0.495
82,0.222,0.496,0.494
83,0.222,0.496,0.494
84,0.263,0.498,0.494
85,0.263,0.498,0.494
86,0.263,0.501,0.493
87,0.263,0.501,0.493
88,0.263,0.502,0.493
89,0.263,0.502,0.493
90,0.304,0.508,0.4920000000000001
91,0.304,0.508,0.4920000000000001
92,0.304,0.513,0.491
93,0.304,0.513,0.491
94,0.344,0.513,0.491
95,0.344,0.513,0.491
96,0.344,0.52,0.49
97,0.344,0.52,0.49
98,0.385,0.528,0.488
99,0.385,0.528,0.488
100,0.385,0.535,0.486
101,0.385,0.535,0.486
102,0.385,0.542,0.484
103,0.385,0.542,0.484
104,0.426,0.542,0.484
105,0.426,0.542,0.484
106,0.426,0.5489999999999999,0.484
107,0.426,0.5489999999999999,0.484
108,0.467,0.5539999999999999,0.484
109,0.467,0.5539999999999999,0.484
110,0.467,0.5589999999999999,0.484
111,0.467,0.5589999999999999,0.484
112,0.467,0.562,0.483
113,0.467,0.562,0.483
114,0.508,0.562,0.483
115,0.508,0.562,0.483
116,0.508,0.564,0.483
117,0.508,0.564,0.483
118,0.5479999999999999,0.565,0.483
