,time,2dmu,2dmv
0,0.0,0.51,0.445
1,0.0,0.51,0.445
2,0.0,0.51,0.445
3,0.0,0.51,0.445
4,0.0,0.51,0.445
5,0.0,0.51,0.445
6,0.0,0.51,0.445
7,0.0,0.51,0.445
8,0.0,0.51,0.445
9,0.0,0.51,0.445
10,0.0,0.51,0.445
11,0.0,0.51,0.445
12,0.0,0.51,0.445
13,0.0,0.51,0.445
14,0.0,0.51,0.445
15,0.0,0.51,0.445
16,0.0,0.51,0.445
17,0.0,0.51,0.445
18,0.0,0.51,0.445
19,0.0,0.51,0.445
20,0.0,0.51,0.444
21,0.0,0.51,0.444
22,0.0,0.51,0.444
23,0.0,0.51,0.444
24,0.0,0.51,0.444
25,0.0,0.51,0.444
26,0.0,0.51,0.444
27,0.0,0.51,0.444
28,0.0,0.51,0.444
29,0.0,0.51,0.444
30,0.0,0.51,0.444
31,0.0,0.51,0.444
32,0.0,0.51,0.444
33,0.0,0.51,0.444
34,0.0,0.51,0.444
35,0.0,0.51,0.444
36,0.0,0.51,0.444
37,0.0,0.51,0.444
38,0.0,0.51,0.444
39,0.0,0.51,0.444
40,0.0,0.51,0.444
41,0.0,0.51,0.444
42,0.0,0.51,0.444
43,0.0,0.51,0.444
44,0.0,0.51,0.444
45,0.0,0.51,0.444
46,0.0,0.51,0.444
47,0.0,0.51,0.444
48,0.0,0.51,0.444
49,0.0,0.51,0.444
50,0.0,0.509,0.444
51,0.0,0.509,0.444
52,0.0,0.509,0.444
53,0.0,0.509,0.444
54,0.0,0.509,0.444
55,0.0,0.509,0.444
56,0.0,0.509,0.444
57,0.0,0.509,0.444
58,0.0,0.509,0.444
59,0.0,0.509,0.444
60,0.0,0.509,0.444
61,0.0,0.509,0.444
62,0.018000000000000002,0.509,0.444
63,0.018000000000000002,0.509,0.444
64,0.018000000000000002,0.509,0.444
65,0.018000000000000002,0.509,0.444
66,0.059,0.509,0.444
67,0.059,0.509,0.444
68,0.059,0.509,0.444
69,0.059,0.509,0.444
70,0.059,0.509,0.444
71,0.059,0.509,0.444
72,0.099,0.509,0.444
73,0.099,0.509,0.444
74,0.099,0.509,0.444
75,0.099,0.509,0.444
76,0.14,0.509,0.444
77,0.14,0.509,0.444
78,0.14,0.509,0.444
79,0.14,0.509,0.444
80,0.14,0.509,0.444
81,0.14,0.509,0.444
82,0.18,0.509,0.444
83,0.18,0.509,0.444
84,0.18,0.509,0.444
85,0.18,0.509,0.444
86,0.221,0.509,0.444
87,0.221,0.509,0.444
88,0.221,0.509,0.444
89,0.221,0.509,0.444
90,0.261,0.509,0.444
91,0.261,0.509,0.444
92,0.261,0.509,0.444
93,0.261,0.509,0.444
94,0.261,0.509,0.444
95,0.261,0.509,0.444
96,0.302,0.509,0.444
97,0.302,0.509,0.444
98,0.302,0.509,0.444
99,0.302,0.509,0.444
100,0.342,0.509,0.444
101,0.342,0.509,0.444
102,0.342,0.509,0.444
103,0.342,0.509,0.444
104,0.342,0.509,0.444
105,0.342,0.509,0.444
106,0.383,0.509,0.444
107,0.383,0.509,0.444
108,0.383,0.509,0.444
109,0.383,0.509,0.444
110,0.423,0.509,0.444
111,0.423,0.509,0.444
112,0.423,0.509,0.444
113,0.423,0.509,0.444
114,0.423,0.509,0.444
115,0.423,0.509,0.444
116,0.464,0.509,0.444
117,0.464,0.509,0.444
118,0.464,0.509,0.444
119,0.464,0.509,0.444
120,0.504,0.509,0.444
121,0.504,0.509,0.444
122,0.504,0.509,0.444
123,0.504,0.509,0.444
124,0.546,0.509,0.443
125,0.546,0.509,0.443
126,0.546,0.509,0.443
127,0.546,0.509,0.443
128,0.546,0.509,0.443
129,0.546,0.509,0.443
130,0.5870000000000001,0.509,0.443
131,0.5870000000000001,0.509,0.443
132,0.5870000000000001,0.509,0.443
133,0.5870000000000001,0.509,0.443
134,0.628,0.509,0.443
135,0.628,0.509,0.443
136,0.628,0.509,0.443
137,0.628,0.509,0.443
138,0.628,0.509,0.443
139,0.628,0.509,0.443
140,0.669,0.509,0.443
141,0.669,0.509,0.443
142,0.669,0.509,0.443
143,0.669,0.509,0.443
144,0.7090000000000001,0.509,0.443
145,0.7090000000000001,0.509,0.443
146,0.7090000000000001,0.51,0.443
147,0.7090000000000001,0.51,0.443
148,0.7090000000000001,0.51,0.443
149,0.7090000000000001,0.51,0.443
150,0.7490000000000001,0.51,0.443
