,time,2dmu,2dmv
0,0.0,0.502,0.514
1,0.0,0.502,0.514
2,0.0,0.502,0.514
3,0.0,0.502,0.514
4,0.0,0.502,0.514
5,0.0,0.502,0.514
6,0.0,0.502,0.515
7,0.0,0.502,0.515
8,0.0,0.502,0.515
9,0.0,0.502,0.515
10,0.0,0.502,0.515
11,0.0,0.502,0.515
12,0.0,0.502,0.515
13,0.0,0.502,0.515
14,0.0,0.502,0.515
15,0.0,0.502,0.515
16,0.0,0.502,0.515
17,0.0,0.502,0.515
18,0.0,0.502,0.515
19,0.0,0.502,0.515
20,0.0,0.502,0.516
21,0.0,0.502,0.516
22,0.0,0.502,0.516
23,0.0,0.502,0.516
24,0.0,0.502,0.517
25,0.0,0.502,0.517
26,0.0,0.501,0.519
27,0.0,0.501,0.519
28,0.0,0.501,0.52
29,0.0,0.501,0.52
30,0.0,0.501,0.522
31,0.0,0.501,0.525
32,0.0,0.501,0.522
33,0.0,0.501,0.525
34,0.0,0.501,0.525
35,0.0,0.501,0.525
36,0.0,0.5,0.528
37,0.0,0.5,0.528
38,0.0,0.5,0.528
39,0.0,0.5,0.528
40,0.0,0.496,0.57
41,0.0,0.496,0.57
42,0.0,0.496,0.57
43,0.0,0.496,0.57
44,0.0,0.495,0.5920000000000001
45,0.0,0.495,0.5920000000000001
46,0.0,0.495,0.5920000000000001
47,0.0,0.495,0.5920000000000001
48,0.0,0.495,0.607
49,0.0,0.495,0.607
50,0.0,0.495,0.607
51,0.0,0.495,0.607
52,0.0,0.495,0.614
53,0.0,0.495,0.614
54,0.0,0.495,0.614
55,0.0,0.495,0.614
56,0.0,0.495,0.617
57,0.0,0.495,0.617
58,0.0,0.495,0.617
59,0.0,0.495,0.617
60,0.018000000000000002,0.495,0.615
61,0.018000000000000002,0.495,0.615
62,0.018000000000000002,0.496,0.615
63,0.018000000000000002,0.496,0.615
64,0.018000000000000002,0.496,0.615
65,0.018000000000000002,0.496,0.615
66,0.059,0.496,0.615
67,0.059,0.496,0.615
68,0.059,0.496,0.616
69,0.059,0.496,0.616
70,0.1,0.496,0.616
71,0.1,0.496,0.616
72,0.1,0.496,0.617
73,0.1,0.496,0.617
74,0.1,0.4970000000000001,0.617
75,0.1,0.4970000000000001,0.617
76,0.14,0.4970000000000001,0.617
77,0.14,0.4970000000000001,0.617
78,0.14,0.4970000000000001,0.618
79,0.14,0.4970000000000001,0.618
80,0.18,0.4970000000000001,0.618
81,0.18,0.4970000000000001,0.618
82,0.18,0.498,0.619
83,0.18,0.498,0.619
84,0.22,0.498,0.619
85,0.22,0.498,0.619
86,0.22,0.498,0.62
87,0.22,0.498,0.62
88,0.22,0.499,0.62
89,0.22,0.499,0.62
90,0.261,0.499,0.62
91,0.261,0.499,0.62
92,0.261,0.499,0.619
93,0.261,0.499,0.619
94,0.302,0.499,0.616
95,0.302,0.499,0.616
96,0.302,0.499,0.615
97,0.302,0.499,0.615
98,0.302,0.499,0.615
99,0.302,0.499,0.615
100,0.343,0.499,0.609
101,0.343,0.499,0.609
102,0.343,0.499,0.606
103,0.343,0.499,0.606
104,0.383,0.499,0.603
105,0.383,0.499,0.603
106,0.383,0.499,0.599
107,0.383,0.499,0.599
108,0.383,0.499,0.599
109,0.383,0.499,0.599
110,0.424,0.499,0.595
111,0.424,0.499,0.595
112,0.424,0.498,0.589
113,0.424,0.498,0.589
114,0.464,0.498,0.584
115,0.464,0.498,0.584
116,0.464,0.498,0.58
117,0.464,0.498,0.58
118,0.464,0.498,0.5760000000000001
119,0.464,0.498,0.5760000000000001
120,0.504,0.498,0.5760000000000001
121,0.504,0.498,0.5760000000000001
122,0.504,0.498,0.5720000000000001
123,0.504,0.498,0.5720000000000001
124,0.545,0.498,0.568
125,0.545,0.498,0.568
126,0.545,0.498,0.564
127,0.545,0.498,0.564
128,0.585,0.498,0.564
129,0.585,0.498,0.564
130,0.585,0.498,0.561
131,0.585,0.498,0.561
132,0.585,0.499,0.5579999999999999
133,0.585,0.499,0.5579999999999999
134,0.626,0.499,0.555
135,0.626,0.499,0.555
136,0.626,0.5,0.557
137,0.626,0.5,0.557
138,0.6659999999999999,0.5,0.557
139,0.6659999999999999,0.5,0.557
140,0.6659999999999999,0.5,0.5539999999999999
141,0.6659999999999999,0.5,0.5539999999999999
142,0.6659999999999999,0.502,0.552
