,time,2dmu,2dmv
0,0.0,0.502,0.454
1,0.0,0.502,0.454
2,0.0,0.502,0.454
3,0.0,0.502,0.454
4,0.0,0.502,0.454
5,0.0,0.502,0.454
6,0.0,0.502,0.454
7,0.0,0.502,0.454
8,0.0,0.502,0.453
9,0.0,0.502,0.453
10,0.0,0.502,0.453
11,0.0,0.502,0.453
12,0.0,0.502,0.453
13,0.0,0.502,0.453
14,0.0,0.502,0.453
15,0.0,0.502,0.453
16,0.0,0.502,0.453
17,0.0,0.502,0.453
18,0.0,0.502,0.453
19,0.0,0.502,0.453
20,0.0,0.502,0.453
21,0.0,0.502,0.453
22,0.0,0.502,0.453
23,0.0,0.502,0.453
24,0.0,0.502,0.453
25,0.0,0.502,0.453
26,0.0,0.502,0.453
27,0.0,0.502,0.453
28,0.0,0.502,0.453
29,0.0,0.502,0.453
30,0.0,0.502,0.453
31,0.0,0.502,0.453
32,0.0,0.502,0.453
33,0.0,0.502,0.453
34,0.0,0.502,0.453
35,0.0,0.502,0.453
36,0.0,0.502,0.453
37,0.0,0.502,0.453
38,0.0,0.502,0.452
39,0.0,0.502,0.452
40,0.0,0.502,0.452
41,0.0,0.502,0.452
42,0.0,0.502,0.452
43,0.0,0.502,0.452
44,0.0,0.502,0.452
45,0.0,0.502,0.452
46,0.0,0.502,0.452
47,0.0,0.502,0.452
48,0.0,0.502,0.452
49,0.0,0.502,0.452
50,0.0,0.502,0.452
51,0.0,0.502,0.452
52,0.0,0.502,0.452
53,0.0,0.502,0.452
54,0.0,0.502,0.452
55,0.0,0.502,0.452
56,0.0,0.502,0.452
57,0.0,0.502,0.452
58,0.0,0.502,0.452
59,0.0,0.502,0.452
60,0.0,0.502,0.452
61,0.0,0.502,0.452
62,0.0,0.502,0.452
63,0.0,0.502,0.452
64,0.0,0.502,0.452
65,0.0,0.502,0.452
66,0.0,0.502,0.452
67,0.0,0.502,0.452
68,0.0,0.502,0.452
69,0.0,0.502,0.452
70,0.017,0.502,0.452
71,0.017,0.502,0.452
72,0.017,0.502,0.452
73,0.017,0.502,0.452
74,0.057,0.502,0.452
75,0.057,0.502,0.452
76,0.057,0.502,0.452
77,0.057,0.502,0.452
78,0.057,0.502,0.452
79,0.057,0.502,0.452
80,0.097,0.502,0.452
81,0.097,0.502,0.452
82,0.097,0.502,0.451
83,0.097,0.502,0.451
84,0.13699999999999998,0.502,0.451
85,0.13699999999999998,0.502,0.451
86,0.13699999999999998,0.502,0.451
87,0.13699999999999998,0.502,0.451
88,0.13699999999999998,0.502,0.451
89,0.13699999999999998,0.502,0.451
90,0.17800000000000002,0.502,0.451
91,0.17800000000000002,0.502,0.451
92,0.17800000000000002,0.502,0.451
93,0.17800000000000002,0.502,0.451
94,0.219,0.502,0.451
95,0.219,0.502,0.451
96,0.219,0.502,0.451
97,0.219,0.502,0.451
98,0.219,0.502,0.451
99,0.219,0.502,0.451
100,0.261,0.502,0.451
101,0.261,0.502,0.451
102,0.261,0.502,0.451
103,0.261,0.502,0.451
104,0.301,0.502,0.451
105,0.301,0.502,0.451
106,0.301,0.502,0.451
107,0.301,0.502,0.451
108,0.301,0.502,0.451
109,0.301,0.502,0.451
110,0.342,0.502,0.451
111,0.342,0.502,0.451
112,0.342,0.502,0.451
113,0.342,0.502,0.451
114,0.383,0.502,0.451
115,0.383,0.502,0.451
116,0.383,0.502,0.451
117,0.383,0.502,0.451
118,0.424,0.502,0.451
119,0.424,0.502,0.451
120,0.424,0.502,0.451
121,0.424,0.502,0.451
122,0.424,0.502,0.451
123,0.424,0.502,0.451
124,0.465,0.502,0.45
125,0.465,0.502,0.45
126,0.465,0.502,0.451
127,0.465,0.502,0.451
128,0.505,0.502,0.451
129,0.505,0.502,0.451
130,0.505,0.502,0.45
131,0.505,0.502,0.45
132,0.505,0.502,0.45
133,0.505,0.502,0.45
134,0.546,0.502,0.45
135,0.546,0.502,0.45
136,0.546,0.502,0.45
137,0.546,0.502,0.45
138,0.5870000000000001,0.502,0.45
139,0.5870000000000001,0.502,0.45
140,0.5870000000000001,0.502,0.45
141,0.5870000000000001,0.502,0.45
142,0.5870000000000001,0.502,0.45
143,0.5870000000000001,0.502,0.45
144,0.628,0.502,0.45
145,0.628,0.502,0.45
146,0.628,0.502,0.45
147,0.628,0.502,0.45
148,0.6679999999999999,0.502,0.45
149,0.6679999999999999,0.502,0.45
150,0.6679999999999999,0.502,0.45
151,0.6679999999999999,0.502,0.45
152,0.708,0.502,0.45
153,0.708,0.502,0.45
154,0.708,0.502,0.45
155,0.708,0.502,0.45
156,0.708,0.502,0.45
157,0.708,0.502,0.45
158,0.748,0.502,0.45
159,0.748,0.502,0.45
160,0.748,0.502,0.45
161,0.748,0.502,0.45
162,0.79,0.502,0.45
163,0.79,0.502,0.45
164,0.79,0.502,0.45
165,0.79,0.502,0.45
166,0.79,0.502,0.45
167,0.79,0.502,0.45
168,0.83,0.502,0.45
169,0.83,0.502,0.45
170,0.83,0.502,0.45
171,0.83,0.502,0.45
172,0.871,0.502,0.45
173,0.871,0.502,0.45
174,0.871,0.502,0.45
175,0.871,0.502,0.45
176,0.871,0.502,0.45
177,0.871,0.502,0.45
178,0.911,0.501,0.45
179,0.911,0.501,0.45
180,0.911,0.501,0.45
181,0.911,0.501,0.45
182,0.951,0.501,0.45
183,0.951,0.501,0.45
184,0.951,0.501,0.45
185,0.951,0.501,0.45
186,0.991,0.501,0.45
187,0.991,0.501,0.45
188,0.991,0.501,0.45
189,0.991,0.501,0.45
190,0.991,0.501,0.45
191,0.991,0.501,0.45
192,1.032,0.501,0.45
193,1.032,0.501,0.45
194,1.032,0.501,0.45
195,1.032,0.501,0.45
196,1.072,0.501,0.45
197,1.072,0.501,0.45
198,1.072,0.501,0.45
199,1.072,0.501,0.45
200,1.072,0.501,0.45
201,1.072,0.501,0.45
202,1.112,0.501,0.45
203,1.112,0.501,0.45
204,1.112,0.501,0.45
205,1.112,0.501,0.45
206,1.153,0.501,0.45
207,1.153,0.501,0.45
208,1.153,0.501,0.45
209,1.153,0.501,0.45
210,1.153,0.501,0.45
211,1.153,0.501,0.45
212,1.192,0.501,0.45
213,1.192,0.501,0.45
214,1.192,0.501,0.45
215,1.192,0.501,0.45
216,1.233,0.501,0.45
217,1.233,0.501,0.45
218,1.233,0.501,0.45
219,1.233,0.501,0.45
220,1.274,0.501,0.45
221,1.274,0.501,0.45
222,1.274,0.501,0.45
223,1.274,0.501,0.45
224,1.274,0.501,0.45
225,1.274,0.501,0.45
226,1.314,0.5,0.45
227,1.314,0.5,0.45
228,1.314,0.5,0.45
229,1.314,0.5,0.45
230,1.354,0.5,0.45
231,1.354,0.5,0.45
232,1.354,0.5,0.45
233,1.354,0.5,0.45
234,1.354,0.5,0.45
235,1.354,0.5,0.45
236,1.394,0.5,0.45
237,1.394,0.5,0.45
238,1.394,0.5,0.45
239,1.394,0.5,0.45
240,1.4340000000000002,0.5,0.45
241,1.4340000000000002,0.5,0.45
242,1.4340000000000002,0.5,0.45
243,1.4340000000000002,0.5,0.45
244,1.4340000000000002,0.5,0.45
245,1.4340000000000002,0.5,0.45
246,1.476,0.5,0.45
247,1.476,0.5,0.45
248,1.476,0.5,0.45
249,1.476,0.5,0.45
250,1.516,0.5,0.45
251,1.516,0.5,0.45
252,1.516,0.5,0.45
253,1.516,0.5,0.45
254,1.557,0.5,0.45
255,1.557,0.5,0.45
256,1.557,0.5,0.45
257,1.557,0.5,0.45
258,1.557,0.5,0.45
259,1.557,0.5,0.45
260,1.598,0.5,0.45
261,1.598,0.5,0.45
262,1.598,0.5,0.45
263,1.598,0.5,0.45
264,1.639,0.5,0.45
265,1.639,0.5,0.45
266,1.639,0.5,0.45
267,1.639,0.5,0.45
268,1.639,0.5,0.45
269,1.639,0.5,0.45
270,1.679,0.5,0.45
271,1.679,0.5,0.45
272,1.679,0.5,0.45
273,1.679,0.5,0.45
274,1.719,0.5,0.45
275,1.719,0.5,0.45
276,1.719,0.5,0.45
277,1.719,0.5,0.45
278,1.719,0.5,0.449
279,1.719,0.5,0.449
280,1.76,0.5,0.449
281,1.76,0.5,0.449
282,1.76,0.5,0.449
283,1.76,0.5,0.449
284,1.801,0.5,0.449
285,1.801,0.5,0.449
286,1.801,0.5,0.449
287,1.801,0.5,0.449
288,1.841,0.5,0.449
289,1.841,0.5,0.449
290,1.841,0.5,0.449
291,1.841,0.5,0.449
292,1.841,0.5,0.449
293,1.841,0.5,0.449
294,1.881,0.5,0.449
295,1.881,0.5,0.449
296,1.881,0.5,0.449
297,1.881,0.5,0.449
298,1.921,0.5,0.449
299,1.921,0.5,0.449
300,1.921,0.5,0.449
301,1.921,0.5,0.449
302,1.921,0.5,0.449
303,1.921,0.5,0.449
304,1.961,0.5,0.449
305,1.961,0.5,0.449
306,1.961,0.5,0.449
307,1.961,0.5,0.449
308,2.001,0.5,0.449
309,2.001,0.5,0.449
310,2.001,0.5,0.449
311,2.001,0.5,0.449
312,2.041,0.5,0.449
313,2.041,0.5,0.449
314,2.041,0.5,0.449
315,2.041,0.5,0.449
316,2.041,0.5,0.449
317,2.041,0.5,0.449
318,2.081,0.5,0.449
319,2.081,0.5,0.449
320,2.081,0.5,0.449
321,2.081,0.5,0.449
322,2.121,0.5,0.449
323,2.121,0.5,0.449
324,2.121,0.5,0.449
325,2.121,0.5,0.449
326,2.121,0.5,0.449
327,2.121,0.5,0.449
328,2.162,0.5,0.449
329,2.162,0.5,0.449
330,2.162,0.5,0.449
331,2.162,0.5,0.449
332,2.202,0.5,0.449
333,2.202,0.5,0.449
334,2.202,0.5,0.449
335,2.202,0.5,0.449
336,2.202,0.5,0.449
337,2.202,0.5,0.449
338,2.2430000000000003,0.5,0.449
339,2.2430000000000003,0.5,0.449
340,2.2430000000000003,0.5,0.449
341,2.2430000000000003,0.5,0.449
342,2.2840000000000003,0.5,0.449
343,2.2840000000000003,0.5,0.449
344,2.2840000000000003,0.5,0.449
345,2.2840000000000003,0.5,0.449
346,2.2840000000000003,0.5,0.449
347,2.2840000000000003,0.5,0.449
348,2.325,0.5,0.449
349,2.325,0.5,0.449
350,2.325,0.5,0.449
351,2.325,0.5,0.449
352,2.366,0.5,0.449
353,2.366,0.5,0.449
354,2.366,0.5,0.449
355,2.366,0.5,0.449
356,2.408,0.5,0.449
357,2.408,0.5,0.449
358,2.408,0.5,0.449
359,2.408,0.5,0.449
360,2.408,0.5,0.449
361,2.408,0.5,0.449
362,2.448,0.5,0.449
363,2.448,0.5,0.449
364,2.448,0.5,0.449
365,2.448,0.5,0.449
366,2.489,0.5,0.449
367,2.489,0.5,0.449
368,2.489,0.5,0.449
369,2.489,0.5,0.449
370,2.489,0.5,0.449
371,2.489,0.5,0.449
372,2.529,0.5,0.449
373,2.529,0.5,0.449
374,2.529,0.5,0.449
375,2.529,0.5,0.449
376,2.57,0.5,0.449
377,2.57,0.5,0.449
378,2.57,0.5,0.449
379,2.57,0.5,0.449
380,2.57,0.499,0.449
381,2.57,0.499,0.449
382,2.612,0.499,0.449
383,2.612,0.499,0.449
384,2.612,0.499,0.449
385,2.612,0.499,0.449
386,2.652,0.499,0.449
387,2.652,0.499,0.449
388,2.652,0.498,0.449
389,2.652,0.498,0.449
390,2.652,0.4970000000000001,0.45
391,2.652,0.4970000000000001,0.45
392,2.693,0.495,0.45
393,2.693,0.495,0.45
394,2.693,0.495,0.45
395,2.693,0.495,0.45
396,2.734,0.493,0.451
397,2.734,0.493,0.451
398,2.734,0.49,0.452
399,2.734,0.49,0.452
400,2.774,0.487,0.453
401,2.774,0.487,0.453
402,2.774,0.483,0.454
403,2.774,0.483,0.454
404,2.774,0.483,0.454
405,2.774,0.483,0.454
406,2.814,0.477,0.456
407,2.814,0.477,0.456
408,2.814,0.471,0.457
409,2.814,0.471,0.457
410,2.855,0.464,0.459
411,2.855,0.464,0.459
412,2.855,0.464,0.459
413,2.855,0.464,0.459
414,2.855,0.457,0.46
415,2.855,0.457,0.46
416,2.895,0.449,0.463
417,2.895,0.449,0.463
418,2.895,0.442,0.465
419,2.895,0.442,0.465
420,2.935,0.441,0.464
421,2.935,0.441,0.464
422,2.935,0.441,0.464
423,2.935,0.441,0.464
424,2.935,0.433,0.465
425,2.935,0.433,0.465
426,2.9760000000000004,0.425,0.466
427,2.9760000000000004,0.425,0.466
428,2.9760000000000004,0.417,0.467
429,2.9760000000000004,0.417,0.467
430,3.017,0.409,0.467
431,3.017,0.409,0.467
432,3.017,0.409,0.467
433,3.017,0.409,0.467
434,3.057,0.401,0.468
435,3.057,0.401,0.468
436,3.057,0.393,0.468
437,3.057,0.393,0.468
438,3.057,0.386,0.468
439,3.057,0.386,0.468
440,3.0980000000000003,0.38,0.468
441,3.0980000000000003,0.38,0.468
442,3.0980000000000003,0.38,0.468
