,time,2dmu,2dmv
0,0.0,0.495,0.509
1,0.0,0.495,0.509
2,0.0,0.495,0.509
3,0.0,0.495,0.509
4,0.0,0.495,0.509
5,0.0,0.495,0.509
6,0.0,0.495,0.509
7,0.0,0.495,0.509
8,0.0,0.494,0.508
9,0.0,0.494,0.508
10,0.0,0.494,0.507
11,0.0,0.494,0.507
12,0.0,0.494,0.506
13,0.0,0.494,0.506
14,0.0,0.494,0.506
15,0.0,0.494,0.506
16,0.0,0.495,0.505
17,0.0,0.495,0.505
18,0.0,0.495,0.505
19,0.0,0.495,0.505
20,0.0,0.495,0.504
21,0.0,0.495,0.504
22,0.0,0.495,0.504
23,0.0,0.495,0.504
24,0.0,0.495,0.504
25,0.0,0.495,0.504
26,0.0,0.495,0.504
27,0.0,0.495,0.504
28,0.0,0.495,0.502
29,0.0,0.495,0.502
30,0.0,0.495,0.502
31,0.0,0.495,0.502
32,0.0,0.496,0.502
33,0.0,0.496,0.502
34,0.0,0.496,0.502
35,0.0,0.496,0.502
36,0.0,0.496,0.501
37,0.0,0.496,0.501
38,0.0,0.496,0.501
39,0.0,0.496,0.501
40,0.0,0.496,0.501
41,0.0,0.496,0.501
42,0.0,0.496,0.501
43,0.0,0.496,0.501
44,0.0,0.4970000000000001,0.5
45,0.0,0.4970000000000001,0.5
46,0.0,0.4970000000000001,0.5
47,0.0,0.4970000000000001,0.5
48,0.021,0.4970000000000001,0.5
49,0.021,0.4970000000000001,0.5
50,0.062,0.4970000000000001,0.5
51,0.062,0.4970000000000001,0.5
52,0.062,0.4970000000000001,0.5
53,0.062,0.4970000000000001,0.5
54,0.062,0.4970000000000001,0.5
55,0.062,0.4970000000000001,0.5
56,0.102,0.4970000000000001,0.5
57,0.102,0.4970000000000001,0.5
58,0.102,0.4970000000000001,0.5
59,0.102,0.4970000000000001,0.5
60,0.142,0.4970000000000001,0.5
61,0.142,0.4970000000000001,0.5
62,0.142,0.4970000000000001,0.499
63,0.142,0.4970000000000001,0.499
64,0.142,0.4970000000000001,0.5
65,0.142,0.4970000000000001,0.5
66,0.181,0.4970000000000001,0.499
67,0.181,0.4970000000000001,0.499
68,0.181,0.4970000000000001,0.499
69,0.181,0.4970000000000001,0.499
70,0.222,0.4970000000000001,0.499
71,0.222,0.4970000000000001,0.499
72,0.222,0.4970000000000001,0.499
73,0.222,0.4970000000000001,0.499
74,0.262,0.498,0.499
75,0.262,0.498,0.499
76,0.262,0.498,0.499
77,0.262,0.498,0.499
78,0.262,0.4970000000000001,0.499
79,0.262,0.4970000000000001,0.499
80,0.302,0.4970000000000001,0.499
81,0.302,0.4970000000000001,0.499
82,0.302,0.4970000000000001,0.499
83,0.302,0.4970000000000001,0.499
84,0.342,0.4970000000000001,0.499
85,0.342,0.4970000000000001,0.499
86,0.342,0.4970000000000001,0.499
87,0.342,0.4970000000000001,0.499
88,0.342,0.4970000000000001,0.499
89,0.342,0.4970000000000001,0.499
90,0.384,0.4970000000000001,0.499
91,0.384,0.4970000000000001,0.499
92,0.384,0.4970000000000001,0.499
93,0.384,0.4970000000000001,0.499
94,0.424,0.4970000000000001,0.498
95,0.424,0.4970000000000001,0.498
96,0.424,0.4970000000000001,0.499
97,0.424,0.4970000000000001,0.499
98,0.424,0.4970000000000001,0.499
99,0.424,0.4970000000000001,0.499
100,0.465,0.4970000000000001,0.498
101,0.465,0.4970000000000001,0.498
102,0.465,0.498,0.498
103,0.465,0.498,0.498
104,0.505,0.498,0.498
105,0.505,0.498,0.498
106,0.505,0.498,0.498
107,0.505,0.498,0.498
108,0.546,0.498,0.498
109,0.546,0.498,0.498
110,0.546,0.498,0.498
111,0.546,0.498,0.498
112,0.546,0.498,0.498
113,0.546,0.498,0.498
114,0.586,0.498,0.498
115,0.586,0.498,0.498
116,0.586,0.498,0.498
117,0.586,0.498,0.498
118,0.625,0.498,0.498
119,0.625,0.498,0.498
120,0.625,0.498,0.498
121,0.625,0.498,0.498
122,0.625,0.498,0.498
123,0.625,0.498,0.498
124,0.665,0.498,0.498
125,0.665,0.498,0.498
126,0.665,0.498,0.498
127,0.665,0.498,0.498
128,0.705,0.498,0.498
129,0.705,0.498,0.498
130,0.705,0.498,0.498
131,0.705,0.498,0.498
132,0.745,0.498,0.498
133,0.745,0.498,0.498
134,0.745,0.498,0.499
135,0.745,0.498,0.499
136,0.745,0.498,0.499
137,0.745,0.498,0.499
138,0.7859999999999999,0.498,0.499
139,0.7859999999999999,0.498,0.499
140,0.7859999999999999,0.498,0.499
141,0.7859999999999999,0.498,0.499
142,0.826,0.498,0.499
143,0.826,0.498,0.499
144,0.826,0.498,0.499
145,0.826,0.498,0.499
146,0.826,0.499,0.499
147,0.826,0.499,0.499
148,0.866,0.499,0.499
149,0.866,0.499,0.499
150,0.866,0.499,0.499
151,0.866,0.499,0.499
152,0.906,0.499,0.499
153,0.906,0.499,0.499
154,0.906,0.499,0.499
155,0.906,0.499,0.499
156,0.906,0.499,0.499
157,0.906,0.499,0.499
158,0.947,0.499,0.499
159,0.947,0.499,0.499
160,0.947,0.499,0.499
161,0.947,0.499,0.499
162,0.988,0.499,0.499
163,0.988,0.499,0.499
164,0.988,0.499,0.499
165,0.988,0.499,0.499
166,1.029,0.499,0.499
167,1.029,0.499,0.499
168,1.029,0.499,0.499
169,1.029,0.499,0.499
170,1.07,0.499,0.5
171,1.07,0.499,0.5
172,1.07,0.499,0.5
173,1.07,0.499,0.5
174,1.109,0.499,0.5
175,1.109,0.499,0.5
176,1.109,0.499,0.5
177,1.109,0.499,0.5
178,1.109,0.499,0.5
179,1.109,0.499,0.5
180,1.15,0.499,0.5
181,1.15,0.499,0.5
182,1.1909999999999998,0.499,0.5
183,1.1909999999999998,0.499,0.5
184,1.1909999999999998,0.499,0.5
185,1.1909999999999998,0.499,0.5
186,1.1909999999999998,0.499,0.5
187,1.1909999999999998,0.499,0.5
188,1.231,0.499,0.5
189,1.231,0.499,0.5
190,1.231,0.499,0.5
191,1.231,0.499,0.5
192,1.272,0.499,0.5
193,1.272,0.499,0.5
194,1.272,0.499,0.5
195,1.272,0.499,0.5
196,1.3119999999999998,0.499,0.5
197,1.3119999999999998,0.499,0.5
198,1.3119999999999998,0.499,0.5
199,1.3119999999999998,0.499,0.5
200,1.3119999999999998,0.499,0.5
201,1.3119999999999998,0.499,0.5
202,1.3530000000000002,0.499,0.499
203,1.3530000000000002,0.499,0.499
204,1.394,0.499,0.499
205,1.394,0.499,0.499
206,1.394,0.499,0.499
207,1.394,0.499,0.499
208,1.394,0.499,0.498
209,1.394,0.499,0.498
210,1.435,0.499,0.498
211,1.435,0.499,0.498
212,1.435,0.499,0.498
213,1.435,0.499,0.498
214,1.474,0.499,0.4970000000000001
215,1.474,0.499,0.4970000000000001
216,1.474,0.499,0.496
217,1.474,0.499,0.496
218,1.474,0.499,0.495
219,1.474,0.499,0.495
220,1.514,0.499,0.494
221,1.514,0.499,0.494
222,1.514,0.499,0.494
223,1.514,0.499,0.494
224,1.554,0.499,0.493
225,1.554,0.499,0.493
226,1.554,0.499,0.4920000000000001
227,1.554,0.499,0.4920000000000001
228,1.594,0.499,0.491
229,1.594,0.499,0.491
230,1.594,0.498,0.49
231,1.594,0.498,0.49
232,1.594,0.498,0.489
233,1.594,0.498,0.489
234,1.634,0.498,0.489
235,1.634,0.498,0.489
236,1.634,0.498,0.486
237,1.634,0.498,0.486
238,1.6740000000000002,0.498,0.484
239,1.6740000000000002,0.498,0.484
240,1.6740000000000002,0.498,0.481
241,1.6740000000000002,0.498,0.481
242,1.6740000000000002,0.498,0.481
243,1.6740000000000002,0.498,0.481
244,1.714,0.498,0.479
245,1.714,0.498,0.479
246,1.714,0.498,0.478
247,1.714,0.498,0.478
248,1.755,0.498,0.477
249,1.755,0.498,0.477
250,1.755,0.499,0.476
251,1.755,0.499,0.476
252,1.755,0.499,0.474
253,1.755,0.499,0.474
254,1.797,0.499,0.474
255,1.797,0.499,0.474
256,1.797,0.499,0.473
257,1.797,0.499,0.473
258,1.837,0.499,0.471
259,1.837,0.499,0.471
260,1.837,0.5,0.47
261,1.837,0.5,0.47
262,1.879,0.5,0.468
263,1.879,0.5,0.468
264,1.879,0.5,0.466
265,1.879,0.5,0.466
266,1.879,0.5,0.466
267,1.879,0.5,0.466
268,1.92,0.501,0.464
269,1.92,0.501,0.464
270,1.92,0.501,0.463
271,1.92,0.501,0.463
272,1.961,0.501,0.462
273,1.961,0.501,0.462
274,1.961,0.501,0.462
275,1.961,0.501,0.462
276,1.961,0.501,0.462
277,1.961,0.501,0.462
278,2.001,0.502,0.462
279,2.001,0.502,0.462
280,2.001,0.502,0.461
281,2.001,0.502,0.461
282,2.042,0.502,0.461
283,2.042,0.502,0.461
284,2.042,0.502,0.461
285,2.042,0.502,0.461
286,2.042,0.502,0.461
287,2.042,0.502,0.461
288,2.083,0.503,0.461
289,2.083,0.503,0.461
290,2.083,0.503,0.461
291,2.083,0.503,0.461
292,2.123,0.503,0.461
293,2.123,0.503,0.461
294,2.123,0.503,0.461
295,2.123,0.503,0.461
296,2.123,0.503,0.461
297,2.123,0.503,0.461
298,2.165,0.503,0.461
299,2.165,0.503,0.461
300,2.165,0.504,0.461
301,2.165,0.504,0.461
302,2.205,0.504,0.461
303,2.205,0.504,0.461
304,2.205,0.504,0.461
305,2.205,0.504,0.461
306,2.244,0.504,0.461
307,2.244,0.504,0.461
308,2.244,0.504,0.461
309,2.244,0.504,0.461
310,2.244,0.504,0.461
311,2.244,0.504,0.461
312,2.2840000000000003,0.505,0.461
313,2.2840000000000003,0.505,0.461
314,2.2840000000000003,0.505,0.462
315,2.2840000000000003,0.505,0.462
316,2.325,0.505,0.463
317,2.325,0.505,0.463
318,2.325,0.506,0.464
319,2.325,0.506,0.464
320,2.325,0.506,0.465
321,2.325,0.506,0.465
322,2.365,0.507,0.466
323,2.365,0.507,0.466
324,2.365,0.507,0.468
325,2.365,0.507,0.468
326,2.406,0.507,0.468
327,2.406,0.507,0.468
328,2.406,0.507,0.468
329,2.406,0.507,0.468
330,2.446,0.507,0.469
331,2.446,0.507,0.469
332,2.446,0.507,0.469
333,2.446,0.507,0.469
334,2.446,0.507,0.47
335,2.446,0.507,0.47
336,2.486,0.508,0.47
337,2.486,0.508,0.47
338,2.486,0.508,0.47
339,2.486,0.508,0.47
340,2.526,0.508,0.472
341,2.526,0.508,0.472
342,2.526,0.508,0.472
343,2.526,0.508,0.472
344,2.526,0.508,0.473
345,2.526,0.508,0.473
346,2.567,0.508,0.473
347,2.567,0.508,0.473
348,2.567,0.508,0.473
349,2.567,0.508,0.473
350,2.607,0.508,0.473
351,2.607,0.508,0.473
352,2.607,0.508,0.474
353,2.607,0.508,0.474
354,2.648,0.508,0.474
355,2.648,0.508,0.474
356,2.648,0.508,0.474
357,2.648,0.508,0.474
358,2.689,0.508,0.474
359,2.689,0.508,0.474
360,2.689,0.509,0.475
361,2.689,0.509,0.475
362,2.689,0.509,0.475
363,2.689,0.509,0.475
364,2.73,0.509,0.475
365,2.73,0.509,0.475
366,2.73,0.509,0.475
367,2.73,0.509,0.475
368,2.77,0.509,0.475
369,2.77,0.509,0.475
370,2.77,0.51,0.475
371,2.77,0.51,0.475
372,2.8110000000000004,0.51,0.475
373,2.8110000000000004,0.51,0.475
374,2.8110000000000004,0.51,0.475
375,2.8110000000000004,0.51,0.475
376,2.8110000000000004,0.51,0.475
377,2.8110000000000004,0.51,0.475
378,2.8510000000000004,0.511,0.475
379,2.8510000000000004,0.511,0.475
380,2.8510000000000004,0.511,0.475
381,2.8510000000000004,0.511,0.475
382,2.892,0.511,0.474
383,2.892,0.511,0.474
384,2.892,0.511,0.474
385,2.892,0.511,0.474
386,2.892,0.511,0.474
387,2.892,0.511,0.474
388,2.932,0.511,0.474
389,2.932,0.511,0.474
390,2.932,0.511,0.474
391,2.932,0.511,0.474
392,2.971,0.511,0.473
393,2.971,0.511,0.473
394,2.971,0.511,0.473
395,2.971,0.511,0.473
396,3.011,0.511,0.473
397,3.011,0.511,0.473
398,3.011,0.511,0.472
399,3.011,0.511,0.472
400,3.011,0.511,0.472
401,3.011,0.511,0.472
402,3.052,0.511,0.471
403,3.052,0.511,0.471
404,3.052,0.511,0.471
405,3.052,0.511,0.471
406,3.093,0.511,0.471
407,3.093,0.511,0.471
408,3.093,0.511,0.471
409,3.093,0.511,0.471
410,3.093,0.511,0.47
411,3.093,0.511,0.47
412,3.134,0.511,0.47
413,3.134,0.511,0.47
414,3.134,0.511,0.47
415,3.134,0.511,0.47
416,3.174,0.511,0.47
417,3.174,0.511,0.47
418,3.174,0.511,0.47
419,3.174,0.511,0.47
420,3.174,0.511,0.47
421,3.174,0.511,0.47
422,3.214,0.511,0.469
423,3.214,0.511,0.469
424,3.214,0.511,0.469
425,3.214,0.511,0.469
426,3.255,0.511,0.469
427,3.255,0.511,0.469
428,3.255,0.511,0.469
429,3.255,0.511,0.469
430,3.2960000000000003,0.511,0.469
431,3.2960000000000003,0.511,0.469
432,3.2960000000000003,0.511,0.469
433,3.2960000000000003,0.511,0.469
434,3.2960000000000003,0.511,0.469
435,3.2960000000000003,0.511,0.469
436,3.335,0.511,0.469
437,3.335,0.511,0.469
438,3.335,0.511,0.468
439,3.335,0.511,0.468
440,3.375,0.511,0.468
441,3.375,0.511,0.468
442,3.375,0.511,0.468
443,3.375,0.511,0.468
444,3.375,0.511,0.468
445,3.375,0.511,0.468
446,3.4160000000000004,0.511,0.468
447,3.4160000000000004,0.511,0.468
448,3.4160000000000004,0.511,0.467
449,3.4160000000000004,0.511,0.467
450,3.4560000000000004,0.511,0.467
451,3.4560000000000004,0.511,0.467
452,3.4560000000000004,0.511,0.466
453,3.4560000000000004,0.511,0.466
454,3.4960000000000004,0.511,0.466
455,3.4960000000000004,0.511,0.466
456,3.4960000000000004,0.511,0.466
457,3.4960000000000004,0.511,0.466
458,3.4960000000000004,0.511,0.466
459,3.4960000000000004,0.511,0.466
460,3.536,0.511,0.466
461,3.536,0.511,0.466
462,3.536,0.511,0.466
463,3.536,0.511,0.466
464,3.577,0.511,0.466
465,3.577,0.511,0.466
466,3.577,0.511,0.465
467,3.577,0.511,0.465
468,3.577,0.511,0.465
469,3.577,0.511,0.465
470,3.618,0.511,0.465
471,3.618,0.511,0.465
472,3.658,0.511,0.465
473,3.658,0.511,0.465
474,3.658,0.51,0.465
475,3.658,0.51,0.465
476,3.658,0.51,0.465
477,3.658,0.51,0.465
478,3.699,0.51,0.465
479,3.699,0.51,0.465
480,3.699,0.509,0.465
481,3.699,0.509,0.465
482,3.74,0.509,0.465
483,3.74,0.509,0.465
484,3.74,0.509,0.465
485,3.74,0.509,0.465
486,3.74,0.509,0.464
487,3.74,0.509,0.464
488,3.78,0.508,0.464
489,3.78,0.508,0.464
490,3.78,0.508,0.464
491,3.78,0.508,0.464
492,3.82,0.507,0.463
493,3.82,0.507,0.463
494,3.82,0.507,0.463
495,3.82,0.507,0.463
496,3.86,0.506,0.463
497,3.86,0.506,0.463
498,3.86,0.506,0.463
499,3.86,0.506,0.463
500,3.86,0.505,0.463
501,3.86,0.505,0.463
502,3.9,0.504,0.463
503,3.9,0.504,0.463
504,3.9,0.504,0.463
505,3.9,0.504,0.463
506,3.94,0.504,0.462
507,3.94,0.504,0.462
508,3.94,0.503,0.463
509,3.94,0.503,0.463
510,3.981,0.503,0.462
511,3.981,0.503,0.462
512,3.981,0.502,0.462
513,3.981,0.502,0.462
514,4.02,0.501,0.462
515,4.02,0.501,0.462
516,4.02,0.5,0.462
517,4.02,0.5,0.462
518,4.06,0.499,0.461
519,4.06,0.499,0.461
520,4.06,0.499,0.462
521,4.06,0.499,0.462
522,4.06,0.499,0.462
523,4.06,0.499,0.462
524,4.1,0.498,0.462
525,4.1,0.498,0.462
526,4.1,0.4970000000000001,0.462
527,4.1,0.4970000000000001,0.462
528,4.14,0.496,0.462
529,4.14,0.496,0.462
530,4.14,0.495,0.462
531,4.14,0.495,0.462
532,4.14,0.495,0.462
533,4.14,0.495,0.462
534,4.182,0.493,0.462
535,4.182,0.493,0.462
536,4.182,0.4920000000000001,0.463
537,4.182,0.4920000000000001,0.463
538,4.222,0.491,0.463
539,4.222,0.491,0.463
540,4.262,0.49,0.463
541,4.262,0.49,0.463
542,4.262,0.489,0.464
543,4.262,0.489,0.464
544,4.262,0.487,0.464
545,4.262,0.487,0.464
546,4.301,0.486,0.464
547,4.301,0.486,0.464
548,4.301,0.486,0.464
549,4.301,0.486,0.464
550,4.342,0.486,0.464
551,4.342,0.486,0.464
552,4.342,0.48,0.465
553,4.342,0.48,0.465
554,4.383,0.48,0.465
555,4.383,0.48,0.465
556,4.383,0.48,0.465
557,4.383,0.48,0.465
558,4.424,0.478,0.465
559,4.424,0.478,0.465
560,4.424,0.477,0.466
561,4.424,0.477,0.466
562,4.424,0.476,0.466
563,4.424,0.476,0.466
564,4.464,0.476,0.466
565,4.464,0.476,0.466
566,4.464,0.475,0.466
567,4.464,0.475,0.466
568,4.504,0.474,0.466
569,4.504,0.474,0.466
570,4.504,0.473,0.466
571,4.504,0.473,0.466
572,4.544,0.472,0.466
573,4.544,0.472,0.466
574,4.544,0.472,0.466
575,4.544,0.472,0.466
576,4.544,0.471,0.466
577,4.544,0.471,0.466
578,4.584,0.47,0.467
579,4.584,0.47,0.467
580,4.584,0.47,0.467
581,4.584,0.47,0.467
582,4.625,0.469,0.466
583,4.625,0.469,0.466
584,4.625,0.469,0.466
585,4.625,0.469,0.466
586,4.625,0.468,0.466
587,4.625,0.468,0.466
588,4.665,0.468,0.467
589,4.665,0.468,0.467
590,4.665,0.468,0.467
591,4.665,0.468,0.467
592,4.706,0.468,0.467
593,4.706,0.468,0.467
594,4.706,0.468,0.467
595,4.706,0.468,0.467
596,4.746,0.468,0.467
597,4.746,0.468,0.467
598,4.746,0.468,0.467
599,4.746,0.468,0.467
