,time,2dmu,2dmv
0,0.0,0.503,0.48
1,0.0,0.503,0.48
2,0.0,0.503,0.48
3,0.0,0.503,0.48
4,0.0,0.503,0.48
5,0.0,0.503,0.48
6,0.0,0.505,0.478
7,0.0,0.505,0.478
8,0.0,0.505,0.478
9,0.0,0.505,0.478
10,0.0,0.507,0.476
11,0.0,0.507,0.476
12,0.0,0.507,0.476
13,0.0,0.507,0.476
14,0.0,0.508,0.473
15,0.0,0.508,0.473
16,0.0,0.508,0.473
17,0.0,0.508,0.473
18,0.0,0.51,0.47
19,0.0,0.51,0.47
20,0.0,0.513,0.469
21,0.0,0.513,0.469
22,0.0,0.513,0.469
23,0.0,0.513,0.469
24,0.0,0.515,0.467
25,0.0,0.515,0.467
26,0.0,0.518,0.462
27,0.0,0.518,0.462
28,0.0,0.518,0.462
29,0.0,0.518,0.462
30,0.0,0.52,0.458
31,0.0,0.52,0.458
32,0.0,0.52,0.458
33,0.0,0.52,0.458
34,0.0,0.521,0.456
35,0.0,0.521,0.456
36,0.0,0.521,0.456
37,0.0,0.521,0.456
38,0.0,0.524,0.456
39,0.0,0.524,0.456
40,0.0,0.524,0.456
41,0.0,0.524,0.456
42,0.0,0.524,0.457
43,0.0,0.524,0.457
44,0.0,0.524,0.457
45,0.0,0.524,0.457
46,0.0,0.525,0.458
47,0.0,0.525,0.458
48,0.0,0.526,0.458
49,0.0,0.526,0.458
50,0.0,0.526,0.458
51,0.0,0.526,0.458
52,0.0,0.526,0.459
53,0.0,0.526,0.459
54,0.0,0.526,0.46
55,0.0,0.526,0.46
56,0.0,0.526,0.46
57,0.0,0.526,0.46
58,0.0,0.526,0.46
59,0.0,0.526,0.46
60,0.0,0.527,0.462
61,0.0,0.527,0.462
62,0.0,0.526,0.463
63,0.0,0.526,0.463
64,0.0,0.526,0.464
65,0.0,0.526,0.464
66,0.0,0.526,0.465
67,0.0,0.526,0.465
68,0.0,0.526,0.465
69,0.0,0.526,0.465
70,0.013,0.526,0.466
71,0.013,0.526,0.466
72,0.013,0.525,0.466
73,0.013,0.525,0.466
74,0.013,0.525,0.466
75,0.013,0.525,0.466
76,0.053,0.524,0.465
77,0.053,0.524,0.465
78,0.053,0.524,0.465
79,0.053,0.524,0.465
80,0.093,0.524,0.465
81,0.093,0.524,0.465
82,0.093,0.524,0.464
83,0.093,0.524,0.464
84,0.134,0.523,0.462
85,0.134,0.523,0.462
86,0.134,0.523,0.462
87,0.134,0.523,0.462
88,0.134,0.523,0.46
89,0.134,0.523,0.46
90,0.174,0.523,0.458
91,0.174,0.523,0.458
92,0.174,0.523,0.456
93,0.174,0.523,0.456
94,0.214,0.523,0.456
95,0.214,0.523,0.456
96,0.214,0.523,0.455
97,0.214,0.523,0.455
98,0.214,0.523,0.455
99,0.214,0.523,0.455
100,0.254,0.523,0.453
101,0.254,0.523,0.453
102,0.254,0.522,0.453
103,0.254,0.522,0.453
104,0.295,0.522,0.453
105,0.295,0.522,0.453
106,0.295,0.522,0.452
107,0.295,0.522,0.452
108,0.295,0.522,0.453
109,0.295,0.522,0.453
110,0.336,0.521,0.452
111,0.336,0.521,0.452
112,0.336,0.52,0.452
113,0.336,0.52,0.452
114,0.376,0.52,0.452
115,0.376,0.52,0.452
116,0.376,0.519,0.452
117,0.376,0.519,0.452
118,0.416,0.517,0.452
119,0.416,0.517,0.452
120,0.416,0.515,0.453
121,0.416,0.515,0.453
122,0.416,0.512,0.455
123,0.416,0.512,0.455
124,0.456,0.509,0.457
125,0.456,0.509,0.457
126,0.456,0.509,0.457
127,0.456,0.509,0.457
128,0.496,0.507,0.46
129,0.496,0.507,0.46
130,0.496,0.504,0.462
131,0.496,0.504,0.462
132,0.496,0.501,0.464
133,0.496,0.501,0.464
134,0.536,0.501,0.464
135,0.536,0.501,0.464
136,0.536,0.499,0.466
137,0.536,0.499,0.466
138,0.5770000000000001,0.4970000000000001,0.468
139,0.5770000000000001,0.4970000000000001,0.468
140,0.5770000000000001,0.4970000000000001,0.468
141,0.5770000000000001,0.4970000000000001,0.468
142,0.617,0.495,0.47
143,0.617,0.495,0.47
144,0.617,0.494,0.472
145,0.617,0.494,0.472
146,0.617,0.494,0.472
147,0.617,0.494,0.472
148,0.6579999999999999,0.4920000000000001,0.474
149,0.6579999999999999,0.4920000000000001,0.474
150,0.6579999999999999,0.491,0.475
151,0.6579999999999999,0.491,0.475
152,0.698,0.489,0.477
153,0.698,0.489,0.477
154,0.698,0.488,0.478
155,0.698,0.488,0.478
156,0.698,0.486,0.478
157,0.698,0.486,0.478
158,0.738,0.486,0.478
159,0.738,0.486,0.478
160,0.738,0.485,0.479
161,0.738,0.485,0.479
162,0.778,0.483,0.479
163,0.778,0.483,0.479
164,0.778,0.482,0.479
165,0.778,0.482,0.479
166,0.778,0.482,0.479
167,0.778,0.482,0.479
168,0.82,0.481,0.479
169,0.82,0.481,0.479
170,0.82,0.48,0.479
171,0.82,0.48,0.479
172,0.86,0.479,0.478
173,0.86,0.479,0.478
174,0.86,0.479,0.478
175,0.86,0.479,0.478
176,0.901,0.478,0.477
177,0.901,0.478,0.477
178,0.901,0.478,0.477
179,0.901,0.478,0.477
180,0.901,0.478,0.477
181,0.901,0.478,0.477
182,0.941,0.477,0.475
183,0.941,0.477,0.475
184,0.941,0.476,0.475
185,0.941,0.476,0.475
186,0.981,0.475,0.474
187,0.981,0.475,0.474
188,0.981,0.474,0.473
189,0.981,0.474,0.473
190,0.981,0.474,0.473
191,0.981,0.474,0.473
192,1.021,0.473,0.472
193,1.021,0.473,0.472
194,1.021,0.472,0.472
195,1.021,0.472,0.472
196,1.062,0.47,0.472
197,1.062,0.47,0.472
198,1.062,0.47,0.472
199,1.062,0.47,0.472
200,1.062,0.468,0.472
201,1.062,0.468,0.472
202,1.103,0.465,0.472
203,1.103,0.465,0.472
204,1.103,0.462,0.473
205,1.103,0.462,0.473
206,1.143,0.462,0.474
207,1.143,0.462,0.474
208,1.143,0.459,0.474
209,1.143,0.459,0.474
210,1.183,0.459,0.474
211,1.183,0.459,0.474
212,1.183,0.455,0.475
213,1.183,0.455,0.475
214,1.183,0.451,0.476
215,1.183,0.451,0.476
216,1.223,0.447,0.477
217,1.223,0.447,0.477
218,1.223,0.443,0.478
219,1.223,0.443,0.478
220,1.263,0.438,0.478
221,1.263,0.438,0.478
222,1.263,0.438,0.478
223,1.263,0.438,0.478
224,1.263,0.434,0.48
225,1.263,0.434,0.48
226,1.3030000000000002,0.428,0.48
227,1.3030000000000002,0.428,0.48
228,1.3030000000000002,0.424,0.48
229,1.3030000000000002,0.424,0.48
230,1.344,0.424,0.48
231,1.344,0.424,0.48
232,1.344,0.418,0.48
233,1.344,0.418,0.48
234,1.384,0.413,0.48
235,1.384,0.413,0.48
236,1.384,0.408,0.48
237,1.384,0.408,0.48
238,1.384,0.403,0.48
239,1.384,0.403,0.48
240,1.425,0.403,0.48
241,1.425,0.403,0.48
242,1.425,0.403,0.48
243,1.425,0.403,0.48
244,1.466,0.397,0.48
245,1.466,0.397,0.48
246,1.466,0.392,0.48
247,1.466,0.392,0.48
248,1.466,0.389,0.48
249,1.466,0.389,0.48
250,1.506,0.387,0.48
251,1.506,0.387,0.48
252,1.506,0.382,0.48
253,1.506,0.382,0.48
254,1.547,0.379,0.481
255,1.547,0.379,0.481
256,1.547,0.374,0.482
257,1.547,0.374,0.482
258,1.547,0.366,0.484
259,1.547,0.366,0.484
260,1.587,0.366,0.484
261,1.587,0.366,0.484
262,1.587,0.361,0.485
263,1.587,0.361,0.485
264,1.6269999999999998,0.35600000000000004,0.487
265,1.6269999999999998,0.35600000000000004,0.487
266,1.6269999999999998,0.35100000000000003,0.487
267,1.6269999999999998,0.35100000000000003,0.487
268,1.668,0.35100000000000003,0.487
269,1.668,0.35100000000000003,0.487
270,1.668,0.345,0.488
271,1.668,0.345,0.488
272,1.668,0.34,0.489
273,1.668,0.34,0.489
274,1.7080000000000002,0.335,0.489
275,1.7080000000000002,0.335,0.489
276,1.7080000000000002,0.33,0.49
277,1.7080000000000002,0.33,0.49
278,1.7480000000000002,0.33,0.49
279,1.7480000000000002,0.33,0.49
280,1.7480000000000002,0.325,0.49
281,1.7480000000000002,0.325,0.49
282,1.7480000000000002,0.32,0.4920000000000001
283,1.7480000000000002,0.32,0.4920000000000001
284,1.788,0.314,0.4920000000000001
285,1.788,0.314,0.4920000000000001
286,1.788,0.314,0.4920000000000001
287,1.788,0.314,0.4920000000000001
288,1.829,0.309,0.4920000000000001
289,1.829,0.309,0.4920000000000001
290,1.829,0.304,0.4920000000000001
291,1.829,0.304,0.4920000000000001
292,1.829,0.3,0.491
293,1.829,0.3,0.491
294,1.869,0.297,0.491
295,1.869,0.297,0.491
296,1.869,0.298,0.49
297,1.869,0.298,0.49
298,1.909,0.298,0.49
299,1.909,0.298,0.49
300,1.909,0.294,0.49
301,1.909,0.294,0.49
302,1.948,0.29100000000000004,0.488
303,1.948,0.29100000000000004,0.488
304,1.948,0.289,0.487
305,1.948,0.289,0.487
306,1.948,0.28600000000000003,0.485
307,1.948,0.28600000000000003,0.485
308,1.989,0.28600000000000003,0.485
309,1.989,0.28600000000000003,0.485
310,1.989,0.284,0.484
311,1.989,0.284,0.484
312,2.029,0.281,0.483
313,2.029,0.281,0.483
314,2.029,0.279,0.482
315,2.029,0.279,0.482
316,2.029,0.277,0.481
317,2.029,0.277,0.481
318,2.07,0.277,0.481
319,2.07,0.277,0.481
320,2.07,0.274,0.481
321,2.07,0.274,0.481
322,2.11,0.272,0.48
323,2.11,0.272,0.48
324,2.11,0.27,0.479
325,2.11,0.27,0.479
326,2.15,0.267,0.479
327,2.15,0.267,0.479
328,2.15,0.267,0.479
329,2.15,0.267,0.479
330,2.15,0.267,0.479
331,2.15,0.267,0.479
332,2.192,0.265,0.478
333,2.192,0.265,0.478
334,2.192,0.262,0.477
335,2.192,0.262,0.477
336,2.232,0.26,0.476
337,2.232,0.26,0.476
338,2.232,0.26,0.476
339,2.232,0.26,0.476
340,2.232,0.258,0.475
341,2.232,0.258,0.475
342,2.273,0.256,0.474
343,2.273,0.256,0.474
344,2.273,0.254,0.473
345,2.273,0.254,0.473
346,2.313,0.251,0.471
347,2.313,0.251,0.471
348,2.313,0.249,0.471
349,2.313,0.249,0.471
350,2.313,0.249,0.471
351,2.313,0.249,0.471
352,2.354,0.247,0.47
353,2.354,0.247,0.47
354,2.354,0.244,0.469
355,2.354,0.244,0.469
356,2.395,0.242,0.469
357,2.395,0.242,0.469
358,2.395,0.239,0.468
359,2.395,0.239,0.468
360,2.395,0.239,0.468
361,2.395,0.239,0.468
362,2.436,0.239,0.468
363,2.436,0.239,0.468
364,2.436,0.237,0.468
365,2.436,0.237,0.468
366,2.476,0.234,0.467
367,2.476,0.234,0.467
368,2.476,0.231,0.466
369,2.476,0.231,0.466
370,2.516,0.231,0.466
371,2.516,0.231,0.466
372,2.516,0.228,0.466
373,2.516,0.228,0.466
