,time,2dmu,2dmv
0,0.0,0.472,0.418
1,0.0,0.472,0.418
2,0.0,0.471,0.418
3,0.0,0.471,0.418
4,0.0,0.471,0.418
5,0.0,0.471,0.418
6,0.0,0.469,0.418
7,0.0,0.469,0.418
8,0.0,0.468,0.417
9,0.0,0.468,0.417
10,0.0,0.468,0.417
11,0.0,0.468,0.417
12,0.0,0.466,0.417
13,0.0,0.466,0.417
14,0.0,0.465,0.417
15,0.0,0.465,0.417
16,0.0,0.465,0.417
17,0.0,0.465,0.417
18,0.0,0.463,0.417
19,0.0,0.463,0.417
20,0.0,0.462,0.417
21,0.0,0.462,0.417
22,0.0,0.462,0.417
23,0.0,0.462,0.417
24,0.0,0.462,0.417
25,0.0,0.462,0.417
26,0.0,0.462,0.417
27,0.0,0.462,0.417
28,0.0,0.461,0.416
29,0.0,0.461,0.416
30,0.0,0.461,0.416
31,0.0,0.461,0.416
32,0.0,0.461,0.416
33,0.0,0.461,0.416
34,0.0,0.461,0.416
35,0.0,0.461,0.416
36,0.0,0.461,0.416
37,0.0,0.461,0.416
38,0.0,0.461,0.416
39,0.0,0.461,0.416
40,0.0,0.461,0.417
41,0.0,0.461,0.417
42,0.0,0.461,0.417
43,0.0,0.461,0.417
44,0.0,0.461,0.417
45,0.0,0.461,0.417
46,0.0,0.461,0.417
47,0.0,0.461,0.417
48,0.0,0.461,0.417
49,0.0,0.461,0.417
50,0.0,0.461,0.417
51,0.0,0.461,0.417
52,0.0,0.462,0.417
53,0.0,0.462,0.417
54,0.0,0.462,0.417
55,0.0,0.462,0.417
56,0.0,0.462,0.417
57,0.0,0.462,0.417
58,0.0,0.463,0.416
59,0.0,0.463,0.416
60,0.0,0.463,0.417
61,0.0,0.463,0.417
62,0.0,0.463,0.417
63,0.0,0.463,0.417
64,0.016,0.464,0.416
65,0.016,0.464,0.416
66,0.016,0.464,0.416
67,0.016,0.464,0.416
68,0.057,0.465,0.416
69,0.057,0.465,0.416
70,0.057,0.465,0.416
71,0.057,0.465,0.416
72,0.057,0.466,0.417
73,0.057,0.466,0.417
74,0.099,0.466,0.417
75,0.099,0.466,0.417
76,0.099,0.468,0.417
77,0.099,0.468,0.417
78,0.139,0.469,0.419
79,0.139,0.469,0.419
80,0.139,0.471,0.42
81,0.139,0.471,0.42
82,0.139,0.472,0.421
83,0.139,0.472,0.421
84,0.179,0.472,0.421
85,0.179,0.472,0.421
86,0.179,0.474,0.424
87,0.179,0.474,0.424
88,0.22,0.477,0.425
89,0.22,0.477,0.425
90,0.22,0.48,0.428
91,0.22,0.48,0.428
92,0.22,0.483,0.431
93,0.22,0.483,0.431
94,0.26,0.487,0.435
95,0.26,0.487,0.435
96,0.26,0.487,0.435
97,0.26,0.487,0.435
98,0.3,0.4920000000000001,0.44
99,0.3,0.4920000000000001,0.44
100,0.3,0.496,0.444
101,0.3,0.496,0.444
