,time,2dmu,2dmv
0,0.0,0.499,0.527
1,0.0,0.499,0.527
2,0.0,0.499,0.527
3,0.0,0.499,0.527
4,0.0,0.499,0.527
5,0.0,0.499,0.527
6,0.0,0.499,0.527
7,0.0,0.499,0.527
8,0.0,0.499,0.527
9,0.0,0.499,0.527
10,0.0,0.499,0.526
11,0.0,0.499,0.526
12,0.0,0.499,0.526
13,0.0,0.499,0.526
14,0.0,0.499,0.526
15,0.0,0.499,0.526
16,0.0,0.498,0.526
17,0.0,0.498,0.526
18,0.0,0.498,0.526
19,0.0,0.498,0.526
20,0.0,0.498,0.526
21,0.0,0.498,0.526
22,0.0,0.498,0.526
23,0.0,0.498,0.526
24,0.0,0.498,0.527
25,0.0,0.498,0.527
26,0.0,0.498,0.527
27,0.0,0.498,0.527
28,0.0,0.499,0.527
29,0.0,0.499,0.527
30,0.0,0.499,0.528
31,0.0,0.499,0.528
32,0.0,0.499,0.528
33,0.0,0.499,0.528
34,0.0,0.499,0.528
35,0.0,0.499,0.528
36,0.0,0.499,0.528
37,0.0,0.499,0.528
38,0.0,0.499,0.528
39,0.0,0.499,0.528
40,0.0,0.499,0.528
41,0.0,0.499,0.528
42,0.0,0.499,0.528
43,0.0,0.499,0.528
44,0.0,0.499,0.528
45,0.0,0.499,0.528
46,0.0,0.498,0.528
47,0.0,0.498,0.528
48,0.0,0.498,0.528
49,0.0,0.498,0.528
50,0.0,0.4970000000000001,0.529
51,0.0,0.4970000000000001,0.529
52,0.0,0.4970000000000001,0.529
53,0.0,0.4970000000000001,0.529
54,0.0,0.4970000000000001,0.528
55,0.0,0.4970000000000001,0.528
56,0.0,0.4970000000000001,0.528
57,0.0,0.4970000000000001,0.528
58,0.0,0.4970000000000001,0.528
59,0.0,0.4970000000000001,0.528
60,0.0,0.496,0.528
61,0.0,0.496,0.528
62,0.0,0.496,0.528
63,0.0,0.496,0.528
64,0.0,0.496,0.528
65,0.0,0.496,0.528
66,0.0,0.496,0.527
67,0.0,0.496,0.527
68,0.0,0.496,0.527
69,0.0,0.496,0.527
70,0.0,0.496,0.527
71,0.0,0.496,0.527
72,0.0,0.496,0.527
73,0.0,0.496,0.527
74,0.0,0.496,0.527
75,0.0,0.496,0.527
76,0.0,0.496,0.527
77,0.0,0.496,0.527
78,0.0,0.496,0.527
79,0.0,0.496,0.527
80,0.0,0.496,0.527
81,0.0,0.496,0.527
82,0.0,0.496,0.527
83,0.0,0.496,0.527
84,0.0,0.496,0.527
85,0.0,0.496,0.527
86,0.021,0.496,0.527
87,0.021,0.496,0.527
88,0.021,0.496,0.527
89,0.021,0.496,0.527
90,0.063,0.496,0.527
91,0.063,0.496,0.527
92,0.063,0.496,0.527
93,0.063,0.496,0.527
94,0.063,0.496,0.527
95,0.063,0.496,0.527
96,0.102,0.496,0.527
97,0.102,0.496,0.527
