,time,2dmu,2dmv
0,0.0,0.494,0.504
1,0.0,0.494,0.504
2,0.0,0.494,0.504
3,0.0,0.494,0.504
4,0.0,0.494,0.504
5,0.0,0.494,0.504
6,0.0,0.494,0.504
7,0.0,0.494,0.503
8,0.0,0.494,0.504
9,0.0,0.494,0.503
10,0.0,0.494,0.503
11,0.0,0.494,0.503
12,0.0,0.494,0.503
13,0.0,0.494,0.503
14,0.0,0.494,0.503
15,0.0,0.494,0.503
16,0.0,0.494,0.503
17,0.0,0.494,0.503
18,0.0,0.494,0.502
19,0.0,0.494,0.502
20,0.0,0.494,0.502
21,0.0,0.494,0.502
22,0.0,0.494,0.502
23,0.0,0.494,0.502
24,0.0,0.494,0.502
25,0.0,0.494,0.502
26,0.0,0.494,0.502
27,0.0,0.494,0.502
28,0.0,0.494,0.502
29,0.0,0.494,0.502
30,0.0,0.494,0.502
31,0.0,0.494,0.502
32,0.0,0.494,0.502
33,0.0,0.494,0.502
34,0.0,0.494,0.502
35,0.0,0.494,0.502
36,0.0,0.494,0.502
37,0.0,0.494,0.502
38,0.0,0.494,0.502
39,0.0,0.494,0.502
40,0.0,0.494,0.502
41,0.0,0.494,0.502
42,0.0,0.494,0.502
43,0.0,0.494,0.502
44,0.0,0.494,0.502
45,0.0,0.494,0.502
46,0.0,0.494,0.502
47,0.0,0.494,0.502
48,0.0,0.494,0.501
49,0.0,0.494,0.501
50,0.0,0.494,0.501
51,0.0,0.494,0.501
52,0.0,0.494,0.501
53,0.0,0.494,0.501
54,0.0,0.493,0.501
55,0.0,0.493,0.501
56,0.0,0.491,0.499
57,0.0,0.491,0.499
58,0.0,0.49,0.499
59,0.0,0.49,0.499
60,0.0,0.487,0.498
61,0.0,0.487,0.498
62,0.017,0.487,0.498
63,0.017,0.487,0.498
64,0.017,0.482,0.496
65,0.017,0.482,0.496
66,0.058,0.477,0.494
67,0.058,0.477,0.494
68,0.058,0.472,0.493
69,0.058,0.472,0.493
70,0.058,0.467,0.4920000000000001
71,0.058,0.467,0.4920000000000001
72,0.098,0.467,0.4920000000000001
73,0.098,0.467,0.4920000000000001
74,0.098,0.463,0.49
75,0.098,0.463,0.49
76,0.138,0.459,0.489
77,0.138,0.459,0.489
78,0.138,0.456,0.487
79,0.138,0.456,0.487
80,0.138,0.452,0.485
81,0.138,0.452,0.485
82,0.18,0.452,0.485
83,0.18,0.452,0.485
84,0.18,0.453,0.485
85,0.18,0.453,0.485
86,0.22,0.451,0.483
87,0.22,0.451,0.483
88,0.22,0.449,0.481
89,0.22,0.449,0.481
90,0.259,0.446,0.48
91,0.259,0.446,0.48
92,0.259,0.446,0.48
93,0.259,0.446,0.48
94,0.259,0.444,0.478
95,0.259,0.444,0.478
96,0.301,0.442,0.476
97,0.301,0.442,0.476
98,0.301,0.441,0.474
99,0.301,0.441,0.474
100,0.341,0.439,0.471
101,0.341,0.439,0.471
102,0.341,0.4370000000000001,0.469
103,0.341,0.4370000000000001,0.469
104,0.341,0.4370000000000001,0.469
105,0.341,0.4370000000000001,0.469
106,0.381,0.435,0.466
107,0.381,0.435,0.466
108,0.381,0.434,0.464
109,0.381,0.434,0.464
110,0.422,0.4320000000000001,0.462
111,0.422,0.4320000000000001,0.462
112,0.422,0.431,0.459
113,0.422,0.431,0.459
114,0.422,0.431,0.459
115,0.422,0.431,0.459
116,0.462,0.431,0.459
117,0.462,0.431,0.459
118,0.462,0.43,0.458
119,0.462,0.43,0.458
120,0.502,0.428,0.457
121,0.502,0.428,0.457
122,0.502,0.4270000000000001,0.456
123,0.502,0.4270000000000001,0.456
124,0.542,0.426,0.454
125,0.542,0.426,0.454
126,0.542,0.426,0.454
127,0.542,0.426,0.454
128,0.542,0.424,0.453
129,0.542,0.424,0.453
130,0.583,0.423,0.452
131,0.583,0.423,0.452
132,0.583,0.421,0.452
133,0.583,0.421,0.452
134,0.623,0.419,0.451
135,0.623,0.419,0.451
136,0.623,0.419,0.451
137,0.623,0.419,0.451
138,0.623,0.416,0.45
139,0.623,0.416,0.45
140,0.6629999999999999,0.412,0.448
141,0.6629999999999999,0.412,0.448
142,0.6629999999999999,0.408,0.447
143,0.6629999999999999,0.408,0.447
144,0.703,0.403,0.445
145,0.703,0.403,0.445
146,0.703,0.403,0.445
147,0.703,0.403,0.445
148,0.743,0.403,0.446
149,0.743,0.403,0.446
150,0.743,0.398,0.445
151,0.743,0.398,0.445
152,0.743,0.395,0.445
153,0.743,0.395,0.445
154,0.7829999999999999,0.39,0.445
155,0.7829999999999999,0.39,0.445
156,0.7829999999999999,0.39,0.445
157,0.7829999999999999,0.39,0.445
158,0.823,0.379,0.444
159,0.823,0.379,0.444
160,0.823,0.375,0.444
161,0.823,0.375,0.444
162,0.823,0.37,0.443
163,0.823,0.37,0.443
164,0.863,0.366,0.442
165,0.863,0.366,0.442
166,0.863,0.362,0.44
167,0.863,0.362,0.44
168,0.903,0.362,0.44
169,0.903,0.362,0.44
170,0.903,0.36,0.439
171,0.903,0.36,0.439
172,0.943,0.358,0.438
173,0.943,0.358,0.438
174,0.943,0.358,0.436
175,0.943,0.358,0.436
176,0.943,0.358,0.436
177,0.943,0.358,0.436
178,0.983,0.358,0.436
179,0.983,0.358,0.436
180,0.983,0.359,0.436
181,0.983,0.359,0.436
182,1.024,0.359,0.435
183,1.024,0.359,0.435
184,1.024,0.358,0.435
185,1.024,0.358,0.435
186,1.024,0.358,0.434
187,1.024,0.358,0.434
188,1.064,0.358,0.434
189,1.064,0.358,0.434
190,1.064,0.35700000000000004,0.433
191,1.064,0.35700000000000004,0.433
192,1.104,0.35600000000000004,0.4320000000000001
193,1.104,0.35600000000000004,0.4320000000000001
194,1.104,0.355,0.4320000000000001
195,1.104,0.355,0.4320000000000001
196,1.144,0.354,0.431
197,1.144,0.354,0.431
198,1.144,0.353,0.431
199,1.144,0.353,0.431
200,1.144,0.353,0.431
201,1.144,0.353,0.431
202,1.1840000000000002,0.35200000000000004,0.4320000000000001
203,1.1840000000000002,0.35200000000000004,0.4320000000000001
204,1.1840000000000002,0.35200000000000004,0.433
205,1.1840000000000002,0.35200000000000004,0.433
206,1.224,0.35100000000000003,0.434
207,1.224,0.35100000000000003,0.434
208,1.224,0.35100000000000003,0.435
209,1.224,0.35100000000000003,0.435
210,1.224,0.35100000000000003,0.435
211,1.224,0.35100000000000003,0.435
212,1.264,0.35100000000000003,0.436
213,1.264,0.35100000000000003,0.436
214,1.264,0.35100000000000003,0.436
215,1.264,0.35100000000000003,0.436
216,1.304,0.35,0.436
217,1.304,0.35,0.436
218,1.304,0.35,0.436
219,1.304,0.35,0.436
220,1.344,0.35,0.4370000000000001
221,1.344,0.35,0.4370000000000001
222,1.344,0.35,0.4370000000000001
223,1.344,0.35,0.4370000000000001
224,1.344,0.35,0.4370000000000001
225,1.344,0.35,0.4370000000000001
226,1.384,0.35,0.4370000000000001
227,1.384,0.35,0.4370000000000001
228,1.384,0.35,0.4370000000000001
229,1.384,0.35,0.4370000000000001
230,1.4240000000000002,0.35,0.4370000000000001
231,1.4240000000000002,0.35,0.4370000000000001
232,1.4240000000000002,0.35,0.4370000000000001
233,1.4240000000000002,0.35,0.4370000000000001
234,1.4240000000000002,0.35,0.4370000000000001
235,1.4240000000000002,0.35,0.4370000000000001
236,1.463,0.35,0.4370000000000001
237,1.463,0.35,0.4370000000000001
238,1.463,0.35,0.436
239,1.463,0.35,0.436
240,1.503,0.35,0.436
241,1.503,0.35,0.436
242,1.503,0.35,0.436
243,1.503,0.35,0.436
244,1.543,0.35,0.4370000000000001
245,1.543,0.35,0.4370000000000001
246,1.543,0.35,0.438
247,1.543,0.35,0.438
248,1.543,0.35,0.439
249,1.543,0.35,0.439
250,1.5830000000000002,0.35,0.44
251,1.5830000000000002,0.35,0.44
252,1.5830000000000002,0.35,0.44
253,1.5830000000000002,0.35,0.44
254,1.624,0.35100000000000003,0.442
255,1.624,0.35100000000000003,0.442
256,1.624,0.35100000000000003,0.443
257,1.624,0.35100000000000003,0.443
258,1.624,0.35200000000000004,0.444
259,1.624,0.35200000000000004,0.444
260,1.664,0.353,0.444
261,1.664,0.353,0.444
262,1.664,0.354,0.444
263,1.664,0.354,0.444
264,1.704,0.354,0.444
265,1.704,0.354,0.444
266,1.704,0.355,0.443
267,1.704,0.355,0.443
268,1.704,0.355,0.443
269,1.704,0.355,0.443
270,1.745,0.35600000000000004,0.443
271,1.745,0.35600000000000004,0.443
272,1.745,0.35700000000000004,0.443
273,1.745,0.35700000000000004,0.443
274,1.785,0.358,0.442
275,1.785,0.358,0.442
276,1.785,0.358,0.442
277,1.785,0.358,0.442
278,1.825,0.358,0.441
279,1.825,0.358,0.441
280,1.825,0.35700000000000004,0.441
281,1.825,0.35700000000000004,0.441
282,1.825,0.358,0.442
283,1.825,0.358,0.442
284,1.864,0.358,0.443
285,1.864,0.358,0.443
286,1.864,0.359,0.444
287,1.864,0.359,0.444
288,1.906,0.359,0.445
289,1.906,0.359,0.445
290,1.906,0.36,0.446
291,1.906,0.36,0.446
292,1.906,0.36,0.446
293,1.906,0.36,0.446
294,1.945,0.361,0.447
295,1.945,0.361,0.447
296,1.945,0.363,0.449
297,1.945,0.363,0.449
298,1.986,0.365,0.451
299,1.986,0.365,0.451
300,1.986,0.366,0.454
301,1.986,0.366,0.454
302,2.027,0.368,0.458
303,2.027,0.368,0.458
304,2.027,0.368,0.458
305,2.027,0.368,0.458
306,2.027,0.368,0.463
307,2.027,0.368,0.463
308,2.067,0.368,0.467
309,2.067,0.368,0.467
310,2.067,0.3670000000000001,0.47
311,2.067,0.3670000000000001,0.47
312,2.107,0.3670000000000001,0.472
313,2.107,0.3670000000000001,0.472
314,2.107,0.3670000000000001,0.472
315,2.107,0.3670000000000001,0.472
316,2.107,0.366,0.472
317,2.107,0.366,0.472
318,2.147,0.365,0.474
319,2.147,0.365,0.474
320,2.147,0.364,0.477
321,2.147,0.364,0.477
322,2.187,0.362,0.479
323,2.187,0.362,0.479
324,2.187,0.362,0.479
325,2.187,0.362,0.479
326,2.227,0.361,0.481
327,2.227,0.361,0.481
328,2.227,0.359,0.483
329,2.227,0.359,0.483
330,2.227,0.358,0.484
331,2.227,0.358,0.484
332,2.267,0.35700000000000004,0.485
333,2.267,0.35700000000000004,0.485
334,2.267,0.35600000000000004,0.485
335,2.267,0.35600000000000004,0.485
336,2.307,0.35600000000000004,0.485
337,2.307,0.35600000000000004,0.485
338,2.307,0.355,0.485
339,2.307,0.355,0.485
340,2.307,0.355,0.485
341,2.307,0.355,0.485
342,2.347,0.355,0.484
343,2.347,0.355,0.484
344,2.387,0.355,0.484
345,2.387,0.355,0.484
346,2.387,0.355,0.483
347,2.387,0.355,0.483
348,2.427,0.355,0.483
349,2.427,0.355,0.483
350,2.427,0.355,0.482
351,2.427,0.355,0.482
352,2.427,0.355,0.482
353,2.427,0.355,0.482
354,2.468,0.355,0.482
355,2.468,0.355,0.482
356,2.468,0.355,0.481
357,2.468,0.355,0.481
358,2.508,0.355,0.481
359,2.508,0.355,0.481
360,2.508,0.355,0.481
361,2.508,0.355,0.481
362,2.508,0.355,0.481
363,2.508,0.355,0.481
364,2.548,0.355,0.481
365,2.548,0.355,0.481
366,2.548,0.355,0.481
367,2.548,0.355,0.481
368,2.589,0.355,0.481
369,2.589,0.355,0.481
370,2.589,0.355,0.481
371,2.589,0.355,0.481
372,2.589,0.355,0.481
373,2.589,0.355,0.481
374,2.63,0.355,0.481
375,2.63,0.355,0.481
376,2.63,0.355,0.481
377,2.63,0.355,0.481
378,2.67,0.355,0.481
379,2.67,0.355,0.481
380,2.67,0.355,0.481
381,2.67,0.355,0.481
382,2.71,0.35600000000000004,0.48
383,2.71,0.35600000000000004,0.48
384,2.71,0.35700000000000004,0.479
385,2.71,0.35700000000000004,0.479
