,time,2dmu,2dmv
0,0.0,0.504,0.614
1,0.0,0.504,0.614
2,0.0,0.505,0.613
3,0.0,0.505,0.613
4,0.0,0.506,0.612
5,0.0,0.506,0.612
6,0.0,0.506,0.612
7,0.0,0.506,0.612
8,0.0,0.507,0.612
9,0.0,0.507,0.612
10,0.0,0.507,0.612
11,0.0,0.507,0.612
12,0.0,0.508,0.613
13,0.0,0.508,0.613
14,0.0,0.508,0.613
15,0.0,0.508,0.613
16,0.0,0.508,0.613
17,0.0,0.508,0.613
18,0.0,0.508,0.615
19,0.0,0.508,0.615
20,0.0,0.508,0.615
21,0.0,0.508,0.615
22,0.0,0.509,0.617
23,0.0,0.509,0.617
24,0.0,0.51,0.613
25,0.0,0.51,0.613
26,0.0,0.511,0.604
27,0.0,0.511,0.604
28,0.0,0.511,0.604
29,0.0,0.511,0.604
30,0.0,0.511,0.601
31,0.0,0.511,0.601
32,0.0,0.51,0.602
33,0.0,0.51,0.602
34,0.0,0.51,0.6
35,0.0,0.51,0.6
36,0.0,0.51,0.598
37,0.0,0.51,0.598
38,0.0,0.509,0.596
39,0.0,0.509,0.596
40,0.0,0.509,0.595
41,0.0,0.509,0.595
42,0.013,0.509,0.593
43,0.013,0.509,0.593
44,0.013,0.508,0.593
45,0.013,0.508,0.593
46,0.053,0.508,0.593
47,0.053,0.508,0.593
48,0.093,0.508,0.5920000000000001
49,0.093,0.508,0.5920000000000001
50,0.093,0.507,0.5920000000000001
51,0.093,0.507,0.5920000000000001
52,0.133,0.506,0.593
53,0.133,0.506,0.593
54,0.133,0.506,0.593
55,0.133,0.506,0.593
56,0.174,0.505,0.595
57,0.174,0.505,0.595
58,0.174,0.505,0.596
59,0.174,0.505,0.596
60,0.215,0.505,0.597
61,0.215,0.505,0.597
62,0.215,0.505,0.599
63,0.215,0.505,0.599
64,0.256,0.504,0.6
65,0.256,0.504,0.6
66,0.29600000000000004,0.505,0.6
67,0.29600000000000004,0.505,0.6
68,0.29600000000000004,0.505,0.599
69,0.29600000000000004,0.505,0.599
70,0.29600000000000004,0.505,0.599
71,0.29600000000000004,0.505,0.599
72,0.337,0.505,0.599
73,0.337,0.505,0.599
74,0.337,0.505,0.597
75,0.337,0.505,0.597
76,0.378,0.505,0.595
77,0.378,0.505,0.595
78,0.378,0.505,0.594
79,0.378,0.505,0.594
80,0.378,0.505,0.5920000000000001
81,0.378,0.505,0.5920000000000001
82,0.419,0.506,0.591
83,0.419,0.506,0.591
84,0.419,0.506,0.588
85,0.419,0.506,0.588
86,0.459,0.506,0.586
87,0.459,0.506,0.586
88,0.459,0.507,0.584
89,0.459,0.507,0.584
90,0.5,0.507,0.5820000000000001
