,time,2dmu,2dmv
0,0.0,0.513,0.465
1,0.0,0.513,0.465
2,0.0,0.513,0.465
3,0.0,0.513,0.465
4,0.0,0.513,0.465
5,0.0,0.513,0.465
6,0.0,0.513,0.465
7,0.0,0.513,0.465
8,0.0,0.513,0.465
9,0.0,0.513,0.465
10,0.0,0.513,0.465
11,0.0,0.513,0.465
12,0.0,0.513,0.465
13,0.0,0.513,0.465
14,0.0,0.513,0.464
15,0.0,0.513,0.464
16,0.0,0.513,0.464
17,0.0,0.513,0.464
18,0.0,0.513,0.464
19,0.0,0.513,0.464
20,0.0,0.513,0.464
21,0.0,0.513,0.464
22,0.0,0.513,0.464
23,0.0,0.513,0.464
24,0.0,0.512,0.465
25,0.0,0.512,0.465
26,0.0,0.512,0.465
27,0.0,0.512,0.465
28,0.0,0.512,0.466
29,0.0,0.512,0.466
30,0.0,0.512,0.466
31,0.0,0.512,0.466
32,0.0,0.512,0.466
33,0.0,0.512,0.466
34,0.0,0.512,0.467
35,0.0,0.512,0.467
36,0.0,0.511,0.467
37,0.0,0.511,0.467
38,0.0,0.511,0.467
39,0.0,0.511,0.467
40,0.0,0.511,0.467
41,0.0,0.511,0.467
42,0.0,0.511,0.467
43,0.0,0.511,0.467
44,0.0,0.511,0.467
45,0.0,0.511,0.467
46,0.0,0.51,0.467
47,0.0,0.51,0.467
48,0.0,0.51,0.467
49,0.0,0.51,0.467
50,0.011,0.51,0.467
51,0.011,0.51,0.467
52,0.051,0.509,0.467
53,0.051,0.509,0.467
54,0.092,0.509,0.467
55,0.092,0.509,0.467
56,0.092,0.509,0.467
57,0.092,0.509,0.467
58,0.133,0.509,0.467
59,0.133,0.509,0.467
60,0.174,0.507,0.468
61,0.174,0.507,0.468
62,0.174,0.507,0.468
63,0.174,0.507,0.468
64,0.215,0.505,0.469
65,0.215,0.505,0.469
66,0.256,0.503,0.468
67,0.256,0.503,0.468
68,0.256,0.502,0.469
69,0.256,0.502,0.469
70,0.256,0.502,0.469
71,0.256,0.502,0.469
72,0.297,0.501,0.468
73,0.297,0.501,0.468
74,0.297,0.5,0.468
75,0.297,0.5,0.468
76,0.337,0.499,0.469
77,0.337,0.499,0.469
78,0.378,0.498,0.469
79,0.378,0.498,0.469
80,0.378,0.498,0.469
81,0.378,0.498,0.469
82,0.419,0.498,0.469
83,0.419,0.498,0.469
84,0.459,0.4970000000000001,0.47
85,0.459,0.4970000000000001,0.47
86,0.459,0.4970000000000001,0.47
87,0.459,0.4970000000000001,0.47
88,0.459,0.4970000000000001,0.47
89,0.459,0.4970000000000001,0.47
90,0.499,0.496,0.47
91,0.499,0.496,0.47
92,0.499,0.496,0.471
93,0.499,0.496,0.471
94,0.539,0.495,0.472
95,0.539,0.495,0.472
96,0.539,0.494,0.473
97,0.539,0.494,0.473
98,0.579,0.493,0.474
99,0.579,0.493,0.474
100,0.579,0.491,0.475
101,0.579,0.491,0.475
102,0.619,0.488,0.477
103,0.619,0.488,0.477
104,0.659,0.485,0.478
105,0.659,0.485,0.478
106,0.659,0.481,0.48
107,0.659,0.481,0.48
108,0.6990000000000001,0.473,0.483
109,0.6990000000000001,0.473,0.483
110,0.74,0.465,0.485
111,0.74,0.465,0.485
112,0.7809999999999999,0.462,0.486
113,0.7809999999999999,0.462,0.486
114,0.7809999999999999,0.461,0.486
115,0.7809999999999999,0.461,0.486
116,0.821,0.461,0.486
117,0.821,0.461,0.486
118,0.821,0.457,0.488
119,0.821,0.457,0.488
120,0.862,0.456,0.488
121,0.862,0.456,0.488
122,0.903,0.455,0.488
123,0.903,0.455,0.488
124,0.903,0.455,0.488
125,0.903,0.455,0.488
126,0.943,0.454,0.488
127,0.943,0.454,0.488
128,0.983,0.454,0.488
129,0.983,0.454,0.488
130,0.983,0.455,0.488
131,0.983,0.455,0.488
132,1.024,0.455,0.488
133,1.024,0.455,0.488
134,1.024,0.455,0.487
135,1.024,0.455,0.487
136,1.024,0.455,0.487
137,1.024,0.455,0.487
