,time,2dmu,2dmv
0,0.0,0.516,0.484
1,0.0,0.516,0.484
2,0.0,0.516,0.484
3,0.0,0.516,0.484
4,0.0,0.516,0.484
5,0.0,0.516,0.484
6,0.0,0.516,0.484
7,0.0,0.516,0.484
8,0.0,0.516,0.484
9,0.0,0.516,0.484
10,0.0,0.516,0.484
11,0.0,0.516,0.484
12,0.0,0.516,0.484
13,0.0,0.516,0.484
14,0.0,0.516,0.484
15,0.0,0.516,0.484
16,0.0,0.516,0.484
17,0.0,0.516,0.484
18,0.0,0.516,0.484
19,0.0,0.516,0.484
20,0.0,0.516,0.484
21,0.0,0.516,0.484
22,0.0,0.516,0.484
23,0.0,0.516,0.484
24,0.0,0.516,0.483
25,0.0,0.516,0.483
26,0.0,0.516,0.483
27,0.0,0.516,0.483
28,0.0,0.516,0.483
29,0.0,0.516,0.483
30,0.0,0.516,0.483
31,0.0,0.516,0.483
32,0.0,0.516,0.483
33,0.0,0.516,0.483
34,0.0,0.516,0.483
35,0.0,0.516,0.483
36,0.0,0.515,0.483
37,0.0,0.515,0.483
38,0.041,0.515,0.483
39,0.041,0.515,0.483
40,0.041,0.515,0.483
41,0.041,0.515,0.483
42,0.041,0.515,0.483
43,0.041,0.515,0.483
44,0.08199999999999999,0.515,0.482
45,0.08199999999999999,0.515,0.482
46,0.08199999999999999,0.515,0.482
47,0.08199999999999999,0.515,0.482
48,0.122,0.515,0.482
49,0.122,0.515,0.482
50,0.122,0.515,0.482
51,0.122,0.515,0.482
52,0.163,0.515,0.482
53,0.163,0.515,0.482
54,0.163,0.515,0.482
55,0.163,0.515,0.482
56,0.163,0.515,0.482
57,0.163,0.515,0.482
58,0.204,0.515,0.482
59,0.204,0.515,0.482
60,0.204,0.515,0.482
61,0.204,0.515,0.482
62,0.246,0.515,0.482
63,0.246,0.515,0.482
64,0.246,0.516,0.482
65,0.246,0.516,0.482
66,0.246,0.516,0.482
67,0.246,0.516,0.482
68,0.287,0.516,0.482
69,0.287,0.516,0.482
70,0.287,0.516,0.482
71,0.287,0.516,0.482
72,0.328,0.516,0.482
73,0.328,0.516,0.482
