,time,2dmu,2dmv
0,0.0,0.7809999999999999,0.531
1,0.0,0.7809999999999999,0.531
2,0.0,0.784,0.532
3,0.0,0.784,0.532
4,0.0,0.7829999999999999,0.534
5,0.0,0.7829999999999999,0.534
6,0.0,0.7829999999999999,0.534
7,0.0,0.7829999999999999,0.534
8,0.0,0.78,0.536
9,0.0,0.78,0.536
10,0.0,0.772,0.537
11,0.0,0.772,0.537
12,0.0,0.772,0.537
13,0.0,0.772,0.537
14,0.0,0.7659999999999999,0.534
15,0.0,0.7659999999999999,0.534
16,0.0,0.7659999999999999,0.534
17,0.0,0.7659999999999999,0.534
18,0.0,0.765,0.5329999999999999
19,0.0,0.765,0.5329999999999999
20,0.0,0.765,0.5329999999999999
21,0.0,0.765,0.5329999999999999
22,0.0,0.747,0.528
23,0.0,0.747,0.528
24,0.0,0.747,0.528
25,0.0,0.747,0.528
26,0.0,0.737,0.526
27,0.0,0.737,0.526
28,0.0,0.737,0.526
29,0.0,0.737,0.526
30,0.0,0.731,0.524
31,0.0,0.731,0.524
32,0.04,0.731,0.524
33,0.04,0.731,0.524
34,0.04,0.726,0.523
35,0.04,0.726,0.523
36,0.04,0.726,0.523
37,0.04,0.726,0.523
38,0.081,0.721,0.521
39,0.081,0.721,0.521
40,0.121,0.7190000000000001,0.519
41,0.121,0.7190000000000001,0.519
42,0.121,0.72,0.519
43,0.121,0.72,0.519
44,0.121,0.7170000000000001,0.518
45,0.121,0.7170000000000001,0.518
46,0.163,0.716,0.516
47,0.163,0.716,0.516
48,0.163,0.716,0.516
49,0.163,0.716,0.516
50,0.203,0.7140000000000001,0.515
51,0.203,0.7140000000000001,0.515
52,0.203,0.713,0.514
53,0.203,0.713,0.514
54,0.244,0.711,0.515
55,0.244,0.711,0.515
56,0.244,0.711,0.515
57,0.244,0.711,0.515
58,0.244,0.71,0.516
59,0.244,0.71,0.516
60,0.285,0.7090000000000001,0.515
61,0.285,0.7090000000000001,0.515
62,0.285,0.7070000000000001,0.515
63,0.285,0.7070000000000001,0.515
64,0.324,0.7070000000000001,0.513
65,0.324,0.7070000000000001,0.513
66,0.324,0.7070000000000001,0.513
67,0.324,0.7070000000000001,0.513
68,0.324,0.705,0.511
69,0.324,0.705,0.511
70,0.365,0.7040000000000001,0.508
71,0.365,0.7040000000000001,0.508
72,0.365,0.7020000000000001,0.506
73,0.365,0.7020000000000001,0.506
74,0.406,0.7,0.504
75,0.406,0.7,0.504
76,0.406,0.7,0.504
77,0.406,0.7,0.504
78,0.406,0.698,0.501
79,0.406,0.698,0.501
80,0.447,0.696,0.499
81,0.447,0.696,0.499
82,0.447,0.695,0.4970000000000001
83,0.447,0.695,0.4970000000000001
84,0.488,0.693,0.496
85,0.488,0.693,0.496
86,0.488,0.6920000000000001,0.495
87,0.488,0.6920000000000001,0.495
88,0.488,0.6920000000000001,0.495
89,0.488,0.6920000000000001,0.495
90,0.529,0.69,0.494
91,0.529,0.69,0.494
92,0.529,0.6890000000000001,0.4920000000000001
93,0.529,0.6890000000000001,0.4920000000000001
94,0.57,0.687,0.491
95,0.57,0.687,0.491
96,0.57,0.687,0.491
97,0.57,0.687,0.491
98,0.61,0.685,0.49
99,0.61,0.685,0.49
100,0.61,0.6829999999999999,0.489
101,0.61,0.6829999999999999,0.489
102,0.61,0.6829999999999999,0.489
103,0.61,0.6829999999999999,0.489
104,0.6509999999999999,0.6809999999999999,0.488
105,0.6509999999999999,0.6809999999999999,0.488
106,0.6509999999999999,0.6809999999999999,0.488
107,0.6509999999999999,0.6809999999999999,0.488
108,0.691,0.6779999999999999,0.488
109,0.691,0.6779999999999999,0.488
110,0.691,0.6759999999999999,0.487
111,0.691,0.6759999999999999,0.487
112,0.691,0.672,0.486
113,0.691,0.672,0.486
114,0.731,0.669,0.485
115,0.731,0.669,0.485
116,0.731,0.665,0.484
117,0.731,0.665,0.484
118,0.772,0.665,0.484
119,0.772,0.665,0.484
120,0.772,0.6609999999999999,0.482
121,0.772,0.6609999999999999,0.482
122,0.772,0.657,0.481
123,0.772,0.657,0.481
124,0.812,0.654,0.479
125,0.812,0.654,0.479
126,0.812,0.654,0.479
127,0.812,0.654,0.479
128,0.853,0.65,0.478
129,0.853,0.65,0.478
130,0.853,0.6459999999999999,0.477
131,0.853,0.6459999999999999,0.477
132,0.893,0.642,0.476
133,0.893,0.642,0.476
134,0.893,0.639,0.475
135,0.893,0.639,0.475
136,0.893,0.639,0.475
137,0.893,0.639,0.475
138,0.933,0.635,0.474
139,0.933,0.635,0.474
140,0.933,0.631,0.474
141,0.933,0.631,0.474
142,0.973,0.627,0.475
143,0.973,0.627,0.475
144,0.973,0.623,0.475
145,0.973,0.623,0.475
146,0.973,0.623,0.475
147,0.973,0.623,0.475
148,1.013,0.623,0.475
149,1.013,0.623,0.475
150,1.013,0.619,0.475
151,1.013,0.619,0.475
152,1.053,0.617,0.476
153,1.053,0.617,0.476
154,1.053,0.611,0.477
155,1.053,0.611,0.477
156,1.094,0.611,0.477
157,1.094,0.611,0.477
158,1.094,0.608,0.478
159,1.094,0.608,0.478
160,1.094,0.605,0.48
161,1.094,0.605,0.48
162,1.134,0.602,0.481
163,1.134,0.602,0.481
164,1.134,0.599,0.482
165,1.134,0.599,0.482
166,1.175,0.599,0.482
167,1.175,0.599,0.482
168,1.175,0.597,0.482
169,1.175,0.597,0.482
170,1.175,0.595,0.483
171,1.175,0.595,0.483
172,1.215,0.593,0.484
173,1.215,0.593,0.484
174,1.215,0.591,0.485
175,1.215,0.591,0.485
176,1.256,0.591,0.485
177,1.256,0.591,0.485
178,1.256,0.588,0.486
179,1.256,0.588,0.486
180,1.256,0.586,0.486
181,1.256,0.586,0.486
182,1.296,0.583,0.487
183,1.296,0.583,0.487
184,1.296,0.583,0.487
185,1.296,0.583,0.487
186,1.336,0.58,0.487
187,1.336,0.58,0.487
188,1.336,0.5770000000000001,0.488
189,1.336,0.5770000000000001,0.488
190,1.375,0.5770000000000001,0.488
191,1.375,0.5770000000000001,0.488
192,1.375,0.574,0.488
193,1.375,0.574,0.488
194,1.375,0.574,0.488
195,1.375,0.574,0.488
196,1.415,0.5710000000000001,0.489
197,1.415,0.5710000000000001,0.489
198,1.415,0.569,0.489
199,1.415,0.569,0.489
200,1.455,0.568,0.49
201,1.455,0.568,0.49
202,1.455,0.5670000000000001,0.4920000000000001
203,1.455,0.5670000000000001,0.4920000000000001
204,1.455,0.5670000000000001,0.4920000000000001
205,1.455,0.5670000000000001,0.4920000000000001
206,1.495,0.565,0.493
207,1.495,0.565,0.493
208,1.495,0.564,0.494
209,1.495,0.564,0.494
210,1.536,0.563,0.496
211,1.536,0.563,0.496
212,1.536,0.562,0.4970000000000001
213,1.536,0.562,0.4970000000000001
214,1.5759999999999998,0.561,0.499
215,1.5759999999999998,0.561,0.499
216,1.5759999999999998,0.561,0.499
217,1.5759999999999998,0.561,0.499
218,1.5759999999999998,0.56,0.5
219,1.5759999999999998,0.56,0.5
220,1.617,0.5589999999999999,0.501
221,1.617,0.5589999999999999,0.501
222,1.617,0.557,0.502
223,1.617,0.557,0.502
224,1.6569999999999998,0.557,0.502
225,1.6569999999999998,0.557,0.502
226,1.6569999999999998,0.557,0.503
227,1.6569999999999998,0.557,0.503
228,1.6569999999999998,0.556,0.504
229,1.6569999999999998,0.556,0.504
230,1.6969999999999998,0.557,0.504
231,1.6969999999999998,0.557,0.504
232,1.6969999999999998,0.556,0.505
233,1.6969999999999998,0.556,0.505
234,1.737,0.556,0.505
235,1.737,0.556,0.505
236,1.737,0.556,0.506
237,1.737,0.556,0.506
238,1.776,0.556,0.506
239,1.776,0.556,0.506
240,1.776,0.556,0.508
241,1.776,0.556,0.508
242,1.776,0.556,0.508
243,1.776,0.556,0.508
244,1.817,0.556,0.508
245,1.817,0.556,0.508
246,1.817,0.557,0.509
247,1.817,0.557,0.509
248,1.857,0.557,0.509
249,1.857,0.557,0.509
250,1.857,0.5579999999999999,0.509
251,1.857,0.5579999999999999,0.509
252,1.857,0.5579999999999999,0.509
253,1.857,0.5579999999999999,0.509
254,1.897,0.5589999999999999,0.509
255,1.897,0.5589999999999999,0.509
256,1.897,0.5589999999999999,0.509
257,1.897,0.5589999999999999,0.509
258,1.938,0.5589999999999999,0.509
259,1.938,0.5589999999999999,0.509
260,1.938,0.5589999999999999,0.509
261,1.938,0.5589999999999999,0.509
262,1.978,0.56,0.509
263,1.978,0.56,0.509
264,1.978,0.56,0.509
265,1.978,0.56,0.509
266,1.978,0.56,0.51
267,1.978,0.56,0.51
268,2.019,0.56,0.51
269,2.019,0.56,0.51
270,2.019,0.56,0.51
271,2.019,0.56,0.51
272,2.06,0.56,0.51
273,2.06,0.56,0.51
274,2.06,0.561,0.51
275,2.06,0.561,0.51
276,2.06,0.561,0.51
277,2.06,0.561,0.51
278,2.1,0.562,0.509
279,2.1,0.562,0.509
280,2.1,0.563,0.509
281,2.1,0.563,0.509
282,2.14,0.563,0.509
283,2.14,0.563,0.509
284,2.14,0.564,0.51
285,2.14,0.564,0.51
286,2.14,0.5660000000000001,0.51
287,2.14,0.5660000000000001,0.51
288,2.18,0.5670000000000001,0.51
289,2.18,0.5670000000000001,0.51
290,2.18,0.569,0.511
291,2.18,0.569,0.511
292,2.221,0.569,0.511
293,2.221,0.569,0.511
294,2.221,0.5720000000000001,0.511
295,2.221,0.5720000000000001,0.511
296,2.261,0.575,0.511
297,2.261,0.575,0.511
298,2.261,0.578,0.511
299,2.261,0.578,0.511
300,2.261,0.581,0.51
301,2.261,0.581,0.51
302,2.301,0.585,0.51
303,2.301,0.585,0.51
304,2.301,0.585,0.51
305,2.301,0.585,0.51
