,time,2dmu,2dmv
0,0.0,0.588,0.476
1,0.0,0.588,0.476
2,0.0,0.585,0.477
3,0.0,0.585,0.477
4,0.0,0.585,0.477
5,0.0,0.585,0.477
6,0.0,0.58,0.476
7,0.0,0.58,0.476
8,0.0,0.58,0.476
9,0.0,0.58,0.476
10,0.0,0.5720000000000001,0.476
11,0.0,0.5720000000000001,0.476
12,0.0,0.5720000000000001,0.476
13,0.0,0.5720000000000001,0.476
14,0.0,0.568,0.478
15,0.0,0.568,0.478
16,0.0,0.568,0.478
17,0.0,0.568,0.478
18,0.0,0.5660000000000001,0.48
19,0.0,0.5660000000000001,0.48
20,0.0,0.5660000000000001,0.48
21,0.0,0.5660000000000001,0.48
22,0.0,0.561,0.478
23,0.0,0.561,0.478
24,0.0,0.561,0.478
25,0.0,0.561,0.478
26,0.0,0.555,0.478
27,0.0,0.555,0.478
28,0.0,0.555,0.478
29,0.0,0.555,0.478
30,0.0,0.55,0.476
31,0.0,0.55,0.476
32,0.0,0.55,0.476
33,0.0,0.55,0.476
34,0.0,0.5479999999999999,0.477
35,0.0,0.5479999999999999,0.477
36,0.0,0.545,0.478
37,0.0,0.545,0.478
38,0.0,0.545,0.478
39,0.0,0.545,0.478
40,0.0,0.5429999999999999,0.48
41,0.0,0.5429999999999999,0.48
42,0.0,0.541,0.482
43,0.0,0.541,0.482
44,0.0,0.5379999999999999,0.483
45,0.0,0.5379999999999999,0.483
46,0.0,0.536,0.485
47,0.0,0.536,0.485
48,0.0,0.536,0.485
49,0.0,0.536,0.485
50,0.016,0.536,0.485
51,0.016,0.536,0.485
52,0.016,0.534,0.485
53,0.016,0.534,0.485
54,0.055,0.532,0.485
55,0.055,0.532,0.485
56,0.055,0.53,0.485
57,0.055,0.53,0.485
58,0.096,0.53,0.485
59,0.096,0.53,0.485
60,0.096,0.528,0.484
61,0.096,0.528,0.484
62,0.096,0.526,0.484
63,0.096,0.526,0.484
64,0.13699999999999998,0.524,0.484
65,0.13699999999999998,0.524,0.484
66,0.13699999999999998,0.522,0.483
67,0.13699999999999998,0.522,0.483
68,0.177,0.52,0.482
69,0.177,0.52,0.482
70,0.177,0.52,0.482
71,0.177,0.52,0.482
72,0.177,0.518,0.481
73,0.177,0.518,0.481
74,0.217,0.516,0.479
75,0.217,0.516,0.479
76,0.217,0.515,0.479
77,0.217,0.515,0.479
78,0.257,0.515,0.479
79,0.257,0.515,0.479
80,0.257,0.513,0.479
81,0.257,0.513,0.479
82,0.257,0.511,0.479
83,0.257,0.511,0.479
84,0.297,0.511,0.479
85,0.297,0.511,0.479
86,0.297,0.509,0.479
87,0.297,0.509,0.479
88,0.338,0.509,0.479
89,0.338,0.509,0.479
90,0.338,0.508,0.479
91,0.338,0.508,0.479
92,0.378,0.506,0.478
93,0.378,0.506,0.478
94,0.378,0.504,0.477
95,0.378,0.504,0.477
96,0.378,0.503,0.476
97,0.378,0.503,0.476
98,0.42,0.503,0.476
99,0.42,0.503,0.476
100,0.42,0.502,0.474
101,0.42,0.502,0.474
102,0.46,0.502,0.474
103,0.46,0.502,0.474
104,0.46,0.501,0.473
105,0.46,0.501,0.473
106,0.46,0.501,0.474
107,0.46,0.501,0.474
108,0.501,0.501,0.474
109,0.501,0.501,0.474
110,0.501,0.501,0.474
111,0.501,0.501,0.474
112,0.542,0.501,0.475
113,0.542,0.501,0.475
114,0.542,0.501,0.475
115,0.542,0.501,0.475
116,0.542,0.501,0.475
117,0.542,0.501,0.475
118,0.583,0.501,0.475
119,0.583,0.501,0.475
120,0.583,0.501,0.476
121,0.583,0.501,0.476
122,0.623,0.501,0.476
123,0.623,0.501,0.476
124,0.623,0.501,0.476
125,0.623,0.501,0.476
126,0.6629999999999999,0.501,0.476
127,0.6629999999999999,0.501,0.476
128,0.6629999999999999,0.501,0.476
129,0.6629999999999999,0.501,0.476
130,0.6629999999999999,0.502,0.476
131,0.6629999999999999,0.502,0.476
132,0.7040000000000001,0.502,0.474
133,0.7040000000000001,0.502,0.474
134,0.7040000000000001,0.502,0.472
135,0.7040000000000001,0.502,0.472
136,0.7440000000000001,0.502,0.472
137,0.7440000000000001,0.502,0.472
138,0.7440000000000001,0.502,0.47
139,0.7440000000000001,0.502,0.47
140,0.7440000000000001,0.502,0.468
141,0.7440000000000001,0.502,0.468
142,0.785,0.502,0.467
143,0.785,0.502,0.467
144,0.785,0.502,0.467
145,0.785,0.502,0.467
146,0.825,0.502,0.467
147,0.825,0.502,0.467
148,0.825,0.502,0.467
149,0.825,0.502,0.467
150,0.825,0.502,0.467
151,0.825,0.502,0.467
152,0.865,0.502,0.467
153,0.865,0.502,0.467
154,0.865,0.503,0.467
155,0.865,0.503,0.467
156,0.906,0.503,0.467
157,0.906,0.503,0.467
158,0.906,0.503,0.467
159,0.906,0.503,0.467
160,0.946,0.503,0.466
161,0.946,0.503,0.466
162,0.946,0.504,0.466
163,0.946,0.504,0.466
164,0.946,0.505,0.466
165,0.946,0.505,0.466
166,0.986,0.505,0.466
167,0.986,0.505,0.466
168,0.986,0.505,0.466
169,0.986,0.505,0.466
170,1.026,0.505,0.466
171,1.026,0.505,0.466
172,1.026,0.505,0.466
173,1.026,0.505,0.466
174,1.026,0.506,0.466
175,1.026,0.506,0.466
176,1.0659999999999998,0.506,0.466
177,1.0659999999999998,0.506,0.466
178,1.0659999999999998,0.506,0.466
179,1.0659999999999998,0.506,0.466
180,1.107,0.506,0.466
181,1.107,0.506,0.466
182,1.107,0.506,0.465
183,1.107,0.506,0.465
184,1.107,0.506,0.465
185,1.107,0.506,0.465
186,1.148,0.506,0.465
187,1.148,0.506,0.465
188,1.148,0.506,0.466
189,1.148,0.506,0.466
190,1.189,0.505,0.466
191,1.189,0.505,0.466
192,1.189,0.505,0.466
193,1.189,0.505,0.466
194,1.229,0.505,0.466
195,1.229,0.505,0.466
196,1.229,0.505,0.466
197,1.229,0.505,0.466
198,1.229,0.505,0.466
199,1.229,0.505,0.466
200,1.27,0.505,0.467
201,1.27,0.505,0.467
202,1.27,0.505,0.467
203,1.27,0.505,0.467
204,1.31,0.505,0.467
205,1.31,0.505,0.467
206,1.31,0.505,0.467
207,1.31,0.505,0.467
208,1.31,0.505,0.468
209,1.31,0.505,0.468
210,1.35,0.505,0.469
211,1.35,0.505,0.469
212,1.35,0.505,0.469
213,1.35,0.505,0.469
214,1.39,0.505,0.469
215,1.39,0.505,0.469
216,1.39,0.505,0.471
217,1.39,0.505,0.471
218,1.39,0.505,0.472
219,1.39,0.505,0.472
220,1.431,0.505,0.473
221,1.431,0.505,0.473
222,1.431,0.506,0.473
223,1.431,0.506,0.473
224,1.472,0.506,0.473
225,1.472,0.506,0.473
226,1.472,0.506,0.474
227,1.472,0.506,0.474
228,1.511,0.506,0.475
229,1.511,0.506,0.475
230,1.511,0.506,0.475
231,1.511,0.506,0.475
232,1.511,0.506,0.476
233,1.511,0.506,0.476
234,1.551,0.506,0.476
235,1.551,0.506,0.476
236,1.551,0.506,0.477
237,1.551,0.506,0.477
238,1.592,0.506,0.477
239,1.592,0.506,0.477
240,1.592,0.506,0.478
241,1.592,0.506,0.478
242,1.592,0.506,0.478
243,1.592,0.506,0.478
244,1.634,0.506,0.479
245,1.634,0.506,0.479
246,1.634,0.506,0.479
247,1.634,0.506,0.479
248,1.6740000000000002,0.506,0.48
249,1.6740000000000002,0.506,0.48
250,1.6740000000000002,0.506,0.48
251,1.6740000000000002,0.506,0.48
252,1.6740000000000002,0.506,0.48
253,1.6740000000000002,0.506,0.48
254,1.715,0.506,0.481
255,1.715,0.506,0.481
256,1.715,0.506,0.481
257,1.715,0.506,0.481
258,1.755,0.506,0.481
259,1.755,0.506,0.481
260,1.755,0.506,0.481
261,1.755,0.506,0.481
262,1.796,0.505,0.481
263,1.796,0.505,0.481
264,1.796,0.505,0.48
265,1.796,0.505,0.48
266,1.796,0.505,0.48
267,1.796,0.505,0.48
268,1.836,0.505,0.479
269,1.836,0.505,0.479
270,1.836,0.505,0.479
271,1.836,0.505,0.479
272,1.876,0.505,0.479
273,1.876,0.505,0.479
274,1.876,0.505,0.479
275,1.876,0.505,0.479
276,1.876,0.505,0.479
277,1.876,0.505,0.479
278,1.916,0.506,0.479
279,1.916,0.506,0.479
280,1.916,0.506,0.479
281,1.916,0.506,0.479
282,1.956,0.505,0.479
283,1.956,0.505,0.479
284,1.956,0.505,0.48
285,1.956,0.505,0.48
286,1.996,0.505,0.481
287,1.996,0.505,0.481
288,1.996,0.505,0.481
289,1.996,0.505,0.481
290,1.996,0.505,0.481
291,1.996,0.505,0.481
292,2.037,0.505,0.481
293,2.037,0.505,0.481
294,2.037,0.504,0.482
295,2.037,0.504,0.482
296,2.076,0.504,0.483
297,2.076,0.504,0.483
298,2.076,0.504,0.483
299,2.076,0.504,0.483
300,2.076,0.504,0.484
301,2.076,0.504,0.484
302,2.116,0.504,0.484
303,2.116,0.504,0.484
304,2.116,0.504,0.485
305,2.116,0.504,0.485
306,2.157,0.503,0.486
307,2.157,0.503,0.486
308,2.157,0.503,0.487
309,2.157,0.503,0.487
310,2.157,0.503,0.487
311,2.157,0.503,0.487
312,2.197,0.503,0.488
313,2.197,0.503,0.488
314,2.197,0.503,0.487
315,2.197,0.503,0.487
316,2.238,0.503,0.487
317,2.238,0.503,0.487
318,2.238,0.503,0.487
319,2.238,0.503,0.487
320,2.278,0.503,0.487
321,2.278,0.503,0.487
322,2.278,0.503,0.485
323,2.278,0.503,0.485
324,2.278,0.502,0.483
325,2.278,0.502,0.483
326,2.318,0.503,0.481
327,2.318,0.503,0.481
328,2.318,0.503,0.481
329,2.318,0.503,0.481
330,2.358,0.503,0.479
331,2.358,0.503,0.479
332,2.358,0.503,0.476
333,2.358,0.503,0.476
334,2.358,0.504,0.476
335,2.358,0.504,0.476
336,2.399,0.504,0.476
337,2.399,0.504,0.476
338,2.399,0.504,0.476
339,2.399,0.504,0.476
340,2.439,0.504,0.475
341,2.439,0.504,0.475
342,2.439,0.504,0.475
343,2.439,0.504,0.475
344,2.439,0.504,0.475
345,2.439,0.504,0.475
346,2.481,0.504,0.475
347,2.481,0.504,0.475
348,2.481,0.504,0.475
349,2.481,0.504,0.475
350,2.521,0.505,0.473
351,2.521,0.505,0.473
352,2.521,0.505,0.472
353,2.521,0.505,0.472
354,2.5610000000000004,0.505,0.471
355,2.5610000000000004,0.505,0.471
356,2.5610000000000004,0.506,0.47
357,2.5610000000000004,0.506,0.47
358,2.5610000000000004,0.506,0.47
359,2.5610000000000004,0.506,0.47
360,2.602,0.507,0.469
361,2.602,0.507,0.469
362,2.602,0.508,0.468
363,2.602,0.508,0.468
364,2.643,0.509,0.467
365,2.643,0.509,0.467
366,2.643,0.509,0.467
367,2.643,0.509,0.467
368,2.643,0.511,0.466
369,2.643,0.511,0.466
370,2.6830000000000003,0.512,0.464
371,2.6830000000000003,0.512,0.464
372,2.6830000000000003,0.513,0.464
373,2.6830000000000003,0.513,0.464
374,2.724,0.513,0.464
375,2.724,0.513,0.464
376,2.724,0.513,0.464
377,2.724,0.513,0.464
378,2.724,0.514,0.464
379,2.724,0.514,0.464
380,2.765,0.515,0.462
381,2.765,0.515,0.462
382,2.765,0.516,0.461
383,2.765,0.516,0.461
384,2.805,0.517,0.462
385,2.805,0.517,0.462
386,2.805,0.517,0.462
387,2.805,0.517,0.462
388,2.845,0.518,0.462
389,2.845,0.518,0.462
390,2.845,0.519,0.462
391,2.845,0.519,0.462
392,2.845,0.52,0.462
393,2.845,0.52,0.462
394,2.885,0.521,0.462
395,2.885,0.521,0.462
396,2.885,0.521,0.462
397,2.885,0.521,0.462
398,2.925,0.522,0.462
399,2.925,0.522,0.462
400,2.925,0.524,0.462
401,2.925,0.524,0.462
402,2.925,0.526,0.463
403,2.925,0.526,0.463
404,2.966,0.527,0.465
405,2.966,0.527,0.465
406,2.966,0.527,0.465
407,2.966,0.527,0.465
408,3.007,0.53,0.465
409,3.007,0.53,0.465
410,3.007,0.531,0.465
411,3.007,0.531,0.465
412,3.007,0.5329999999999999,0.466
413,3.007,0.5329999999999999,0.466
414,3.047,0.5329999999999999,0.466
415,3.047,0.5329999999999999,0.466
416,3.047,0.534,0.467
417,3.047,0.534,0.467
418,3.087,0.535,0.467
419,3.087,0.535,0.467
420,3.087,0.536,0.468
421,3.087,0.536,0.468
422,3.129,0.535,0.47
423,3.129,0.535,0.47
424,3.129,0.535,0.47
425,3.129,0.535,0.47
426,3.129,0.535,0.472
427,3.129,0.535,0.472
428,3.169,0.536,0.473
429,3.169,0.536,0.473
430,3.169,0.535,0.474
431,3.169,0.535,0.474
432,3.209,0.535,0.473
433,3.209,0.535,0.473
434,3.209,0.535,0.473
435,3.209,0.535,0.473
436,3.209,0.535,0.473
437,3.209,0.535,0.473
438,3.25,0.535,0.473
439,3.25,0.535,0.473
440,3.25,0.535,0.473
441,3.25,0.535,0.473
442,3.29,0.534,0.472
443,3.29,0.534,0.472
444,3.29,0.534,0.472
445,3.29,0.534,0.472
446,3.33,0.5329999999999999,0.471
447,3.33,0.5329999999999999,0.471
448,3.33,0.5329999999999999,0.47
449,3.33,0.5329999999999999,0.47
450,3.33,0.532,0.47
451,3.33,0.532,0.47
452,3.37,0.531,0.467
453,3.37,0.531,0.467
454,3.37,0.531,0.467
455,3.37,0.531,0.467
456,3.41,0.53,0.465
457,3.41,0.53,0.465
458,3.41,0.529,0.463
459,3.41,0.529,0.463
460,3.41,0.528,0.462
461,3.41,0.528,0.462
462,3.45,0.528,0.461
463,3.45,0.528,0.461
464,3.45,0.528,0.461
465,3.45,0.528,0.461
466,3.491,0.527,0.459
467,3.491,0.527,0.459
468,3.491,0.526,0.458
469,3.491,0.526,0.458
470,3.491,0.525,0.456
471,3.491,0.525,0.456
472,3.531,0.525,0.454
473,3.531,0.525,0.454
474,3.531,0.525,0.454
475,3.531,0.525,0.454
476,3.571,0.524,0.451
477,3.571,0.524,0.451
478,3.571,0.524,0.45
479,3.571,0.524,0.45
480,3.613,0.524,0.448
481,3.613,0.524,0.448
482,3.613,0.524,0.446
483,3.613,0.524,0.446
484,3.613,0.524,0.446
485,3.613,0.524,0.446
486,3.654,0.524,0.445
487,3.654,0.524,0.445
488,3.654,0.525,0.445
489,3.654,0.525,0.445
490,3.694,0.525,0.444
491,3.694,0.525,0.444
492,3.694,0.525,0.444
493,3.694,0.525,0.444
494,3.694,0.525,0.444
495,3.694,0.525,0.444
496,3.734,0.526,0.444
497,3.734,0.526,0.444
498,3.734,0.526,0.443
499,3.734,0.526,0.443
500,3.775,0.527,0.442
501,3.775,0.527,0.442
502,3.775,0.527,0.442
503,3.775,0.527,0.442
504,3.775,0.527,0.441
505,3.775,0.527,0.441
506,3.815,0.528,0.441
507,3.815,0.528,0.441
508,3.815,0.529,0.441
509,3.815,0.529,0.441
510,3.856,0.529,0.441
511,3.856,0.529,0.441
512,3.856,0.529,0.441
513,3.856,0.529,0.441
514,3.856,0.53,0.442
515,3.856,0.53,0.442
516,3.897,0.531,0.443
517,3.897,0.531,0.443
518,3.897,0.531,0.443
519,3.897,0.531,0.443
520,3.938,0.532,0.444
521,3.938,0.532,0.444
522,3.938,0.532,0.444
523,3.938,0.532,0.444
524,3.978,0.532,0.444
525,3.978,0.532,0.444
526,3.978,0.5329999999999999,0.446
527,3.978,0.5329999999999999,0.446
528,3.978,0.534,0.447
529,3.978,0.534,0.447
530,4.018,0.534,0.447
531,4.018,0.534,0.447
532,4.018,0.534,0.447
533,4.018,0.534,0.447
534,4.058,0.535,0.449
535,4.058,0.535,0.449
536,4.058,0.535,0.45
537,4.058,0.535,0.45
538,4.058,0.536,0.452
539,4.058,0.536,0.452
540,4.099,0.536,0.453
541,4.099,0.536,0.453
542,4.099,0.536,0.453
543,4.099,0.536,0.453
544,4.14,0.536,0.455
545,4.14,0.536,0.455
546,4.14,0.536,0.457
