,time,2dmu,2dmv
0,0.0,0.506,0.455
1,0.0,0.506,0.455
2,0.0,0.506,0.455
3,0.0,0.506,0.455
4,0.0,0.506,0.455
5,0.0,0.506,0.455
6,0.0,0.506,0.455
7,0.0,0.506,0.455
8,0.0,0.506,0.455
9,0.0,0.506,0.455
10,0.0,0.506,0.455
11,0.0,0.506,0.455
12,0.0,0.506,0.455
13,0.0,0.506,0.455
14,0.0,0.506,0.455
15,0.0,0.506,0.455
16,0.0,0.506,0.454
17,0.0,0.506,0.454
18,0.0,0.506,0.454
19,0.0,0.506,0.454
20,0.0,0.506,0.454
21,0.0,0.506,0.454
22,0.0,0.506,0.454
23,0.0,0.506,0.454
24,0.0,0.506,0.454
25,0.0,0.506,0.454
26,0.0,0.506,0.454
27,0.0,0.506,0.454
28,0.0,0.506,0.454
29,0.0,0.506,0.454
30,0.0,0.506,0.454
31,0.0,0.506,0.454
32,0.0,0.506,0.455
33,0.0,0.506,0.455
34,0.0,0.506,0.455
35,0.0,0.506,0.455
36,0.0,0.506,0.455
37,0.0,0.506,0.455
38,0.0,0.506,0.455
39,0.0,0.506,0.455
40,0.0,0.506,0.455
41,0.0,0.506,0.455
42,0.0,0.506,0.455
43,0.0,0.506,0.455
44,0.021,0.506,0.454
45,0.021,0.506,0.454
46,0.021,0.506,0.454
47,0.021,0.506,0.454
48,0.062,0.506,0.454
49,0.062,0.506,0.454
50,0.062,0.506,0.453
51,0.062,0.506,0.453
52,0.102,0.506,0.453
53,0.102,0.506,0.453
54,0.102,0.507,0.453
55,0.102,0.507,0.453
56,0.102,0.507,0.453
57,0.102,0.507,0.453
58,0.14400000000000002,0.507,0.453
59,0.14400000000000002,0.507,0.453
60,0.14400000000000002,0.507,0.453
61,0.14400000000000002,0.507,0.453
62,0.184,0.507,0.453
63,0.184,0.507,0.453
64,0.184,0.507,0.453
65,0.184,0.507,0.453
66,0.184,0.507,0.453
67,0.184,0.507,0.453
68,0.224,0.507,0.453
69,0.224,0.507,0.453
70,0.224,0.507,0.453
71,0.224,0.507,0.453
72,0.264,0.507,0.453
73,0.264,0.507,0.453
74,0.264,0.507,0.453
75,0.264,0.507,0.453
76,0.264,0.507,0.453
77,0.264,0.507,0.453
78,0.304,0.507,0.453
79,0.304,0.507,0.453
80,0.304,0.507,0.453
81,0.304,0.507,0.453
82,0.345,0.506,0.453
83,0.345,0.506,0.453
84,0.345,0.506,0.452
85,0.345,0.506,0.452
86,0.385,0.506,0.452
87,0.385,0.506,0.452
88,0.385,0.506,0.452
89,0.385,0.506,0.452
90,0.385,0.506,0.451
91,0.385,0.506,0.451
92,0.425,0.506,0.451
93,0.425,0.506,0.451
94,0.425,0.506,0.451
95,0.425,0.506,0.451
96,0.465,0.506,0.451
97,0.465,0.506,0.451
98,0.465,0.505,0.451
99,0.465,0.505,0.451
100,0.465,0.505,0.451
101,0.465,0.505,0.451
102,0.507,0.505,0.451
103,0.507,0.505,0.451
104,0.507,0.505,0.451
105,0.507,0.505,0.451
106,0.547,0.505,0.451
107,0.547,0.505,0.451
108,0.547,0.505,0.451
109,0.547,0.505,0.451
110,0.5870000000000001,0.505,0.451
111,0.5870000000000001,0.505,0.451
112,0.5870000000000001,0.505,0.451
113,0.5870000000000001,0.505,0.451
114,0.5870000000000001,0.505,0.451
115,0.5870000000000001,0.505,0.451
116,0.628,0.505,0.451
117,0.628,0.505,0.451
118,0.628,0.506,0.452
