,time,2dmu,2dmv
0,0.0,0.493,0.491
1,0.0,0.493,0.491
2,0.0,0.493,0.491
3,0.0,0.493,0.491
4,0.0,0.493,0.491
5,0.0,0.493,0.491
6,0.0,0.493,0.491
7,0.0,0.493,0.491
8,0.0,0.493,0.4920000000000001
9,0.0,0.493,0.4920000000000001
10,0.0,0.493,0.4920000000000001
11,0.0,0.493,0.4920000000000001
12,0.0,0.493,0.4920000000000001
13,0.0,0.493,0.4920000000000001
14,0.0,0.493,0.4920000000000001
15,0.0,0.493,0.4920000000000001
16,0.0,0.493,0.493
17,0.0,0.493,0.493
18,0.0,0.493,0.493
19,0.0,0.493,0.493
20,0.0,0.493,0.493
21,0.0,0.493,0.493
22,0.0,0.493,0.493
23,0.0,0.493,0.493
24,0.0,0.494,0.494
25,0.0,0.494,0.494
26,0.0,0.494,0.494
27,0.0,0.494,0.494
28,0.0,0.494,0.494
29,0.0,0.494,0.494
30,0.0,0.495,0.494
31,0.0,0.495,0.494
32,0.0,0.495,0.494
33,0.0,0.495,0.494
34,0.0,0.495,0.494
35,0.0,0.495,0.494
36,0.0,0.495,0.494
37,0.0,0.495,0.494
38,0.0,0.496,0.494
39,0.0,0.496,0.494
40,0.0,0.496,0.494
41,0.0,0.496,0.494
42,0.0,0.496,0.494
43,0.0,0.496,0.494
44,0.0,0.496,0.494
45,0.0,0.496,0.494
46,0.041,0.496,0.493
47,0.041,0.496,0.493
48,0.041,0.496,0.493
49,0.041,0.496,0.493
50,0.081,0.496,0.493
51,0.081,0.496,0.493
52,0.081,0.4970000000000001,0.4920000000000001
53,0.081,0.4970000000000001,0.4920000000000001
54,0.081,0.4970000000000001,0.4920000000000001
55,0.081,0.4970000000000001,0.4920000000000001
56,0.121,0.4970000000000001,0.4920000000000001
57,0.121,0.4970000000000001,0.4920000000000001
58,0.121,0.496,0.491
59,0.121,0.496,0.491
60,0.163,0.496,0.491
61,0.163,0.496,0.491
62,0.163,0.496,0.491
63,0.163,0.496,0.491
64,0.163,0.496,0.491
65,0.163,0.496,0.491
66,0.203,0.496,0.491
67,0.203,0.496,0.491
68,0.203,0.496,0.49
69,0.203,0.496,0.49
70,0.244,0.496,0.49
71,0.244,0.496,0.49
72,0.244,0.496,0.49
73,0.244,0.496,0.49
74,0.285,0.496,0.489
75,0.285,0.496,0.489
76,0.285,0.496,0.488
77,0.285,0.496,0.488
78,0.285,0.495,0.487
79,0.285,0.495,0.487
80,0.326,0.495,0.484
81,0.326,0.495,0.484
82,0.326,0.495,0.484
83,0.326,0.495,0.484
84,0.365,0.495,0.483
85,0.365,0.495,0.483
86,0.365,0.495,0.482
87,0.365,0.495,0.482
88,0.365,0.495,0.481
89,0.365,0.495,0.481
90,0.406,0.495,0.481
91,0.406,0.495,0.481
92,0.406,0.494,0.481
93,0.406,0.494,0.481
94,0.446,0.494,0.481
95,0.446,0.494,0.481
96,0.446,0.494,0.481
97,0.446,0.494,0.481
98,0.446,0.493,0.48
99,0.446,0.493,0.48
100,0.487,0.493,0.48
101,0.487,0.493,0.48
102,0.487,0.493,0.481
103,0.487,0.493,0.481
104,0.528,0.4920000000000001,0.481
105,0.528,0.4920000000000001,0.481
106,0.528,0.491,0.481
107,0.528,0.491,0.481
108,0.568,0.49,0.482
109,0.568,0.49,0.482
110,0.568,0.49,0.482
111,0.568,0.49,0.482
112,0.568,0.49,0.482
113,0.568,0.49,0.482
114,0.608,0.489,0.483
115,0.608,0.489,0.483
116,0.608,0.488,0.483
117,0.608,0.488,0.483
118,0.648,0.487,0.484
119,0.648,0.487,0.484
120,0.648,0.486,0.485
121,0.648,0.486,0.485
122,0.648,0.486,0.485
123,0.648,0.486,0.485
124,0.688,0.486,0.485
125,0.688,0.486,0.485
126,0.688,0.485,0.486
127,0.688,0.485,0.486
128,0.728,0.484,0.486
129,0.728,0.484,0.486
130,0.728,0.484,0.486
131,0.728,0.484,0.486
132,0.728,0.484,0.486
133,0.728,0.484,0.486
134,0.77,0.483,0.487
135,0.77,0.483,0.487
136,0.77,0.483,0.486
137,0.77,0.483,0.486
138,0.81,0.482,0.486
139,0.81,0.482,0.486
140,0.81,0.482,0.486
141,0.81,0.482,0.486
142,0.85,0.482,0.486
143,0.85,0.482,0.486
144,0.85,0.481,0.486
145,0.85,0.481,0.486
146,0.85,0.48,0.487
147,0.85,0.48,0.487
148,0.8909999999999999,0.479,0.487
149,0.8909999999999999,0.479,0.487
150,0.8909999999999999,0.479,0.487
151,0.8909999999999999,0.479,0.487
152,0.932,0.478,0.487
153,0.932,0.478,0.487
154,0.932,0.477,0.487
155,0.932,0.477,0.487
156,0.932,0.476,0.487
157,0.932,0.476,0.487
158,0.972,0.475,0.488
159,0.972,0.475,0.488
160,0.972,0.473,0.489
161,0.972,0.473,0.489
162,1.013,0.473,0.489
163,1.013,0.473,0.489
164,1.013,0.472,0.489
165,1.013,0.472,0.489
166,1.013,0.47,0.49
167,1.013,0.47,0.49
168,1.053,0.468,0.491
169,1.053,0.468,0.491
170,1.053,0.468,0.491
171,1.053,0.468,0.491
172,1.093,0.465,0.4920000000000001
173,1.093,0.465,0.4920000000000001
