,time,2dmu,2dmv
0,0.0,0.509,0.506
1,0.0,0.509,0.506
2,0.0,0.509,0.506
3,0.0,0.509,0.506
4,0.0,0.509,0.506
5,0.0,0.509,0.506
6,0.0,0.509,0.506
7,0.0,0.509,0.506
8,0.0,0.508,0.506
9,0.0,0.508,0.506
10,0.0,0.507,0.506
11,0.0,0.507,0.506
12,0.0,0.507,0.506
13,0.0,0.507,0.506
14,0.0,0.507,0.506
15,0.0,0.507,0.506
16,0.0,0.506,0.506
17,0.0,0.506,0.506
18,0.0,0.506,0.506
19,0.0,0.506,0.506
20,0.0,0.505,0.506
21,0.0,0.505,0.506
22,0.0,0.505,0.506
23,0.0,0.505,0.506
24,0.0,0.504,0.506
25,0.0,0.504,0.506
26,0.0,0.504,0.506
27,0.0,0.504,0.506
28,0.0,0.504,0.506
29,0.0,0.504,0.506
30,0.0,0.503,0.507
31,0.0,0.503,0.507
32,0.0,0.503,0.507
33,0.0,0.503,0.507
34,0.0,0.502,0.507
35,0.0,0.502,0.507
36,0.0,0.502,0.507
37,0.0,0.502,0.507
38,0.0,0.502,0.507
39,0.0,0.502,0.507
40,0.0,0.502,0.507
41,0.0,0.502,0.507
42,0.0,0.502,0.507
43,0.0,0.502,0.507
44,0.0,0.502,0.507
45,0.0,0.502,0.507
46,0.0,0.501,0.507
47,0.0,0.501,0.507
48,0.019,0.501,0.507
49,0.019,0.501,0.507
50,0.019,0.501,0.507
51,0.019,0.501,0.507
52,0.059,0.501,0.507
53,0.059,0.501,0.507
54,0.059,0.501,0.507
55,0.059,0.501,0.507
56,0.059,0.501,0.507
57,0.059,0.501,0.507
58,0.1,0.501,0.507
59,0.1,0.501,0.507
60,0.1,0.501,0.507
61,0.1,0.501,0.507
62,0.141,0.501,0.507
63,0.141,0.501,0.507
64,0.141,0.501,0.507
65,0.141,0.501,0.507
66,0.141,0.501,0.506
67,0.141,0.501,0.506
68,0.182,0.501,0.506
69,0.182,0.501,0.506
70,0.182,0.501,0.506
71,0.182,0.501,0.506
72,0.223,0.501,0.506
73,0.223,0.501,0.506
74,0.223,0.502,0.506
75,0.223,0.502,0.506
76,0.223,0.502,0.505
77,0.223,0.502,0.505
78,0.263,0.503,0.505
79,0.263,0.503,0.505
80,0.263,0.503,0.505
81,0.263,0.503,0.505
82,0.304,0.504,0.504
83,0.304,0.504,0.504
84,0.304,0.505,0.503
85,0.304,0.505,0.503
86,0.344,0.506,0.503
87,0.344,0.506,0.503
88,0.344,0.506,0.503
89,0.344,0.506,0.503
90,0.344,0.507,0.502
91,0.344,0.507,0.502
92,0.385,0.51,0.501
93,0.385,0.51,0.501
94,0.385,0.512,0.501
95,0.385,0.512,0.501
96,0.425,0.513,0.501
97,0.425,0.513,0.501
98,0.425,0.517,0.501
99,0.425,0.517,0.501
100,0.425,0.517,0.501
101,0.425,0.517,0.501
102,0.465,0.521,0.501
103,0.465,0.521,0.501
104,0.465,0.525,0.501
105,0.465,0.525,0.501
106,0.505,0.53,0.502
107,0.505,0.53,0.502
108,0.505,0.535,0.503
109,0.505,0.535,0.503
110,0.505,0.54,0.504
111,0.505,0.54,0.504
112,0.547,0.54,0.504
113,0.547,0.54,0.504
114,0.547,0.546,0.505
115,0.547,0.546,0.505
116,0.5870000000000001,0.551,0.507
117,0.5870000000000001,0.551,0.507
118,0.5870000000000001,0.557,0.509
119,0.5870000000000001,0.557,0.509
120,0.627,0.557,0.509
121,0.627,0.557,0.509
122,0.627,0.562,0.511
123,0.627,0.562,0.511
124,0.627,0.568,0.515
125,0.627,0.568,0.515
126,0.667,0.574,0.518
127,0.667,0.574,0.518
128,0.667,0.574,0.519
129,0.667,0.574,0.519
130,0.708,0.581,0.523
131,0.708,0.581,0.523
132,0.708,0.581,0.523
133,0.708,0.581,0.523
134,0.708,0.5870000000000001,0.528
135,0.708,0.5870000000000001,0.528
136,0.748,0.594,0.532
137,0.748,0.594,0.532
138,0.748,0.601,0.537
139,0.748,0.601,0.537
140,0.789,0.607,0.542
141,0.789,0.607,0.542
142,0.789,0.614,0.547
143,0.789,0.614,0.547
144,0.8290000000000001,0.614,0.547
145,0.8290000000000001,0.614,0.547
146,0.8290000000000001,0.62,0.552
147,0.8290000000000001,0.62,0.552
148,0.8290000000000001,0.626,0.557
149,0.8290000000000001,0.626,0.557
150,0.87,0.632,0.562
151,0.87,0.632,0.562
152,0.87,0.638,0.5670000000000001
153,0.87,0.638,0.5670000000000001
154,0.91,0.638,0.5670000000000001
155,0.91,0.638,0.5670000000000001
156,0.91,0.638,0.5660000000000001
157,0.91,0.638,0.5660000000000001
158,0.91,0.643,0.57
159,0.91,0.643,0.57
160,0.95,0.648,0.573
161,0.95,0.648,0.573
162,0.95,0.652,0.5760000000000001
163,0.95,0.652,0.5760000000000001
164,0.99,0.652,0.5760000000000001
165,0.99,0.652,0.5760000000000001
166,0.99,0.655,0.578
167,0.99,0.655,0.578
168,0.99,0.659,0.581
169,0.99,0.659,0.581
170,1.031,0.662,0.583
171,1.031,0.662,0.583
172,1.031,0.664,0.586
173,1.031,0.664,0.586
174,1.072,0.6659999999999999,0.588
175,1.072,0.6659999999999999,0.588
176,1.072,0.6659999999999999,0.588
177,1.072,0.6659999999999999,0.588
178,1.072,0.667,0.591
179,1.072,0.667,0.591
180,1.113,0.6679999999999999,0.594
181,1.113,0.6679999999999999,0.594
182,1.113,0.6679999999999999,0.597
183,1.113,0.6679999999999999,0.597
184,1.153,0.669,0.599
185,1.153,0.669,0.599
186,1.153,0.669,0.599
187,1.153,0.669,0.599
188,1.194,0.669,0.6
189,1.194,0.669,0.6
190,1.194,0.669,0.603
191,1.194,0.669,0.603
192,1.194,0.67,0.606
193,1.194,0.67,0.606
194,1.234,0.67,0.606
195,1.234,0.67,0.606
196,1.234,0.6709999999999999,0.609
197,1.234,0.6709999999999999,0.609
198,1.275,0.6729999999999999,0.611
199,1.275,0.6729999999999999,0.611
200,1.275,0.675,0.613
201,1.275,0.675,0.613
202,1.275,0.677,0.614
203,1.275,0.677,0.614
204,1.315,0.679,0.616
205,1.315,0.679,0.616
206,1.315,0.679,0.616
207,1.315,0.679,0.616
208,1.356,0.6809999999999999,0.616
209,1.356,0.6809999999999999,0.616
210,1.356,0.684,0.616
211,1.356,0.684,0.616
212,1.356,0.6859999999999999,0.615
213,1.356,0.6859999999999999,0.615
214,1.398,0.688,0.614
215,1.398,0.688,0.614
216,1.398,0.688,0.614
217,1.398,0.688,0.614
218,1.4380000000000002,0.69,0.612
219,1.4380000000000002,0.69,0.612
220,1.4380000000000002,0.6920000000000001,0.61
221,1.4380000000000002,0.6920000000000001,0.61
222,1.4780000000000002,0.6940000000000001,0.608
223,1.4780000000000002,0.6940000000000001,0.608
224,1.4780000000000002,0.696,0.606
225,1.4780000000000002,0.696,0.606
226,1.4780000000000002,0.696,0.606
227,1.4780000000000002,0.696,0.606
228,1.518,0.696,0.605
229,1.518,0.696,0.605
230,1.518,0.6990000000000001,0.603
231,1.518,0.6990000000000001,0.603
232,1.5590000000000002,0.701,0.601
233,1.5590000000000002,0.701,0.601
234,1.5590000000000002,0.7040000000000001,0.599
235,1.5590000000000002,0.7040000000000001,0.599
236,1.5590000000000002,0.7040000000000001,0.599
237,1.5590000000000002,0.7040000000000001,0.599
238,1.599,0.706,0.597
239,1.599,0.706,0.597
240,1.599,0.7090000000000001,0.596
241,1.599,0.7090000000000001,0.596
242,1.639,0.7120000000000001,0.595
243,1.639,0.7120000000000001,0.595
244,1.639,0.7140000000000001,0.594
245,1.639,0.7140000000000001,0.594
246,1.639,0.7170000000000001,0.593
247,1.639,0.7170000000000001,0.593
248,1.68,0.7170000000000001,0.593
249,1.68,0.7170000000000001,0.593
250,1.68,0.72,0.591
251,1.68,0.72,0.591
252,1.721,0.723,0.589
253,1.721,0.723,0.589
254,1.721,0.726,0.588
255,1.721,0.726,0.588
256,1.761,0.7290000000000001,0.588
257,1.761,0.7290000000000001,0.588
258,1.761,0.7290000000000001,0.588
259,1.761,0.7290000000000001,0.588
260,1.761,0.7290000000000001,0.5870000000000001
261,1.761,0.7290000000000001,0.5870000000000001
262,1.801,0.732,0.586
263,1.801,0.732,0.586
264,1.801,0.7340000000000001,0.584
265,1.801,0.7340000000000001,0.584
266,1.841,0.737,0.583
267,1.841,0.737,0.583
268,1.841,0.737,0.583
269,1.841,0.737,0.583
270,1.841,0.7390000000000001,0.58
271,1.841,0.7390000000000001,0.58
272,1.882,0.741,0.578
273,1.882,0.741,0.578
274,1.882,0.743,0.5760000000000001
275,1.882,0.743,0.5760000000000001
276,1.922,0.7440000000000001,0.574
277,1.922,0.7440000000000001,0.574
278,1.922,0.746,0.5710000000000001
279,1.922,0.746,0.5710000000000001
280,1.962,0.746,0.5710000000000001
281,1.962,0.746,0.5710000000000001
282,1.962,0.747,0.569
283,1.962,0.747,0.569
284,1.962,0.7490000000000001,0.5660000000000001
285,1.962,0.7490000000000001,0.5660000000000001
286,2.003,0.7509999999999999,0.564
287,2.003,0.7509999999999999,0.564
288,2.003,0.753,0.561
289,2.003,0.753,0.561
290,2.043,0.753,0.561
291,2.043,0.753,0.561
292,2.043,0.753,0.561
293,2.043,0.753,0.561
294,2.043,0.754,0.5589999999999999
295,2.043,0.754,0.5589999999999999
296,2.083,0.7559999999999999,0.557
297,2.083,0.7559999999999999,0.557
298,2.083,0.757,0.5539999999999999
299,2.083,0.757,0.5539999999999999
300,2.123,0.759,0.552
301,2.123,0.759,0.552
302,2.123,0.759,0.552
303,2.123,0.759,0.552
304,2.123,0.76,0.55
305,2.123,0.76,0.55
306,2.1630000000000003,0.762,0.5479999999999999
307,2.1630000000000003,0.762,0.5479999999999999
308,2.1630000000000003,0.764,0.546
309,2.1630000000000003,0.764,0.546
310,2.204,0.765,0.5429999999999999
311,2.204,0.765,0.5429999999999999
312,2.204,0.765,0.5429999999999999
313,2.204,0.765,0.5429999999999999
314,2.245,0.767,0.541
315,2.245,0.767,0.541
316,2.245,0.768,0.539
317,2.245,0.768,0.539
318,2.245,0.77,0.536
319,2.245,0.77,0.536
320,2.285,0.77,0.536
321,2.285,0.77,0.536
322,2.285,0.7709999999999999,0.5329999999999999
323,2.285,0.7709999999999999,0.5329999999999999
324,2.325,0.772,0.53
325,2.325,0.772,0.53
326,2.325,0.773,0.527
327,2.325,0.773,0.527
328,2.325,0.774,0.524
329,2.325,0.774,0.524
330,2.365,0.774,0.524
331,2.365,0.774,0.524
332,2.365,0.774,0.524
333,2.365,0.774,0.524
334,2.406,0.775,0.522
335,2.406,0.775,0.522
336,2.406,0.7759999999999999,0.52
337,2.406,0.7759999999999999,0.52
338,2.446,0.7759999999999999,0.518
339,2.446,0.7759999999999999,0.518
340,2.446,0.777,0.516
341,2.446,0.777,0.516
342,2.446,0.778,0.514
343,2.446,0.778,0.514
344,2.486,0.778,0.514
345,2.486,0.778,0.514
346,2.486,0.779,0.512
347,2.486,0.779,0.512
348,2.527,0.779,0.51
349,2.527,0.779,0.51
350,2.527,0.78,0.507
351,2.527,0.78,0.507
352,2.527,0.78,0.507
353,2.527,0.78,0.507
354,2.567,0.7809999999999999,0.504
355,2.567,0.7809999999999999,0.504
356,2.567,0.782,0.501
357,2.567,0.782,0.501
358,2.607,0.782,0.498
359,2.607,0.782,0.498
360,2.607,0.7829999999999999,0.495
361,2.607,0.7829999999999999,0.495
362,2.607,0.7829999999999999,0.495
363,2.607,0.7829999999999999,0.495
364,2.648,0.7829999999999999,0.495
365,2.648,0.7829999999999999,0.495
366,2.648,0.784,0.4920000000000001
367,2.648,0.784,0.4920000000000001
368,2.687,0.785,0.489
369,2.687,0.785,0.489
370,2.687,0.7859999999999999,0.486
371,2.687,0.7859999999999999,0.486
372,2.728,0.7859999999999999,0.484
373,2.728,0.7859999999999999,0.484
374,2.728,0.787,0.482
375,2.728,0.787,0.482
376,2.728,0.787,0.48
377,2.728,0.787,0.48
378,2.768,0.7879999999999999,0.477
379,2.768,0.7879999999999999,0.477
380,2.768,0.789,0.476
381,2.768,0.789,0.476
382,2.8080000000000003,0.789,0.475
383,2.8080000000000003,0.789,0.475
384,2.8080000000000003,0.789,0.473
385,2.8080000000000003,0.789,0.473
386,2.8080000000000003,0.79,0.471
387,2.8080000000000003,0.79,0.471
388,2.849,0.7909999999999999,0.47
389,2.849,0.7909999999999999,0.47
390,2.849,0.792,0.468
391,2.849,0.792,0.468
392,2.89,0.792,0.466
393,2.89,0.792,0.466
394,2.89,0.7929999999999999,0.464
395,2.89,0.7929999999999999,0.464
396,2.89,0.7929999999999999,0.464
397,2.89,0.7929999999999999,0.464
398,2.93,0.7929999999999999,0.462
399,2.93,0.7929999999999999,0.462
400,2.93,0.7929999999999999,0.46
401,2.93,0.7929999999999999,0.46
402,2.969,0.7929999999999999,0.459
403,2.969,0.7929999999999999,0.459
404,2.969,0.794,0.457
405,2.969,0.794,0.457
406,3.009,0.7929999999999999,0.454
407,3.009,0.7929999999999999,0.454
408,3.009,0.7929999999999999,0.454
409,3.009,0.7929999999999999,0.454
410,3.009,0.7929999999999999,0.452
411,3.009,0.7929999999999999,0.452
412,3.05,0.792,0.45
413,3.05,0.792,0.45
414,3.05,0.792,0.448
415,3.05,0.792,0.448
416,3.09,0.792,0.448
417,3.09,0.792,0.448
418,3.09,0.7909999999999999,0.446
419,3.09,0.7909999999999999,0.446
420,3.09,0.7909999999999999,0.443
421,3.09,0.7909999999999999,0.443
422,3.132,0.7909999999999999,0.441
423,3.132,0.7909999999999999,0.441
424,3.132,0.79,0.4370000000000001
425,3.132,0.79,0.4370000000000001
426,3.172,0.79,0.438
427,3.172,0.79,0.438
428,3.172,0.79,0.438
429,3.172,0.79,0.438
430,3.172,0.79,0.435
431,3.172,0.79,0.435
432,3.213,0.79,0.431
433,3.213,0.79,0.431
434,3.213,0.79,0.428
435,3.213,0.79,0.428
436,3.254,0.79,0.425
437,3.254,0.79,0.425
438,3.254,0.79,0.421
439,3.254,0.79,0.421
440,3.293,0.79,0.421
441,3.293,0.79,0.421
442,3.293,0.79,0.418
443,3.293,0.79,0.418
444,3.293,0.79,0.415
445,3.293,0.79,0.415
446,3.335,0.79,0.412
447,3.335,0.79,0.412
448,3.335,0.79,0.412
449,3.335,0.79,0.412
450,3.3760000000000003,0.79,0.41
451,3.3760000000000003,0.79,0.41
452,3.3760000000000003,0.79,0.408
453,3.3760000000000003,0.79,0.408
454,3.3760000000000003,0.7909999999999999,0.406
455,3.3760000000000003,0.7909999999999999,0.406
456,3.4160000000000004,0.7909999999999999,0.405
457,3.4160000000000004,0.7909999999999999,0.405
458,3.4160000000000004,0.7909999999999999,0.405
459,3.4160000000000004,0.7909999999999999,0.405
460,3.457,0.7909999999999999,0.405
461,3.457,0.7909999999999999,0.405
462,3.457,0.7909999999999999,0.403
463,3.457,0.7909999999999999,0.403
464,3.457,0.792,0.402
465,3.457,0.792,0.402
466,3.497,0.792,0.401
467,3.497,0.792,0.401
468,3.497,0.792,0.401
469,3.497,0.792,0.401
470,3.537,0.792,0.401
471,3.537,0.792,0.401
472,3.537,0.792,0.4
473,3.537,0.792,0.4
474,3.577,0.792,0.4
475,3.577,0.792,0.4
476,3.577,0.7929999999999999,0.4
477,3.577,0.7929999999999999,0.4
478,3.577,0.7929999999999999,0.399
479,3.577,0.7929999999999999,0.399
480,3.616,0.7929999999999999,0.399
481,3.616,0.7929999999999999,0.399
482,3.616,0.7929999999999999,0.399
483,3.616,0.7929999999999999,0.399
484,3.657,0.7929999999999999,0.399
485,3.657,0.7929999999999999,0.399
486,3.657,0.7929999999999999,0.399
487,3.657,0.7929999999999999,0.399
488,3.657,0.794,0.399
489,3.657,0.794,0.399
490,3.697,0.794,0.399
491,3.697,0.794,0.399
492,3.697,0.794,0.399
493,3.697,0.794,0.399
494,3.737,0.794,0.399
495,3.737,0.794,0.399
496,3.737,0.794,0.399
497,3.737,0.794,0.399
498,3.777,0.794,0.399
499,3.777,0.794,0.399
500,3.777,0.794,0.399
501,3.777,0.794,0.399
502,3.777,0.794,0.399
503,3.777,0.794,0.399
504,3.817,0.794,0.399
505,3.817,0.794,0.399
506,3.817,0.794,0.399
507,3.817,0.794,0.399
508,3.857,0.794,0.399
509,3.857,0.794,0.399
510,3.857,0.794,0.399
511,3.857,0.794,0.399
512,3.857,0.794,0.399
513,3.857,0.794,0.399
514,3.898,0.7929999999999999,0.399
515,3.898,0.7929999999999999,0.399
516,3.898,0.7929999999999999,0.399
517,3.898,0.7929999999999999,0.399
518,3.938,0.7929999999999999,0.399
519,3.938,0.7929999999999999,0.399
520,3.938,0.7929999999999999,0.399
521,3.938,0.7929999999999999,0.399
522,3.978,0.7929999999999999,0.399
523,3.978,0.7929999999999999,0.399
524,3.978,0.792,0.399
525,3.978,0.792,0.399
526,3.978,0.792,0.4
527,3.978,0.792,0.4
528,4.018,0.792,0.4
529,4.018,0.792,0.4
530,4.018,0.792,0.401
531,4.018,0.792,0.401
532,4.058,0.7909999999999999,0.402
533,4.058,0.7909999999999999,0.402
534,4.058,0.7909999999999999,0.402
535,4.058,0.7909999999999999,0.402
536,4.058,0.79,0.404
537,4.058,0.79,0.404
538,4.098,0.79,0.404
539,4.098,0.79,0.404
540,4.098,0.79,0.404
541,4.098,0.79,0.404
542,4.137,0.79,0.405
543,4.137,0.79,0.405
544,4.137,0.789,0.406
545,4.137,0.789,0.406
546,4.177,0.7879999999999999,0.408
547,4.177,0.7879999999999999,0.408
548,4.177,0.7879999999999999,0.408
549,4.177,0.7879999999999999,0.408
550,4.177,0.7879999999999999,0.41
551,4.177,0.7879999999999999,0.41
552,4.217,0.787,0.412
553,4.217,0.787,0.412
554,4.217,0.7859999999999999,0.414
555,4.217,0.7859999999999999,0.414
556,4.257,0.785,0.417
557,4.257,0.785,0.417
558,4.257,0.784,0.42
559,4.257,0.784,0.42
560,4.257,0.784,0.42
561,4.257,0.784,0.42
562,4.297,0.7829999999999999,0.423
563,4.297,0.7829999999999999,0.423
564,4.297,0.782,0.4270000000000001
565,4.297,0.782,0.4270000000000001
566,4.337,0.7809999999999999,0.431
567,4.337,0.7809999999999999,0.431
568,4.337,0.7809999999999999,0.431
569,4.337,0.7809999999999999,0.431
570,4.377,0.78,0.436
571,4.377,0.78,0.436
572,4.377,0.779,0.44
573,4.377,0.779,0.44
574,4.377,0.778,0.446
575,4.377,0.778,0.446
576,4.417,0.777,0.452
577,4.417,0.777,0.452
578,4.417,0.777,0.452
579,4.417,0.777,0.452
580,4.457,0.777,0.452
581,4.457,0.777,0.452
582,4.457,0.7759999999999999,0.458
583,4.457,0.7759999999999999,0.458
584,4.457,0.775,0.463
585,4.457,0.775,0.463
586,4.496,0.774,0.468
587,4.496,0.774,0.468
588,4.496,0.774,0.474
589,4.496,0.774,0.474
590,4.5360000000000005,0.774,0.474
591,4.5360000000000005,0.774,0.474
592,4.5360000000000005,0.773,0.479
593,4.5360000000000005,0.773,0.479
594,4.5760000000000005,0.772,0.484
595,4.5760000000000005,0.772,0.484
596,4.5760000000000005,0.772,0.49
597,4.5760000000000005,0.772,0.49
598,4.5760000000000005,0.772,0.495
599,4.5760000000000005,0.772,0.495
600,4.617,0.772,0.495
601,4.617,0.772,0.495
602,4.617,0.772,0.499
603,4.617,0.772,0.499
604,4.657,0.772,0.503
605,4.657,0.772,0.503
606,4.657,0.7709999999999999,0.506
607,4.657,0.7709999999999999,0.506
608,4.657,0.7709999999999999,0.509
609,4.657,0.7709999999999999,0.509
610,4.698,0.7709999999999999,0.509
611,4.698,0.7709999999999999,0.509
612,4.698,0.7709999999999999,0.508
613,4.698,0.7709999999999999,0.508
614,4.739,0.7709999999999999,0.51
615,4.739,0.7709999999999999,0.51
616,4.739,0.7709999999999999,0.514
617,4.739,0.7709999999999999,0.514
618,4.779,0.7709999999999999,0.517
619,4.779,0.7709999999999999,0.517
620,4.779,0.7709999999999999,0.517
621,4.779,0.7709999999999999,0.517
622,4.779,0.7709999999999999,0.519
623,4.779,0.7709999999999999,0.519
624,4.82,0.7709999999999999,0.522
625,4.82,0.7709999999999999,0.522
626,4.82,0.7709999999999999,0.525
627,4.82,0.7709999999999999,0.525
628,4.8610000000000015,0.77,0.528
629,4.8610000000000015,0.77,0.528
630,4.8610000000000015,0.77,0.531
631,4.8610000000000015,0.77,0.531
632,4.8610000000000015,0.77,0.531
633,4.8610000000000015,0.77,0.531
634,4.901,0.769,0.534
635,4.901,0.769,0.534
636,4.901,0.768,0.5379999999999999
637,4.901,0.768,0.5379999999999999
638,4.942,0.767,0.541
639,4.942,0.767,0.541
640,4.942,0.767,0.545
641,4.942,0.767,0.545
642,4.942,0.767,0.545
643,4.942,0.767,0.545
644,4.982,0.7659999999999999,0.546
645,4.982,0.7659999999999999,0.546
646,4.982,0.7659999999999999,0.55
647,4.982,0.7659999999999999,0.55
648,5.022,0.765,0.5539999999999999
649,5.022,0.765,0.5539999999999999
650,5.022,0.764,0.557
651,5.022,0.764,0.557
652,5.022,0.764,0.56
653,5.022,0.764,0.56
654,5.063,0.764,0.56
655,5.063,0.764,0.56
656,5.063,0.763,0.563
657,5.063,0.763,0.563
658,5.104,0.762,0.5660000000000001
659,5.104,0.762,0.5660000000000001
660,5.104,0.762,0.569
661,5.104,0.762,0.569
662,5.145,0.762,0.569
663,5.145,0.762,0.569
664,5.145,0.762,0.5720000000000001
665,5.145,0.762,0.5720000000000001
666,5.145,0.762,0.575
667,5.145,0.762,0.575
668,5.185,0.7609999999999999,0.578
669,5.185,0.7609999999999999,0.578
670,5.185,0.7609999999999999,0.58
671,5.185,0.7609999999999999,0.58
672,5.225,0.7609999999999999,0.58
673,5.225,0.7609999999999999,0.58
674,5.225,0.7609999999999999,0.583
675,5.225,0.7609999999999999,0.583
676,5.225,0.7609999999999999,0.585
677,5.225,0.7609999999999999,0.585
678,5.2639999999999985,0.76,0.588
