,time,2dmu,2dmv
0,0.0,0.499,0.477
1,0.0,0.499,0.477
2,0.0,0.499,0.477
3,0.0,0.499,0.477
4,0.0,0.499,0.477
5,0.0,0.499,0.477
6,0.0,0.499,0.477
7,0.0,0.499,0.477
8,0.0,0.499,0.477
9,0.0,0.499,0.477
10,0.0,0.499,0.477
11,0.0,0.499,0.477
12,0.0,0.499,0.477
13,0.0,0.499,0.477
14,0.0,0.499,0.477
15,0.0,0.499,0.477
16,0.0,0.499,0.477
17,0.0,0.499,0.477
18,0.0,0.499,0.477
19,0.0,0.499,0.477
20,0.0,0.499,0.477
21,0.0,0.499,0.477
22,0.0,0.499,0.477
23,0.0,0.499,0.477
24,0.0,0.499,0.477
25,0.0,0.499,0.477
26,0.0,0.499,0.477
27,0.0,0.499,0.477
28,0.0,0.499,0.477
29,0.0,0.499,0.477
30,0.0,0.499,0.477
31,0.0,0.499,0.477
32,0.0,0.499,0.477
33,0.0,0.499,0.477
34,0.0,0.499,0.477
35,0.0,0.499,0.477
36,0.0,0.499,0.477
37,0.0,0.499,0.477
38,0.0,0.499,0.477
39,0.0,0.499,0.477
40,0.0,0.499,0.477
41,0.0,0.499,0.477
42,0.0,0.499,0.477
43,0.0,0.499,0.477
44,0.0,0.499,0.477
45,0.0,0.499,0.477
46,0.0,0.499,0.477
47,0.0,0.499,0.477
48,0.0,0.499,0.477
49,0.0,0.499,0.477
50,0.0,0.499,0.477
51,0.0,0.499,0.477
52,0.0,0.499,0.476
53,0.0,0.499,0.476
54,0.0,0.499,0.476
55,0.0,0.499,0.476
56,0.0,0.499,0.477
57,0.0,0.499,0.477
58,0.0,0.499,0.477
59,0.0,0.499,0.477
60,0.012,0.499,0.477
61,0.012,0.499,0.477
62,0.012,0.499,0.477
63,0.012,0.499,0.477
64,0.052000000000000005,0.499,0.477
65,0.052000000000000005,0.499,0.477
66,0.052000000000000005,0.499,0.477
67,0.052000000000000005,0.499,0.477
68,0.094,0.499,0.477
69,0.094,0.499,0.477
70,0.094,0.499,0.477
71,0.094,0.499,0.477
72,0.094,0.499,0.477
73,0.094,0.499,0.477
74,0.135,0.499,0.477
75,0.135,0.499,0.477
76,0.17600000000000002,0.499,0.477
77,0.17600000000000002,0.499,0.477
78,0.17600000000000002,0.499,0.477
79,0.17600000000000002,0.499,0.477
80,0.17600000000000002,0.499,0.477
81,0.17600000000000002,0.499,0.477
82,0.21600000000000005,0.499,0.477
83,0.21600000000000005,0.499,0.477
84,0.256,0.499,0.477
85,0.256,0.499,0.477
86,0.256,0.499,0.477
87,0.256,0.499,0.477
88,0.29600000000000004,0.499,0.476
89,0.29600000000000004,0.499,0.476
90,0.29600000000000004,0.499,0.476
91,0.29600000000000004,0.499,0.476
92,0.336,0.499,0.476
93,0.336,0.499,0.476
94,0.336,0.499,0.476
95,0.336,0.499,0.476
96,0.376,0.499,0.476
97,0.376,0.499,0.476
98,0.376,0.499,0.476
99,0.376,0.499,0.476
100,0.376,0.499,0.476
101,0.376,0.499,0.476
102,0.416,0.499,0.477
103,0.416,0.499,0.477
104,0.416,0.499,0.477
105,0.416,0.499,0.477
106,0.456,0.499,0.476
107,0.456,0.499,0.476
108,0.456,0.499,0.476
109,0.456,0.499,0.476
110,0.456,0.499,0.476
111,0.456,0.499,0.476
112,0.496,0.499,0.476
113,0.496,0.499,0.476
114,0.496,0.499,0.476
115,0.496,0.499,0.476
116,0.537,0.499,0.476
117,0.537,0.499,0.476
118,0.537,0.499,0.476
119,0.537,0.499,0.476
120,0.578,0.499,0.476
121,0.578,0.499,0.476
122,0.619,0.5,0.476
123,0.619,0.5,0.476
124,0.66,0.5,0.476
125,0.66,0.5,0.476
126,0.66,0.5,0.476
127,0.66,0.5,0.476
128,0.66,0.5,0.476
129,0.66,0.5,0.476
130,0.7,0.5,0.476
131,0.7,0.5,0.476
132,0.7,0.5,0.476
133,0.7,0.5,0.476
134,0.74,0.5,0.476
135,0.74,0.5,0.476
136,0.74,0.5,0.477
137,0.74,0.5,0.477
138,0.7809999999999999,0.5,0.477
139,0.7809999999999999,0.5,0.477
140,0.7809999999999999,0.498,0.477
141,0.7809999999999999,0.498,0.477
142,0.821,0.496,0.477
143,0.821,0.496,0.477
144,0.821,0.4920000000000001,0.479
145,0.821,0.4920000000000001,0.479
146,0.821,0.485,0.481
147,0.821,0.485,0.481
148,0.861,0.481,0.48
149,0.861,0.481,0.48
150,0.902,0.474,0.48
151,0.902,0.474,0.48
152,0.902,0.468,0.48
153,0.902,0.468,0.48
154,0.942,0.463,0.481
155,0.942,0.463,0.481
156,0.942,0.458,0.481
157,0.942,0.458,0.481
158,0.983,0.454,0.481
159,0.983,0.454,0.481
160,0.983,0.451,0.482
161,0.983,0.451,0.482
162,1.024,0.448,0.483
163,1.024,0.448,0.483
164,1.024,0.444,0.484
165,1.024,0.444,0.484
166,1.064,0.444,0.484
167,1.064,0.444,0.484
168,1.105,0.443,0.483
169,1.105,0.443,0.483
170,1.105,0.44,0.483
171,1.105,0.44,0.483
172,1.105,0.44,0.483
173,1.105,0.44,0.483
174,1.145,0.4370000000000001,0.483
175,1.145,0.4370000000000001,0.483
176,1.145,0.4370000000000001,0.483
177,1.145,0.4370000000000001,0.483
178,1.186,0.435,0.482
179,1.186,0.435,0.482
180,1.186,0.4320000000000001,0.482
181,1.186,0.4320000000000001,0.482
182,1.226,0.428,0.481
183,1.226,0.428,0.481
184,1.226,0.424,0.481
185,1.226,0.424,0.481
186,1.226,0.421,0.481
187,1.226,0.421,0.481
188,1.267,0.421,0.481
189,1.267,0.421,0.481
190,1.267,0.417,0.48
191,1.267,0.417,0.48
192,1.307,0.417,0.48
193,1.307,0.417,0.48
194,1.307,0.414,0.48
195,1.307,0.414,0.48
196,1.307,0.412,0.48
197,1.307,0.412,0.48
198,1.349,0.412,0.48
199,1.349,0.412,0.48
200,1.349,0.41,0.479
201,1.349,0.41,0.479
202,1.39,0.408,0.478
203,1.39,0.408,0.478
204,1.39,0.408,0.477
205,1.39,0.408,0.477
206,1.39,0.408,0.476
207,1.39,0.408,0.476
208,1.431,0.408,0.475
209,1.431,0.408,0.475
210,1.431,0.408,0.475
211,1.431,0.408,0.475
212,1.472,0.409,0.475
213,1.472,0.409,0.475
214,1.472,0.409,0.474
215,1.472,0.409,0.474
216,1.472,0.41,0.473
217,1.472,0.41,0.473
218,1.5119999999999998,0.41,0.473
219,1.5119999999999998,0.41,0.473
220,1.5119999999999998,0.41,0.473
221,1.5119999999999998,0.41,0.473
222,1.5519999999999998,0.409,0.473
223,1.5519999999999998,0.409,0.473
224,1.5519999999999998,0.408,0.472
225,1.5519999999999998,0.408,0.472
226,1.5930000000000002,0.407,0.472
227,1.5930000000000002,0.407,0.472
228,1.5930000000000002,0.405,0.472
229,1.5930000000000002,0.405,0.472
230,1.5930000000000002,0.405,0.472
231,1.5930000000000002,0.405,0.472
232,1.633,0.403,0.472
233,1.633,0.403,0.472
234,1.633,0.401,0.472
235,1.633,0.401,0.472
236,1.673,0.399,0.472
237,1.673,0.399,0.472
238,1.673,0.397,0.472
239,1.673,0.397,0.472
240,1.673,0.397,0.472
241,1.673,0.397,0.472
242,1.713,0.396,0.473
243,1.713,0.396,0.473
244,1.713,0.393,0.473
245,1.713,0.393,0.473
246,1.754,0.391,0.474
247,1.754,0.391,0.474
248,1.754,0.389,0.474
249,1.754,0.389,0.474
250,1.754,0.389,0.474
251,1.754,0.389,0.474
252,1.795,0.387,0.475
253,1.795,0.387,0.475
254,1.835,0.384,0.475
255,1.835,0.384,0.475
256,1.835,0.38,0.475
257,1.835,0.38,0.475
258,1.875,0.378,0.474
259,1.875,0.378,0.474
260,1.875,0.378,0.474
261,1.875,0.378,0.474
262,1.875,0.378,0.474
263,1.875,0.378,0.474
264,1.915,0.375,0.474
265,1.915,0.375,0.474
266,1.955,0.3720000000000001,0.474
267,1.955,0.3720000000000001,0.474
268,1.955,0.3720000000000001,0.474
269,1.955,0.3720000000000001,0.474
270,1.955,0.369,0.474
271,1.955,0.369,0.474
272,1.995,0.369,0.474
273,1.995,0.369,0.474
274,1.995,0.364,0.474
275,1.995,0.364,0.474
276,2.035,0.362,0.473
277,2.035,0.362,0.473
278,2.035,0.36,0.473
279,2.035,0.36,0.473
280,2.077,0.361,0.473
281,2.077,0.361,0.473
282,2.077,0.359,0.473
283,2.077,0.359,0.473
284,2.119,0.35700000000000004,0.473
285,2.119,0.35700000000000004,0.473
286,2.119,0.355,0.473
287,2.119,0.355,0.473
288,2.1590000000000003,0.353,0.472
289,2.1590000000000003,0.353,0.472
290,2.1590000000000003,0.353,0.472
291,2.1590000000000003,0.353,0.472
292,2.2,0.35,0.473
293,2.2,0.35,0.473
294,2.2,0.349,0.473
295,2.2,0.349,0.473
296,2.241,0.34700000000000003,0.473
297,2.241,0.34700000000000003,0.473
298,2.241,0.34600000000000003,0.473
299,2.241,0.34600000000000003,0.473
300,2.241,0.34600000000000003,0.473
301,2.241,0.34600000000000003,0.473
302,2.281,0.344,0.473
303,2.281,0.344,0.473
304,2.323,0.343,0.474
305,2.323,0.343,0.474
306,2.323,0.341,0.474
307,2.323,0.341,0.474
308,2.323,0.34,0.474
309,2.323,0.34,0.474
310,2.363,0.338,0.474
311,2.363,0.338,0.474
312,2.363,0.338,0.474
313,2.363,0.338,0.474
314,2.404,0.337,0.474
315,2.404,0.337,0.474
316,2.404,0.336,0.474
317,2.404,0.336,0.474
318,2.444,0.334,0.474
319,2.444,0.334,0.474
320,2.444,0.334,0.474
321,2.444,0.334,0.474
322,2.444,0.333,0.474
323,2.444,0.333,0.474
324,2.484,0.331,0.474
325,2.484,0.331,0.474
326,2.484,0.33,0.474
327,2.484,0.33,0.474
328,2.524,0.329,0.475
329,2.524,0.329,0.475
330,2.524,0.329,0.475
331,2.524,0.329,0.475
332,2.524,0.329,0.475
333,2.524,0.329,0.475
334,2.564,0.328,0.475
335,2.564,0.328,0.475
336,2.564,0.327,0.475
337,2.564,0.327,0.475
338,2.605,0.325,0.475
339,2.605,0.325,0.475
340,2.605,0.325,0.475
341,2.605,0.325,0.475
342,2.605,0.324,0.476
343,2.605,0.324,0.476
344,2.645,0.32299999999999995,0.476
345,2.645,0.32299999999999995,0.476
346,2.645,0.322,0.476
347,2.645,0.322,0.476
348,2.685,0.321,0.477
349,2.685,0.321,0.477
350,2.685,0.32,0.477
351,2.685,0.32,0.477
352,2.7260000000000004,0.32,0.477
353,2.7260000000000004,0.32,0.477
354,2.7260000000000004,0.319,0.477
355,2.7260000000000004,0.319,0.477
356,2.7260000000000004,0.318,0.477
357,2.7260000000000004,0.318,0.477
358,2.766,0.317,0.477
359,2.766,0.317,0.477
360,2.766,0.316,0.477
361,2.766,0.316,0.477
362,2.806,0.316,0.477
363,2.806,0.316,0.477
364,2.806,0.316,0.477
365,2.806,0.316,0.477
366,2.806,0.315,0.477
367,2.806,0.315,0.477
368,2.847,0.315,0.477
369,2.847,0.315,0.477
370,2.847,0.314,0.478
371,2.847,0.314,0.478
372,2.887,0.314,0.478
373,2.887,0.314,0.478
374,2.887,0.313,0.478
375,2.887,0.313,0.478
376,2.887,0.313,0.478
377,2.887,0.313,0.478
378,2.928,0.312,0.478
379,2.928,0.312,0.478
380,2.928,0.312,0.478
381,2.928,0.312,0.478
382,2.968,0.311,0.478
383,2.968,0.311,0.478
384,2.968,0.311,0.478
385,2.968,0.311,0.478
386,3.008,0.311,0.477
387,3.008,0.311,0.477
388,3.008,0.31,0.477
389,3.008,0.31,0.477
390,3.008,0.31,0.477
391,3.008,0.31,0.477
392,3.049,0.309,0.477
393,3.049,0.309,0.477
394,3.049,0.309,0.477
395,3.049,0.309,0.477
396,3.09,0.309,0.477
397,3.09,0.309,0.477
398,3.09,0.309,0.477
399,3.09,0.309,0.477
400,3.09,0.309,0.477
401,3.09,0.309,0.477
402,3.13,0.308,0.477
403,3.13,0.308,0.477
404,3.13,0.308,0.477
405,3.13,0.308,0.477
406,3.17,0.308,0.477
407,3.17,0.308,0.477
408,3.17,0.307,0.476
409,3.17,0.307,0.476
410,3.2110000000000003,0.307,0.476
411,3.2110000000000003,0.307,0.476
412,3.2110000000000003,0.307,0.476
413,3.2110000000000003,0.307,0.476
414,3.2110000000000003,0.307,0.476
415,3.2110000000000003,0.307,0.476
416,3.2510000000000003,0.307,0.476
417,3.2510000000000003,0.307,0.476
418,3.2510000000000003,0.306,0.476
419,3.2510000000000003,0.306,0.476
420,3.2910000000000004,0.306,0.476
421,3.2910000000000004,0.306,0.476
422,3.2910000000000004,0.306,0.476
423,3.2910000000000004,0.306,0.476
424,3.2910000000000004,0.306,0.475
425,3.2910000000000004,0.306,0.475
426,3.3310000000000004,0.306,0.475
427,3.3310000000000004,0.306,0.475
428,3.3310000000000004,0.305,0.475
429,3.3310000000000004,0.305,0.475
430,3.372,0.305,0.475
431,3.372,0.305,0.475
432,3.372,0.304,0.475
433,3.372,0.304,0.475
434,3.372,0.304,0.474
435,3.372,0.304,0.474
436,3.412,0.304,0.474
437,3.412,0.304,0.474
438,3.412,0.303,0.474
439,3.412,0.303,0.474
440,3.452,0.303,0.474
441,3.452,0.303,0.474
442,3.452,0.303,0.474
443,3.452,0.303,0.474
444,3.4930000000000003,0.303,0.473
445,3.4930000000000003,0.303,0.473
446,3.4930000000000003,0.302,0.473
447,3.4930000000000003,0.302,0.473
448,3.4930000000000003,0.302,0.473
449,3.4930000000000003,0.302,0.473
450,3.534,0.302,0.473
451,3.534,0.302,0.473
452,3.534,0.302,0.473
453,3.534,0.302,0.473
454,3.574,0.301,0.473
455,3.574,0.301,0.473
456,3.574,0.301,0.473
457,3.574,0.301,0.473
458,3.574,0.301,0.473
459,3.574,0.301,0.473
460,3.614,0.3,0.473
461,3.614,0.3,0.473
462,3.614,0.3,0.473
463,3.614,0.3,0.473
464,3.655,0.3,0.473
465,3.655,0.3,0.473
466,3.655,0.3,0.473
467,3.655,0.3,0.473
468,3.655,0.3,0.473
469,3.655,0.3,0.473
470,3.696,0.299,0.473
471,3.696,0.299,0.473
472,3.696,0.299,0.473
473,3.696,0.299,0.473
474,3.736,0.299,0.472
475,3.736,0.299,0.472
476,3.736,0.298,0.473
477,3.736,0.298,0.473
478,3.777,0.298,0.473
479,3.777,0.298,0.473
480,3.777,0.298,0.473
481,3.777,0.298,0.473
482,3.777,0.297,0.473
483,3.777,0.297,0.473
484,3.818,0.29600000000000004,0.472
485,3.818,0.29600000000000004,0.472
486,3.818,0.29600000000000004,0.472
487,3.818,0.29600000000000004,0.472
488,3.858,0.295,0.472
489,3.858,0.295,0.472
490,3.858,0.294,0.472
491,3.858,0.294,0.472
492,3.858,0.293,0.472
493,3.858,0.293,0.472
494,3.899,0.292,0.472
495,3.899,0.292,0.472
496,3.899,0.292,0.472
497,3.899,0.292,0.472
498,3.939,0.292,0.472
499,3.939,0.292,0.472
500,3.939,0.29100000000000004,0.472
501,3.939,0.29100000000000004,0.472
502,3.939,0.29,0.472
503,3.939,0.29,0.472
504,3.979,0.29,0.472
505,3.979,0.29,0.472
506,3.979,0.29,0.472
507,3.979,0.29,0.472
508,4.019,0.29,0.472
509,4.019,0.29,0.472
510,4.019,0.29,0.472
511,4.019,0.29,0.472
512,4.059,0.289,0.472
513,4.059,0.289,0.472
514,4.059,0.289,0.472
515,4.059,0.289,0.472
516,4.099,0.289,0.472
517,4.099,0.289,0.472
518,4.099,0.289,0.472
519,4.099,0.289,0.472
520,4.1389999999999985,0.289,0.471
521,4.1389999999999985,0.289,0.471
522,4.1389999999999985,0.289,0.471
523,4.1389999999999985,0.289,0.471
524,4.1389999999999985,0.289,0.471
525,4.1389999999999985,0.289,0.471
526,4.1789999999999985,0.289,0.471
527,4.1789999999999985,0.289,0.471
528,4.1789999999999985,0.289,0.471
529,4.1789999999999985,0.289,0.471
530,4.22,0.289,0.471
531,4.22,0.289,0.471
532,4.22,0.289,0.471
533,4.22,0.289,0.471
534,4.26,0.289,0.471
535,4.26,0.289,0.471
536,4.26,0.289,0.471
537,4.26,0.289,0.471
538,4.3,0.289,0.471
539,4.3,0.289,0.471
540,4.3,0.289,0.471
541,4.3,0.289,0.471
542,4.339,0.289,0.472
543,4.339,0.289,0.472
544,4.339,0.289,0.472
545,4.339,0.289,0.472
546,4.339,0.289,0.472
547,4.339,0.289,0.472
548,4.379,0.289,0.472
549,4.379,0.289,0.472
550,4.379,0.289,0.472
551,4.379,0.289,0.472
552,4.42,0.289,0.472
553,4.42,0.289,0.472
554,4.42,0.289,0.473
555,4.42,0.289,0.473
556,4.46,0.289,0.473
557,4.46,0.289,0.473
558,4.46,0.289,0.473
559,4.46,0.289,0.473
560,4.46,0.29,0.473
561,4.46,0.29,0.473
562,4.501,0.29,0.473
563,4.501,0.29,0.473
564,4.501,0.29,0.473
565,4.501,0.29,0.473
566,4.541,0.29,0.473
567,4.541,0.29,0.473
568,4.541,0.29,0.473
569,4.541,0.29,0.473
570,4.541,0.29,0.473
571,4.541,0.29,0.473
572,4.582,0.29,0.473
573,4.582,0.29,0.473
574,4.582,0.29,0.473
575,4.582,0.29,0.473
576,4.623,0.29,0.473
577,4.623,0.29,0.473
578,4.623,0.29,0.474
579,4.623,0.29,0.474
580,4.623,0.29,0.474
581,4.623,0.29,0.474
582,4.663,0.29,0.474
583,4.663,0.29,0.474
584,4.663,0.29,0.474
585,4.663,0.29,0.474
586,4.704,0.29,0.474
587,4.704,0.29,0.474
588,4.704,0.29,0.474
589,4.704,0.29,0.474
590,4.744,0.29,0.474
591,4.744,0.29,0.474
592,4.744,0.29,0.474
593,4.744,0.29,0.474
594,4.784,0.29,0.474
595,4.784,0.29,0.474
596,4.784,0.29100000000000004,0.474
597,4.784,0.29100000000000004,0.474
598,4.824,0.29100000000000004,0.474
599,4.824,0.29100000000000004,0.474
600,4.824,0.29100000000000004,0.475
601,4.824,0.29100000000000004,0.475
602,4.824,0.29100000000000004,0.475
603,4.824,0.29100000000000004,0.475
604,4.865,0.29100000000000004,0.475
605,4.865,0.29100000000000004,0.475
606,4.865,0.292,0.475
607,4.865,0.292,0.475
608,4.9060000000000015,0.292,0.475
609,4.9060000000000015,0.292,0.475
610,4.9060000000000015,0.292,0.475
611,4.9060000000000015,0.292,0.475
612,4.9060000000000015,0.292,0.475
613,4.9060000000000015,0.292,0.475
614,4.9460000000000015,0.292,0.475
615,4.9460000000000015,0.292,0.475
616,4.9460000000000015,0.292,0.475
