,time,2dmu,2dmv
0,0.0,0.479,0.501
1,0.0,0.479,0.501
2,0.0,0.477,0.501
3,0.0,0.477,0.501
4,0.0,0.474,0.501
5,0.0,0.474,0.501
6,0.0,0.472,0.501
7,0.0,0.472,0.501
8,0.0,0.472,0.501
9,0.0,0.472,0.501
10,0.0,0.464,0.5
11,0.0,0.464,0.5
12,0.0,0.464,0.5
13,0.0,0.464,0.5
14,0.0,0.457,0.499
15,0.0,0.457,0.499
16,0.0,0.453,0.499
17,0.0,0.453,0.499
18,0.0,0.449,0.501
19,0.0,0.449,0.501
20,0.0,0.449,0.501
21,0.0,0.449,0.501
22,0.0,0.445,0.501
23,0.0,0.445,0.501
24,0.0,0.436,0.503
25,0.0,0.436,0.503
26,0.0,0.436,0.503
27,0.0,0.436,0.503
28,0.0,0.418,0.504
29,0.0,0.418,0.504
30,0.0,0.416,0.503
31,0.0,0.416,0.503
32,0.0,0.416,0.503
33,0.0,0.416,0.503
34,0.0,0.402,0.504
35,0.0,0.402,0.504
36,0.0,0.402,0.504
37,0.0,0.402,0.504
38,0.0,0.402,0.504
39,0.0,0.402,0.504
40,0.0,0.395,0.504
41,0.0,0.395,0.504
42,0.0,0.387,0.504
43,0.0,0.387,0.504
44,0.0,0.38,0.504
45,0.0,0.38,0.504
46,0.0,0.38,0.504
47,0.0,0.38,0.504
48,0.018000000000000002,0.374,0.504
49,0.018000000000000002,0.374,0.504
50,0.018000000000000002,0.368,0.504
51,0.018000000000000002,0.368,0.504
52,0.018000000000000002,0.364,0.503
53,0.018000000000000002,0.364,0.503
54,0.058,0.36,0.502
55,0.058,0.36,0.502
56,0.058,0.36,0.502
57,0.058,0.36,0.502
58,0.1,0.362,0.502
59,0.1,0.362,0.502
60,0.1,0.36,0.5
61,0.1,0.36,0.5
62,0.1,0.359,0.4970000000000001
63,0.1,0.359,0.4970000000000001
64,0.14,0.358,0.496
65,0.14,0.358,0.496
66,0.14,0.358,0.494
67,0.14,0.358,0.494
68,0.18,0.358,0.494
69,0.18,0.358,0.494
70,0.18,0.35700000000000004,0.4920000000000001
71,0.18,0.35700000000000004,0.4920000000000001
72,0.221,0.35600000000000004,0.489
73,0.221,0.35600000000000004,0.489
74,0.221,0.355,0.485
75,0.221,0.355,0.485
76,0.221,0.353,0.48
77,0.221,0.353,0.48
78,0.262,0.353,0.48
79,0.262,0.353,0.48
80,0.262,0.35100000000000003,0.473
81,0.262,0.35100000000000003,0.473
82,0.302,0.349,0.467
83,0.302,0.349,0.467
84,0.302,0.34600000000000003,0.46
85,0.302,0.34600000000000003,0.46
86,0.302,0.344,0.452
87,0.302,0.344,0.452
88,0.342,0.344,0.452
89,0.342,0.344,0.452
90,0.342,0.344,0.453
91,0.342,0.344,0.453
92,0.383,0.342,0.448
93,0.383,0.342,0.448
94,0.383,0.339,0.441
95,0.383,0.339,0.441
96,0.383,0.337,0.4320000000000001
97,0.383,0.337,0.4320000000000001
98,0.423,0.337,0.428
99,0.423,0.337,0.428
100,0.423,0.336,0.423
101,0.423,0.336,0.423
102,0.465,0.334,0.416
103,0.465,0.334,0.416
104,0.465,0.333,0.408
105,0.465,0.333,0.408
106,0.506,0.331,0.398
107,0.506,0.331,0.398
108,0.506,0.332,0.399
109,0.506,0.332,0.399
110,0.506,0.331,0.391
111,0.506,0.331,0.391
112,0.546,0.331,0.385
113,0.546,0.331,0.385
114,0.546,0.331,0.385
115,0.546,0.331,0.385
116,0.586,0.33,0.378
117,0.586,0.33,0.378
118,0.586,0.33,0.371
119,0.586,0.33,0.371
120,0.586,0.33,0.363
121,0.586,0.33,0.363
122,0.626,0.33,0.354
123,0.626,0.33,0.354
124,0.626,0.329,0.344
125,0.626,0.329,0.344
126,0.6659999999999999,0.329,0.344
127,0.6659999999999999,0.329,0.344
128,0.6659999999999999,0.329,0.334
129,0.6659999999999999,0.329,0.334
130,0.6659999999999999,0.329,0.327
131,0.6659999999999999,0.329,0.327
132,0.7070000000000001,0.329,0.32
133,0.7070000000000001,0.329,0.32
134,0.7070000000000001,0.329,0.312
135,0.7070000000000001,0.329,0.312
136,0.747,0.329,0.312
137,0.747,0.329,0.312
138,0.747,0.329,0.313
139,0.747,0.329,0.313
140,0.7879999999999999,0.329,0.307
141,0.7879999999999999,0.329,0.307
142,0.7879999999999999,0.328,0.3
143,0.7879999999999999,0.328,0.3
144,0.7879999999999999,0.328,0.292
145,0.7879999999999999,0.328,0.292
146,0.8290000000000001,0.328,0.285
147,0.8290000000000001,0.328,0.285
148,0.8290000000000001,0.328,0.285
149,0.8290000000000001,0.328,0.285
150,0.87,0.327,0.278
151,0.87,0.327,0.278
152,0.87,0.327,0.273
153,0.87,0.327,0.273
154,0.87,0.328,0.269
155,0.87,0.328,0.269
156,0.911,0.328,0.265
157,0.911,0.328,0.265
158,0.911,0.328,0.265
159,0.911,0.328,0.265
160,0.951,0.329,0.26
161,0.951,0.329,0.26
162,0.951,0.33,0.258
163,0.951,0.33,0.258
164,0.951,0.331,0.259
165,0.951,0.331,0.259
166,0.992,0.332,0.262
167,0.992,0.332,0.262
168,0.992,0.332,0.262
169,0.992,0.332,0.262
170,1.033,0.332,0.264
171,1.033,0.332,0.264
172,1.033,0.333,0.268
173,1.033,0.333,0.268
174,1.033,0.334,0.273
175,1.033,0.334,0.273
176,1.073,0.335,0.279
177,1.073,0.335,0.279
178,1.073,0.335,0.279
179,1.073,0.335,0.279
180,1.113,0.335,0.28300000000000003
181,1.113,0.335,0.28300000000000003
182,1.113,0.335,0.28800000000000003
183,1.113,0.335,0.28800000000000003
184,1.153,0.335,0.292
185,1.153,0.335,0.292
186,1.153,0.334,0.295
187,1.153,0.334,0.295
188,1.153,0.334,0.298
189,1.153,0.334,0.298
190,1.194,0.334,0.298
191,1.194,0.334,0.298
192,1.194,0.333,0.3
193,1.194,0.333,0.3
194,1.235,0.333,0.304
195,1.235,0.333,0.304
196,1.235,0.333,0.307
197,1.235,0.333,0.307
198,1.235,0.334,0.312
199,1.235,0.334,0.312
200,1.275,0.334,0.312
201,1.275,0.334,0.312
202,1.275,0.334,0.312
203,1.275,0.334,0.312
204,1.3159999999999998,0.335,0.316
205,1.3159999999999998,0.335,0.316
206,1.3159999999999998,0.335,0.319
207,1.3159999999999998,0.335,0.319
208,1.356,0.336,0.324
209,1.356,0.336,0.324
210,1.356,0.336,0.328
211,1.356,0.336,0.328
212,1.356,0.335,0.331
213,1.356,0.335,0.331
214,1.3969999999999998,0.335,0.331
215,1.3969999999999998,0.335,0.331
216,1.3969999999999998,0.334,0.336
217,1.3969999999999998,0.334,0.336
218,1.4380000000000002,0.332,0.341
219,1.4380000000000002,0.332,0.341
220,1.4380000000000002,0.33,0.345
221,1.4380000000000002,0.33,0.345
222,1.4380000000000002,0.328,0.348
223,1.4380000000000002,0.328,0.348
224,1.479,0.328,0.348
225,1.479,0.328,0.348
226,1.479,0.328,0.34700000000000003
227,1.479,0.328,0.34700000000000003
228,1.52,0.325,0.35
229,1.52,0.325,0.35
230,1.52,0.32299999999999995,0.35200000000000004
231,1.52,0.32299999999999995,0.35200000000000004
232,1.52,0.321,0.355
233,1.52,0.321,0.355
234,1.56,0.321,0.355
235,1.56,0.321,0.355
236,1.56,0.318,0.359
237,1.56,0.318,0.359
238,1.601,0.314,0.362
239,1.601,0.314,0.362
240,1.601,0.31,0.366
241,1.601,0.31,0.366
242,1.601,0.306,0.37
243,1.601,0.306,0.37
244,1.642,0.301,0.374
245,1.642,0.301,0.374
246,1.642,0.301,0.374
247,1.642,0.301,0.374
248,1.682,0.29600000000000004,0.377
249,1.682,0.29600000000000004,0.377
250,1.682,0.292,0.38
251,1.682,0.292,0.38
252,1.722,0.28800000000000003,0.382
253,1.722,0.28800000000000003,0.382
254,1.722,0.284,0.384
255,1.722,0.284,0.384
256,1.722,0.284,0.384
257,1.722,0.284,0.384
258,1.763,0.285,0.382
259,1.763,0.285,0.382
260,1.763,0.282,0.384
261,1.763,0.282,0.384
262,1.804,0.28,0.384
263,1.804,0.28,0.384
264,1.804,0.28,0.385
265,1.804,0.28,0.385
266,1.804,0.28,0.385
267,1.804,0.28,0.385
268,1.844,0.28,0.385
269,1.844,0.28,0.385
270,1.844,0.281,0.385
271,1.844,0.281,0.385
272,1.885,0.28300000000000003,0.386
273,1.885,0.28300000000000003,0.386
274,1.885,0.285,0.387
275,1.885,0.285,0.387
276,1.885,0.28600000000000003,0.388
277,1.885,0.28600000000000003,0.388
278,1.925,0.289,0.389
279,1.925,0.289,0.389
280,1.925,0.29,0.39
281,1.925,0.29,0.39
282,1.965,0.293,0.392
283,1.965,0.293,0.392
284,1.965,0.294,0.393
285,1.965,0.294,0.393
286,2.006,0.297,0.395
287,2.006,0.297,0.395
288,2.006,0.301,0.396
289,2.006,0.301,0.396
290,2.006,0.304,0.397
291,2.006,0.304,0.397
292,2.047,0.309,0.398
293,2.047,0.309,0.398
294,2.047,0.312,0.399
295,2.047,0.312,0.399
296,2.088,0.312,0.399
297,2.088,0.312,0.399
298,2.088,0.322,0.399
299,2.088,0.322,0.399
300,2.088,0.34,0.399
301,2.088,0.34,0.399
302,2.13,0.353,0.398
303,2.13,0.353,0.398
304,2.13,0.355,0.398
305,2.13,0.355,0.398
306,2.17,0.355,0.398
307,2.17,0.355,0.398
308,2.17,0.368,0.399
309,2.17,0.368,0.399
310,2.17,0.382,0.399
311,2.17,0.382,0.399
312,2.212,0.395,0.4
313,2.212,0.395,0.4
314,2.212,0.408,0.4
315,2.212,0.408,0.4
316,2.252,0.419,0.4
317,2.252,0.419,0.4
318,2.252,0.419,0.4
319,2.252,0.419,0.4
320,2.252,0.43,0.4
321,2.252,0.43,0.4
322,2.292,0.441,0.399
323,2.292,0.441,0.399
324,2.292,0.451,0.398
325,2.292,0.451,0.398
326,2.332,0.46,0.398
327,2.332,0.46,0.398
328,2.332,0.46,0.398
329,2.332,0.46,0.398
330,2.373,0.459,0.399
331,2.373,0.459,0.399
332,2.373,0.468,0.399
333,2.373,0.468,0.399
334,2.373,0.477,0.4
335,2.373,0.477,0.4
336,2.4130000000000003,0.486,0.401
337,2.4130000000000003,0.486,0.401
338,2.4130000000000003,0.495,0.402
339,2.4130000000000003,0.495,0.402
340,2.4530000000000003,0.495,0.402
341,2.4530000000000003,0.495,0.402
342,2.4530000000000003,0.505,0.403
343,2.4530000000000003,0.505,0.403
344,2.4530000000000003,0.515,0.404
345,2.4530000000000003,0.515,0.404
346,2.4930000000000003,0.526,0.405
347,2.4930000000000003,0.526,0.405
348,2.4930000000000003,0.535,0.405
349,2.4930000000000003,0.535,0.405
350,2.533,0.535,0.405
351,2.533,0.535,0.405
352,2.533,0.544,0.407
353,2.533,0.544,0.407
354,2.533,0.5539999999999999,0.41
355,2.533,0.5539999999999999,0.41
356,2.574,0.564,0.412
357,2.574,0.564,0.412
358,2.574,0.564,0.412
359,2.574,0.564,0.412
360,2.615,0.574,0.415
361,2.615,0.574,0.415
362,2.615,0.585,0.416
363,2.615,0.585,0.416
364,2.656,0.586,0.416
365,2.656,0.586,0.416
366,2.656,0.597,0.418
367,2.656,0.597,0.418
368,2.656,0.609,0.42
369,2.656,0.609,0.42
370,2.697,0.609,0.42
371,2.697,0.609,0.42
372,2.697,0.621,0.422
373,2.697,0.621,0.422
374,2.737,0.632,0.423
375,2.737,0.632,0.423
376,2.737,0.644,0.424
377,2.737,0.644,0.424
378,2.737,0.654,0.425
379,2.737,0.654,0.425
380,2.778,0.662,0.426
381,2.778,0.662,0.426
382,2.778,0.662,0.426
383,2.778,0.662,0.426
384,2.818,0.669,0.4270000000000001
385,2.818,0.669,0.4270000000000001
386,2.818,0.675,0.426
387,2.818,0.675,0.426
388,2.818,0.68,0.423
389,2.818,0.68,0.423
390,2.858,0.684,0.419
391,2.858,0.684,0.419
392,2.858,0.684,0.419
393,2.858,0.684,0.419
394,2.898,0.6829999999999999,0.417
395,2.898,0.6829999999999999,0.417
396,2.898,0.688,0.411
397,2.898,0.688,0.411
398,2.939,0.6920000000000001,0.402
399,2.939,0.6920000000000001,0.402
400,2.939,0.696,0.392
401,2.939,0.696,0.392
402,2.939,0.696,0.392
403,2.939,0.696,0.392
404,2.979,0.7,0.381
405,2.979,0.7,0.381
406,2.979,0.7040000000000001,0.3720000000000001
407,2.979,0.7040000000000001,0.3720000000000001
408,3.02,0.708,0.365
409,3.02,0.708,0.365
410,3.02,0.71,0.359
411,3.02,0.71,0.359
412,3.02,0.7120000000000001,0.35600000000000004
413,3.02,0.7120000000000001,0.35600000000000004
414,3.06,0.7120000000000001,0.35600000000000004
415,3.06,0.7120000000000001,0.35600000000000004
416,3.06,0.7140000000000001,0.355
417,3.06,0.7140000000000001,0.355
418,3.1,0.716,0.354
419,3.1,0.716,0.354
420,3.1,0.718,0.353
421,3.1,0.718,0.353
422,3.1,0.72,0.35200000000000004
423,3.1,0.72,0.35200000000000004
424,3.141,0.72,0.35200000000000004
425,3.141,0.72,0.35200000000000004
426,3.141,0.72,0.35200000000000004
427,3.141,0.72,0.35200000000000004
428,3.182,0.723,0.35
429,3.182,0.723,0.35
430,3.182,0.726,0.348
431,3.182,0.726,0.348
432,3.222,0.7290000000000001,0.345
433,3.222,0.7290000000000001,0.345
434,3.222,0.733,0.341
435,3.222,0.733,0.341
436,3.222,0.733,0.341
437,3.222,0.733,0.341
438,3.262,0.736,0.338
439,3.262,0.736,0.338
440,3.262,0.7390000000000001,0.337
441,3.262,0.7390000000000001,0.337
442,3.303,0.741,0.335
443,3.303,0.741,0.335
444,3.303,0.743,0.335
445,3.303,0.743,0.335
446,3.303,0.743,0.335
447,3.303,0.743,0.335
448,3.343,0.7440000000000001,0.335
449,3.343,0.7440000000000001,0.335
450,3.343,0.745,0.336
451,3.343,0.745,0.336
452,3.383,0.745,0.337
453,3.383,0.745,0.337
454,3.383,0.745,0.337
455,3.383,0.745,0.337
456,3.383,0.745,0.338
457,3.383,0.745,0.338
458,3.424,0.7440000000000001,0.338
459,3.424,0.7440000000000001,0.338
460,3.424,0.743,0.339
461,3.424,0.743,0.339
462,3.464,0.742,0.339
463,3.464,0.742,0.339
464,3.464,0.74,0.339
465,3.464,0.74,0.339
466,3.504,0.74,0.339
467,3.504,0.74,0.339
468,3.504,0.738,0.339
469,3.504,0.738,0.339
470,3.504,0.736,0.339
471,3.504,0.736,0.339
472,3.545,0.733,0.338
473,3.545,0.733,0.338
474,3.545,0.728,0.336
475,3.545,0.728,0.336
476,3.585,0.7240000000000001,0.333
477,3.585,0.7240000000000001,0.333
478,3.585,0.7240000000000001,0.333
479,3.585,0.7240000000000001,0.333
480,3.585,0.7190000000000001,0.329
481,3.585,0.7190000000000001,0.329
482,3.626,0.713,0.325
483,3.626,0.713,0.325
484,3.626,0.7070000000000001,0.319
485,3.626,0.7070000000000001,0.319
486,3.667,0.7,0.311
487,3.667,0.7,0.311
488,3.667,0.7,0.311
489,3.667,0.7,0.311
490,3.667,0.701,0.309
491,3.667,0.701,0.309
492,3.708,0.695,0.302
493,3.708,0.695,0.302
494,3.708,0.69,0.29600000000000004
495,3.708,0.69,0.29600000000000004
496,3.748,0.685,0.293
497,3.748,0.685,0.293
498,3.748,0.685,0.293
499,3.748,0.685,0.293
500,3.788,0.6809999999999999,0.294
501,3.788,0.6809999999999999,0.294
502,3.788,0.6779999999999999,0.295
503,3.788,0.6779999999999999,0.295
504,3.788,0.6759999999999999,0.298
505,3.788,0.6759999999999999,0.298
506,3.83,0.674,0.303
507,3.83,0.674,0.303
508,3.83,0.6729999999999999,0.309
509,3.83,0.6729999999999999,0.309
510,3.87,0.6729999999999999,0.309
511,3.87,0.6729999999999999,0.309
512,3.87,0.672,0.315
513,3.87,0.672,0.315
514,3.87,0.6709999999999999,0.322
515,3.87,0.6709999999999999,0.322
516,3.91,0.669,0.331
517,3.91,0.669,0.331
518,3.91,0.667,0.34
519,3.91,0.667,0.34
520,3.95,0.667,0.34
521,3.95,0.667,0.34
522,3.95,0.6659999999999999,0.342
523,3.95,0.6659999999999999,0.342
524,3.95,0.6629999999999999,0.35200000000000004
525,3.95,0.6629999999999999,0.35200000000000004
526,3.992,0.66,0.359
527,3.992,0.66,0.359
528,3.992,0.657,0.365
529,3.992,0.657,0.365
530,4.032,0.657,0.365
531,4.032,0.657,0.365
532,4.032,0.653,0.371
533,4.032,0.653,0.371
534,4.032,0.648,0.376
535,4.032,0.648,0.376
536,4.073,0.643,0.381
537,4.073,0.643,0.381
538,4.073,0.637,0.385
539,4.073,0.637,0.385
540,4.114,0.632,0.391
541,4.114,0.632,0.391
542,4.114,0.632,0.391
543,4.114,0.632,0.391
544,4.154,0.627,0.396
545,4.154,0.627,0.396
546,4.154,0.621,0.401
547,4.154,0.621,0.401
548,4.154,0.616,0.406
549,4.154,0.616,0.406
550,4.195,0.61,0.412
551,4.195,0.61,0.412
552,4.195,0.61,0.412
553,4.195,0.61,0.412
554,4.235,0.609,0.412
555,4.235,0.609,0.412
556,4.235,0.604,0.418
557,4.235,0.604,0.418
558,4.235,0.598,0.422
559,4.235,0.598,0.422
560,4.276,0.5920000000000001,0.426
561,4.276,0.5920000000000001,0.426
562,4.276,0.588,0.428
563,4.276,0.588,0.428
564,4.316,0.588,0.428
565,4.316,0.588,0.428
566,4.316,0.585,0.429
567,4.316,0.585,0.429
568,4.356,0.584,0.431
569,4.356,0.584,0.431
570,4.356,0.5820000000000001,0.4320000000000001
571,4.356,0.5820000000000001,0.4320000000000001
572,4.356,0.581,0.4320000000000001
573,4.356,0.581,0.4320000000000001
574,4.396,0.581,0.4320000000000001
575,4.396,0.581,0.4320000000000001
576,4.396,0.581,0.4320000000000001
577,4.396,0.581,0.4320000000000001
578,4.436,0.5820000000000001,0.4320000000000001
579,4.436,0.5820000000000001,0.4320000000000001
580,4.436,0.5820000000000001,0.431
581,4.436,0.5820000000000001,0.431
582,4.436,0.5820000000000001,0.431
583,4.436,0.5820000000000001,0.431
584,4.477,0.583,0.429
585,4.477,0.583,0.429
586,4.477,0.583,0.429
587,4.477,0.583,0.429
588,4.517,0.583,0.428
589,4.517,0.583,0.428
590,4.517,0.584,0.428
591,4.517,0.584,0.428
592,4.517,0.584,0.428
593,4.517,0.584,0.428
594,4.557,0.584,0.428
595,4.557,0.584,0.428
596,4.557,0.584,0.4270000000000001
597,4.557,0.584,0.4270000000000001
598,4.597,0.584,0.4270000000000001
599,4.597,0.584,0.4270000000000001
600,4.597,0.584,0.426
601,4.597,0.584,0.426
602,4.637,0.584,0.426
603,4.637,0.584,0.426
604,4.637,0.584,0.426
605,4.637,0.584,0.426
606,4.637,0.584,0.426
607,4.637,0.584,0.426
608,4.678,0.584,0.425
609,4.678,0.584,0.425
610,4.678,0.584,0.424
611,4.678,0.584,0.424
612,4.7189999999999985,0.583,0.424
613,4.7189999999999985,0.583,0.424
614,4.7189999999999985,0.583,0.424
615,4.7189999999999985,0.583,0.424
616,4.7189999999999985,0.583,0.424
617,4.7189999999999985,0.583,0.424
618,4.759,0.583,0.423
619,4.759,0.583,0.423
620,4.759,0.583,0.422
621,4.759,0.583,0.422
622,4.8,0.583,0.42
623,4.8,0.583,0.42
624,4.8,0.583,0.419
625,4.8,0.583,0.419
626,4.8,0.583,0.419
627,4.8,0.583,0.419
628,4.841,0.583,0.418
629,4.841,0.583,0.418
630,4.841,0.583,0.418
631,4.841,0.583,0.418
