,time,2dmu,2dmv
0,0.0,0.499,0.514
1,0.0,0.499,0.514
2,0.0,0.499,0.514
3,0.0,0.499,0.514
4,0.0,0.499,0.514
5,0.0,0.499,0.514
6,0.0,0.499,0.514
7,0.0,0.499,0.514
8,0.0,0.499,0.513
9,0.0,0.499,0.513
10,0.0,0.499,0.513
11,0.0,0.499,0.513
12,0.0,0.499,0.513
13,0.0,0.499,0.513
14,0.0,0.499,0.513
15,0.0,0.499,0.513
16,0.0,0.499,0.513
17,0.0,0.499,0.513
18,0.0,0.499,0.514
19,0.0,0.499,0.514
20,0.0,0.499,0.514
21,0.0,0.499,0.514
22,0.0,0.499,0.514
23,0.0,0.499,0.514
24,0.0,0.499,0.514
25,0.0,0.499,0.514
26,0.0,0.499,0.514
27,0.0,0.499,0.514
28,0.0,0.499,0.514
29,0.0,0.499,0.514
30,0.0,0.499,0.514
31,0.0,0.499,0.514
32,0.0,0.499,0.514
33,0.0,0.499,0.514
34,0.0,0.499,0.514
35,0.0,0.499,0.514
36,0.0,0.499,0.514
37,0.0,0.499,0.514
38,0.0,0.499,0.514
39,0.0,0.499,0.514
40,0.0,0.499,0.513
41,0.0,0.499,0.513
42,0.0,0.499,0.513
43,0.0,0.499,0.513
44,0.0,0.498,0.513
45,0.0,0.498,0.513
46,0.0,0.498,0.513
47,0.0,0.498,0.513
48,0.0,0.498,0.513
49,0.0,0.498,0.513
50,0.0,0.498,0.513
51,0.0,0.498,0.513
52,0.0,0.498,0.513
53,0.0,0.498,0.513
54,0.0,0.498,0.513
55,0.0,0.498,0.513
56,0.0,0.498,0.513
57,0.0,0.498,0.513
58,0.01,0.498,0.513
59,0.01,0.498,0.513
60,0.01,0.498,0.513
61,0.01,0.498,0.513
62,0.05,0.498,0.513
63,0.05,0.498,0.513
64,0.05,0.498,0.513
65,0.05,0.498,0.513
66,0.05,0.499,0.513
67,0.05,0.499,0.513
68,0.09,0.499,0.513
69,0.09,0.499,0.513
70,0.09,0.499,0.513
71,0.09,0.499,0.513
72,0.131,0.499,0.513
73,0.131,0.499,0.513
74,0.131,0.499,0.513
75,0.131,0.499,0.513
76,0.131,0.499,0.513
77,0.131,0.499,0.513
78,0.171,0.499,0.513
79,0.171,0.499,0.513
80,0.171,0.499,0.512
81,0.171,0.499,0.512
82,0.211,0.499,0.512
83,0.211,0.499,0.512
84,0.211,0.498,0.512
85,0.211,0.498,0.512
86,0.251,0.498,0.512
87,0.251,0.498,0.512
88,0.251,0.498,0.512
89,0.251,0.498,0.512
90,0.251,0.498,0.512
91,0.251,0.498,0.512
92,0.292,0.498,0.512
93,0.292,0.498,0.512
94,0.292,0.498,0.512
95,0.292,0.498,0.512
96,0.332,0.498,0.512
97,0.332,0.498,0.512
98,0.332,0.498,0.512
99,0.332,0.498,0.512
100,0.332,0.498,0.512
101,0.332,0.498,0.512
102,0.3720000000000001,0.4970000000000001,0.512
103,0.3720000000000001,0.4970000000000001,0.512
104,0.3720000000000001,0.4970000000000001,0.512
105,0.3720000000000001,0.4970000000000001,0.512
106,0.412,0.496,0.512
107,0.412,0.496,0.512
108,0.412,0.495,0.512
109,0.412,0.495,0.512
110,0.453,0.495,0.512
111,0.453,0.495,0.512
112,0.453,0.495,0.512
113,0.453,0.495,0.512
114,0.453,0.493,0.512
115,0.453,0.493,0.512
116,0.494,0.493,0.512
117,0.494,0.493,0.512
118,0.494,0.4920000000000001,0.512
119,0.494,0.4920000000000001,0.512
120,0.534,0.49,0.512
121,0.534,0.49,0.512
122,0.534,0.49,0.512
123,0.534,0.49,0.512
124,0.534,0.489,0.512
125,0.534,0.489,0.512
126,0.574,0.488,0.511
127,0.574,0.488,0.511
128,0.574,0.486,0.511
129,0.574,0.486,0.511
130,0.615,0.486,0.511
131,0.615,0.486,0.511
132,0.615,0.485,0.511
133,0.615,0.485,0.511
134,0.615,0.483,0.511
135,0.615,0.483,0.511
136,0.655,0.482,0.511
137,0.655,0.482,0.511
138,0.655,0.482,0.511
139,0.655,0.482,0.511
140,0.695,0.481,0.511
141,0.695,0.481,0.511
142,0.695,0.481,0.511
143,0.695,0.481,0.511
144,0.736,0.479,0.511
145,0.736,0.479,0.511
146,0.736,0.478,0.511
147,0.736,0.478,0.511
148,0.736,0.478,0.511
149,0.736,0.478,0.511
150,0.777,0.477,0.511
151,0.777,0.477,0.511
152,0.777,0.476,0.511
153,0.777,0.476,0.511
154,0.8170000000000001,0.475,0.511
155,0.8170000000000001,0.475,0.511
156,0.8170000000000001,0.474,0.511
157,0.8170000000000001,0.474,0.511
158,0.8170000000000001,0.474,0.511
159,0.8170000000000001,0.474,0.511
160,0.857,0.473,0.511
161,0.857,0.473,0.511
162,0.857,0.473,0.511
163,0.857,0.473,0.511
164,0.898,0.472,0.511
