,time,2dmu,2dmv
0,0.0,0.511,0.491
1,0.0,0.511,0.491
2,0.0,0.511,0.491
3,0.0,0.511,0.491
4,0.0,0.511,0.491
5,0.0,0.511,0.491
6,0.0,0.511,0.491
7,0.0,0.511,0.491
8,0.0,0.511,0.491
9,0.0,0.511,0.491
10,0.0,0.511,0.49
11,0.0,0.511,0.49
12,0.0,0.511,0.49
13,0.0,0.511,0.49
14,0.0,0.51,0.489
15,0.0,0.51,0.489
16,0.0,0.51,0.489
17,0.0,0.51,0.489
18,0.0,0.51,0.489
19,0.0,0.51,0.489
20,0.0,0.51,0.489
21,0.0,0.51,0.489
22,0.0,0.51,0.488
23,0.0,0.51,0.488
24,0.0,0.51,0.488
25,0.0,0.51,0.488
26,0.0,0.51,0.488
27,0.0,0.51,0.488
28,0.0,0.51,0.488
29,0.0,0.51,0.488
30,0.0,0.51,0.488
31,0.0,0.51,0.488
32,0.0,0.51,0.488
33,0.0,0.51,0.488
34,0.0,0.51,0.488
35,0.0,0.51,0.488
36,0.018000000000000002,0.51,0.488
37,0.018000000000000002,0.51,0.488
38,0.018000000000000002,0.51,0.488
39,0.018000000000000002,0.51,0.488
40,0.058,0.51,0.489
41,0.058,0.51,0.489
42,0.058,0.51,0.489
43,0.058,0.51,0.489
44,0.099,0.51,0.489
45,0.099,0.51,0.489
46,0.099,0.51,0.489
47,0.099,0.51,0.489
48,0.14,0.51,0.49
49,0.14,0.51,0.49
50,0.18,0.51,0.49
51,0.18,0.51,0.49
52,0.18,0.51,0.49
53,0.18,0.51,0.49
54,0.222,0.51,0.49
55,0.222,0.51,0.49
56,0.222,0.51,0.49
57,0.222,0.51,0.49
58,0.261,0.51,0.491
59,0.261,0.51,0.491
60,0.261,0.51,0.491
61,0.261,0.51,0.491
62,0.302,0.51,0.491
63,0.302,0.51,0.491
64,0.302,0.51,0.491
65,0.302,0.51,0.491
66,0.343,0.51,0.491
67,0.343,0.51,0.491
68,0.343,0.51,0.491
69,0.343,0.51,0.491
70,0.383,0.51,0.491
71,0.383,0.51,0.491
72,0.423,0.51,0.491
73,0.423,0.51,0.491
74,0.423,0.51,0.491
75,0.423,0.51,0.491
76,0.464,0.51,0.491
77,0.464,0.51,0.491
78,0.464,0.51,0.491
79,0.464,0.51,0.491
80,0.504,0.51,0.491
81,0.504,0.51,0.491
82,0.544,0.51,0.491
83,0.544,0.51,0.491
84,0.544,0.51,0.491
85,0.544,0.51,0.491
86,0.544,0.51,0.491
87,0.544,0.51,0.491
88,0.585,0.51,0.491
89,0.585,0.51,0.491
90,0.625,0.51,0.491
91,0.625,0.51,0.491
92,0.625,0.51,0.4920000000000001
93,0.625,0.51,0.4920000000000001
94,0.6659999999999999,0.51,0.4920000000000001
95,0.6659999999999999,0.51,0.4920000000000001
96,0.6659999999999999,0.51,0.4920000000000001
97,0.6659999999999999,0.51,0.4920000000000001
98,0.706,0.51,0.4920000000000001
99,0.706,0.51,0.4920000000000001
100,0.746,0.51,0.4920000000000001
101,0.746,0.51,0.4920000000000001
102,0.746,0.51,0.4920000000000001
103,0.746,0.51,0.4920000000000001
104,0.746,0.51,0.4920000000000001
105,0.746,0.51,0.4920000000000001
106,0.787,0.51,0.4920000000000001
