,time,2dmu,2dmv
0,0.0,0.482,0.509
1,0.0,0.482,0.509
2,0.0,0.482,0.509
3,0.0,0.482,0.509
4,0.0,0.482,0.509
5,0.0,0.482,0.509
6,0.0,0.482,0.509
7,0.0,0.482,0.509
8,0.0,0.48,0.509
9,0.0,0.48,0.509
10,0.0,0.48,0.509
11,0.0,0.48,0.509
12,0.0,0.48,0.509
13,0.0,0.48,0.509
14,0.0,0.48,0.509
15,0.0,0.48,0.509
16,0.0,0.479,0.508
17,0.0,0.479,0.508
18,0.0,0.479,0.508
19,0.0,0.479,0.508
20,0.0,0.478,0.508
21,0.0,0.478,0.508
22,0.0,0.478,0.508
23,0.0,0.478,0.508
24,0.0,0.477,0.508
25,0.0,0.477,0.508
26,0.0,0.477,0.508
27,0.0,0.477,0.508
28,0.0,0.476,0.508
29,0.0,0.476,0.508
30,0.0,0.476,0.508
31,0.0,0.476,0.508
32,0.0,0.476,0.507
33,0.0,0.476,0.507
34,0.0,0.476,0.507
35,0.0,0.476,0.507
36,0.0,0.475,0.507
37,0.0,0.475,0.507
38,0.0,0.475,0.507
39,0.0,0.475,0.507
40,0.0,0.475,0.507
41,0.0,0.475,0.507
42,0.0,0.475,0.507
43,0.0,0.475,0.507
44,0.0,0.475,0.507
45,0.0,0.475,0.507
46,0.0,0.474,0.506
47,0.0,0.474,0.506
48,0.0,0.474,0.506
49,0.0,0.474,0.506
50,0.017,0.474,0.506
51,0.017,0.474,0.506
52,0.017,0.474,0.506
53,0.017,0.474,0.506
54,0.057,0.474,0.506
55,0.057,0.474,0.506
56,0.057,0.473,0.506
57,0.057,0.473,0.506
58,0.057,0.473,0.506
59,0.057,0.473,0.506
60,0.097,0.473,0.506
61,0.097,0.473,0.506
62,0.097,0.472,0.506
63,0.097,0.472,0.506
64,0.138,0.472,0.506
65,0.138,0.472,0.506
66,0.138,0.471,0.506
67,0.138,0.471,0.506
68,0.138,0.471,0.506
69,0.138,0.471,0.506
70,0.17800000000000002,0.471,0.506
71,0.17800000000000002,0.471,0.506
72,0.17800000000000002,0.47,0.506
73,0.17800000000000002,0.47,0.506
74,0.219,0.47,0.506
75,0.219,0.47,0.506
76,0.219,0.47,0.506
77,0.219,0.47,0.506
78,0.219,0.469,0.507
79,0.219,0.469,0.507
80,0.259,0.469,0.507
81,0.259,0.469,0.507
82,0.259,0.469,0.507
83,0.259,0.469,0.507
84,0.299,0.469,0.507
85,0.299,0.469,0.507
86,0.299,0.468,0.507
87,0.299,0.468,0.507
88,0.34,0.468,0.508
89,0.34,0.468,0.508
90,0.34,0.468,0.508
91,0.34,0.468,0.508
92,0.34,0.468,0.508
93,0.34,0.468,0.508
94,0.38,0.468,0.508
95,0.38,0.468,0.508
96,0.38,0.467,0.508
97,0.38,0.467,0.508
98,0.42,0.467,0.508
99,0.42,0.467,0.508
100,0.42,0.467,0.508
101,0.42,0.467,0.508
102,0.42,0.466,0.509
103,0.42,0.466,0.509
104,0.461,0.465,0.509
105,0.461,0.465,0.509
106,0.461,0.463,0.509
107,0.461,0.463,0.509
108,0.502,0.462,0.509
109,0.502,0.462,0.509
110,0.502,0.462,0.509
111,0.502,0.462,0.509
112,0.502,0.46,0.51
113,0.502,0.46,0.51
114,0.542,0.457,0.51
115,0.542,0.457,0.51
116,0.542,0.454,0.511
117,0.542,0.454,0.511
118,0.5820000000000001,0.454,0.511
119,0.5820000000000001,0.454,0.511
120,0.5820000000000001,0.454,0.511
121,0.5820000000000001,0.454,0.511
122,0.622,0.451,0.512
123,0.622,0.451,0.512
124,0.622,0.447,0.511
125,0.622,0.447,0.511
126,0.622,0.443,0.512
127,0.622,0.443,0.512
128,0.662,0.443,0.512
129,0.662,0.443,0.512
130,0.662,0.439,0.512
131,0.662,0.439,0.512
132,0.7020000000000001,0.435,0.512
133,0.7020000000000001,0.435,0.512
134,0.7020000000000001,0.43,0.512
135,0.7020000000000001,0.43,0.512
136,0.7020000000000001,0.43,0.512
137,0.7020000000000001,0.43,0.512
138,0.742,0.425,0.513
139,0.742,0.425,0.513
140,0.742,0.42,0.513
141,0.742,0.42,0.513
142,0.7809999999999999,0.415,0.513
143,0.7809999999999999,0.415,0.513
144,0.7809999999999999,0.409,0.513
