,time,2dmu,2dmv
0,23.111,0.523,0.457
1,23.111,0.523,0.457
2,23.111,0.523,0.457
3,23.111,0.524,0.46
4,23.111,0.524,0.46
5,23.152,0.525,0.463
6,23.152,0.525,0.463
7,23.152,0.526,0.465
8,23.152,0.526,0.465
9,23.192,0.527,0.468
10,23.192,0.527,0.468
11,23.192,0.527,0.468
12,23.192,0.527,0.468
13,23.192,0.528,0.47
14,23.192,0.528,0.47
15,23.232,0.53,0.472
16,23.232,0.53,0.472
17,23.232,0.531,0.475
18,23.232,0.531,0.475
19,23.273000000000003,0.532,0.476
20,23.273000000000003,0.532,0.476
21,23.273000000000003,0.534,0.478
22,23.273000000000003,0.534,0.478
23,23.273000000000003,0.534,0.478
24,23.273000000000003,0.534,0.478
25,23.314,0.535,0.48
26,23.314,0.535,0.48
27,23.314,0.536,0.481
28,23.314,0.536,0.481
29,23.355,0.5379999999999999,0.482
30,23.355,0.5379999999999999,0.482
31,23.355,0.5379999999999999,0.482
32,23.355,0.5379999999999999,0.482
33,23.396,0.539,0.484
34,23.396,0.539,0.484
35,23.396,0.54,0.485
36,23.396,0.54,0.485
37,23.396,0.541,0.485
38,23.396,0.541,0.485
39,23.435,0.541,0.486
40,23.435,0.541,0.486
41,23.435,0.541,0.486
42,23.435,0.541,0.486
43,23.475,0.541,0.486
44,23.475,0.541,0.486
45,23.475,0.542,0.487
46,23.475,0.542,0.487
47,23.475,0.542,0.488
48,23.475,0.542,0.488
49,23.516,0.5429999999999999,0.488
50,23.516,0.5429999999999999,0.488
51,23.516,0.5429999999999999,0.488
52,23.516,0.5429999999999999,0.488
53,23.556,0.5429999999999999,0.489
54,23.556,0.5429999999999999,0.489
55,23.556,0.5429999999999999,0.489
56,23.556,0.5429999999999999,0.489
57,23.556,0.544,0.49
58,23.556,0.544,0.49
59,23.597,0.544,0.49
60,23.597,0.544,0.49
61,23.597,0.544,0.49
62,23.597,0.544,0.49
63,23.637,0.544,0.49
64,23.637,0.544,0.49
65,23.637,0.544,0.49
66,23.637,0.544,0.49
67,23.677,0.544,0.491
68,23.677,0.544,0.491
69,23.677,0.5429999999999999,0.4920000000000001
70,23.677,0.5429999999999999,0.4920000000000001
71,23.677,0.5429999999999999,0.4920000000000001
72,23.677,0.5429999999999999,0.4920000000000001
73,23.718000000000004,0.5429999999999999,0.4920000000000001
74,23.718000000000004,0.5429999999999999,0.4920000000000001
75,23.718000000000004,0.5429999999999999,0.4920000000000001
76,23.718000000000004,0.5429999999999999,0.4920000000000001
77,23.759,0.5429999999999999,0.4920000000000001
78,23.759,0.5429999999999999,0.4920000000000001
79,23.759,0.5429999999999999,0.493
80,23.759,0.5429999999999999,0.493
81,23.759,0.5429999999999999,0.493
82,23.759,0.5429999999999999,0.493
83,23.8,0.5429999999999999,0.493
84,23.8,0.5429999999999999,0.493
85,23.8,0.5429999999999999,0.493
86,23.8,0.5429999999999999,0.493
87,23.84,0.5429999999999999,0.493
88,23.84,0.5429999999999999,0.493
89,23.84,0.5429999999999999,0.493
90,23.84,0.5429999999999999,0.493
91,23.84,0.544,0.493
92,23.84,0.544,0.493
93,23.881,0.544,0.493
94,23.881,0.544,0.493
95,23.881,0.544,0.493
96,23.881,0.544,0.493
97,23.922,0.545,0.493
98,23.922,0.545,0.493
99,23.922,0.545,0.493
100,23.922,0.545,0.493
101,23.962,0.545,0.493
102,23.962,0.545,0.493
103,23.962,0.546,0.493
104,23.962,0.546,0.493
105,23.962,0.546,0.493
106,23.962,0.546,0.493
107,24.002,0.546,0.493
108,24.002,0.546,0.493
109,24.002,0.546,0.493
110,24.002,0.546,0.493
111,24.043000000000006,0.546,0.493
112,24.043000000000006,0.546,0.493
113,24.043000000000006,0.546,0.494
114,24.043000000000006,0.546,0.494
115,24.043000000000006,0.546,0.494
116,24.043000000000006,0.546,0.494
117,24.084,0.546,0.494
118,24.084,0.546,0.494
119,24.084,0.547,0.494
120,24.084,0.547,0.494
121,24.124,0.547,0.494
122,24.124,0.547,0.494
123,24.124,0.547,0.495
124,24.124,0.547,0.495
125,24.124,0.5479999999999999,0.496
126,24.124,0.5479999999999999,0.496
127,24.166,0.5479999999999999,0.496
128,24.166,0.5479999999999999,0.496
129,24.166,0.5489999999999999,0.4970000000000001
130,24.166,0.5489999999999999,0.4970000000000001
131,24.206,0.55,0.498
132,24.206,0.55,0.498
133,24.206,0.552,0.5
134,24.206,0.552,0.5
135,24.246,0.552,0.5
136,24.246,0.552,0.5
137,24.246,0.555,0.501
138,24.246,0.555,0.501
139,24.246,0.5579999999999999,0.502
140,24.246,0.5579999999999999,0.502
141,24.287,0.56,0.504
142,24.287,0.56,0.504
143,24.287,0.564,0.504
144,24.287,0.564,0.504
145,24.327,0.564,0.504
146,24.327,0.564,0.504
147,24.327,0.564,0.503
148,24.327,0.564,0.503
149,24.327,0.5670000000000001,0.505
150,24.327,0.5670000000000001,0.505
151,24.368,0.5710000000000001,0.506
152,24.368,0.5710000000000001,0.506
153,24.368,0.575,0.506
154,24.368,0.575,0.506
155,24.409,0.575,0.506
156,24.409,0.575,0.506
157,24.409,0.579,0.507
158,24.409,0.579,0.507
159,24.409,0.583,0.507
160,24.409,0.583,0.507
161,24.45,0.5870000000000001,0.507
162,24.45,0.5870000000000001,0.507
163,24.45,0.59,0.507
164,24.45,0.59,0.507
165,24.49,0.593,0.506
166,24.49,0.593,0.506
167,24.49,0.593,0.506
168,24.49,0.593,0.506
169,24.49,0.596,0.506
170,24.49,0.596,0.506
171,24.532,0.599,0.505
172,24.532,0.599,0.505
173,24.532,0.601,0.505
174,24.532,0.601,0.505
175,24.573,0.601,0.505
176,24.573,0.601,0.505
177,24.573,0.602,0.504
178,24.573,0.602,0.504
179,24.573,0.604,0.503
180,24.573,0.604,0.503
181,24.614,0.605,0.503
182,24.614,0.605,0.503
183,24.614,0.605,0.502
184,24.614,0.605,0.502
185,24.655,0.605,0.502
186,24.655,0.605,0.502
187,24.655,0.605,0.502
188,24.655,0.605,0.502
189,24.655,0.606,0.5
190,24.655,0.606,0.5
191,24.697,0.606,0.499
192,24.697,0.606,0.499
193,24.697,0.607,0.499
194,24.697,0.607,0.499
195,24.737,0.607,0.499
196,24.737,0.607,0.499
197,24.737,0.607,0.498
198,24.737,0.607,0.498
199,24.777,0.607,0.498
200,24.777,0.607,0.498
201,24.777,0.607,0.498
202,24.777,0.607,0.498
203,24.777,0.608,0.498
204,24.777,0.608,0.498
205,24.817,0.608,0.498
206,24.817,0.608,0.498
207,24.817,0.608,0.498
208,24.817,0.608,0.498
209,24.857,0.609,0.4970000000000001
210,24.857,0.609,0.4970000000000001
211,24.857,0.609,0.4970000000000001
212,24.857,0.609,0.4970000000000001
213,24.857,0.609,0.4970000000000001
214,24.857,0.609,0.4970000000000001
215,24.898000000000003,0.61,0.4970000000000001
216,24.898000000000003,0.61,0.4970000000000001
217,24.898000000000003,0.61,0.498
218,24.898000000000003,0.61,0.498
219,24.938,0.61,0.498
220,24.938,0.61,0.498
221,24.948,0.61,0.498
222,24.948,0.61,0.498
223,24.979,0.611,0.499
224,24.979,0.611,0.499
225,24.979,0.612,0.501
226,24.979,0.612,0.501
227,24.979,0.612,0.502
228,24.979,0.612,0.502
229,25.015,0.612,0.502
230,25.015,0.612,0.502
231,25.015,0.612,0.502
232,25.015,0.612,0.502
233,25.067,0.612,0.503
234,0.0,0.612,0.503
