,time,2dmu,2dmv
0,0.0,0.679,0.524
1,0.0,0.679,0.524
2,0.0,0.675,0.525
3,0.0,0.675,0.525
4,0.0,0.675,0.525
5,0.0,0.675,0.525
6,0.0,0.675,0.525
7,0.0,0.675,0.525
8,0.0,0.675,0.525
9,0.0,0.675,0.525
10,0.0,0.619,0.524
11,0.0,0.619,0.524
12,0.0,0.619,0.524
13,0.0,0.619,0.524
14,0.0,0.601,0.524
15,0.0,0.601,0.524
16,0.0,0.601,0.524
17,0.0,0.601,0.524
18,0.0,0.593,0.525
19,0.0,0.593,0.525
20,0.0,0.593,0.525
21,0.0,0.593,0.525
22,0.0,0.586,0.524
23,0.0,0.586,0.524
24,0.0,0.586,0.524
25,0.0,0.586,0.524
26,0.0,0.58,0.524
27,0.0,0.58,0.524
28,0.0,0.58,0.524
29,0.0,0.58,0.524
30,0.0,0.5720000000000001,0.524
31,0.0,0.5720000000000001,0.524
32,0.0,0.565,0.523
33,0.0,0.565,0.523
34,0.014,0.565,0.523
35,0.014,0.565,0.523
36,0.014,0.5579999999999999,0.521
37,0.014,0.5579999999999999,0.521
38,0.014,0.5579999999999999,0.521
39,0.014,0.5579999999999999,0.521
40,0.056,0.552,0.52
41,0.056,0.552,0.52
42,0.096,0.55,0.519
43,0.096,0.55,0.519
44,0.096,0.55,0.519
45,0.096,0.55,0.519
46,0.096,0.5479999999999999,0.519
47,0.096,0.5479999999999999,0.519
48,0.136,0.547,0.519
49,0.136,0.547,0.519
50,0.136,0.545,0.519
51,0.136,0.545,0.519
52,0.17600000000000002,0.546,0.519
53,0.17600000000000002,0.546,0.519
54,0.17600000000000002,0.546,0.519
55,0.17600000000000002,0.546,0.519
56,0.21600000000000005,0.544,0.518
57,0.21600000000000005,0.544,0.518
58,0.21600000000000005,0.5429999999999999,0.518
59,0.21600000000000005,0.5429999999999999,0.518
60,0.21600000000000005,0.541,0.518
61,0.21600000000000005,0.541,0.518
62,0.258,0.54,0.519
63,0.258,0.54,0.519
64,0.258,0.54,0.519
65,0.258,0.54,0.519
66,0.298,0.539,0.519
67,0.298,0.539,0.519
68,0.298,0.5379999999999999,0.519
69,0.298,0.5379999999999999,0.519
70,0.298,0.537,0.519
71,0.298,0.537,0.519
72,0.338,0.536,0.519
73,0.338,0.536,0.519
74,0.338,0.535,0.519
75,0.338,0.535,0.519
76,0.378,0.535,0.519
77,0.378,0.535,0.519
78,0.378,0.534,0.52
79,0.378,0.534,0.52
80,0.418,0.534,0.52
81,0.418,0.534,0.52
82,0.418,0.5329999999999999,0.521
83,0.418,0.5329999999999999,0.521
84,0.418,0.532,0.522
85,0.418,0.532,0.522
86,0.459,0.532,0.522
87,0.459,0.532,0.522
88,0.459,0.532,0.522
89,0.459,0.532,0.522
90,0.499,0.531,0.523
91,0.499,0.531,0.523
92,0.499,0.531,0.523
93,0.499,0.531,0.523
94,0.499,0.531,0.524
95,0.499,0.531,0.524
96,0.54,0.53,0.524
97,0.54,0.53,0.524
98,0.54,0.531,0.524
99,0.54,0.531,0.524
100,0.581,0.53,0.524
101,0.581,0.53,0.524
102,0.581,0.531,0.524
103,0.581,0.531,0.524
104,0.581,0.531,0.524
105,0.581,0.531,0.524
106,0.622,0.531,0.525
107,0.622,0.531,0.525
108,0.622,0.532,0.525
109,0.622,0.532,0.525
110,0.662,0.532,0.525
111,0.662,0.532,0.525
112,0.662,0.5329999999999999,0.525
113,0.662,0.5329999999999999,0.525
114,0.662,0.534,0.526
115,0.662,0.534,0.526
116,0.703,0.534,0.526
117,0.703,0.534,0.526
118,0.703,0.535,0.526
119,0.703,0.535,0.526
120,0.7440000000000001,0.536,0.527
121,0.7440000000000001,0.536,0.527
122,0.7440000000000001,0.536,0.528
123,0.7440000000000001,0.536,0.528
124,0.7440000000000001,0.537,0.529
125,0.7440000000000001,0.537,0.529
126,0.785,0.5379999999999999,0.531
127,0.785,0.5379999999999999,0.531
128,0.785,0.5379999999999999,0.531
129,0.785,0.5379999999999999,0.531
130,0.826,0.54,0.5329999999999999
131,0.826,0.54,0.5329999999999999
132,0.826,0.541,0.535
133,0.826,0.541,0.535
134,0.865,0.542,0.536
135,0.865,0.542,0.536
136,0.865,0.542,0.536
137,0.865,0.542,0.536
138,0.865,0.5429999999999999,0.5379999999999999
139,0.865,0.5429999999999999,0.5379999999999999
140,0.905,0.544,0.539
141,0.905,0.544,0.539
142,0.905,0.546,0.541
143,0.905,0.546,0.541
144,0.945,0.5479999999999999,0.542
145,0.945,0.5479999999999999,0.542
146,0.945,0.5479999999999999,0.542
147,0.945,0.5479999999999999,0.542
148,0.945,0.5479999999999999,0.542
149,0.945,0.5479999999999999,0.542
150,0.986,0.5489999999999999,0.5429999999999999
151,0.986,0.5489999999999999,0.5429999999999999
152,0.986,0.551,0.544
153,0.986,0.551,0.544
154,1.026,0.5529999999999999,0.545
155,1.026,0.5529999999999999,0.545
156,1.026,0.555,0.546
157,1.026,0.555,0.546
158,1.0659999999999998,0.557,0.547
159,1.0659999999999998,0.557,0.547
160,1.0659999999999998,0.557,0.547
161,1.0659999999999998,0.557,0.547
162,1.0659999999999998,0.56,0.5479999999999999
163,1.0659999999999998,0.56,0.5479999999999999
164,1.106,0.563,0.5489999999999999
165,1.106,0.563,0.5489999999999999
166,1.106,0.5660000000000001,0.55
167,1.106,0.5660000000000001,0.55
168,1.146,0.569,0.551
169,1.146,0.569,0.551
170,1.146,0.569,0.551
171,1.146,0.569,0.551
172,1.146,0.569,0.551
173,1.146,0.569,0.551
174,1.186,0.5720000000000001,0.552
175,1.186,0.5720000000000001,0.552
176,1.186,0.574,0.552
177,1.186,0.574,0.552
178,1.226,0.5770000000000001,0.5529999999999999
179,1.226,0.5770000000000001,0.5529999999999999
180,1.226,0.579,0.5529999999999999
181,1.226,0.579,0.5529999999999999
182,1.268,0.579,0.5529999999999999
183,1.268,0.579,0.5529999999999999
184,1.268,0.581,0.5529999999999999
185,1.268,0.581,0.5529999999999999
186,1.268,0.583,0.5529999999999999
187,1.268,0.583,0.5529999999999999
188,1.308,0.584,0.5539999999999999
189,1.308,0.584,0.5539999999999999
190,1.308,0.585,0.5539999999999999
191,1.308,0.585,0.5539999999999999
192,1.348,0.585,0.5539999999999999
193,1.348,0.585,0.5539999999999999
194,1.348,0.5870000000000001,0.555
195,1.348,0.5870000000000001,0.555
196,1.348,0.5870000000000001,0.556
197,1.348,0.5870000000000001,0.556
198,1.388,0.588,0.557
199,1.388,0.588,0.557
200,1.388,0.589,0.5589999999999999
201,1.388,0.589,0.5589999999999999
