,time,2dmu,2dmv
0,0.0,0.495,0.496
1,0.0,0.495,0.496
2,0.0,0.495,0.496
3,0.0,0.495,0.496
4,0.0,0.495,0.496
5,0.0,0.495,0.496
6,0.0,0.495,0.496
7,0.0,0.495,0.496
8,0.0,0.495,0.496
9,0.0,0.495,0.496
10,0.0,0.495,0.4970000000000001
11,0.0,0.495,0.4970000000000001
12,0.0,0.495,0.4970000000000001
13,0.0,0.495,0.4970000000000001
14,0.0,0.495,0.4970000000000001
15,0.0,0.495,0.4970000000000001
16,0.0,0.495,0.498
17,0.0,0.495,0.498
18,0.0,0.495,0.498
19,0.0,0.495,0.498
20,0.0,0.495,0.499
21,0.0,0.495,0.499
22,0.0,0.495,0.5
23,0.0,0.495,0.5
24,0.0,0.496,0.5
25,0.0,0.496,0.5
26,0.0,0.496,0.501
27,0.0,0.496,0.501
28,0.0,0.496,0.501
29,0.0,0.496,0.501
30,0.0,0.496,0.501
31,0.0,0.496,0.501
32,0.0,0.496,0.501
33,0.0,0.496,0.501
34,0.0,0.496,0.501
35,0.0,0.496,0.501
36,0.0,0.496,0.502
37,0.0,0.496,0.502
38,0.0,0.496,0.502
39,0.0,0.496,0.502
40,0.0,0.496,0.502
41,0.0,0.496,0.502
42,0.0,0.496,0.502
43,0.0,0.496,0.502
44,0.0,0.496,0.502
45,0.0,0.496,0.502
46,0.0,0.496,0.502
47,0.0,0.496,0.502
48,0.0,0.496,0.502
49,0.0,0.496,0.502
50,0.0,0.496,0.502
51,0.0,0.496,0.502
52,0.0,0.496,0.502
53,0.0,0.496,0.502
54,0.0,0.496,0.502
55,0.0,0.496,0.502
56,0.041,0.496,0.502
57,0.041,0.496,0.502
58,0.041,0.496,0.503
59,0.041,0.496,0.503
60,0.041,0.496,0.503
61,0.041,0.496,0.503
62,0.08199999999999999,0.496,0.503
63,0.08199999999999999,0.496,0.503
64,0.08199999999999999,0.496,0.503
65,0.08199999999999999,0.496,0.503
66,0.122,0.496,0.503
67,0.122,0.496,0.503
68,0.122,0.496,0.503
69,0.122,0.496,0.503
70,0.122,0.496,0.503
71,0.122,0.496,0.503
72,0.163,0.496,0.503
73,0.163,0.496,0.503
74,0.163,0.496,0.503
75,0.163,0.496,0.503
76,0.203,0.496,0.503
77,0.203,0.496,0.503
78,0.203,0.496,0.503
79,0.203,0.496,0.503
80,0.244,0.496,0.503
81,0.244,0.496,0.503
82,0.244,0.496,0.503
83,0.244,0.496,0.503
84,0.244,0.496,0.502
85,0.244,0.496,0.502
86,0.28600000000000003,0.496,0.502
87,0.28600000000000003,0.496,0.502
88,0.28600000000000003,0.496,0.502
89,0.28600000000000003,0.496,0.502
90,0.326,0.496,0.501
91,0.326,0.496,0.501
92,0.326,0.496,0.501
93,0.326,0.496,0.501
94,0.326,0.496,0.501
95,0.326,0.496,0.501
96,0.366,0.496,0.501
97,0.366,0.496,0.501
98,0.366,0.496,0.501
