,time,2dmu,2dmv
0,0.0,0.493,0.552
1,0.0,0.493,0.552
2,0.0,0.493,0.552
3,0.0,0.493,0.552
4,0.0,0.493,0.5539999999999999
5,0.0,0.493,0.5539999999999999
6,0.0,0.4920000000000001,0.5579999999999999
7,0.0,0.4920000000000001,0.5579999999999999
8,0.0,0.491,0.562
9,0.0,0.491,0.562
10,0.0,0.491,0.562
11,0.0,0.491,0.562
12,0.0,0.4920000000000001,0.565
13,0.0,0.4920000000000001,0.565
14,0.0,0.493,0.568
15,0.0,0.493,0.568
16,0.0,0.495,0.569
17,0.0,0.495,0.569
18,0.0,0.495,0.569
19,0.0,0.495,0.569
20,0.0,0.4970000000000001,0.57
21,0.0,0.4970000000000001,0.57
22,0.0,0.4970000000000001,0.57
23,0.0,0.4970000000000001,0.57
24,0.0,0.503,0.5710000000000001
25,0.0,0.503,0.5710000000000001
26,0.0,0.503,0.5710000000000001
27,0.0,0.503,0.5710000000000001
28,0.0,0.507,0.57
29,0.0,0.507,0.57
30,0.0,0.507,0.57
31,0.0,0.507,0.57
32,0.0,0.509,0.568
33,0.0,0.509,0.568
34,0.0,0.509,0.568
35,0.0,0.509,0.568
36,0.0,0.509,0.5670000000000001
37,0.0,0.509,0.5670000000000001
38,0.0,0.509,0.5670000000000001
39,0.0,0.509,0.5670000000000001
40,0.019,0.51,0.5660000000000001
41,0.019,0.51,0.5660000000000001
42,0.059,0.51,0.5660000000000001
43,0.059,0.51,0.5660000000000001
44,0.059,0.51,0.5660000000000001
45,0.059,0.51,0.5660000000000001
46,0.059,0.51,0.5660000000000001
47,0.059,0.51,0.5660000000000001
48,0.1,0.51,0.5660000000000001
49,0.1,0.51,0.5660000000000001
50,0.1,0.511,0.5660000000000001
51,0.1,0.511,0.5660000000000001
52,0.141,0.511,0.5660000000000001
53,0.141,0.511,0.5660000000000001
54,0.141,0.511,0.5660000000000001
55,0.141,0.511,0.5660000000000001
56,0.182,0.511,0.5660000000000001
57,0.182,0.511,0.5660000000000001
58,0.182,0.511,0.5670000000000001
59,0.182,0.511,0.5670000000000001
60,0.222,0.511,0.5670000000000001
61,0.222,0.511,0.5670000000000001
62,0.262,0.511,0.5670000000000001
63,0.262,0.511,0.5670000000000001
64,0.262,0.511,0.5670000000000001
65,0.262,0.511,0.5670000000000001
66,0.262,0.511,0.5670000000000001
67,0.262,0.511,0.5670000000000001
68,0.303,0.511,0.5670000000000001
69,0.303,0.511,0.5670000000000001
70,0.303,0.511,0.5670000000000001
71,0.303,0.511,0.5670000000000001
72,0.344,0.511,0.5670000000000001
73,0.344,0.511,0.5670000000000001
74,0.344,0.511,0.5670000000000001
75,0.344,0.511,0.5670000000000001
76,0.344,0.511,0.568
77,0.344,0.511,0.568
78,0.384,0.511,0.568
79,0.384,0.511,0.568
80,0.384,0.511,0.568
81,0.384,0.511,0.568
82,0.425,0.511,0.568
83,0.425,0.511,0.568
84,0.425,0.511,0.568
85,0.425,0.511,0.568
86,0.466,0.511,0.568
87,0.466,0.511,0.568
88,0.507,0.511,0.568
89,0.507,0.511,0.568
90,0.507,0.511,0.568
91,0.507,0.511,0.568
92,0.5479999999999999,0.51,0.568
93,0.5479999999999999,0.51,0.568
94,0.5479999999999999,0.51,0.569
95,0.5479999999999999,0.51,0.569
96,0.5479999999999999,0.51,0.569
97,0.5479999999999999,0.51,0.569
98,0.589,0.51,0.569
99,0.589,0.51,0.569
100,0.589,0.51,0.569
101,0.589,0.51,0.569
102,0.629,0.51,0.569
103,0.629,0.51,0.569
104,0.629,0.51,0.569
105,0.629,0.51,0.569
106,0.67,0.51,0.569
107,0.67,0.51,0.569
108,0.67,0.51,0.569
109,0.67,0.51,0.569
110,0.71,0.51,0.569
111,0.71,0.51,0.569
112,0.71,0.51,0.569
113,0.71,0.51,0.569
114,0.71,0.51,0.569
115,0.71,0.51,0.569
116,0.752,0.511,0.568
117,0.752,0.511,0.568
118,0.792,0.511,0.568
119,0.792,0.511,0.568
120,0.792,0.511,0.5670000000000001
121,0.792,0.511,0.5670000000000001
122,0.792,0.511,0.5670000000000001
123,0.792,0.511,0.5670000000000001
124,0.833,0.512,0.5670000000000001
125,0.833,0.512,0.5670000000000001
126,0.8740000000000001,0.513,0.5660000000000001
127,0.8740000000000001,0.513,0.5660000000000001
128,0.914,0.513,0.5660000000000001
129,0.914,0.513,0.5660000000000001
130,0.914,0.514,0.5660000000000001
131,0.914,0.514,0.5660000000000001
132,0.914,0.515,0.5660000000000001
133,0.914,0.515,0.5660000000000001
134,0.954,0.515,0.565
135,0.954,0.515,0.565
136,0.994,0.516,0.565
137,0.994,0.516,0.565
138,0.994,0.516,0.565
139,0.994,0.516,0.565
140,0.994,0.517,0.565
141,0.994,0.517,0.565
142,1.034,0.517,0.564
