,time,2dmu,2dmv
0,0.0,0.512,0.507
1,0.0,0.512,0.507
2,0.0,0.511,0.509
3,0.0,0.511,0.509
4,0.0,0.511,0.51
5,0.0,0.511,0.51
6,0.0,0.51,0.511
7,0.0,0.51,0.511
8,0.0,0.51,0.513
9,0.0,0.51,0.513
10,0.0,0.51,0.513
11,0.0,0.51,0.513
12,0.0,0.51,0.515
13,0.0,0.51,0.515
14,0.0,0.509,0.518
15,0.0,0.509,0.518
16,0.0,0.509,0.518
17,0.0,0.509,0.518
18,0.0,0.508,0.52
19,0.0,0.508,0.52
20,0.0,0.508,0.52
21,0.0,0.508,0.52
22,0.0,0.508,0.522
23,0.0,0.508,0.522
24,0.0,0.508,0.526
25,0.0,0.508,0.526
26,0.0,0.508,0.526
27,0.0,0.508,0.526
28,0.0,0.509,0.528
29,0.0,0.509,0.528
30,0.0,0.509,0.528
31,0.0,0.509,0.528
32,0.0,0.509,0.529
33,0.0,0.509,0.529
34,0.0,0.509,0.529
35,0.0,0.509,0.529
36,0.0,0.509,0.529
37,0.0,0.509,0.529
38,0.0,0.51,0.53
39,0.0,0.51,0.53
40,0.0,0.51,0.53
41,0.0,0.51,0.53
42,0.0,0.51,0.53
43,0.0,0.51,0.53
44,0.0,0.51,0.53
45,0.0,0.51,0.53
46,0.018000000000000002,0.51,0.53
47,0.018000000000000002,0.51,0.53
48,0.018000000000000002,0.51,0.53
49,0.018000000000000002,0.51,0.53
50,0.059,0.51,0.53
51,0.059,0.51,0.53
52,0.059,0.51,0.53
53,0.059,0.51,0.53
54,0.1,0.511,0.53
55,0.1,0.511,0.53
56,0.1,0.511,0.53
57,0.1,0.511,0.53
58,0.1,0.511,0.529
59,0.1,0.511,0.529
60,0.141,0.511,0.529
61,0.141,0.511,0.529
62,0.141,0.511,0.529
63,0.141,0.511,0.529
64,0.182,0.511,0.529
65,0.182,0.511,0.529
66,0.182,0.511,0.528
67,0.182,0.511,0.528
68,0.182,0.511,0.527
69,0.182,0.511,0.527
70,0.222,0.511,0.527
71,0.222,0.511,0.527
72,0.222,0.51,0.527
73,0.222,0.51,0.527
74,0.263,0.51,0.527
75,0.263,0.51,0.527
76,0.263,0.51,0.526
77,0.263,0.51,0.526
78,0.263,0.51,0.526
79,0.263,0.51,0.526
80,0.304,0.51,0.526
81,0.304,0.51,0.526
82,0.304,0.51,0.526
83,0.304,0.51,0.526
84,0.345,0.51,0.525
85,0.345,0.51,0.525
86,0.345,0.51,0.525
87,0.345,0.51,0.525
88,0.345,0.51,0.525
89,0.345,0.51,0.525
90,0.386,0.51,0.525
91,0.386,0.51,0.525
92,0.386,0.51,0.525
93,0.386,0.51,0.525
94,0.4270000000000001,0.51,0.525
95,0.4270000000000001,0.51,0.525
96,0.4270000000000001,0.51,0.525
97,0.4270000000000001,0.51,0.525
98,0.467,0.51,0.525
99,0.467,0.51,0.525
100,0.467,0.51,0.525
101,0.467,0.51,0.525
102,0.467,0.51,0.525
103,0.467,0.51,0.525
104,0.507,0.51,0.525
105,0.507,0.51,0.525
106,0.507,0.51,0.525
107,0.507,0.51,0.525
108,0.546,0.51,0.525
109,0.546,0.51,0.525
110,0.546,0.51,0.525
111,0.546,0.51,0.525
112,0.546,0.511,0.525
113,0.546,0.511,0.525
114,0.588,0.511,0.525
115,0.588,0.511,0.525
116,0.588,0.511,0.525
117,0.588,0.511,0.525
118,0.628,0.511,0.525
119,0.628,0.511,0.525
120,0.628,0.511,0.525
121,0.628,0.511,0.525
122,0.6679999999999999,0.511,0.525
123,0.6679999999999999,0.511,0.525
124,0.6679999999999999,0.511,0.525
125,0.6679999999999999,0.511,0.525
126,0.6679999999999999,0.511,0.525
127,0.6679999999999999,0.511,0.525
128,0.7090000000000001,0.511,0.524
129,0.7090000000000001,0.511,0.524
130,0.7090000000000001,0.511,0.524
131,0.7090000000000001,0.511,0.524
132,0.7490000000000001,0.511,0.524
133,0.7490000000000001,0.511,0.524
134,0.7490000000000001,0.511,0.524
135,0.7490000000000001,0.511,0.524
136,0.7490000000000001,0.511,0.524
137,0.7490000000000001,0.511,0.524
138,0.789,0.511,0.524
139,0.789,0.511,0.524
140,0.789,0.511,0.525
141,0.789,0.511,0.525
142,0.83,0.511,0.525
143,0.83,0.511,0.525
144,0.83,0.511,0.525
145,0.83,0.511,0.525
146,0.83,0.511,0.525
147,0.83,0.511,0.525
148,0.871,0.511,0.525
149,0.871,0.511,0.525
150,0.871,0.511,0.525
151,0.871,0.511,0.525
152,0.911,0.511,0.525
153,0.911,0.511,0.525
154,0.911,0.511,0.524
155,0.911,0.511,0.524
156,0.951,0.511,0.524
157,0.951,0.511,0.524
158,0.951,0.511,0.524
159,0.951,0.511,0.524
