,time,2dmu,2dmv
0,0.0,0.505,0.486
1,0.0,0.505,0.486
2,0.0,0.504,0.485
3,0.0,0.504,0.485
4,0.0,0.504,0.485
5,0.0,0.504,0.485
6,0.0,0.504,0.485
7,0.0,0.504,0.485
8,0.0,0.504,0.485
9,0.0,0.504,0.485
10,0.0,0.503,0.484
11,0.0,0.503,0.484
12,0.0,0.503,0.484
13,0.0,0.503,0.484
14,0.0,0.503,0.484
15,0.0,0.503,0.484
16,0.0,0.503,0.484
17,0.0,0.503,0.484
18,0.0,0.503,0.484
19,0.0,0.503,0.484
20,0.0,0.503,0.484
21,0.0,0.503,0.484
22,0.0,0.502,0.484
23,0.0,0.502,0.484
24,0.0,0.502,0.484
25,0.0,0.502,0.484
26,0.0,0.502,0.484
27,0.0,0.502,0.484
28,0.0,0.501,0.484
29,0.0,0.501,0.484
30,0.0,0.501,0.484
31,0.0,0.501,0.484
32,0.0,0.501,0.484
33,0.0,0.501,0.484
34,0.0,0.501,0.484
35,0.0,0.501,0.484
36,0.0,0.502,0.485
37,0.0,0.502,0.485
38,0.0,0.502,0.485
39,0.0,0.502,0.485
40,0.0,0.505,0.486
41,0.0,0.505,0.486
42,0.0,0.506,0.486
43,0.0,0.506,0.486
44,0.041,0.506,0.486
45,0.041,0.506,0.486
46,0.041,0.507,0.486
47,0.041,0.507,0.486
48,0.08199999999999999,0.508,0.486
49,0.08199999999999999,0.508,0.486
50,0.08199999999999999,0.51,0.486
51,0.08199999999999999,0.51,0.486
52,0.122,0.51,0.487
53,0.122,0.51,0.487
54,0.122,0.51,0.487
55,0.122,0.51,0.487
56,0.122,0.509,0.487
57,0.122,0.509,0.487
58,0.163,0.506,0.488
59,0.163,0.506,0.488
60,0.163,0.501,0.487
61,0.163,0.501,0.487
62,0.203,0.495,0.487
63,0.203,0.495,0.487
64,0.203,0.488,0.485
65,0.203,0.488,0.485
66,0.203,0.488,0.485
67,0.203,0.488,0.485
68,0.244,0.48,0.483
69,0.244,0.48,0.483
70,0.244,0.472,0.48
71,0.244,0.472,0.48
72,0.285,0.463,0.476
73,0.285,0.463,0.476
74,0.285,0.463,0.476
75,0.285,0.463,0.476
76,0.285,0.455,0.472
77,0.285,0.455,0.472
78,0.326,0.447,0.468
79,0.326,0.447,0.468
80,0.326,0.44,0.464
81,0.326,0.44,0.464
82,0.3670000000000001,0.433,0.459
83,0.3670000000000001,0.433,0.459
84,0.3670000000000001,0.433,0.459
85,0.3670000000000001,0.433,0.459
86,0.3670000000000001,0.428,0.454
87,0.3670000000000001,0.428,0.454
88,0.407,0.424,0.45
89,0.407,0.424,0.45
90,0.407,0.422,0.446
91,0.407,0.422,0.446
92,0.448,0.42,0.443
93,0.448,0.42,0.443
94,0.448,0.42,0.443
95,0.448,0.42,0.443
96,0.487,0.421,0.444
97,0.487,0.421,0.444
98,0.487,0.419,0.441
99,0.487,0.419,0.441
100,0.487,0.417,0.438
101,0.487,0.417,0.438
102,0.528,0.416,0.435
103,0.528,0.416,0.435
104,0.528,0.416,0.435
105,0.528,0.416,0.435
106,0.568,0.414,0.434
107,0.568,0.414,0.434
108,0.568,0.412,0.433
109,0.568,0.412,0.433
110,0.568,0.409,0.4320000000000001
111,0.568,0.409,0.4320000000000001
112,0.61,0.407,0.431
113,0.61,0.407,0.431
114,0.61,0.403,0.43
115,0.61,0.403,0.43
116,0.6509999999999999,0.403,0.43
117,0.6509999999999999,0.4,0.429
118,0.6509999999999999,0.403,0.43
119,0.6509999999999999,0.4,0.429
120,0.6509999999999999,0.397,0.429
121,0.6509999999999999,0.397,0.429
122,0.6920000000000001,0.394,0.428
123,0.6920000000000001,0.394,0.428
124,0.6920000000000001,0.394,0.428
125,0.6920000000000001,0.394,0.428
126,0.732,0.392,0.426
127,0.732,0.392,0.426
128,0.732,0.389,0.424
129,0.732,0.389,0.424
130,0.772,0.39,0.422
131,0.772,0.39,0.422
132,0.772,0.388,0.418
133,0.772,0.388,0.418
134,0.772,0.388,0.418
135,0.772,0.388,0.418
136,0.813,0.387,0.414
137,0.813,0.387,0.414
138,0.813,0.386,0.41
139,0.813,0.386,0.41
140,0.855,0.385,0.407
141,0.855,0.385,0.407
142,0.855,0.384,0.406
143,0.855,0.384,0.406
144,0.855,0.384,0.406
145,0.855,0.384,0.406
146,0.895,0.384,0.404
147,0.895,0.384,0.404
148,0.895,0.384,0.403
149,0.895,0.384,0.403
