,time,2dmu,2dmv
0,0.0,0.498,0.489
1,0.0,0.498,0.489
2,0.0,0.498,0.489
3,0.0,0.498,0.489
4,0.0,0.498,0.489
5,0.0,0.498,0.489
6,0.0,0.498,0.489
7,0.0,0.498,0.489
8,0.0,0.498,0.488
9,0.0,0.498,0.488
10,0.0,0.498,0.488
11,0.0,0.498,0.488
12,0.0,0.498,0.488
13,0.0,0.498,0.488
14,0.0,0.498,0.487
15,0.0,0.498,0.487
16,0.0,0.498,0.487
17,0.0,0.498,0.487
18,0.0,0.498,0.487
19,0.0,0.498,0.487
20,0.0,0.498,0.487
21,0.0,0.498,0.487
22,0.0,0.498,0.487
23,0.0,0.498,0.487
24,0.0,0.4970000000000001,0.487
25,0.0,0.4970000000000001,0.487
26,0.0,0.4970000000000001,0.487
27,0.0,0.4970000000000001,0.487
28,0.0,0.4970000000000001,0.487
29,0.0,0.4970000000000001,0.487
30,0.0,0.4970000000000001,0.487
31,0.0,0.4970000000000001,0.487
32,0.0,0.4970000000000001,0.487
33,0.0,0.4970000000000001,0.487
34,0.0,0.4970000000000001,0.487
35,0.0,0.4970000000000001,0.487
36,0.0,0.4970000000000001,0.487
37,0.0,0.4970000000000001,0.487
38,0.0,0.4970000000000001,0.487
39,0.0,0.4970000000000001,0.487
40,0.0,0.4970000000000001,0.487
41,0.0,0.4970000000000001,0.487
42,0.0,0.4970000000000001,0.487
43,0.0,0.4970000000000001,0.487
44,0.0,0.4970000000000001,0.487
45,0.0,0.4970000000000001,0.487
46,0.0,0.4970000000000001,0.487
47,0.0,0.4970000000000001,0.487
48,0.0,0.4970000000000001,0.486
49,0.0,0.4970000000000001,0.486
50,0.0,0.4970000000000001,0.486
51,0.0,0.4970000000000001,0.486
52,0.04,0.4970000000000001,0.486
53,0.04,0.4970000000000001,0.486
54,0.04,0.4970000000000001,0.486
55,0.04,0.4970000000000001,0.486
56,0.08199999999999999,0.4970000000000001,0.486
57,0.08199999999999999,0.4970000000000001,0.486
58,0.08199999999999999,0.4970000000000001,0.486
59,0.08199999999999999,0.4970000000000001,0.486
60,0.122,0.4970000000000001,0.487
61,0.122,0.4970000000000001,0.487
62,0.122,0.4970000000000001,0.487
63,0.122,0.4970000000000001,0.487
64,0.16399999999999998,0.496,0.487
65,0.16399999999999998,0.496,0.487
66,0.16399999999999998,0.495,0.486
67,0.16399999999999998,0.495,0.486
68,0.16399999999999998,0.494,0.486
69,0.16399999999999998,0.494,0.486
70,0.205,0.493,0.485
71,0.205,0.493,0.485
72,0.205,0.493,0.485
73,0.205,0.493,0.485
74,0.245,0.493,0.485
75,0.245,0.493,0.485
76,0.245,0.4920000000000001,0.484
77,0.245,0.4920000000000001,0.484
78,0.245,0.491,0.483
79,0.245,0.491,0.483
80,0.285,0.49,0.482
81,0.285,0.49,0.482
82,0.285,0.489,0.481
83,0.285,0.489,0.481
84,0.325,0.489,0.481
85,0.325,0.489,0.481
86,0.325,0.488,0.479
87,0.325,0.488,0.479
88,0.325,0.487,0.477
89,0.325,0.487,0.477
90,0.366,0.486,0.476
91,0.366,0.486,0.476
92,0.366,0.486,0.476
93,0.366,0.486,0.476
94,0.406,0.485,0.475
95,0.406,0.485,0.475
96,0.406,0.484,0.473
97,0.406,0.484,0.473
98,0.446,0.484,0.473
99,0.446,0.484,0.473
100,0.446,0.483,0.471
101,0.446,0.483,0.471
102,0.446,0.481,0.469
103,0.446,0.481,0.469
104,0.486,0.481,0.469
105,0.486,0.481,0.469
106,0.486,0.48,0.467
107,0.486,0.48,0.467
108,0.526,0.478,0.464
109,0.526,0.478,0.464
110,0.526,0.477,0.461
111,0.526,0.477,0.461
112,0.526,0.476,0.459
113,0.526,0.476,0.459
114,0.5660000000000001,0.476,0.459
115,0.5660000000000001,0.476,0.459
116,0.5660000000000001,0.474,0.456
117,0.5660000000000001,0.474,0.456
118,0.606,0.473,0.452
119,0.606,0.473,0.452
120,0.606,0.472,0.449
121,0.606,0.472,0.449
122,0.6459999999999999,0.472,0.445
123,0.6459999999999999,0.472,0.445
124,0.6459999999999999,0.472,0.445
125,0.6459999999999999,0.472,0.445
126,0.6459999999999999,0.471,0.442
127,0.6459999999999999,0.471,0.442
128,0.6859999999999999,0.47,0.439
129,0.6859999999999999,0.47,0.439
130,0.6859999999999999,0.47,0.436
131,0.6859999999999999,0.47,0.436
132,0.728,0.47,0.434
133,0.728,0.47,0.434
134,0.728,0.47,0.434
135,0.728,0.47,0.434
136,0.728,0.47,0.435
137,0.728,0.47,0.435
138,0.768,0.469,0.433
139,0.768,0.469,0.433
140,0.768,0.469,0.4320000000000001
141,0.768,0.469,0.4320000000000001
142,0.8079999999999999,0.469,0.43
143,0.8079999999999999,0.469,0.43
144,0.8079999999999999,0.469,0.43
145,0.8079999999999999,0.469,0.43
146,0.8079999999999999,0.469,0.429
147,0.8079999999999999,0.469,0.429
148,0.848,0.469,0.429
149,0.848,0.469,0.429
150,0.848,0.468,0.428
151,0.848,0.468,0.428
152,0.889,0.468,0.4270000000000001
153,0.889,0.468,0.4270000000000001
154,0.889,0.468,0.4270000000000001
155,0.889,0.468,0.4270000000000001
156,0.929,0.468,0.4270000000000001
157,0.929,0.468,0.4270000000000001
158,0.929,0.468,0.426
159,0.929,0.468,0.426
160,0.929,0.468,0.426
161,0.929,0.468,0.426
162,0.969,0.468,0.426
163,0.969,0.468,0.426
164,0.969,0.468,0.426
165,0.969,0.468,0.426
166,1.01,0.468,0.425
167,1.01,0.468,0.425
168,1.01,0.469,0.425
169,1.01,0.469,0.425
170,1.01,0.472,0.425
171,1.01,0.472,0.425
172,1.051,0.477,0.425
173,1.051,0.477,0.425
174,1.051,0.477,0.425
175,1.051,0.477,0.425
176,1.091,0.479,0.426
177,1.091,0.479,0.426
178,1.091,0.485,0.425
179,1.091,0.485,0.425
180,1.091,0.493,0.424
181,1.091,0.493,0.424
182,1.131,0.5,0.423
183,1.131,0.5,0.423
184,1.131,0.5,0.423
185,1.131,0.5,0.423
186,1.172,0.508,0.422
187,1.172,0.508,0.422
188,1.172,0.516,0.422
189,1.172,0.516,0.422
190,1.213,0.523,0.422
191,1.213,0.523,0.422
192,1.213,0.53,0.421
193,1.213,0.53,0.421
194,1.213,0.53,0.421
195,1.213,0.53,0.421
196,1.253,0.537,0.42
197,1.253,0.537,0.42
198,1.253,0.542,0.419
199,1.253,0.542,0.419
200,1.293,0.546,0.418
201,1.293,0.546,0.418
202,1.293,0.55,0.417
203,1.293,0.55,0.417
204,1.293,0.55,0.417
205,1.293,0.55,0.417
206,1.3330000000000002,0.5529999999999999,0.416
207,1.3330000000000002,0.5529999999999999,0.416
208,1.3330000000000002,0.555,0.415
209,1.3330000000000002,0.555,0.415
210,1.374,0.557,0.415
211,1.374,0.557,0.415
212,1.374,0.5589999999999999,0.414
213,1.374,0.5589999999999999,0.414
214,1.413,0.5589999999999999,0.414
215,1.413,0.5589999999999999,0.414
216,1.413,0.5579999999999999,0.414
217,1.413,0.5579999999999999,0.414
218,1.413,0.5589999999999999,0.414
219,1.413,0.5589999999999999,0.414
220,1.453,0.56,0.413
221,1.453,0.56,0.413
222,1.453,0.561,0.413
223,1.453,0.561,0.413
224,1.493,0.561,0.413
225,1.493,0.561,0.413
226,1.493,0.561,0.413
227,1.493,0.561,0.413
228,1.493,0.561,0.412
229,1.493,0.561,0.412
230,1.535,0.561,0.412
231,1.535,0.561,0.412
232,1.535,0.561,0.411
233,1.535,0.561,0.411
234,1.575,0.561,0.411
235,1.575,0.561,0.411
236,1.575,0.561,0.41
237,1.575,0.561,0.41
238,1.615,0.56,0.409
239,1.615,0.56,0.409
240,1.615,0.5589999999999999,0.408
241,1.615,0.5589999999999999,0.408
242,1.615,0.5589999999999999,0.407
243,1.615,0.5589999999999999,0.407
244,1.655,0.5589999999999999,0.407
245,1.655,0.5589999999999999,0.407
246,1.655,0.557,0.406
247,1.655,0.557,0.406
248,1.695,0.556,0.406
249,1.695,0.556,0.406
250,1.695,0.555,0.405
251,1.695,0.555,0.405
252,1.695,0.5539999999999999,0.404
253,1.695,0.5539999999999999,0.404
254,1.735,0.5539999999999999,0.404
255,1.735,0.5539999999999999,0.404
256,1.735,0.5539999999999999,0.404
257,1.735,0.5539999999999999,0.404
258,1.775,0.552,0.403
259,1.775,0.552,0.403
260,1.775,0.551,0.402
261,1.775,0.551,0.402
262,1.775,0.547,0.401
263,1.775,0.547,0.401
264,1.815,0.547,0.401
265,1.815,0.547,0.401
266,1.815,0.544,0.4
267,1.815,0.544,0.4
268,1.855,0.54,0.399
269,1.855,0.54,0.399
270,1.855,0.534,0.398
271,1.855,0.534,0.398
272,1.895,0.528,0.398
273,1.895,0.528,0.398
274,1.895,0.528,0.398
275,1.895,0.528,0.398
276,1.895,0.52,0.398
277,1.895,0.52,0.398
278,1.935,0.512,0.399
279,1.935,0.512,0.399
280,1.935,0.504,0.4
281,1.935,0.504,0.4
282,1.976,0.494,0.401
283,1.976,0.494,0.401
284,1.976,0.494,0.401
285,1.976,0.494,0.401
286,1.976,0.485,0.403
287,1.976,0.485,0.403
288,2.016,0.477,0.405
289,2.016,0.477,0.405
290,2.016,0.469,0.407
291,2.016,0.469,0.407
292,2.057,0.462,0.41
293,2.057,0.462,0.41
294,2.057,0.462,0.41
295,2.057,0.462,0.41
296,2.057,0.463,0.41
297,2.057,0.463,0.41
298,2.099,0.456,0.412
299,2.099,0.456,0.412
300,2.099,0.451,0.415
301,2.099,0.451,0.415
302,2.14,0.446,0.416
303,2.14,0.446,0.416
304,2.14,0.446,0.416
305,2.14,0.446,0.416
306,2.18,0.442,0.417
307,2.18,0.442,0.417
308,2.18,0.438,0.418
309,2.18,0.438,0.418
310,2.18,0.435,0.419
311,2.18,0.435,0.419
312,2.22,0.433,0.419
313,2.22,0.433,0.419
314,2.22,0.433,0.419
315,2.22,0.433,0.419
316,2.259,0.431,0.42
317,2.259,0.431,0.42
318,2.259,0.429,0.42
319,2.259,0.429,0.42
320,2.259,0.428,0.421
321,2.259,0.428,0.421
322,2.3,0.4270000000000001,0.42
323,2.3,0.4270000000000001,0.42
324,2.3,0.4270000000000001,0.42
325,2.3,0.4270000000000001,0.42
326,2.341,0.426,0.42
327,2.341,0.426,0.42
328,2.341,0.426,0.42
329,2.341,0.426,0.42
330,2.341,0.425,0.419
331,2.341,0.425,0.419
332,2.382,0.425,0.419
333,2.382,0.425,0.419
334,2.382,0.425,0.418
335,2.382,0.425,0.418
336,2.423,0.425,0.418
337,2.423,0.425,0.418
338,2.423,0.425,0.419
339,2.423,0.425,0.419
340,2.463,0.424,0.418
341,2.463,0.424,0.418
342,2.463,0.424,0.418
343,2.463,0.424,0.418
344,2.463,0.424,0.418
345,2.463,0.424,0.418
346,2.502,0.423,0.418
347,2.502,0.423,0.418
348,2.502,0.423,0.418
349,2.502,0.423,0.418
350,2.544,0.422,0.418
351,2.544,0.422,0.418
352,2.544,0.422,0.418
353,2.544,0.422,0.418
354,2.544,0.422,0.418
355,2.544,0.422,0.418
356,2.584,0.421,0.418
357,2.584,0.421,0.418
358,2.584,0.421,0.418
359,2.584,0.421,0.418
360,2.624,0.42,0.419
361,2.624,0.42,0.419
362,2.624,0.42,0.42
363,2.624,0.42,0.42
364,2.664,0.42,0.42
365,2.664,0.42,0.42
366,2.664,0.419,0.42
367,2.664,0.419,0.42
368,2.664,0.419,0.421
369,2.664,0.419,0.421
370,2.704,0.419,0.421
371,2.704,0.419,0.421
372,2.704,0.419,0.421
373,2.704,0.419,0.421
374,2.745,0.419,0.421
375,2.745,0.419,0.421
376,2.745,0.419,0.422
377,2.745,0.419,0.422
378,2.745,0.419,0.422
379,2.745,0.419,0.422
380,2.785,0.419,0.422
381,2.785,0.419,0.422
382,2.785,0.419,0.422
383,2.785,0.419,0.422
384,2.825,0.42,0.422
385,2.825,0.42,0.422
386,2.825,0.42,0.422
387,2.825,0.42,0.422
388,2.825,0.42,0.422
389,2.825,0.42,0.422
390,2.865,0.421,0.422
391,2.865,0.421,0.422
392,2.865,0.421,0.422
393,2.865,0.421,0.422
394,2.905,0.421,0.422
395,2.905,0.421,0.422
396,2.905,0.421,0.422
397,2.905,0.421,0.422
398,2.947,0.421,0.423
399,2.947,0.421,0.423
400,2.947,0.422,0.423
401,2.947,0.422,0.423
402,2.947,0.422,0.423
403,2.947,0.422,0.423
404,2.988,0.422,0.423
405,2.988,0.422,0.423
406,2.988,0.422,0.422
407,2.988,0.422,0.422
408,3.028,0.422,0.422
409,3.028,0.422,0.422
410,3.028,0.422,0.422
411,3.028,0.422,0.422
412,3.028,0.423,0.422
413,3.028,0.423,0.422
414,3.068,0.423,0.422
415,3.068,0.423,0.422
416,3.068,0.423,0.422
417,3.068,0.423,0.422
418,3.107,0.423,0.422
419,3.107,0.423,0.422
420,3.107,0.423,0.422
421,3.107,0.423,0.422
422,3.107,0.423,0.422
423,3.107,0.423,0.422
424,3.148,0.423,0.422
425,3.148,0.423,0.422
426,3.148,0.423,0.422
427,3.148,0.423,0.422
428,3.189,0.423,0.422
429,3.189,0.423,0.422
430,3.189,0.423,0.421
431,3.189,0.423,0.421
432,3.229,0.423,0.421
433,3.229,0.423,0.421
434,3.229,0.423,0.421
435,3.229,0.423,0.421
436,3.229,0.423,0.421
437,3.229,0.423,0.421
438,3.269,0.423,0.421
439,3.269,0.423,0.421
440,3.269,0.423,0.42
441,3.269,0.423,0.42
442,3.31,0.423,0.42
443,3.31,0.423,0.42
444,3.31,0.424,0.42
445,3.31,0.424,0.42
446,3.31,0.424,0.42
447,3.31,0.424,0.42
448,3.35,0.424,0.42
449,3.35,0.424,0.42
450,3.35,0.425,0.42
451,3.35,0.425,0.42
452,3.391,0.426,0.419
453,3.391,0.426,0.419
454,3.391,0.426,0.42
455,3.391,0.426,0.42
456,3.431,0.426,0.42
457,3.431,0.426,0.42
458,3.431,0.4270000000000001,0.419
459,3.431,0.4270000000000001,0.419
460,3.431,0.4270000000000001,0.419
461,3.431,0.4270000000000001,0.419
462,3.472,0.428,0.419
463,3.472,0.428,0.419
464,3.472,0.428,0.42
465,3.472,0.428,0.42
466,3.512,0.428,0.42
467,3.512,0.428,0.42
468,3.512,0.428,0.42
469,3.512,0.428,0.42
470,3.512,0.429,0.42
471,3.512,0.429,0.42
472,3.552,0.429,0.42
473,3.552,0.429,0.42
474,3.552,0.429,0.42
475,3.552,0.429,0.42
476,3.592,0.429,0.42
477,3.592,0.429,0.42
478,3.592,0.429,0.421
479,3.592,0.429,0.421
480,3.592,0.429,0.421
481,3.592,0.429,0.421
482,3.634,0.43,0.421
483,3.634,0.43,0.421
484,3.634,0.43,0.421
485,3.634,0.43,0.421
486,3.674,0.43,0.421
487,3.674,0.43,0.421
488,3.674,0.43,0.421
489,3.674,0.43,0.421
490,3.714,0.43,0.422
491,3.714,0.43,0.422
492,3.714,0.43,0.422
493,3.714,0.43,0.422
494,3.714,0.43,0.422
495,3.714,0.43,0.422
496,3.754,0.43,0.422
497,3.754,0.43,0.422
498,3.754,0.43,0.422
499,3.754,0.43,0.422
500,3.794,0.43,0.422
501,3.794,0.43,0.422
502,3.794,0.43,0.422
503,3.794,0.43,0.422
504,3.794,0.431,0.422
505,3.794,0.431,0.422
506,3.833,0.431,0.422
507,3.833,0.431,0.422
508,3.833,0.431,0.422
509,3.833,0.431,0.422
510,3.875,0.431,0.423
511,3.875,0.431,0.423
512,3.875,0.431,0.423
513,3.875,0.431,0.423
514,3.875,0.431,0.423
515,3.875,0.431,0.423
516,3.915,0.431,0.423
517,3.915,0.431,0.423
518,3.915,0.4320000000000001,0.423
519,3.915,0.4320000000000001,0.423
520,3.957,0.4320000000000001,0.423
521,3.957,0.4320000000000001,0.423
522,3.957,0.4320000000000001,0.423
523,3.957,0.4320000000000001,0.423
524,3.997,0.4320000000000001,0.423
525,3.997,0.4320000000000001,0.423
526,3.997,0.433,0.423
527,3.997,0.433,0.423
528,3.997,0.433,0.422
529,3.997,0.433,0.422
530,4.037,0.433,0.422
531,4.037,0.433,0.422
532,4.037,0.434,0.422
533,4.037,0.434,0.422
534,4.078,0.434,0.422
535,4.078,0.434,0.422
536,4.078,0.434,0.422
537,4.078,0.434,0.422
538,4.078,0.434,0.422
539,4.078,0.434,0.422
540,4.118,0.435,0.422
541,4.118,0.435,0.422
542,4.118,0.435,0.422
543,4.118,0.435,0.422
