,time,2dmu,2dmv
0,0.0,0.502,0.475
1,0.0,0.502,0.475
2,0.0,0.502,0.475
3,0.0,0.502,0.475
4,0.0,0.502,0.475
5,0.0,0.502,0.475
6,0.0,0.502,0.475
7,0.0,0.502,0.475
8,0.0,0.502,0.475
9,0.0,0.502,0.475
10,0.0,0.501,0.475
11,0.0,0.501,0.475
12,0.0,0.501,0.475
13,0.0,0.501,0.475
14,0.0,0.501,0.475
15,0.0,0.501,0.475
16,0.0,0.501,0.475
17,0.0,0.501,0.475
18,0.0,0.501,0.475
19,0.0,0.501,0.475
20,0.0,0.501,0.475
21,0.0,0.501,0.475
22,0.0,0.501,0.475
23,0.0,0.501,0.475
24,0.0,0.501,0.475
25,0.0,0.501,0.475
26,0.0,0.501,0.475
27,0.0,0.501,0.475
28,0.0,0.5,0.475
29,0.0,0.5,0.475
30,0.0,0.5,0.475
31,0.0,0.5,0.475
32,0.0,0.5,0.475
33,0.0,0.5,0.475
34,0.0,0.5,0.475
35,0.0,0.5,0.475
36,0.0,0.5,0.475
37,0.0,0.5,0.475
38,0.0,0.5,0.475
39,0.0,0.5,0.475
40,0.0,0.5,0.475
41,0.0,0.5,0.475
42,0.0,0.5,0.475
43,0.0,0.5,0.475
44,0.0,0.5,0.475
45,0.0,0.5,0.475
46,0.0,0.5,0.475
47,0.0,0.5,0.475
48,0.0,0.5,0.475
49,0.0,0.5,0.475
50,0.0,0.5,0.475
51,0.0,0.5,0.475
52,0.0,0.5,0.475
53,0.0,0.5,0.475
54,0.0,0.5,0.475
55,0.0,0.5,0.475
56,0.0,0.5,0.475
57,0.0,0.5,0.475
58,0.0,0.5,0.475
59,0.0,0.5,0.475
60,0.0,0.5,0.475
61,0.0,0.5,0.475
62,0.0,0.5,0.475
63,0.0,0.5,0.475
64,0.0,0.5,0.475
65,0.0,0.5,0.475
66,0.041,0.5,0.475
67,0.041,0.5,0.475
68,0.041,0.5,0.475
69,0.041,0.5,0.475
70,0.08199999999999999,0.5,0.475
71,0.08199999999999999,0.5,0.475
72,0.08199999999999999,0.5,0.475
73,0.08199999999999999,0.5,0.475
74,0.08199999999999999,0.5,0.475
75,0.08199999999999999,0.5,0.475
76,0.124,0.5,0.475
77,0.124,0.5,0.475
78,0.124,0.5,0.475
79,0.124,0.5,0.475
80,0.165,0.5,0.475
81,0.165,0.5,0.475
82,0.165,0.5,0.475
83,0.165,0.5,0.475
84,0.165,0.5,0.475
85,0.165,0.5,0.475
86,0.205,0.5,0.475
87,0.205,0.5,0.475
88,0.205,0.5,0.474
89,0.205,0.5,0.474
90,0.246,0.5,0.474
91,0.246,0.5,0.474
92,0.246,0.5,0.474
93,0.246,0.5,0.474
94,0.246,0.5,0.474
95,0.246,0.5,0.474
96,0.287,0.5,0.474
97,0.287,0.5,0.474
98,0.287,0.5,0.474
99,0.287,0.5,0.474
100,0.328,0.5,0.474
101,0.328,0.5,0.474
102,0.328,0.5,0.474
103,0.328,0.5,0.474
104,0.328,0.499,0.474
105,0.328,0.499,0.474
106,0.369,0.499,0.474
107,0.369,0.499,0.474
108,0.369,0.499,0.474
109,0.369,0.499,0.474
110,0.409,0.499,0.474
111,0.409,0.499,0.474
112,0.409,0.499,0.473
113,0.409,0.499,0.473
114,0.449,0.499,0.473
115,0.449,0.499,0.473
116,0.449,0.499,0.473
117,0.449,0.499,0.473
118,0.449,0.499,0.473
119,0.449,0.499,0.473
120,0.489,0.499,0.473
121,0.489,0.499,0.473
122,0.489,0.499,0.472
123,0.489,0.499,0.472
124,0.53,0.499,0.471
125,0.53,0.499,0.471
126,0.53,0.499,0.471
127,0.53,0.499,0.471
128,0.53,0.499,0.47
129,0.53,0.499,0.47
130,0.5710000000000001,0.499,0.47
131,0.5710000000000001,0.499,0.47
132,0.5710000000000001,0.499,0.469
133,0.5710000000000001,0.499,0.469
134,0.612,0.498,0.469
135,0.612,0.498,0.469
136,0.612,0.498,0.468
137,0.612,0.498,0.468
138,0.612,0.498,0.467
139,0.612,0.498,0.467
140,0.653,0.498,0.465
141,0.653,0.498,0.465
142,0.653,0.498,0.465
143,0.653,0.498,0.465
144,0.693,0.498,0.464
145,0.693,0.498,0.464
146,0.693,0.498,0.463
147,0.693,0.498,0.463
148,0.7340000000000001,0.4970000000000001,0.462
149,0.7340000000000001,0.4970000000000001,0.462
150,0.7340000000000001,0.4970000000000001,0.462
151,0.7340000000000001,0.4970000000000001,0.462
152,0.7340000000000001,0.4970000000000001,0.461
153,0.775,0.4970000000000001,0.46
154,0.7340000000000001,0.4970000000000001,0.461
155,0.775,0.4970000000000001,0.46
156,0.775,0.4970000000000001,0.459
157,0.775,0.4970000000000001,0.459
158,0.815,0.4970000000000001,0.458
159,0.815,0.4970000000000001,0.458
160,0.815,0.4970000000000001,0.458
161,0.815,0.4970000000000001,0.458
162,0.815,0.4970000000000001,0.457
163,0.815,0.4970000000000001,0.457
164,0.855,0.4970000000000001,0.455
165,0.855,0.4970000000000001,0.455
166,0.855,0.4970000000000001,0.454
167,0.855,0.4970000000000001,0.454
168,0.895,0.496,0.452
169,0.895,0.496,0.452
170,0.895,0.496,0.452
171,0.895,0.496,0.452
172,0.895,0.4970000000000001,0.451
173,0.895,0.4970000000000001,0.451
174,0.936,0.4970000000000001,0.449
175,0.936,0.4970000000000001,0.449
176,0.936,0.4970000000000001,0.447
177,0.936,0.4970000000000001,0.447
178,0.976,0.4970000000000001,0.446
179,0.976,0.4970000000000001,0.446
180,0.976,0.4970000000000001,0.444
181,0.976,0.4970000000000001,0.444
182,1.016,0.4970000000000001,0.444
183,1.016,0.4970000000000001,0.444
184,1.016,0.4970000000000001,0.442
185,1.016,0.4970000000000001,0.442
186,1.016,0.496,0.441
187,1.016,0.496,0.441
188,1.056,0.496,0.439
189,1.056,0.496,0.439
190,1.056,0.496,0.439
191,1.056,0.496,0.439
192,1.095,0.496,0.438
193,1.095,0.496,0.438
194,1.095,0.496,0.4370000000000001
195,1.095,0.496,0.4370000000000001
196,1.095,0.496,0.436
197,1.095,0.496,0.436
198,1.136,0.496,0.434
199,1.136,0.496,0.434
200,1.136,0.496,0.434
201,1.136,0.496,0.434
202,1.177,0.496,0.433
203,1.177,0.496,0.433
204,1.177,0.496,0.431
205,1.177,0.496,0.431
206,1.217,0.496,0.429
207,1.217,0.496,0.429
208,1.217,0.496,0.4270000000000001
209,1.217,0.496,0.4270000000000001
210,1.217,0.496,0.4270000000000001
211,1.217,0.496,0.4270000000000001
212,1.257,0.496,0.426
213,1.257,0.496,0.426
214,1.257,0.495,0.424
215,1.257,0.495,0.424
216,1.297,0.495,0.422
217,1.297,0.495,0.422
218,1.297,0.495,0.42
219,1.297,0.495,0.42
220,1.297,0.495,0.418
221,1.297,0.495,0.418
222,1.339,0.495,0.418
223,1.339,0.495,0.418
224,1.339,0.495,0.415
225,1.339,0.495,0.415
226,1.379,0.495,0.413
227,1.379,0.495,0.413
228,1.379,0.495,0.411
229,1.379,0.495,0.411
230,1.379,0.495,0.411
231,1.379,0.495,0.411
232,1.419,0.495,0.409
233,1.419,0.495,0.409
234,1.419,0.495,0.407
235,1.419,0.495,0.407
236,1.4580000000000002,0.495,0.406
237,1.4580000000000002,0.495,0.406
238,1.4580000000000002,0.495,0.406
239,1.4580000000000002,0.495,0.406
240,1.5,0.495,0.406
241,1.5,0.495,0.406
242,1.5,0.495,0.404
243,1.5,0.495,0.404
244,1.5,0.495,0.403
245,1.5,0.495,0.403
246,1.541,0.495,0.402
247,1.541,0.495,0.402
248,1.541,0.495,0.401
249,1.541,0.495,0.401
250,1.581,0.495,0.401
251,1.581,0.495,0.401
252,1.581,0.495,0.399
253,1.581,0.495,0.399
254,1.581,0.495,0.399
255,1.581,0.495,0.399
256,1.6230000000000002,0.495,0.398
257,1.6230000000000002,0.495,0.398
258,1.6230000000000002,0.495,0.397
259,1.6230000000000002,0.495,0.397
260,1.663,0.496,0.396
261,1.663,0.496,0.396
262,1.663,0.496,0.396
263,1.663,0.496,0.396
264,1.663,0.496,0.395
265,1.663,0.496,0.395
266,1.703,0.4970000000000001,0.394
267,1.703,0.4970000000000001,0.394
268,1.703,0.4970000000000001,0.393
269,1.703,0.4970000000000001,0.393
270,1.742,0.4970000000000001,0.393
271,1.742,0.4970000000000001,0.393
272,1.742,0.498,0.393
273,1.742,0.498,0.393
274,1.783,0.499,0.392
275,1.783,0.499,0.392
276,1.783,0.5,0.392
277,1.783,0.5,0.392
278,1.783,0.501,0.392
279,1.783,0.501,0.392
280,1.823,0.501,0.392
281,1.823,0.501,0.392
282,1.823,0.502,0.391
283,1.823,0.502,0.391
284,1.864,0.504,0.391
285,1.864,0.504,0.391
286,1.864,0.506,0.391
287,1.864,0.506,0.391
288,1.864,0.509,0.391
289,1.864,0.509,0.391
290,1.905,0.509,0.391
291,1.905,0.509,0.391
292,1.905,0.512,0.391
293,1.905,0.512,0.391
294,1.945,0.515,0.391
295,1.945,0.515,0.391
296,1.945,0.518,0.392
297,1.945,0.518,0.392
298,1.945,0.522,0.393
299,1.945,0.522,0.393
300,1.985,0.527,0.394
301,1.985,0.527,0.394
302,1.985,0.527,0.394
303,1.985,0.527,0.394
304,2.025,0.532,0.394
305,2.025,0.532,0.394
306,2.025,0.536,0.395
307,2.025,0.536,0.395
308,2.065,0.541,0.396
309,2.065,0.541,0.396
310,2.065,0.541,0.396
311,2.065,0.541,0.396
312,2.065,0.545,0.396
313,2.065,0.545,0.396
314,2.105,0.55,0.396
315,2.105,0.55,0.396
316,2.105,0.5539999999999999,0.395
317,2.105,0.5539999999999999,0.395
318,2.145,0.5539999999999999,0.396
319,2.145,0.5539999999999999,0.396
320,2.145,0.5539999999999999,0.396
321,2.145,0.5539999999999999,0.396
322,2.145,0.5579999999999999,0.396
323,2.145,0.5579999999999999,0.396
324,2.185,0.563,0.396
325,2.185,0.563,0.396
326,2.185,0.565,0.396
327,2.185,0.565,0.396
328,2.226,0.568,0.397
329,2.226,0.568,0.397
330,2.226,0.569,0.397
331,2.226,0.569,0.397
332,2.266,0.574,0.398
333,2.266,0.574,0.398
334,2.266,0.5770000000000001,0.398
335,2.266,0.5770000000000001,0.398
336,2.266,0.58,0.399
337,2.266,0.58,0.399
338,2.306,0.58,0.399
339,2.306,0.58,0.399
340,2.306,0.584,0.399
341,2.306,0.584,0.399
342,2.346,0.5870000000000001,0.4
343,2.346,0.5870000000000001,0.4
344,2.346,0.591,0.4
345,2.346,0.591,0.4
346,2.346,0.594,0.401
347,2.346,0.594,0.401
348,2.386,0.594,0.401
349,2.386,0.594,0.401
350,2.386,0.598,0.402
351,2.386,0.598,0.402
352,2.427,0.601,0.402
353,2.427,0.601,0.402
354,2.427,0.604,0.404
355,2.427,0.604,0.404
356,2.467,0.608,0.404
357,2.467,0.608,0.404
358,2.467,0.608,0.404
359,2.467,0.608,0.404
360,2.467,0.611,0.405
361,2.467,0.611,0.405
362,2.507,0.614,0.405
363,2.507,0.614,0.405
364,2.507,0.617,0.406
365,2.507,0.617,0.406
366,2.546,0.617,0.406
367,2.546,0.617,0.406
368,2.546,0.621,0.408
369,2.546,0.621,0.408
370,2.546,0.624,0.408
371,2.546,0.624,0.408
372,2.5860000000000003,0.628,0.409
373,2.5860000000000003,0.628,0.409
374,2.5860000000000003,0.628,0.409
375,2.5860000000000003,0.628,0.409
376,2.627,0.628,0.409
377,2.627,0.628,0.409
378,2.627,0.631,0.409
379,2.627,0.631,0.409
380,2.627,0.634,0.41
381,2.627,0.634,0.41
382,2.668,0.638,0.411
383,2.668,0.638,0.411
384,2.668,0.6409999999999999,0.412
385,2.668,0.6409999999999999,0.412
386,2.709,0.6409999999999999,0.412
387,2.709,0.6409999999999999,0.412
388,2.709,0.645,0.412
389,2.709,0.645,0.412
390,2.75,0.648,0.414
391,2.75,0.648,0.414
392,2.75,0.6509999999999999,0.415
393,2.75,0.6509999999999999,0.415
394,2.75,0.655,0.417
395,2.75,0.655,0.417
396,2.79,0.655,0.417
397,2.79,0.655,0.417
398,2.79,0.657,0.419
399,2.79,0.657,0.419
400,2.83,0.66,0.42
401,2.83,0.66,0.42
402,2.83,0.6629999999999999,0.421
403,2.83,0.6629999999999999,0.421
404,2.83,0.6659999999999999,0.422
405,2.83,0.6659999999999999,0.422
406,2.8710000000000004,0.6659999999999999,0.422
407,2.8710000000000004,0.6659999999999999,0.422
408,2.8710000000000004,0.669,0.423
409,2.8710000000000004,0.669,0.423
410,2.911,0.6729999999999999,0.424
411,2.911,0.6729999999999999,0.424
412,2.911,0.6759999999999999,0.425
413,2.911,0.6759999999999999,0.425
414,2.95,0.6759999999999999,0.425
415,2.95,0.6759999999999999,0.425
416,2.95,0.679,0.425
417,2.95,0.679,0.425
418,2.95,0.682,0.426
419,2.95,0.682,0.426
420,2.991,0.685,0.426
421,2.991,0.685,0.426
422,2.991,0.685,0.426
423,2.991,0.685,0.426
424,3.031,0.685,0.426
425,3.031,0.685,0.426
426,3.031,0.687,0.426
427,3.031,0.687,0.426
428,3.031,0.69,0.426
429,3.031,0.69,0.426
430,3.071,0.6920000000000001,0.426
431,3.071,0.6920000000000001,0.426
432,3.071,0.6940000000000001,0.4270000000000001
433,3.071,0.6940000000000001,0.4270000000000001
434,3.112,0.6940000000000001,0.4270000000000001
435,3.112,0.6940000000000001,0.4270000000000001
436,3.112,0.6970000000000001,0.4270000000000001
437,3.112,0.6970000000000001,0.4270000000000001
438,3.112,0.6990000000000001,0.4270000000000001
439,3.112,0.6990000000000001,0.4270000000000001
