,time,2dmu,2dmv
0,0.0,0.503,0.526
1,0.0,0.503,0.526
2,0.0,0.503,0.525
3,0.0,0.503,0.525
4,0.0,0.503,0.525
5,0.0,0.503,0.525
6,0.0,0.503,0.525
7,0.0,0.503,0.525
8,0.0,0.503,0.525
9,0.0,0.503,0.525
10,0.0,0.504,0.524
11,0.0,0.504,0.524
12,0.0,0.505,0.523
13,0.0,0.505,0.523
14,0.0,0.506,0.523
15,0.0,0.506,0.523
16,0.0,0.506,0.523
17,0.0,0.506,0.523
18,0.0,0.507,0.523
19,0.0,0.507,0.523
20,0.0,0.509,0.522
21,0.0,0.509,0.522
22,0.0,0.509,0.522
23,0.0,0.509,0.522
24,0.0,0.513,0.521
25,0.0,0.513,0.521
26,0.0,0.521,0.52
27,0.0,0.521,0.52
28,0.0,0.521,0.52
29,0.0,0.521,0.52
30,0.0,0.53,0.518
31,0.0,0.53,0.518
32,0.0,0.53,0.518
33,0.0,0.53,0.518
34,0.0,0.535,0.516
35,0.0,0.535,0.516
36,0.0,0.535,0.516
37,0.0,0.535,0.516
38,0.0,0.536,0.515
39,0.0,0.536,0.515
40,0.0,0.536,0.515
41,0.0,0.536,0.515
42,0.0,0.537,0.513
43,0.0,0.537,0.513
44,0.018000000000000002,0.537,0.513
45,0.018000000000000002,0.537,0.513
46,0.018000000000000002,0.5379999999999999,0.511
47,0.018000000000000002,0.5379999999999999,0.511
48,0.018000000000000002,0.537,0.512
49,0.018000000000000002,0.537,0.512
50,0.058,0.537,0.512
51,0.058,0.537,0.512
52,0.058,0.536,0.511
53,0.058,0.536,0.511
54,0.099,0.536,0.511
55,0.099,0.536,0.511
56,0.099,0.536,0.51
57,0.099,0.536,0.51
58,0.099,0.535,0.51
59,0.099,0.535,0.51
60,0.14,0.535,0.51
61,0.14,0.535,0.51
62,0.14,0.535,0.51
63,0.14,0.535,0.51
64,0.18,0.535,0.51
65,0.18,0.535,0.51
66,0.18,0.535,0.51
67,0.18,0.535,0.51
68,0.18,0.535,0.51
69,0.18,0.535,0.51
70,0.222,0.535,0.51
71,0.222,0.535,0.51
72,0.222,0.535,0.51
73,0.222,0.535,0.51
74,0.262,0.535,0.51
75,0.262,0.535,0.51
76,0.262,0.535,0.51
77,0.262,0.535,0.51
78,0.262,0.535,0.511
79,0.262,0.535,0.511
80,0.303,0.535,0.511
81,0.303,0.535,0.511
82,0.303,0.535,0.511
83,0.303,0.535,0.511
84,0.343,0.535,0.511
85,0.343,0.535,0.511
86,0.343,0.534,0.511
87,0.343,0.534,0.511
88,0.383,0.534,0.511
89,0.383,0.534,0.511
90,0.383,0.5329999999999999,0.511
91,0.383,0.5329999999999999,0.511
92,0.383,0.5329999999999999,0.511
93,0.383,0.5329999999999999,0.511
94,0.423,0.532,0.51
95,0.423,0.532,0.51
96,0.423,0.53,0.509
97,0.423,0.53,0.509
98,0.463,0.528,0.508
99,0.463,0.528,0.508
100,0.463,0.525,0.507
101,0.463,0.525,0.507
102,0.463,0.525,0.507
103,0.463,0.525,0.507
104,0.504,0.521,0.507
105,0.504,0.521,0.507
106,0.504,0.516,0.505
107,0.504,0.516,0.505
108,0.545,0.511,0.503
109,0.545,0.511,0.503
110,0.545,0.505,0.5
111,0.545,0.505,0.5
112,0.585,0.505,0.5
113,0.585,0.505,0.5
114,0.585,0.499,0.499
115,0.585,0.499,0.499
116,0.585,0.494,0.499
117,0.585,0.494,0.499
118,0.625,0.489,0.499
119,0.625,0.489,0.499
120,0.625,0.485,0.498
121,0.625,0.485,0.498
122,0.665,0.485,0.498
123,0.665,0.485,0.498
124,0.665,0.486,0.4970000000000001
125,0.665,0.486,0.4970000000000001
126,0.665,0.483,0.4970000000000001
127,0.665,0.483,0.4970000000000001
128,0.706,0.48,0.4970000000000001
129,0.706,0.48,0.4970000000000001
130,0.706,0.478,0.496
131,0.706,0.478,0.496
132,0.746,0.478,0.496
133,0.746,0.478,0.496
134,0.746,0.477,0.496
135,0.746,0.477,0.496
136,0.746,0.475,0.494
137,0.746,0.475,0.494
138,0.7859999999999999,0.473,0.493
139,0.7859999999999999,0.473,0.493
140,0.7859999999999999,0.472,0.493
141,0.7859999999999999,0.472,0.493
142,0.8270000000000001,0.47,0.493
143,0.8270000000000001,0.47,0.493
144,0.8270000000000001,0.47,0.493
145,0.8270000000000001,0.47,0.493
146,0.867,0.469,0.493
147,0.867,0.469,0.493
148,0.867,0.467,0.493
149,0.867,0.467,0.493
150,0.867,0.464,0.4920000000000001
151,0.867,0.464,0.4920000000000001
152,0.908,0.464,0.4920000000000001
153,0.908,0.464,0.4920000000000001
154,0.908,0.462,0.491
155,0.908,0.462,0.491
156,0.948,0.46,0.491
157,0.948,0.46,0.491
158,0.948,0.458,0.49
159,0.948,0.458,0.49
160,0.948,0.458,0.49
161,0.948,0.458,0.49
162,0.989,0.458,0.49
163,0.989,0.458,0.49
164,0.989,0.456,0.488
165,0.989,0.456,0.488
166,1.03,0.455,0.488
167,1.03,0.455,0.488
168,1.03,0.453,0.487
