,time,2dmu,2dmv
0,0.0,0.265,0.502
1,0.0,0.265,0.502
2,0.0,0.266,0.501
3,0.0,0.266,0.501
4,0.0,0.266,0.499
5,0.0,0.266,0.499
6,0.0,0.266,0.499
7,0.0,0.266,0.499
8,0.0,0.266,0.499
9,0.0,0.266,0.499
10,0.0,0.266,0.499
11,0.0,0.266,0.499
12,0.0,0.266,0.499
13,0.0,0.266,0.499
14,0.0,0.265,0.5
15,0.0,0.265,0.5
16,0.0,0.265,0.5
17,0.0,0.265,0.5
18,0.0,0.261,0.502
19,0.0,0.261,0.502
20,0.0,0.261,0.502
21,0.0,0.261,0.502
22,0.0,0.256,0.502
23,0.0,0.256,0.502
24,0.0,0.256,0.502
25,0.0,0.256,0.502
26,0.0,0.241,0.498
27,0.0,0.241,0.498
28,0.0,0.241,0.498
29,0.0,0.241,0.498
30,0.0,0.23,0.495
31,0.0,0.23,0.495
32,0.0,0.23,0.495
33,0.0,0.23,0.495
34,0.0,0.211,0.487
35,0.0,0.211,0.487
36,0.0,0.211,0.487
37,0.0,0.211,0.487
38,0.0,0.197,0.48
39,0.0,0.197,0.48
40,0.0,0.18600000000000005,0.479
41,0.0,0.18600000000000005,0.479
42,0.0,0.175,0.478
43,0.0,0.175,0.478
44,0.0,0.163,0.477
45,0.0,0.163,0.477
46,0.0,0.163,0.477
47,0.0,0.163,0.477
48,0.041,0.163,0.477
49,0.041,0.163,0.477
50,0.041,0.153,0.476
51,0.041,0.153,0.476
52,0.08,0.14400000000000002,0.475
53,0.08,0.14400000000000002,0.475
54,0.08,0.136,0.475
55,0.08,0.136,0.475
56,0.08,0.127,0.474
57,0.08,0.127,0.474
58,0.12,0.127,0.474
59,0.12,0.127,0.474
60,0.12,0.119,0.473
61,0.12,0.119,0.473
62,0.161,0.112,0.473
63,0.161,0.112,0.473
64,0.161,0.1,0.474
65,0.161,0.1,0.474
66,0.202,0.095,0.475
67,0.202,0.095,0.475
68,0.202,0.095,0.475
69,0.202,0.095,0.475
70,0.242,0.097,0.475
71,0.242,0.097,0.475
72,0.242,0.094,0.477
73,0.242,0.094,0.477
74,0.242,0.092,0.478
75,0.242,0.092,0.478
76,0.284,0.09,0.478
77,0.284,0.09,0.478
78,0.325,0.08800000000000001,0.479
79,0.325,0.08800000000000001,0.479
80,0.325,0.086,0.479
81,0.325,0.086,0.479
82,0.364,0.083,0.479
83,0.364,0.083,0.479
84,0.364,0.08,0.48
85,0.364,0.08,0.48
86,0.405,0.08,0.48
87,0.405,0.08,0.48
88,0.446,0.078,0.48
89,0.446,0.078,0.48
90,0.446,0.073,0.481
91,0.446,0.073,0.481
92,0.446,0.073,0.481
93,0.446,0.073,0.481
94,0.486,0.071,0.48
95,0.486,0.071,0.48
96,0.526,0.068,0.478
97,0.526,0.068,0.478
98,0.526,0.068,0.478
99,0.526,0.068,0.478
100,0.526,0.063,0.475
101,0.526,0.063,0.475
102,0.5670000000000001,0.06,0.473
103,0.5670000000000001,0.06,0.473
104,0.5670000000000001,0.057,0.47
105,0.5670000000000001,0.057,0.47
106,0.607,0.057,0.469
107,0.607,0.057,0.469
108,0.607,0.057,0.469
109,0.607,0.057,0.469
110,0.647,0.053,0.467
111,0.647,0.053,0.467
112,0.647,0.05,0.465
113,0.647,0.05,0.465
114,0.647,0.046,0.462
115,0.647,0.046,0.462
116,0.687,0.042,0.46
117,0.687,0.042,0.46
118,0.687,0.039,0.46
119,0.687,0.039,0.46
120,0.728,0.039,0.46
121,0.728,0.039,0.46
122,0.728,0.035,0.459
123,0.728,0.035,0.459
124,0.728,0.031,0.457
125,0.728,0.031,0.457
126,0.768,0.027000000000000003,0.455
127,0.768,0.027000000000000003,0.455
128,0.768,0.027000000000000003,0.455
129,0.768,0.027000000000000003,0.455
130,0.8079999999999999,0.023,0.454
131,0.8079999999999999,0.023,0.454
132,0.8079999999999999,0.02,0.453
133,0.8079999999999999,0.02,0.453
134,0.8079999999999999,0.017,0.451
135,0.8079999999999999,0.017,0.451
136,0.8490000000000001,0.016,0.451
137,0.8490000000000001,0.016,0.451
138,0.8490000000000001,0.013,0.45
139,0.8490000000000001,0.013,0.45
140,0.889,0.013,0.45
141,0.889,0.013,0.45
142,0.889,0.01,0.449
143,0.889,0.01,0.449
144,0.93,0.006999999999999999,0.448
145,0.93,0.006999999999999999,0.448
146,0.93,0.003,0.447
147,0.93,0.003,0.447
148,0.97,0.0,0.447
149,0.97,0.0,0.447
150,0.97,0.998,0.446
151,0.97,0.998,0.446
152,1.01,0.995,0.446
153,1.01,0.995,0.446
154,1.01,0.993,0.446
155,1.01,0.993,0.446
156,1.01,0.992,0.446
157,1.01,0.992,0.446
158,1.05,0.99,0.446
159,1.05,0.99,0.446
160,1.05,0.99,0.446
161,1.05,0.99,0.446
162,1.09,0.991,0.446
163,1.09,0.991,0.446
164,1.09,0.989,0.447
165,1.09,0.989,0.447
166,1.13,0.988,0.447
167,1.13,0.988,0.447
168,1.13,0.987,0.447
169,1.13,0.987,0.447
170,1.13,0.987,0.447
171,1.13,0.987,0.447
172,1.171,0.986,0.448
173,1.171,0.986,0.448
174,1.171,0.985,0.448
175,1.171,0.985,0.448
176,1.211,0.985,0.448
177,1.211,0.985,0.448
178,1.211,0.984,0.448
179,1.211,0.984,0.448
180,1.252,0.984,0.448
181,1.252,0.984,0.448
182,1.252,0.983,0.447
183,1.252,0.983,0.447
184,1.2919999999999998,0.983,0.447
185,1.2919999999999998,0.983,0.447
186,1.2919999999999998,0.982,0.447
187,1.2919999999999998,0.982,0.447
188,1.2919999999999998,0.981,0.447
189,1.2919999999999998,0.981,0.447
190,1.331,0.981,0.446
191,1.331,0.981,0.446
192,1.331,0.981,0.446
193,1.331,0.981,0.446
194,1.372,0.98,0.445
195,1.372,0.98,0.445
196,1.372,0.978,0.444
197,1.372,0.978,0.444
198,1.413,0.977,0.443
199,1.413,0.977,0.443
200,1.413,0.975,0.441
201,1.413,0.975,0.441
202,1.413,0.975,0.441
203,1.413,0.975,0.441
204,1.454,0.973,0.438
205,1.454,0.973,0.438
206,1.454,0.972,0.4370000000000001
207,1.454,0.972,0.4370000000000001
208,1.495,0.969,0.436
209,1.495,0.969,0.436
210,1.495,0.967,0.434
211,1.495,0.967,0.434
212,1.495,0.967,0.434
213,1.495,0.967,0.434
214,1.536,0.965,0.431
215,1.536,0.965,0.431
216,1.536,0.963,0.429
217,1.536,0.963,0.429
218,1.5759999999999998,0.961,0.426
219,1.5759999999999998,0.961,0.426
220,1.5759999999999998,0.958,0.421
221,1.5759999999999998,0.958,0.421
222,1.5759999999999998,0.958,0.421
223,1.5759999999999998,0.958,0.421
224,1.616,0.959,0.421
225,1.616,0.959,0.421
226,1.656,0.953,0.414
227,1.656,0.953,0.414
228,1.656,0.953,0.414
229,1.656,0.953,0.414
230,1.6969999999999998,0.953,0.412
231,1.6969999999999998,0.953,0.412
232,1.6969999999999998,0.951,0.411
233,1.6969999999999998,0.951,0.411
234,1.737,0.95,0.41
235,1.737,0.95,0.41
236,1.737,0.949,0.408
237,1.737,0.949,0.408
238,1.778,0.948,0.408
239,1.778,0.948,0.408
240,1.778,0.948,0.407
241,1.778,0.948,0.407
242,1.778,0.948,0.407
243,1.778,0.948,0.407
244,1.819,0.947,0.407
245,1.819,0.947,0.407
246,1.859,0.947,0.406
247,1.859,0.947,0.406
248,1.859,0.947,0.406
249,1.859,0.947,0.406
250,1.9,0.946,0.405
251,1.9,0.946,0.405
252,1.9,0.946,0.405
253,1.9,0.946,0.405
254,1.942,0.946,0.405
255,1.942,0.946,0.405
256,1.942,0.946,0.405
257,1.942,0.946,0.405
258,1.942,0.946,0.405
259,1.942,0.946,0.405
260,1.982,0.946,0.405
261,1.982,0.946,0.405
262,1.982,0.945,0.405
263,1.982,0.945,0.405
264,2.021,0.945,0.405
265,2.021,0.945,0.405
266,2.021,0.946,0.405
267,2.021,0.946,0.405
268,2.061,0.946,0.405
269,2.061,0.946,0.405
270,2.061,0.946,0.405
271,2.061,0.946,0.405
272,2.061,0.946,0.405
273,2.061,0.946,0.405
274,2.102,0.947,0.405
275,2.102,0.947,0.405
276,2.102,0.947,0.405
277,2.102,0.947,0.405
278,2.142,0.949,0.405
279,2.142,0.949,0.405
280,2.142,0.95,0.405
281,2.142,0.95,0.405
282,2.142,0.951,0.405
283,2.142,0.951,0.405
284,2.182,0.951,0.405
285,2.182,0.951,0.405
286,2.182,0.952,0.406
287,2.182,0.952,0.406
288,2.222,0.954,0.405
289,2.222,0.954,0.405
290,2.222,0.955,0.405
291,2.222,0.955,0.405
292,2.262,0.957,0.404
293,2.262,0.957,0.404
294,2.262,0.957,0.404
295,2.262,0.957,0.404
296,2.262,0.957,0.404
297,2.262,0.957,0.404
298,2.303,0.958,0.403
299,2.303,0.958,0.403
300,2.303,0.959,0.403
301,2.303,0.959,0.403
302,2.343,0.962,0.403
303,2.343,0.962,0.403
304,2.343,0.963,0.403
305,2.343,0.963,0.403
306,2.343,0.963,0.403
307,2.343,0.963,0.403
308,2.384,0.965,0.404
309,2.384,0.965,0.404
310,2.384,0.967,0.405
311,2.384,0.967,0.405
312,2.424,0.969,0.405
313,2.424,0.969,0.405
314,2.424,0.972,0.405
315,2.424,0.972,0.405
316,2.464,0.972,0.405
317,2.464,0.972,0.405
318,2.464,0.975,0.404
319,2.464,0.975,0.404
320,2.464,0.977,0.403
321,2.464,0.977,0.403
322,2.505,0.98,0.401
323,2.505,0.98,0.401
324,2.505,0.982,0.4
325,2.505,0.982,0.4
326,2.546,0.982,0.4
327,2.546,0.982,0.4
328,2.546,0.982,0.4
329,2.546,0.982,0.4
330,2.5860000000000003,0.987,0.397
331,2.5860000000000003,0.987,0.397
332,2.5860000000000003,0.987,0.397
333,2.5860000000000003,0.987,0.397
334,2.627,0.989,0.396
335,2.627,0.989,0.396
336,2.627,0.989,0.396
337,2.627,0.989,0.396
338,2.627,0.991,0.395
339,2.627,0.991,0.395
340,2.668,0.993,0.396
341,2.668,0.993,0.396
342,2.668,0.995,0.396
343,2.668,0.995,0.396
344,2.708,0.996,0.395
