,time,2dmu,2dmv
0,0.0,0.515,0.496
1,0.0,0.515,0.496
2,0.0,0.515,0.496
3,0.0,0.515,0.496
4,0.0,0.515,0.495
5,0.0,0.515,0.495
6,0.0,0.515,0.495
7,0.0,0.515,0.495
8,0.0,0.515,0.495
9,0.0,0.515,0.495
10,0.0,0.515,0.495
11,0.0,0.515,0.495
12,0.0,0.515,0.495
13,0.0,0.515,0.495
14,0.0,0.515,0.495
15,0.0,0.515,0.495
16,0.0,0.515,0.495
17,0.0,0.515,0.495
18,0.0,0.515,0.494
19,0.0,0.515,0.494
20,0.0,0.515,0.494
21,0.0,0.515,0.494
22,0.0,0.515,0.494
23,0.0,0.515,0.494
24,0.0,0.515,0.494
25,0.0,0.515,0.494
26,0.0,0.515,0.495
27,0.0,0.515,0.495
28,0.0,0.515,0.495
29,0.0,0.515,0.495
30,0.0,0.515,0.495
31,0.0,0.515,0.495
32,0.0,0.515,0.495
33,0.0,0.515,0.495
34,0.0,0.515,0.495
35,0.0,0.515,0.495
36,0.0,0.515,0.495
37,0.0,0.515,0.495
38,0.0,0.515,0.495
39,0.0,0.515,0.495
40,0.0,0.515,0.495
41,0.0,0.515,0.495
42,0.0,0.515,0.495
43,0.0,0.515,0.495
44,0.0,0.515,0.495
45,0.0,0.515,0.495
46,0.0,0.515,0.495
47,0.0,0.515,0.495
48,0.0,0.515,0.495
49,0.0,0.515,0.495
50,0.0,0.515,0.495
51,0.0,0.515,0.495
52,0.0,0.515,0.495
53,0.0,0.515,0.495
54,0.0,0.515,0.495
55,0.0,0.515,0.495
56,0.0,0.515,0.495
57,0.0,0.515,0.495
58,0.0,0.515,0.495
59,0.0,0.515,0.495
60,0.0,0.515,0.495
61,0.0,0.515,0.495
62,0.0,0.515,0.495
63,0.0,0.515,0.495
64,0.0,0.515,0.495
65,0.0,0.515,0.495
66,0.0,0.515,0.495
67,0.0,0.515,0.495
68,0.0,0.515,0.495
69,0.0,0.515,0.495
70,0.0,0.515,0.495
71,0.0,0.515,0.495
72,0.015,0.515,0.495
73,0.015,0.515,0.495
74,0.015,0.515,0.495
75,0.015,0.515,0.495
76,0.015,0.515,0.495
77,0.015,0.515,0.495
78,0.056,0.515,0.495
79,0.056,0.515,0.495
80,0.056,0.516,0.495
81,0.056,0.516,0.495
82,0.097,0.516,0.495
83,0.097,0.516,0.495
84,0.097,0.516,0.495
85,0.097,0.516,0.495
