,time,2dmu,2dmv
0,0.0,0.505,0.484
1,0.0,0.505,0.484
2,0.0,0.505,0.484
3,0.0,0.505,0.484
4,0.0,0.505,0.484
5,0.0,0.505,0.484
6,0.0,0.505,0.483
7,0.0,0.505,0.483
8,0.0,0.505,0.482
9,0.0,0.505,0.482
10,0.0,0.505,0.482
11,0.0,0.505,0.482
12,0.0,0.505,0.482
13,0.0,0.505,0.482
14,0.0,0.505,0.482
15,0.0,0.505,0.482
16,0.0,0.505,0.482
17,0.0,0.505,0.482
18,0.0,0.505,0.481
19,0.0,0.505,0.481
20,0.0,0.505,0.481
21,0.0,0.505,0.481
22,0.0,0.504,0.481
23,0.0,0.504,0.481
24,0.0,0.504,0.481
25,0.0,0.504,0.481
26,0.0,0.505,0.481
27,0.0,0.505,0.481
28,0.0,0.505,0.481
29,0.0,0.505,0.481
30,0.0,0.504,0.481
31,0.0,0.504,0.481
32,0.0,0.504,0.481
33,0.0,0.504,0.481
34,0.0,0.504,0.481
35,0.0,0.504,0.481
36,0.0,0.504,0.481
37,0.0,0.504,0.481
38,0.0,0.505,0.48
39,0.0,0.505,0.48
40,0.04,0.505,0.48
41,0.04,0.505,0.48
42,0.04,0.505,0.48
43,0.04,0.505,0.48
44,0.04,0.505,0.479
45,0.04,0.505,0.479
46,0.08,0.505,0.479
47,0.08,0.505,0.479
48,0.08,0.505,0.479
49,0.08,0.505,0.479
50,0.12,0.505,0.479
51,0.12,0.505,0.479
52,0.12,0.505,0.479
53,0.12,0.505,0.479
54,0.12,0.505,0.479
55,0.12,0.505,0.479
56,0.16,0.505,0.479
57,0.16,0.505,0.479
58,0.16,0.504,0.478
59,0.16,0.504,0.478
60,0.2,0.504,0.478
61,0.2,0.504,0.478
62,0.2,0.504,0.478
63,0.2,0.504,0.478
64,0.241,0.504,0.478
65,0.241,0.504,0.478
66,0.241,0.504,0.478
67,0.241,0.504,0.478
68,0.241,0.504,0.478
69,0.241,0.504,0.478
70,0.28,0.504,0.478
71,0.28,0.504,0.478
72,0.28,0.504,0.478
73,0.28,0.504,0.478
74,0.32,0.504,0.478
75,0.32,0.504,0.478
76,0.32,0.504,0.477
77,0.32,0.504,0.477
78,0.32,0.504,0.477
79,0.32,0.504,0.477
80,0.36,0.504,0.477
81,0.36,0.504,0.477
82,0.36,0.504,0.476
83,0.36,0.504,0.476
84,0.4,0.503,0.475
85,0.4,0.503,0.475
86,0.4,0.503,0.475
87,0.4,0.503,0.475
88,0.44,0.503,0.474
89,0.44,0.503,0.474
90,0.44,0.503,0.474
91,0.44,0.503,0.474
92,0.44,0.503,0.474
93,0.44,0.503,0.474
94,0.481,0.503,0.474
95,0.481,0.503,0.474
96,0.481,0.503,0.473
97,0.481,0.503,0.473
98,0.521,0.503,0.473
99,0.521,0.503,0.473
100,0.521,0.503,0.473
101,0.521,0.503,0.473
102,0.521,0.503,0.473
103,0.521,0.503,0.473
104,0.562,0.503,0.472
105,0.562,0.503,0.472
106,0.562,0.503,0.472
107,0.562,0.503,0.472
108,0.603,0.503,0.472
109,0.603,0.503,0.472
110,0.603,0.503,0.471
111,0.603,0.503,0.471
112,0.603,0.503,0.471
113,0.603,0.503,0.471
114,0.644,0.503,0.471
115,0.644,0.503,0.471
116,0.644,0.503,0.471
117,0.644,0.503,0.471
118,0.684,0.503,0.47
119,0.684,0.503,0.47
120,0.684,0.503,0.469
121,0.684,0.503,0.469
122,0.7240000000000001,0.503,0.468
123,0.7240000000000001,0.503,0.468
124,0.7240000000000001,0.503,0.467
125,0.7240000000000001,0.503,0.467
126,0.7240000000000001,0.503,0.467
127,0.7240000000000001,0.503,0.467
128,0.764,0.502,0.465
129,0.764,0.502,0.465
130,0.764,0.502,0.464
131,0.764,0.502,0.464
132,0.8059999999999999,0.502,0.46
133,0.8059999999999999,0.502,0.46
134,0.8059999999999999,0.502,0.46
135,0.8059999999999999,0.502,0.46
136,0.8059999999999999,0.502,0.457
137,0.8059999999999999,0.502,0.457
138,0.846,0.502,0.452
139,0.846,0.502,0.452
140,0.846,0.502,0.45
141,0.846,0.502,0.45
142,0.887,0.502,0.444
143,0.887,0.502,0.444
144,0.887,0.502,0.444
145,0.887,0.502,0.444
146,0.887,0.501,0.435
147,0.887,0.501,0.435
148,0.926,0.501,0.425
149,0.926,0.501,0.425
150,0.926,0.502,0.413
151,0.926,0.502,0.413
152,0.966,0.502,0.413
153,0.966,0.502,0.413
154,0.966,0.502,0.404
155,0.966,0.502,0.404
156,1.007,0.502,0.395
157,1.007,0.502,0.395
158,1.007,0.502,0.387
159,1.007,0.502,0.387
160,1.007,0.502,0.378
161,1.007,0.502,0.378
162,1.047,0.502,0.378
163,1.047,0.502,0.378
164,1.047,0.502,0.371
165,1.047,0.502,0.371
166,1.088,0.502,0.364
167,1.088,0.502,0.364
168,1.088,0.502,0.35700000000000004
169,1.088,0.502,0.35700000000000004
170,1.088,0.502,0.35100000000000003
171,1.088,0.502,0.35100000000000003
172,1.128,0.502,0.34600000000000003
173,1.128,0.502,0.34600000000000003
174,1.128,0.502,0.34600000000000003
175,1.128,0.502,0.34600000000000003
176,1.168,0.502,0.341
177,1.168,0.502,0.341
178,1.168,0.502,0.335
179,1.168,0.502,0.335
180,1.168,0.502,0.329
181,1.168,0.502,0.329
182,1.209,0.502,0.329
183,1.209,0.502,0.329
184,1.209,0.502,0.324
185,1.209,0.502,0.324
186,1.25,0.502,0.317
187,1.25,0.502,0.317
188,1.25,0.501,0.311
189,1.25,0.501,0.311
190,1.29,0.501,0.311
191,1.29,0.501,0.311
192,1.29,0.501,0.313
193,1.29,0.501,0.313
194,1.29,0.5,0.309
195,1.29,0.5,0.309
196,1.33,0.5,0.304
197,1.33,0.5,0.304
198,1.33,0.499,0.3
199,1.33,0.499,0.3
200,1.371,0.499,0.3
201,1.371,0.499,0.3
202,1.371,0.498,0.295
203,1.371,0.498,0.295
204,1.371,0.498,0.29
205,1.371,0.498,0.29
206,1.411,0.4970000000000001,0.285
207,1.411,0.4970000000000001,0.285
208,1.411,0.4970000000000001,0.28
209,1.411,0.4970000000000001,0.28
210,1.4509999999999998,0.4970000000000001,0.28
211,1.4509999999999998,0.4970000000000001,0.28
212,1.4509999999999998,0.4970000000000001,0.276
213,1.4509999999999998,0.4970000000000001,0.276
214,1.4509999999999998,0.4970000000000001,0.271
215,1.4509999999999998,0.4970000000000001,0.271
216,1.492,0.4970000000000001,0.267
217,1.492,0.4970000000000001,0.267
218,1.492,0.4970000000000001,0.264
219,1.492,0.4970000000000001,0.264
220,1.533,0.4970000000000001,0.264
221,1.533,0.4970000000000001,0.264
222,1.533,0.4970000000000001,0.261
223,1.533,0.4970000000000001,0.261
224,1.5730000000000002,0.4970000000000001,0.257
225,1.5730000000000002,0.4970000000000001,0.257
226,1.5730000000000002,0.4970000000000001,0.253
227,1.5730000000000002,0.4970000000000001,0.253
228,1.5730000000000002,0.496,0.25
229,1.5730000000000002,0.496,0.25
230,1.614,0.496,0.25
231,1.614,0.496,0.25
232,1.614,0.496,0.246
233,1.614,0.496,0.246
234,1.655,0.496,0.241
235,1.655,0.496,0.241
236,1.655,0.495,0.238
237,1.655,0.495,0.238
238,1.655,0.495,0.238
239,1.655,0.495,0.238
240,1.695,0.494,0.235
241,1.695,0.494,0.235
242,1.695,0.494,0.231
243,1.695,0.494,0.231
244,1.734,0.493,0.226
245,1.734,0.493,0.226
246,1.734,0.4920000000000001,0.226
247,1.734,0.4920000000000001,0.226
248,1.734,0.4920000000000001,0.226
249,1.734,0.4920000000000001,0.226
250,1.775,0.491,0.223
251,1.775,0.491,0.223
252,1.775,0.491,0.22
253,1.775,0.491,0.22
254,1.816,0.491,0.217
255,1.816,0.491,0.217
256,1.816,0.491,0.214
257,1.816,0.491,0.214
258,1.856,0.491,0.214
259,1.856,0.491,0.214
260,1.856,0.49,0.213
261,1.856,0.49,0.213
262,1.856,0.49,0.21
263,1.856,0.49,0.21
264,1.896,0.49,0.208
265,1.896,0.49,0.208
266,1.896,0.49,0.205
267,1.896,0.49,0.205
268,1.936,0.49,0.205
269,1.936,0.49,0.205
270,1.936,0.49,0.202
271,1.936,0.49,0.202
272,1.936,0.49,0.2
273,1.936,0.49,0.2
274,1.977,0.49,0.197
275,1.977,0.49,0.197
276,1.977,0.491,0.193
277,1.977,0.491,0.193
278,2.018,0.491,0.193
279,2.018,0.491,0.193
280,2.018,0.491,0.191
281,2.018,0.491,0.191
282,2.018,0.4920000000000001,0.189
283,2.018,0.4920000000000001,0.189
284,2.0580000000000003,0.4920000000000001,0.188
285,2.0580000000000003,0.4920000000000001,0.188
286,2.0580000000000003,0.4920000000000001,0.188
287,2.0580000000000003,0.4920000000000001,0.188
288,2.1,0.493,0.188
289,2.1,0.493,0.188
