,time,2dmu,2dmv
0,0.0,0.501,0.57
1,0.0,0.501,0.57
2,0.0,0.501,0.57
3,0.0,0.501,0.57
4,0.0,0.501,0.57
5,0.0,0.501,0.57
6,0.0,0.501,0.57
7,0.0,0.501,0.57
8,0.0,0.501,0.5710000000000001
9,0.0,0.501,0.5710000000000001
10,0.0,0.501,0.5710000000000001
11,0.0,0.501,0.5710000000000001
12,0.0,0.501,0.5710000000000001
13,0.0,0.501,0.5710000000000001
14,0.0,0.501,0.5710000000000001
15,0.0,0.501,0.5710000000000001
16,0.0,0.501,0.5710000000000001
17,0.0,0.501,0.5710000000000001
18,0.0,0.501,0.5710000000000001
19,0.0,0.501,0.5710000000000001
20,0.0,0.501,0.5710000000000001
21,0.0,0.501,0.5710000000000001
22,0.0,0.501,0.5710000000000001
23,0.0,0.501,0.5710000000000001
24,0.0,0.501,0.5710000000000001
25,0.0,0.501,0.5710000000000001
26,0.0,0.501,0.5710000000000001
27,0.0,0.501,0.5710000000000001
28,0.0,0.501,0.5710000000000001
29,0.0,0.501,0.5710000000000001
30,0.0,0.501,0.5710000000000001
31,0.0,0.501,0.5710000000000001
32,0.0,0.501,0.5710000000000001
33,0.0,0.501,0.5710000000000001
34,0.0,0.501,0.5710000000000001
35,0.0,0.501,0.5710000000000001
36,0.0,0.501,0.5710000000000001
37,0.0,0.501,0.5710000000000001
38,0.0,0.501,0.5710000000000001
39,0.0,0.501,0.5710000000000001
40,0.04,0.501,0.5710000000000001
41,0.04,0.501,0.5710000000000001
42,0.04,0.501,0.5710000000000001
43,0.04,0.501,0.5710000000000001
44,0.04,0.501,0.5710000000000001
45,0.04,0.501,0.5710000000000001
46,0.08,0.501,0.5710000000000001
47,0.08,0.501,0.5710000000000001
48,0.08,0.501,0.5710000000000001
49,0.08,0.501,0.5710000000000001
50,0.121,0.501,0.5710000000000001
51,0.121,0.501,0.5710000000000001
52,0.121,0.501,0.5710000000000001
53,0.121,0.501,0.5710000000000001
54,0.161,0.501,0.5710000000000001
55,0.161,0.501,0.5710000000000001
56,0.161,0.501,0.57
57,0.161,0.501,0.57
58,0.161,0.501,0.57
59,0.161,0.501,0.57
60,0.2,0.501,0.57
61,0.2,0.501,0.57
62,0.2,0.501,0.57
63,0.2,0.501,0.57
64,0.243,0.501,0.57
65,0.243,0.501,0.57
66,0.243,0.501,0.57
67,0.243,0.501,0.57
68,0.243,0.501,0.57
69,0.243,0.501,0.57
70,0.28300000000000003,0.501,0.57
71,0.28300000000000003,0.501,0.57
72,0.28300000000000003,0.501,0.57
73,0.28300000000000003,0.501,0.57
74,0.324,0.501,0.57
75,0.324,0.501,0.57
76,0.324,0.501,0.57
77,0.324,0.501,0.57
78,0.324,0.501,0.57
79,0.324,0.501,0.57
80,0.365,0.501,0.57
81,0.365,0.501,0.57
82,0.365,0.501,0.57
83,0.365,0.501,0.57
84,0.406,0.501,0.57
85,0.406,0.501,0.57
86,0.406,0.501,0.57
87,0.406,0.501,0.57
88,0.406,0.501,0.57
89,0.406,0.501,0.57
90,0.446,0.501,0.57
91,0.446,0.501,0.57
92,0.446,0.501,0.57
93,0.446,0.501,0.57
94,0.486,0.501,0.57
95,0.486,0.501,0.57
96,0.486,0.501,0.5710000000000001
97,0.486,0.501,0.5710000000000001
98,0.527,0.501,0.5710000000000001
99,0.527,0.501,0.5710000000000001
100,0.527,0.501,0.5710000000000001
101,0.527,0.501,0.5710000000000001
102,0.527,0.501,0.5710000000000001
103,0.527,0.501,0.5710000000000001
104,0.5670000000000001,0.501,0.5710000000000001
105,0.5670000000000001,0.501,0.5710000000000001
106,0.5670000000000001,0.501,0.5710000000000001
107,0.5670000000000001,0.501,0.5710000000000001
108,0.608,0.501,0.5710000000000001
109,0.608,0.501,0.5710000000000001
110,0.608,0.501,0.5710000000000001
111,0.608,0.501,0.5710000000000001
112,0.608,0.501,0.57
113,0.608,0.501,0.57
114,0.648,0.501,0.57
115,0.648,0.501,0.57
116,0.648,0.501,0.57
117,0.648,0.501,0.57
118,0.688,0.501,0.57
119,0.688,0.501,0.57
120,0.688,0.501,0.569
121,0.688,0.501,0.569
122,0.728,0.501,0.569
123,0.728,0.501,0.569
124,0.728,0.501,0.569
125,0.728,0.501,0.569
126,0.728,0.501,0.568
127,0.728,0.501,0.568
128,0.769,0.501,0.568
129,0.769,0.501,0.568
130,0.769,0.5,0.5670000000000001
131,0.769,0.5,0.5670000000000001
132,0.809,0.5,0.5670000000000001
133,0.809,0.5,0.5670000000000001
134,0.809,0.5,0.5670000000000001
135,0.809,0.5,0.5670000000000001
136,0.809,0.5,0.5670000000000001
137,0.809,0.5,0.5670000000000001
138,0.85,0.5,0.5660000000000001
139,0.85,0.5,0.5660000000000001
140,0.85,0.5,0.5660000000000001
141,0.85,0.5,0.5660000000000001
142,0.8909999999999999,0.5,0.5660000000000001
143,0.8909999999999999,0.5,0.5660000000000001
144,0.8909999999999999,0.5,0.565
145,0.8909999999999999,0.5,0.565
146,0.8909999999999999,0.5,0.565
147,0.8909999999999999,0.5,0.565
148,0.932,0.5,0.564
149,0.932,0.5,0.564
150,0.932,0.5,0.563
151,0.932,0.5,0.563
152,0.973,0.5,0.563
153,0.973,0.5,0.563
154,0.973,0.5,0.562
155,0.973,0.5,0.562
156,0.973,0.499,0.56
157,0.973,0.499,0.56
158,1.013,0.499,0.56
159,1.013,0.499,0.56
160,1.013,0.499,0.5579999999999999
161,1.013,0.499,0.5579999999999999
162,1.053,0.499,0.5579999999999999
163,1.053,0.499,0.5579999999999999
164,1.053,0.499,0.557
165,1.053,0.499,0.557
166,1.094,0.499,0.556
167,1.094,0.499,0.556
168,1.094,0.499,0.5539999999999999
169,1.094,0.499,0.5539999999999999
170,1.094,0.499,0.552
171,1.094,0.499,0.552
172,1.134,0.499,0.55
173,1.134,0.499,0.55
174,1.134,0.499,0.55
175,1.134,0.499,0.55
176,1.176,0.499,0.5479999999999999
177,1.176,0.499,0.5479999999999999
178,1.176,0.499,0.546
179,1.176,0.499,0.546
180,1.176,0.499,0.5429999999999999
181,1.176,0.499,0.5429999999999999
182,1.218,0.499,0.5429999999999999
183,1.218,0.499,0.5429999999999999
184,1.218,0.499,0.541
185,1.218,0.499,0.541
186,1.258,0.499,0.539
187,1.258,0.499,0.539
188,1.258,0.499,0.537
189,1.258,0.499,0.537
190,1.258,0.499,0.537
191,1.258,0.499,0.537
192,1.298,0.499,0.537
193,1.298,0.499,0.537
194,1.298,0.499,0.535
195,1.298,0.499,0.535
196,1.338,0.499,0.5329999999999999
197,1.338,0.499,0.5329999999999999
198,1.338,0.499,0.531
199,1.338,0.499,0.531
200,1.338,0.498,0.529
201,1.338,0.498,0.529
202,1.378,0.498,0.527
203,1.378,0.498,0.527
204,1.378,0.498,0.527
205,1.378,0.498,0.527
206,1.418,0.498,0.525
207,1.418,0.498,0.525
208,1.418,0.498,0.524
209,1.418,0.498,0.524
210,1.4580000000000002,0.498,0.522
211,1.4580000000000002,0.498,0.522
212,1.4580000000000002,0.498,0.522
213,1.4580000000000002,0.498,0.522
214,1.4580000000000002,0.498,0.521
215,1.4580000000000002,0.498,0.521
216,1.4980000000000002,0.498,0.52
217,1.4980000000000002,0.498,0.52
218,1.4980000000000002,0.498,0.519
219,1.4980000000000002,0.498,0.519
220,1.538,0.498,0.518
221,1.538,0.498,0.518
222,1.538,0.498,0.518
223,1.538,0.498,0.518
224,1.538,0.498,0.516
225,1.538,0.498,0.516
226,1.579,0.498,0.515
227,1.579,0.498,0.515
228,1.579,0.4970000000000001,0.513
229,1.579,0.4970000000000001,0.513
230,1.619,0.498,0.511
231,1.619,0.498,0.511
232,1.619,0.498,0.511
233,1.619,0.498,0.511
234,1.66,0.498,0.511
235,1.66,0.498,0.511
236,1.66,0.498,0.51
237,1.66,0.498,0.51
238,1.66,0.498,0.509
239,1.66,0.498,0.509
240,1.7009999999999998,0.498,0.507
241,1.7009999999999998,0.498,0.507
242,1.7009999999999998,0.498,0.507
243,1.7009999999999998,0.498,0.507
244,1.742,0.498,0.506
245,1.742,0.498,0.506
246,1.742,0.498,0.505
247,1.742,0.498,0.505
248,1.742,0.498,0.504
249,1.742,0.498,0.504
250,1.783,0.498,0.504
251,1.783,0.498,0.504
252,1.783,0.498,0.503
253,1.783,0.498,0.503
254,1.824,0.498,0.503
255,1.824,0.498,0.503
256,1.824,0.498,0.503
257,1.824,0.498,0.503
258,1.824,0.498,0.502
259,1.824,0.498,0.502
260,1.865,0.498,0.502
261,1.865,0.498,0.502
262,1.865,0.498,0.502
263,1.865,0.498,0.502
264,1.905,0.498,0.501
265,1.905,0.498,0.501
266,1.905,0.498,0.501
267,1.905,0.498,0.501
268,1.905,0.498,0.501
269,1.905,0.498,0.501
270,1.945,0.498,0.501
271,1.945,0.498,0.501
272,1.945,0.498,0.501
273,1.945,0.498,0.501
274,1.985,0.498,0.501
275,1.985,0.498,0.501
276,1.985,0.498,0.5
277,1.985,0.498,0.5
278,2.025,0.498,0.5
279,2.025,0.498,0.5
280,2.025,0.498,0.5
281,2.025,0.498,0.5
282,2.025,0.4970000000000001,0.5
283,2.025,0.4970000000000001,0.5
284,2.066,0.4970000000000001,0.5
285,2.066,0.4970000000000001,0.5
286,2.066,0.4970000000000001,0.5
287,2.066,0.4970000000000001,0.5
288,2.106,0.4970000000000001,0.5
289,2.106,0.4970000000000001,0.5
290,2.106,0.4970000000000001,0.5
291,2.106,0.4970000000000001,0.5
292,2.106,0.4970000000000001,0.5
293,2.106,0.4970000000000001,0.5
294,2.146,0.4970000000000001,0.5
295,2.146,0.4970000000000001,0.5
296,2.146,0.4970000000000001,0.5
297,2.146,0.4970000000000001,0.5
298,2.186,0.4970000000000001,0.501
299,2.186,0.4970000000000001,0.501
300,2.186,0.4970000000000001,0.501
301,2.186,0.4970000000000001,0.501
302,2.226,0.4970000000000001,0.501
303,2.226,0.4970000000000001,0.501
304,2.226,0.4970000000000001,0.502
305,2.226,0.4970000000000001,0.502
306,2.226,0.4970000000000001,0.502
307,2.226,0.4970000000000001,0.502
308,2.267,0.4970000000000001,0.502
309,2.267,0.4970000000000001,0.502
310,2.267,0.4970000000000001,0.502
311,2.267,0.4970000000000001,0.502
312,2.306,0.4970000000000001,0.502
313,2.306,0.4970000000000001,0.502
314,2.306,0.4970000000000001,0.502
315,2.306,0.4970000000000001,0.502
316,2.306,0.4970000000000001,0.503
317,2.306,0.4970000000000001,0.503
318,2.3480000000000003,0.4970000000000001,0.503
319,2.3480000000000003,0.4970000000000001,0.503
320,2.3480000000000003,0.4970000000000001,0.503
321,2.3480000000000003,0.4970000000000001,0.503
322,2.389,0.4970000000000001,0.503
323,2.389,0.4970000000000001,0.503
324,2.389,0.4970000000000001,0.503
325,2.389,0.4970000000000001,0.503
326,2.389,0.4970000000000001,0.503
327,2.389,0.4970000000000001,0.503
328,2.4290000000000003,0.4970000000000001,0.503
329,2.4290000000000003,0.4970000000000001,0.503
330,2.4290000000000003,0.4970000000000001,0.503
331,2.4290000000000003,0.4970000000000001,0.503
332,2.469,0.4970000000000001,0.503
333,2.469,0.4970000000000001,0.503
334,2.469,0.4970000000000001,0.503
335,2.469,0.4970000000000001,0.503
336,2.51,0.4970000000000001,0.504
337,2.51,0.4970000000000001,0.504
338,2.51,0.4970000000000001,0.504
339,2.51,0.4970000000000001,0.504
340,2.51,0.4970000000000001,0.504
341,2.51,0.4970000000000001,0.504
342,2.55,0.4970000000000001,0.504
343,2.55,0.4970000000000001,0.504
344,2.55,0.4970000000000001,0.504
345,2.55,0.4970000000000001,0.504
346,2.59,0.4970000000000001,0.504
347,2.59,0.4970000000000001,0.504
348,2.59,0.4970000000000001,0.504
349,2.59,0.4970000000000001,0.504
350,2.59,0.4970000000000001,0.505
351,2.59,0.4970000000000001,0.505
352,2.631,0.4970000000000001,0.505
353,2.631,0.4970000000000001,0.505
354,2.631,0.4970000000000001,0.505
355,2.631,0.4970000000000001,0.505
356,2.672,0.4970000000000001,0.505
357,2.672,0.4970000000000001,0.505
358,2.672,0.4970000000000001,0.505
359,2.672,0.4970000000000001,0.505
360,2.672,0.4970000000000001,0.505
361,2.672,0.4970000000000001,0.505
362,2.713,0.4970000000000001,0.505
363,2.713,0.4970000000000001,0.505
364,2.713,0.4970000000000001,0.505
365,2.713,0.4970000000000001,0.505
366,2.754,0.4970000000000001,0.505
367,2.754,0.4970000000000001,0.505
368,2.754,0.4970000000000001,0.506
369,2.754,0.4970000000000001,0.506
370,2.794,0.4970000000000001,0.506
371,2.794,0.4970000000000001,0.506
372,2.794,0.4970000000000001,0.506
373,2.794,0.4970000000000001,0.506
374,2.794,0.4970000000000001,0.506
375,2.794,0.4970000000000001,0.506
376,2.835,0.4970000000000001,0.506
377,2.835,0.4970000000000001,0.506
378,2.835,0.4970000000000001,0.506
379,2.835,0.4970000000000001,0.506
380,2.875,0.4970000000000001,0.506
381,2.875,0.4970000000000001,0.506
382,2.875,0.4970000000000001,0.506
383,2.875,0.4970000000000001,0.506
384,2.875,0.4970000000000001,0.506
385,2.875,0.4970000000000001,0.506
386,2.9160000000000004,0.4970000000000001,0.506
387,2.9160000000000004,0.4970000000000001,0.506
388,2.9160000000000004,0.4970000000000001,0.506
389,2.9160000000000004,0.4970000000000001,0.506
390,2.9560000000000004,0.4970000000000001,0.506
391,2.9560000000000004,0.4970000000000001,0.506
392,2.9560000000000004,0.4970000000000001,0.506
393,2.9560000000000004,0.4970000000000001,0.506
394,2.9560000000000004,0.4970000000000001,0.506
395,2.9560000000000004,0.4970000000000001,0.506
396,2.9960000000000004,0.4970000000000001,0.506
397,2.9960000000000004,0.4970000000000001,0.506
398,2.9960000000000004,0.4970000000000001,0.507
399,2.9960000000000004,0.4970000000000001,0.507
400,3.036,0.4970000000000001,0.507
401,3.036,0.4970000000000001,0.507
402,3.036,0.4970000000000001,0.507
403,3.036,0.4970000000000001,0.507
404,3.076,0.4970000000000001,0.507
405,3.076,0.4970000000000001,0.507
406,3.076,0.4970000000000001,0.507
407,3.076,0.4970000000000001,0.507
408,3.076,0.4970000000000001,0.507
409,3.076,0.4970000000000001,0.507
410,3.117,0.4970000000000001,0.507
411,3.117,0.4970000000000001,0.507
412,3.117,0.4970000000000001,0.507
413,3.117,0.4970000000000001,0.507
414,3.158,0.4970000000000001,0.507
415,3.158,0.4970000000000001,0.507
416,3.158,0.4970000000000001,0.507
417,3.158,0.4970000000000001,0.507
418,3.158,0.4970000000000001,0.507
419,3.158,0.4970000000000001,0.507
420,3.199,0.4970000000000001,0.507
421,3.199,0.4970000000000001,0.507
422,3.199,0.4970000000000001,0.507
423,3.199,0.4970000000000001,0.507
424,3.24,0.4970000000000001,0.507
425,3.24,0.4970000000000001,0.507
426,3.24,0.4970000000000001,0.507
427,3.24,0.4970000000000001,0.507
428,3.24,0.4970000000000001,0.507
429,3.24,0.4970000000000001,0.507
430,3.28,0.4970000000000001,0.507
431,3.28,0.4970000000000001,0.507
432,3.28,0.4970000000000001,0.507
433,3.28,0.4970000000000001,0.507
434,3.321,0.4970000000000001,0.507
435,3.321,0.4970000000000001,0.507
436,3.321,0.4970000000000001,0.507
437,3.321,0.4970000000000001,0.507
438,3.361,0.4970000000000001,0.507
439,3.361,0.4970000000000001,0.507
440,3.361,0.4970000000000001,0.507
441,3.361,0.4970000000000001,0.507
442,3.361,0.4970000000000001,0.508
443,3.361,0.4970000000000001,0.508
444,3.401,0.4970000000000001,0.508
445,3.401,0.4970000000000001,0.508
446,3.401,0.4970000000000001,0.508
