,time,2dmu,2dmv
0,0.0,0.503,0.443
1,0.0,0.503,0.443
2,0.0,0.503,0.443
3,0.0,0.503,0.443
4,0.0,0.503,0.443
5,0.0,0.503,0.443
6,0.0,0.503,0.443
7,0.0,0.503,0.443
8,0.0,0.503,0.443
9,0.0,0.503,0.443
10,0.0,0.503,0.443
11,0.0,0.503,0.443
12,0.0,0.503,0.443
13,0.0,0.503,0.443
14,0.0,0.503,0.443
15,0.0,0.503,0.443
16,0.0,0.503,0.443
17,0.0,0.503,0.443
18,0.0,0.503,0.443
19,0.0,0.503,0.443
20,0.0,0.503,0.443
21,0.0,0.503,0.443
22,0.0,0.503,0.443
23,0.0,0.503,0.443
24,0.0,0.504,0.443
25,0.0,0.504,0.443
26,0.0,0.504,0.443
27,0.0,0.504,0.443
28,0.0,0.504,0.443
29,0.0,0.504,0.443
30,0.0,0.504,0.443
31,0.0,0.503,0.443
32,0.0,0.504,0.443
33,0.0,0.503,0.443
34,0.0,0.503,0.443
35,0.0,0.503,0.443
36,0.0,0.503,0.443
37,0.0,0.503,0.443
38,0.0,0.503,0.443
39,0.0,0.503,0.443
40,0.0,0.503,0.442
41,0.0,0.503,0.442
42,0.0,0.503,0.442
43,0.0,0.503,0.442
44,0.0,0.503,0.442
45,0.0,0.503,0.442
46,0.0,0.503,0.442
47,0.0,0.503,0.442
48,0.0,0.503,0.442
49,0.0,0.503,0.442
50,0.0,0.503,0.442
51,0.0,0.503,0.442
52,0.0,0.503,0.442
53,0.0,0.503,0.442
54,0.0,0.503,0.442
55,0.0,0.503,0.442
56,0.0,0.504,0.445
57,0.0,0.504,0.445
58,0.04,0.504,0.456
59,0.04,0.504,0.456
60,0.04,0.505,0.476
61,0.04,0.505,0.476
62,0.08,0.508,0.51
63,0.08,0.508,0.51
64,0.08,0.512,0.542
65,0.08,0.512,0.542
66,0.08,0.512,0.542
67,0.08,0.512,0.542
68,0.121,0.517,0.57
69,0.121,0.517,0.57
70,0.121,0.521,0.59
71,0.121,0.521,0.59
72,0.162,0.524,0.598
73,0.162,0.524,0.598
74,0.162,0.527,0.604
75,0.162,0.527,0.604
76,0.203,0.527,0.604
77,0.203,0.527,0.604
78,0.203,0.526,0.602
79,0.203,0.526,0.602
80,0.203,0.527,0.616
81,0.203,0.527,0.616
82,0.243,0.528,0.627
83,0.243,0.528,0.627
84,0.243,0.528,0.632
85,0.243,0.528,0.632
86,0.284,0.528,0.632
87,0.284,0.528,0.632
88,0.284,0.527,0.636
89,0.284,0.527,0.636
90,0.284,0.526,0.636
91,0.284,0.526,0.636
92,0.324,0.525,0.636
93,0.324,0.525,0.636
94,0.324,0.523,0.635
95,0.324,0.523,0.635
96,0.364,0.522,0.633
97,0.364,0.522,0.633
98,0.364,0.522,0.633
99,0.364,0.522,0.633
100,0.364,0.52,0.629
101,0.364,0.52,0.629
102,0.405,0.518,0.626
103,0.405,0.518,0.626
104,0.405,0.516,0.62
105,0.405,0.516,0.62
106,0.444,0.516,0.62
107,0.444,0.516,0.62
108,0.444,0.511,0.61
109,0.444,0.511,0.61
110,0.484,0.506,0.5920000000000001
111,0.484,0.506,0.5920000000000001
112,0.484,0.501,0.563
113,0.484,0.501,0.563
114,0.484,0.5,0.551
115,0.484,0.5,0.551
116,0.524,0.5,0.551
117,0.524,0.5,0.551
118,0.524,0.495,0.521
119,0.564,0.491,0.493
120,0.564,0.491,0.493
121,0.524,0.495,0.521
122,0.564,0.487,0.47
123,0.564,0.487,0.47
124,0.564,0.483,0.453
125,0.564,0.483,0.453
126,0.605,0.483,0.453
127,0.605,0.483,0.453
128,0.605,0.48,0.443
129,0.605,0.48,0.443
130,0.6459999999999999,0.474,0.444
131,0.6459999999999999,0.474,0.444
132,0.6459999999999999,0.466,0.445
133,0.6459999999999999,0.466,0.445
134,0.687,0.452,0.454
135,0.687,0.452,0.454
136,0.687,0.434,0.466
137,0.687,0.434,0.466
138,0.687,0.434,0.466
139,0.687,0.434,0.466
140,0.727,0.417,0.479
141,0.727,0.417,0.479
142,0.727,0.402,0.489
143,0.727,0.402,0.489
144,0.767,0.389,0.4970000000000001
145,0.767,0.389,0.4970000000000001
146,0.767,0.389,0.4970000000000001
147,0.767,0.389,0.4970000000000001
148,0.767,0.379,0.499
149,0.767,0.379,0.499
150,0.807,0.3720000000000001,0.499
151,0.807,0.3720000000000001,0.499
152,0.807,0.369,0.4970000000000001
153,0.807,0.369,0.4970000000000001
154,0.848,0.366,0.495
155,0.848,0.366,0.495
156,0.848,0.366,0.495
157,0.848,0.366,0.495
158,0.848,0.37,0.493
159,0.848,0.37,0.493
160,0.889,0.369,0.49
161,0.889,0.369,0.49
162,0.889,0.368,0.489
163,0.889,0.368,0.489
164,0.929,0.368,0.488
165,0.929,0.368,0.488
166,0.929,0.368,0.488
167,0.929,0.368,0.488
168,0.97,0.369,0.488
169,0.97,0.369,0.488
170,0.97,0.369,0.488
171,0.97,0.369,0.488
172,0.97,0.369,0.488
173,0.97,0.369,0.488
174,1.011,0.369,0.488
175,1.011,0.369,0.488
176,1.011,0.368,0.488
177,1.011,0.368,0.488
178,1.051,0.368,0.488
179,1.051,0.368,0.488
180,1.051,0.3670000000000001,0.487
181,1.051,0.3670000000000001,0.487
182,1.051,0.366,0.487
183,1.051,0.366,0.487
184,1.091,0.366,0.487
