,time,2dmu,2dmv
0,0.0,0.5,0.502
1,0.0,0.5,0.502
2,0.0,0.5,0.502
3,0.0,0.5,0.502
4,0.0,0.5,0.502
5,0.0,0.5,0.502
6,0.0,0.5,0.503
7,0.0,0.5,0.503
8,0.0,0.499,0.504
9,0.0,0.499,0.504
10,0.0,0.499,0.504
11,0.0,0.499,0.504
12,0.0,0.499,0.505
13,0.0,0.499,0.505
14,0.0,0.499,0.505
15,0.0,0.499,0.505
16,0.0,0.499,0.507
17,0.0,0.499,0.507
18,0.0,0.499,0.507
19,0.0,0.499,0.507
20,0.0,0.498,0.509
21,0.0,0.498,0.509
22,0.0,0.498,0.509
23,0.0,0.498,0.509
24,0.0,0.4970000000000001,0.511
25,0.0,0.4970000000000001,0.511
26,0.0,0.4970000000000001,0.511
27,0.0,0.4970000000000001,0.511
28,0.0,0.4970000000000001,0.511
29,0.0,0.4970000000000001,0.511
30,0.0,0.4970000000000001,0.511
31,0.0,0.4970000000000001,0.511
32,0.0,0.496,0.512
33,0.0,0.496,0.512
34,0.0,0.496,0.512
35,0.0,0.496,0.512
36,0.0,0.496,0.513
37,0.0,0.496,0.513
38,0.0,0.496,0.513
39,0.0,0.496,0.513
40,0.0,0.4970000000000001,0.514
41,0.0,0.4970000000000001,0.514
42,0.0,0.4970000000000001,0.514
43,0.0,0.4970000000000001,0.514
44,0.0,0.4970000000000001,0.514
45,0.0,0.4970000000000001,0.514
46,0.0,0.4970000000000001,0.514
47,0.0,0.4970000000000001,0.514
48,0.0,0.4970000000000001,0.515
49,0.0,0.4970000000000001,0.515
50,0.0,0.4970000000000001,0.515
51,0.0,0.4970000000000001,0.515
52,0.04,0.4970000000000001,0.515
53,0.04,0.4970000000000001,0.515
54,0.04,0.4970000000000001,0.515
55,0.04,0.4970000000000001,0.515
56,0.08,0.4970000000000001,0.516
57,0.08,0.4970000000000001,0.516
58,0.08,0.4970000000000001,0.516
59,0.08,0.4970000000000001,0.516
60,0.121,0.4970000000000001,0.517
61,0.121,0.4970000000000001,0.517
62,0.121,0.4970000000000001,0.518
63,0.121,0.4970000000000001,0.518
64,0.121,0.4970000000000001,0.518
65,0.121,0.4970000000000001,0.518
66,0.162,0.4970000000000001,0.519
67,0.162,0.4970000000000001,0.519
68,0.162,0.4970000000000001,0.52
69,0.162,0.4970000000000001,0.52
70,0.203,0.4970000000000001,0.522
71,0.203,0.4970000000000001,0.522
72,0.203,0.4970000000000001,0.522
73,0.203,0.4970000000000001,0.522
74,0.203,0.4970000000000001,0.522
75,0.203,0.4970000000000001,0.522
76,0.244,0.4970000000000001,0.523
77,0.244,0.4970000000000001,0.523
78,0.244,0.496,0.523
79,0.244,0.496,0.523
80,0.284,0.496,0.524
81,0.284,0.496,0.524
82,0.284,0.496,0.524
83,0.284,0.496,0.524
84,0.324,0.496,0.524
85,0.324,0.496,0.524
86,0.324,0.496,0.525
87,0.324,0.496,0.525
88,0.364,0.496,0.525
89,0.364,0.496,0.525
90,0.364,0.496,0.526
91,0.364,0.496,0.526
92,0.404,0.496,0.526
93,0.404,0.496,0.526
94,0.404,0.496,0.526
95,0.404,0.496,0.526
96,0.404,0.495,0.526
97,0.404,0.495,0.526
98,0.444,0.495,0.527
99,0.444,0.495,0.527
100,0.444,0.495,0.527
101,0.444,0.495,0.527
102,0.484,0.494,0.526
103,0.484,0.494,0.526
104,0.484,0.494,0.527
105,0.484,0.494,0.527
106,0.524,0.493,0.527
107,0.524,0.493,0.527
108,0.524,0.493,0.526
109,0.524,0.493,0.526
110,0.524,0.493,0.526
111,0.524,0.493,0.526
112,0.564,0.4920000000000001,0.526
113,0.564,0.4920000000000001,0.526
114,0.564,0.491,0.526
115,0.564,0.491,0.526
116,0.604,0.491,0.527
117,0.604,0.491,0.527
118,0.644,0.489,0.527
119,0.644,0.489,0.527
120,0.684,0.488,0.527
121,0.684,0.488,0.527
122,0.684,0.487,0.528
123,0.684,0.487,0.528
124,0.725,0.486,0.528
125,0.725,0.486,0.528
126,0.725,0.486,0.528
127,0.725,0.486,0.528
128,0.765,0.485,0.528
129,0.765,0.485,0.528
130,0.765,0.485,0.528
131,0.765,0.485,0.528
132,0.805,0.485,0.528
133,0.805,0.485,0.528
134,0.805,0.484,0.529
135,0.805,0.484,0.529
136,0.805,0.484,0.53
137,0.805,0.484,0.53
138,0.846,0.483,0.53
139,0.846,0.483,0.53
140,0.846,0.483,0.532
141,0.846,0.483,0.532
142,0.8859999999999999,0.482,0.5329999999999999
143,0.8859999999999999,0.482,0.5329999999999999
144,0.8859999999999999,0.482,0.5329999999999999
145,0.8859999999999999,0.482,0.5329999999999999
146,0.926,0.482,0.535
147,0.926,0.482,0.535
148,0.926,0.482,0.5379999999999999
149,0.926,0.482,0.5379999999999999
150,0.966,0.481,0.544
151,0.966,0.481,0.544
152,1.006,0.481,0.547
153,1.006,0.481,0.547
154,1.006,0.481,0.551
155,1.006,0.481,0.551
156,1.006,0.481,0.555
157,1.006,0.481,0.555
158,1.047,0.481,0.56
159,1.047,0.481,0.56
160,1.047,0.481,0.564
161,1.047,0.481,0.564
162,1.087,0.481,0.564
163,1.087,0.481,0.564
164,1.087,0.481,0.568
165,1.087,0.481,0.568
166,1.087,0.481,0.568
167,1.087,0.481,0.568
168,1.127,0.481,0.5720000000000001
169,1.127,0.481,0.5720000000000001
170,1.166,0.481,0.58
171,1.166,0.481,0.58
172,1.207,0.481,0.584
173,1.207,0.481,0.584
174,1.207,0.481,0.591
175,1.207,0.481,0.591
176,1.247,0.481,0.591
177,1.247,0.481,0.591
178,1.289,0.481,0.594
179,1.289,0.481,0.594
180,1.289,0.482,0.6
181,1.289,0.482,0.6
182,1.289,0.482,0.6
183,1.289,0.482,0.6
184,1.329,0.482,0.605
185,1.329,0.482,0.605
186,1.37,0.482,0.607
187,1.37,0.482,0.607
188,1.37,0.482,0.608
189,1.37,0.482,0.608
190,1.37,0.482,0.608
191,1.37,0.482,0.608
192,1.41,0.482,0.61
193,1.41,0.482,0.61
194,1.41,0.482,0.612
195,1.41,0.482,0.612
196,1.45,0.482,0.613
197,1.45,0.482,0.613
198,1.491,0.482,0.614
199,1.491,0.482,0.614
200,1.491,0.481,0.614
201,1.491,0.481,0.614
202,1.491,0.481,0.615
203,1.491,0.481,0.615
204,1.531,0.481,0.615
205,1.531,0.481,0.615
206,1.531,0.481,0.616
207,1.531,0.481,0.616
208,1.5719999999999998,0.481,0.616
209,1.5719999999999998,0.481,0.616
210,1.5719999999999998,0.481,0.616
211,1.5719999999999998,0.481,0.616
212,1.612,0.481,0.617
213,1.612,0.481,0.617
214,1.612,0.48,0.618
215,1.612,0.48,0.618
216,1.652,0.48,0.618
217,1.652,0.48,0.618
218,1.693,0.48,0.618
219,1.693,0.48,0.618
220,1.693,0.48,0.618
221,1.693,0.48,0.618
222,1.693,0.48,0.618
223,1.693,0.48,0.618
224,1.732,0.48,0.619
225,1.732,0.48,0.619
226,1.7719999999999998,0.48,0.619
227,1.7719999999999998,0.48,0.619
228,1.7719999999999998,0.48,0.619
229,1.7719999999999998,0.48,0.619
230,1.813,0.48,0.618
231,1.813,0.48,0.618
232,1.813,0.48,0.618
233,1.813,0.48,0.618
234,1.853,0.48,0.616
235,1.853,0.48,0.616
236,1.853,0.482,0.614
237,1.853,0.482,0.614
238,1.894,0.485,0.61
239,1.894,0.485,0.61
240,1.935,0.485,0.61
241,1.935,0.485,0.61
242,1.935,0.487,0.607
243,1.935,0.487,0.607
244,1.935,0.491,0.604
245,1.935,0.491,0.604
246,1.977,0.496,0.601
247,1.977,0.496,0.601
