,time,2dmu,2dmv
0,0.0,0.5,0.488
1,0.0,0.5,0.488
2,0.0,0.501,0.488
3,0.0,0.501,0.488
4,0.0,0.501,0.488
5,0.0,0.501,0.488
6,0.0,0.501,0.488
7,0.0,0.501,0.488
8,0.0,0.501,0.489
9,0.0,0.501,0.489
10,0.0,0.502,0.489
11,0.0,0.502,0.489
12,0.0,0.502,0.489
13,0.0,0.502,0.489
14,0.0,0.502,0.49
15,0.0,0.502,0.49
16,0.0,0.503,0.491
17,0.0,0.503,0.491
18,0.0,0.503,0.491
19,0.0,0.503,0.491
20,0.0,0.503,0.491
21,0.0,0.503,0.491
22,0.0,0.503,0.491
23,0.0,0.503,0.491
24,0.0,0.503,0.491
25,0.0,0.503,0.491
26,0.0,0.503,0.493
27,0.0,0.503,0.493
28,0.0,0.503,0.493
29,0.0,0.503,0.493
30,0.0,0.503,0.493
31,0.0,0.503,0.493
32,0.0,0.503,0.493
33,0.0,0.503,0.493
34,0.0,0.503,0.494
35,0.0,0.503,0.494
36,0.0,0.503,0.494
37,0.0,0.503,0.494
38,0.0,0.503,0.494
39,0.0,0.503,0.494
40,0.0,0.503,0.494
41,0.0,0.503,0.494
42,0.0,0.503,0.494
43,0.0,0.503,0.494
44,0.0,0.503,0.494
45,0.0,0.503,0.494
46,0.04,0.503,0.493
47,0.04,0.503,0.493
48,0.04,0.503,0.493
49,0.04,0.503,0.493
50,0.081,0.503,0.493
51,0.081,0.503,0.493
52,0.081,0.503,0.491
53,0.081,0.503,0.491
54,0.121,0.503,0.49
55,0.121,0.503,0.49
56,0.121,0.503,0.488
57,0.121,0.503,0.488
58,0.121,0.503,0.488
59,0.121,0.503,0.488
60,0.162,0.503,0.486
61,0.162,0.503,0.486
62,0.162,0.503,0.485
63,0.162,0.503,0.485
64,0.203,0.503,0.483
65,0.203,0.503,0.483
66,0.203,0.503,0.483
67,0.203,0.503,0.483
68,0.203,0.503,0.483
69,0.203,0.503,0.483
70,0.244,0.503,0.483
71,0.244,0.503,0.483
72,0.244,0.503,0.482
73,0.244,0.503,0.482
74,0.28300000000000003,0.503,0.482
75,0.28300000000000003,0.503,0.482
76,0.28300000000000003,0.503,0.481
77,0.28300000000000003,0.503,0.481
78,0.28300000000000003,0.503,0.481
79,0.28300000000000003,0.503,0.481
80,0.32299999999999995,0.503,0.481
81,0.32299999999999995,0.503,0.481
82,0.32299999999999995,0.503,0.48
83,0.32299999999999995,0.503,0.48
84,0.363,0.503,0.48
85,0.363,0.503,0.48
86,0.363,0.502,0.479
87,0.363,0.502,0.479
88,0.404,0.501,0.477
89,0.404,0.501,0.477
90,0.404,0.501,0.477
91,0.404,0.501,0.477
