,time,2dmu,2dmv
0,0.0,0.498,0.447
1,0.0,0.498,0.447
2,0.0,0.498,0.447
3,0.0,0.498,0.447
4,0.0,0.498,0.447
5,0.0,0.498,0.447
6,0.0,0.498,0.447
7,0.0,0.499,0.447
8,0.0,0.499,0.447
9,0.0,0.498,0.447
10,0.0,0.499,0.447
11,0.0,0.499,0.447
12,0.0,0.499,0.447
13,0.0,0.499,0.447
14,0.0,0.499,0.447
15,0.0,0.499,0.447
16,0.0,0.499,0.447
17,0.0,0.499,0.447
18,0.0,0.499,0.447
19,0.0,0.499,0.447
20,0.0,0.499,0.447
21,0.0,0.499,0.447
22,0.0,0.499,0.447
23,0.0,0.499,0.447
24,0.0,0.499,0.447
25,0.0,0.499,0.447
26,0.0,0.499,0.447
27,0.0,0.499,0.447
28,0.0,0.499,0.446
29,0.0,0.499,0.446
30,0.0,0.499,0.446
31,0.0,0.499,0.446
32,0.0,0.499,0.446
33,0.0,0.499,0.446
34,0.0,0.499,0.446
35,0.0,0.499,0.446
36,0.0,0.499,0.446
37,0.0,0.499,0.446
38,0.0,0.499,0.446
39,0.0,0.499,0.446
40,0.0,0.499,0.446
41,0.0,0.499,0.446
42,0.0,0.499,0.446
43,0.0,0.499,0.446
44,0.0,0.499,0.446
45,0.0,0.499,0.446
46,0.0,0.499,0.446
47,0.0,0.499,0.446
48,0.0,0.499,0.446
49,0.0,0.499,0.446
50,0.0,0.499,0.446
51,0.0,0.499,0.446
52,0.0,0.499,0.446
53,0.0,0.499,0.446
54,0.0,0.499,0.45
55,0.0,0.499,0.45
56,0.0,0.499,0.45
57,0.0,0.499,0.45
58,0.0,0.501,0.468
59,0.0,0.501,0.468
60,0.0,0.501,0.478
61,0.0,0.501,0.478
62,0.0,0.502,0.485
63,0.0,0.502,0.485
64,0.0,0.502,0.485
65,0.0,0.503,0.49
66,0.0,0.502,0.485
67,0.0,0.503,0.49
68,0.0,0.503,0.491
69,0.0,0.503,0.491
70,0.0,0.504,0.4920000000000001
71,0.0,0.504,0.4920000000000001
72,0.0,0.504,0.4920000000000001
73,0.0,0.504,0.4920000000000001
74,0.0,0.503,0.489
75,0.0,0.503,0.489
76,0.0,0.504,0.485
77,0.0,0.504,0.485
78,0.016,0.504,0.485
79,0.016,0.504,0.485
80,0.016,0.504,0.48
81,0.016,0.504,0.48
82,0.057,0.504,0.472
83,0.057,0.504,0.472
84,0.057,0.503,0.464
85,0.057,0.503,0.464
86,0.097,0.503,0.455
87,0.097,0.503,0.455
88,0.097,0.503,0.447
89,0.097,0.503,0.447
90,0.097,0.503,0.447
91,0.097,0.503,0.447
92,0.136,0.503,0.446
93,0.136,0.503,0.446
94,0.136,0.502,0.439
95,0.136,0.502,0.439
96,0.17600000000000002,0.501,0.433
97,0.17600000000000002,0.501,0.433
98,0.17600000000000002,0.5,0.428
99,0.17600000000000002,0.5,0.428
100,0.17600000000000002,0.5,0.428
101,0.17600000000000002,0.5,0.428
102,0.218,0.498,0.424
103,0.218,0.498,0.424
104,0.218,0.4970000000000001,0.42
105,0.218,0.4970000000000001,0.42
106,0.258,0.495,0.417
107,0.258,0.495,0.417
108,0.258,0.493,0.416
109,0.258,0.493,0.416
110,0.258,0.4920000000000001,0.417
111,0.258,0.4920000000000001,0.417
112,0.299,0.4920000000000001,0.417
113,0.299,0.4920000000000001,0.417
114,0.299,0.491,0.42
115,0.299,0.491,0.42
116,0.338,0.49,0.426
117,0.338,0.49,0.426
118,0.338,0.489,0.4320000000000001
119,0.338,0.489,0.4320000000000001
120,0.378,0.489,0.4320000000000001
121,0.378,0.489,0.4320000000000001
122,0.378,0.489,0.4370000000000001
123,0.378,0.489,0.4370000000000001
124,0.378,0.489,0.443
125,0.418,0.488,0.448
126,0.378,0.489,0.443
127,0.418,0.488,0.448
128,0.418,0.488,0.448
129,0.418,0.488,0.448
130,0.458,0.488,0.448
131,0.458,0.488,0.448
132,0.458,0.488,0.453
133,0.458,0.488,0.453
134,0.458,0.487,0.456
135,0.458,0.487,0.456
136,0.498,0.487,0.458
137,0.498,0.487,0.458
138,0.498,0.486,0.46
139,0.498,0.486,0.46
140,0.539,0.486,0.459
141,0.539,0.486,0.459
142,0.539,0.486,0.459
143,0.539,0.486,0.459
144,0.579,0.486,0.459
145,0.579,0.486,0.459
146,0.579,0.485,0.458
147,0.579,0.485,0.454
148,0.579,0.485,0.454
149,0.579,0.485,0.458
150,0.62,0.485,0.452
151,0.62,0.485,0.452
152,0.62,0.485,0.448
153,0.62,0.485,0.448
154,0.66,0.485,0.446
155,0.66,0.485,0.446
156,0.66,0.486,0.442
157,0.66,0.486,0.442
158,0.66,0.488,0.439
159,0.66,0.488,0.439
160,0.701,0.489,0.434
161,0.701,0.489,0.434
162,0.701,0.489,0.434
163,0.701,0.489,0.434
164,0.741,0.49,0.434
165,0.741,0.49,0.434
166,0.741,0.4920000000000001,0.429
167,0.741,0.4920000000000001,0.429
168,0.741,0.494,0.4270000000000001
169,0.741,0.494,0.4270000000000001
