,time,2dmu,2dmv
0,0.0,0.501,0.595
1,0.0,0.501,0.595
2,0.0,0.501,0.595
3,0.0,0.501,0.595
4,0.0,0.501,0.595
5,0.0,0.501,0.595
6,0.0,0.501,0.595
7,0.0,0.501,0.595
8,0.0,0.501,0.595
9,0.0,0.501,0.595
10,0.0,0.501,0.595
11,0.0,0.501,0.595
12,0.0,0.501,0.595
13,0.0,0.501,0.595
14,0.0,0.501,0.595
15,0.0,0.501,0.595
16,0.0,0.501,0.595
17,0.0,0.501,0.595
18,0.0,0.501,0.595
19,0.0,0.501,0.595
20,0.0,0.501,0.595
21,0.0,0.501,0.595
22,0.0,0.501,0.595
23,0.0,0.501,0.595
24,0.0,0.502,0.595
25,0.0,0.502,0.595
26,0.0,0.502,0.595
27,0.0,0.502,0.595
28,0.0,0.502,0.595
29,0.0,0.502,0.595
30,0.0,0.502,0.595
31,0.0,0.502,0.595
32,0.0,0.502,0.595
33,0.0,0.502,0.595
34,0.0,0.502,0.595
35,0.0,0.502,0.595
36,0.0,0.501,0.595
37,0.0,0.501,0.595
38,0.0,0.501,0.595
39,0.0,0.501,0.595
40,0.0,0.502,0.595
41,0.0,0.502,0.595
42,0.0,0.502,0.595
43,0.0,0.502,0.595
44,0.0,0.502,0.594
45,0.0,0.502,0.594
46,0.0,0.502,0.594
47,0.0,0.502,0.594
48,0.0,0.502,0.594
49,0.0,0.502,0.594
50,0.0,0.501,0.594
51,0.0,0.501,0.594
52,0.04,0.501,0.594
53,0.04,0.501,0.594
54,0.04,0.501,0.594
55,0.04,0.501,0.594
56,0.08199999999999999,0.501,0.594
57,0.08199999999999999,0.501,0.594
58,0.08199999999999999,0.501,0.594
59,0.08199999999999999,0.501,0.594
60,0.08199999999999999,0.501,0.594
61,0.08199999999999999,0.501,0.594
62,0.122,0.501,0.594
63,0.122,0.501,0.594
64,0.122,0.501,0.594
65,0.122,0.501,0.594
66,0.163,0.501,0.594
67,0.163,0.501,0.594
68,0.163,0.501,0.594
69,0.163,0.501,0.594
70,0.163,0.501,0.594
71,0.163,0.501,0.594
72,0.203,0.501,0.594
73,0.203,0.501,0.594
74,0.203,0.501,0.595
75,0.203,0.501,0.595
76,0.243,0.501,0.595
77,0.243,0.501,0.595
78,0.243,0.501,0.595
79,0.243,0.501,0.595
80,0.284,0.501,0.595
81,0.284,0.501,0.595
82,0.284,0.501,0.595
83,0.284,0.501,0.595
84,0.284,0.501,0.594
85,0.284,0.501,0.594
86,0.325,0.501,0.594
87,0.325,0.501,0.594
88,0.325,0.501,0.594
89,0.325,0.501,0.594
90,0.365,0.501,0.594
91,0.365,0.501,0.594
92,0.365,0.501,0.594
93,0.365,0.501,0.594
94,0.365,0.501,0.594
95,0.365,0.501,0.594
96,0.406,0.501,0.594
97,0.406,0.501,0.594
98,0.406,0.501,0.594
99,0.406,0.501,0.594
100,0.446,0.501,0.594
101,0.446,0.501,0.594
102,0.446,0.501,0.594
103,0.446,0.501,0.594
104,0.446,0.501,0.594
105,0.446,0.501,0.594
106,0.486,0.501,0.594
107,0.486,0.501,0.594
108,0.486,0.501,0.594
109,0.486,0.501,0.594
110,0.527,0.501,0.594
111,0.527,0.501,0.594
112,0.527,0.501,0.594
113,0.527,0.501,0.594
114,0.527,0.501,0.594
115,0.527,0.501,0.594
116,0.569,0.501,0.593
117,0.569,0.501,0.593
118,0.569,0.501,0.5920000000000001
119,0.569,0.501,0.5920000000000001
120,0.609,0.501,0.589
121,0.609,0.501,0.589
122,0.609,0.501,0.588
123,0.609,0.501,0.588
124,0.649,0.501,0.588
125,0.649,0.501,0.588
126,0.649,0.501,0.584
127,0.649,0.501,0.584
128,0.649,0.501,0.58
129,0.649,0.501,0.58
130,0.69,0.501,0.5770000000000001
131,0.69,0.501,0.5770000000000001
132,0.69,0.501,0.5720000000000001
133,0.69,0.501,0.5720000000000001
134,0.73,0.501,0.568
135,0.73,0.501,0.568
136,0.73,0.501,0.568
137,0.73,0.501,0.568
138,0.73,0.501,0.562
139,0.73,0.501,0.562
140,0.77,0.5,0.5579999999999999
141,0.77,0.5,0.5579999999999999
142,0.77,0.5,0.552
143,0.77,0.5,0.552
144,0.8109999999999999,0.5,0.552
145,0.8109999999999999,0.5,0.552
146,0.8109999999999999,0.499,0.547
147,0.8109999999999999,0.499,0.547
148,0.851,0.498,0.542
149,0.851,0.498,0.542
150,0.851,0.4970000000000001,0.5379999999999999
151,0.851,0.4970000000000001,0.5379999999999999
152,0.851,0.4970000000000001,0.539
153,0.851,0.4970000000000001,0.539
154,0.892,0.4970000000000001,0.537
155,0.892,0.4970000000000001,0.537
156,0.892,0.4970000000000001,0.537
157,0.892,0.4970000000000001,0.537
158,0.933,0.496,0.535
159,0.933,0.496,0.535
160,0.933,0.495,0.5329999999999999
161,0.933,0.495,0.5329999999999999
162,0.933,0.494,0.531
163,0.933,0.494,0.531
164,0.975,0.493,0.529
165,0.975,0.493,0.529
166,0.975,0.4920000000000001,0.527
167,0.975,0.4920000000000001,0.527
168,1.015,0.4920000000000001,0.527
169,1.015,0.4920000000000001,0.527
170,1.015,0.491,0.525
171,1.015,0.491,0.525
172,1.015,0.49,0.522
173,1.015,0.49,0.522
174,1.055,0.489,0.52
175,1.055,0.489,0.52
176,1.055,0.488,0.518
177,1.055,0.488,0.518
178,1.095,0.488,0.518
179,1.095,0.488,0.518
180,1.095,0.488,0.518
181,1.095,0.488,0.518
182,1.095,0.487,0.516
183,1.095,0.487,0.516
184,1.136,0.486,0.514
185,1.136,0.486,0.514
186,1.136,0.485,0.512
187,1.136,0.485,0.512
188,1.176,0.485,0.512
189,1.176,0.485,0.512
190,1.176,0.483,0.511
191,1.176,0.483,0.511
192,1.215,0.482,0.51
193,1.215,0.482,0.51
194,1.215,0.481,0.509
195,1.215,0.481,0.509
196,1.215,0.48,0.509
197,1.215,0.48,0.509
198,1.255,0.479,0.508
199,1.255,0.479,0.508
200,1.255,0.479,0.508
201,1.255,0.479,0.508
202,1.296,0.477,0.508
203,1.296,0.477,0.508
204,1.296,0.476,0.508
205,1.296,0.476,0.508
206,1.296,0.474,0.508
207,1.296,0.474,0.508
208,1.338,0.473,0.507
209,1.338,0.473,0.507
210,1.338,0.473,0.508
211,1.338,0.473,0.508
212,1.378,0.473,0.508
213,1.378,0.473,0.508
214,1.378,0.471,0.508
215,1.378,0.471,0.508
216,1.378,0.469,0.508
217,1.378,0.469,0.508
218,1.419,0.467,0.508
219,1.419,0.467,0.508
220,1.419,0.467,0.508
221,1.419,0.467,0.508
222,1.459,0.465,0.508
223,1.459,0.465,0.508
224,1.459,0.462,0.508
225,1.459,0.462,0.508
226,1.5,0.459,0.508
227,1.5,0.459,0.508
228,1.5,0.459,0.508
229,1.5,0.459,0.508
230,1.5,0.457,0.508
231,1.5,0.457,0.508
232,1.54,0.454,0.508
233,1.54,0.454,0.508
234,1.54,0.451,0.509
235,1.54,0.451,0.509
236,1.58,0.448,0.509
237,1.58,0.448,0.509
238,1.58,0.444,0.509
239,1.58,0.444,0.509
240,1.58,0.444,0.509
241,1.58,0.444,0.509
242,1.62,0.44,0.51
243,1.62,0.44,0.51
244,1.62,0.4370000000000001,0.51
245,1.62,0.4370000000000001,0.51
246,1.661,0.433,0.51
247,1.661,0.433,0.51
248,1.661,0.429,0.51
249,1.661,0.429,0.51
250,1.7009999999999998,0.429,0.51
251,1.7009999999999998,0.429,0.51
252,1.7009999999999998,0.429,0.51
253,1.7009999999999998,0.429,0.51
254,1.7009999999999998,0.425,0.51
255,1.7009999999999998,0.425,0.51
256,1.741,0.422,0.51
257,1.741,0.422,0.51
258,1.741,0.419,0.51
259,1.741,0.419,0.51
260,1.7819999999999998,0.419,0.51
