,time,2dmu,2dmv
0,0.0,0.513,0.464
1,0.0,0.513,0.464
2,0.0,0.513,0.464
3,0.0,0.513,0.464
4,0.0,0.513,0.464
5,0.0,0.513,0.464
6,0.0,0.513,0.463
7,0.0,0.513,0.463
8,0.0,0.513,0.463
9,0.0,0.513,0.463
10,0.0,0.513,0.463
11,0.0,0.513,0.463
12,0.0,0.513,0.463
13,0.0,0.513,0.463
14,0.0,0.514,0.463
15,0.0,0.514,0.463
16,0.0,0.514,0.463
17,0.0,0.514,0.463
18,0.0,0.514,0.463
19,0.0,0.514,0.463
20,0.0,0.514,0.463
21,0.0,0.514,0.463
22,0.0,0.514,0.463
23,0.0,0.514,0.463
24,0.0,0.514,0.463
25,0.0,0.514,0.463
26,0.0,0.514,0.463
27,0.0,0.514,0.463
28,0.0,0.514,0.463
29,0.0,0.514,0.463
30,0.0,0.514,0.462
31,0.0,0.514,0.462
32,0.0,0.514,0.462
33,0.0,0.514,0.462
34,0.0,0.514,0.462
35,0.0,0.514,0.462
36,0.0,0.514,0.462
37,0.0,0.514,0.462
38,0.0,0.514,0.462
39,0.0,0.514,0.462
40,0.013,0.514,0.462
41,0.013,0.514,0.462
42,0.013,0.514,0.462
43,0.013,0.514,0.462
44,0.052000000000000005,0.514,0.463
45,0.052000000000000005,0.514,0.463
46,0.052000000000000005,0.514,0.463
47,0.052000000000000005,0.514,0.463
48,0.092,0.514,0.463
49,0.092,0.514,0.463
50,0.092,0.514,0.463
51,0.092,0.514,0.463
52,0.092,0.514,0.463
53,0.092,0.514,0.463
54,0.132,0.514,0.463
55,0.132,0.514,0.463
56,0.132,0.514,0.463
57,0.132,0.514,0.463
58,0.172,0.514,0.463
59,0.172,0.514,0.463
60,0.172,0.514,0.464
61,0.172,0.514,0.464
62,0.172,0.514,0.464
63,0.172,0.514,0.464
64,0.213,0.514,0.464
65,0.213,0.514,0.464
66,0.213,0.514,0.464
67,0.213,0.514,0.464
68,0.253,0.514,0.464
69,0.253,0.514,0.464
70,0.253,0.514,0.465
71,0.253,0.514,0.465
72,0.293,0.514,0.465
73,0.293,0.514,0.465
74,0.293,0.514,0.465
75,0.293,0.514,0.465
76,0.293,0.514,0.465
77,0.293,0.514,0.465
78,0.334,0.514,0.465
79,0.334,0.514,0.465
80,0.334,0.514,0.465
81,0.334,0.514,0.465
82,0.375,0.514,0.466
83,0.375,0.514,0.466
84,0.375,0.514,0.466
85,0.375,0.514,0.466
86,0.375,0.514,0.466
87,0.375,0.514,0.466
88,0.415,0.514,0.466
89,0.415,0.514,0.466
90,0.415,0.514,0.466
91,0.415,0.514,0.466
92,0.455,0.514,0.466
93,0.455,0.514,0.466
94,0.455,0.514,0.466
95,0.455,0.514,0.466
96,0.455,0.514,0.466
97,0.455,0.514,0.466
98,0.4970000000000001,0.514,0.467
99,0.4970000000000001,0.514,0.467
100,0.4970000000000001,0.514,0.467
101,0.4970000000000001,0.514,0.467
102,0.5379999999999999,0.514,0.467
103,0.5379999999999999,0.514,0.467
104,0.5379999999999999,0.514,0.467
105,0.5379999999999999,0.514,0.467
106,0.579,0.514,0.467
107,0.579,0.514,0.467
108,0.579,0.514,0.468
109,0.579,0.514,0.468
110,0.579,0.514,0.468
111,0.579,0.514,0.468
112,0.619,0.514,0.468
113,0.619,0.514,0.468
114,0.619,0.514,0.468
115,0.619,0.514,0.468
116,0.659,0.515,0.468
117,0.659,0.515,0.468
118,0.659,0.515,0.468
119,0.659,0.515,0.468
120,0.659,0.515,0.468
121,0.659,0.515,0.468
122,0.6990000000000001,0.515,0.469
123,0.6990000000000001,0.515,0.469
124,0.6990000000000001,0.515,0.469
125,0.6990000000000001,0.515,0.469
126,0.741,0.515,0.469
127,0.741,0.515,0.469
128,0.741,0.515,0.469
129,0.741,0.515,0.469
130,0.741,0.515,0.469
131,0.741,0.515,0.469
132,0.78,0.515,0.469
133,0.78,0.515,0.469
134,0.78,0.515,0.469
135,0.78,0.515,0.469
136,0.82,0.515,0.47
137,0.82,0.515,0.47
138,0.82,0.516,0.47
139,0.82,0.516,0.47
140,0.861,0.516,0.47
141,0.861,0.516,0.47
142,0.861,0.516,0.47
143,0.861,0.516,0.47
144,0.861,0.516,0.47
145,0.861,0.516,0.47
146,0.903,0.516,0.47
147,0.903,0.516,0.47
148,0.903,0.516,0.47
149,0.903,0.516,0.47
150,0.942,0.516,0.47
151,0.942,0.516,0.47
152,0.942,0.516,0.47
153,0.942,0.516,0.47
154,0.942,0.516,0.47
155,0.942,0.516,0.47
156,0.984,0.516,0.47
157,0.984,0.516,0.47
158,0.984,0.516,0.47
159,0.984,0.516,0.47
160,1.025,0.516,0.47
161,1.025,0.516,0.47
162,1.025,0.517,0.47
163,1.025,0.517,0.47
164,1.025,0.517,0.47
165,1.025,0.517,0.47
166,1.0659999999999998,0.517,0.47
167,1.0659999999999998,0.517,0.47
168,1.0659999999999998,0.517,0.47
169,1.0659999999999998,0.517,0.47
170,1.106,0.517,0.47
171,1.106,0.517,0.47
172,1.106,0.518,0.47
173,1.106,0.518,0.47
174,1.106,0.518,0.47
175,1.106,0.518,0.47
176,1.146,0.518,0.47
177,1.146,0.518,0.47
178,1.146,0.518,0.47
179,1.146,0.518,0.47
180,1.187,0.518,0.47
181,1.187,0.518,0.47
182,1.187,0.518,0.47
183,1.187,0.518,0.47
184,1.187,0.518,0.47
185,1.187,0.518,0.47
186,1.229,0.518,0.47
187,1.229,0.518,0.47
188,1.229,0.518,0.47
189,1.229,0.518,0.47
190,1.269,0.518,0.47
191,1.269,0.518,0.47
192,1.269,0.518,0.469
193,1.269,0.518,0.469
194,1.3090000000000002,0.518,0.469
195,1.3090000000000002,0.518,0.469
196,1.3090000000000002,0.518,0.469
197,1.3090000000000002,0.518,0.469
198,1.3090000000000002,0.518,0.469
199,1.3090000000000002,0.518,0.469
200,1.349,0.518,0.469
201,1.349,0.518,0.469
202,1.349,0.518,0.468
203,1.349,0.518,0.468
204,1.389,0.518,0.468
205,1.389,0.518,0.468
206,1.389,0.518,0.468
207,1.389,0.518,0.468
208,1.389,0.518,0.468
209,1.389,0.518,0.468
210,1.43,0.518,0.468
211,1.43,0.518,0.468
212,1.43,0.518,0.468
