,time,2dmu,2dmv
0,0.0,0.501,0.442
1,0.0,0.5,0.444
2,0.0,0.501,0.442
3,0.0,0.5,0.444
4,0.0,0.499,0.446
5,0.0,0.499,0.446
6,0.0,0.499,0.446
7,0.0,0.499,0.446
8,0.0,0.499,0.448
9,0.0,0.499,0.448
10,0.0,0.499,0.448
11,0.0,0.499,0.448
12,0.0,0.4970000000000001,0.45
13,0.0,0.4970000000000001,0.45
14,0.0,0.4970000000000001,0.451
15,0.0,0.4970000000000001,0.451
16,0.0,0.4970000000000001,0.451
17,0.0,0.4970000000000001,0.451
18,0.0,0.4970000000000001,0.451
19,0.0,0.4970000000000001,0.451
20,0.0,0.495,0.452
21,0.0,0.495,0.452
22,0.0,0.495,0.452
23,0.0,0.495,0.452
24,0.0,0.495,0.452
25,0.0,0.495,0.452
26,0.0,0.494,0.452
27,0.0,0.494,0.452
28,0.0,0.494,0.452
29,0.0,0.494,0.452
30,0.0,0.494,0.452
31,0.0,0.494,0.452
32,0.0,0.494,0.452
33,0.0,0.494,0.452
34,0.0,0.493,0.451
35,0.0,0.493,0.451
36,0.0,0.493,0.451
37,0.0,0.493,0.451
38,0.0,0.493,0.451
39,0.0,0.493,0.451
40,0.0,0.493,0.451
41,0.0,0.493,0.451
42,0.0,0.4920000000000001,0.451
43,0.0,0.4920000000000001,0.451
44,0.0,0.4920000000000001,0.451
45,0.0,0.4920000000000001,0.451
46,0.0,0.4920000000000001,0.453
47,0.0,0.4920000000000001,0.453
48,0.0,0.4920000000000001,0.454
49,0.0,0.4920000000000001,0.454
50,0.0,0.491,0.456
51,0.0,0.491,0.456
52,0.0,0.491,0.456
53,0.0,0.491,0.456
54,0.0,0.491,0.458
55,0.0,0.491,0.458
56,0.041,0.49,0.46
57,0.041,0.49,0.46
58,0.041,0.489,0.463
59,0.041,0.489,0.463
60,0.081,0.489,0.464
61,0.081,0.489,0.464
62,0.081,0.488,0.467
63,0.081,0.488,0.467
64,0.081,0.488,0.467
65,0.081,0.488,0.467
66,0.121,0.486,0.469
67,0.121,0.486,0.469
68,0.121,0.485,0.471
69,0.121,0.485,0.471
70,0.161,0.483,0.473
71,0.161,0.483,0.473
72,0.161,0.481,0.476
73,0.161,0.481,0.476
74,0.201,0.481,0.476
75,0.201,0.481,0.476
76,0.201,0.48,0.476
77,0.201,0.48,0.476
78,0.201,0.478,0.479
79,0.201,0.478,0.479
80,0.242,0.475,0.482
81,0.242,0.475,0.482
82,0.282,0.467,0.493
83,0.282,0.467,0.493
84,0.322,0.464,0.499
85,0.322,0.464,0.499
86,0.322,0.458,0.507
87,0.322,0.458,0.507
88,0.362,0.458,0.507
89,0.362,0.458,0.507
90,0.362,0.455,0.509
91,0.362,0.455,0.509
92,0.403,0.452,0.509
93,0.403,0.452,0.509
94,0.444,0.45,0.509
95,0.444,0.45,0.509
96,0.444,0.45,0.509
97,0.444,0.45,0.509
98,0.484,0.45,0.505
99,0.484,0.45,0.505
100,0.484,0.45,0.504
101,0.484,0.45,0.504
102,0.484,0.45,0.503
103,0.484,0.45,0.503
104,0.524,0.45,0.503
105,0.524,0.45,0.503
106,0.524,0.45,0.503
107,0.524,0.45,0.503
108,0.564,0.449,0.503
109,0.564,0.449,0.503
110,0.564,0.448,0.503
111,0.564,0.448,0.503
112,0.564,0.447,0.504
113,0.564,0.447,0.504
114,0.605,0.446,0.505
115,0.605,0.446,0.505
116,0.6459999999999999,0.445,0.505
117,0.6459999999999999,0.445,0.505
118,0.6459999999999999,0.444,0.506
119,0.6459999999999999,0.444,0.506
120,0.6459999999999999,0.443,0.506
121,0.6459999999999999,0.443,0.506
122,0.6859999999999999,0.442,0.507
123,0.6859999999999999,0.442,0.507
124,0.727,0.441,0.51
125,0.727,0.441,0.51
126,0.727,0.439,0.512
127,0.727,0.439,0.512
128,0.767,0.439,0.516
129,0.767,0.439,0.516
130,0.767,0.4370000000000001,0.52
131,0.767,0.4370000000000001,0.52
132,0.767,0.4370000000000001,0.52
133,0.767,0.4370000000000001,0.52
134,0.809,0.438,0.52
135,0.809,0.438,0.52
136,0.809,0.4370000000000001,0.522
137,0.809,0.4370000000000001,0.522
138,0.8490000000000001,0.4370000000000001,0.523
139,0.8490000000000001,0.4370000000000001,0.523
140,0.8490000000000001,0.4370000000000001,0.523
141,0.8490000000000001,0.4370000000000001,0.523
142,0.889,0.4370000000000001,0.522
143,0.889,0.4370000000000001,0.522
144,0.889,0.4370000000000001,0.522
145,0.889,0.4370000000000001,0.522
146,0.93,0.4370000000000001,0.521
147,0.93,0.4370000000000001,0.521
148,0.93,0.4370000000000001,0.52
149,0.93,0.4370000000000001,0.52
150,0.93,0.438,0.519
151,0.93,0.438,0.519
152,0.971,0.439,0.519
153,0.971,0.439,0.519
154,0.971,0.439,0.518
155,0.971,0.439,0.518
156,1.012,0.44,0.518
157,1.012,0.44,0.518
158,1.012,0.44,0.518
159,1.012,0.44,0.518
160,1.012,0.44,0.518
161,1.012,0.44,0.518
162,1.053,0.44,0.518
163,1.053,0.44,0.518
164,1.053,0.44,0.518
165,1.053,0.44,0.518
166,1.093,0.44,0.518
167,1.093,0.44,0.518
168,1.093,0.44,0.518
169,1.093,0.44,0.518
170,1.133,0.44,0.518
171,1.133,0.44,0.518
172,1.133,0.441,0.518
173,1.133,0.441,0.518
174,1.133,0.441,0.518
175,1.133,0.441,0.518
176,1.173,0.441,0.518
177,1.173,0.441,0.518
178,1.173,0.441,0.518
179,1.173,0.441,0.518
180,1.213,0.441,0.518
181,1.213,0.441,0.518
182,1.213,0.441,0.518
183,1.213,0.441,0.518
184,1.213,0.441,0.518
185,1.213,0.441,0.518
186,1.254,0.441,0.518
187,1.254,0.441,0.518
188,1.254,0.441,0.518
189,1.254,0.441,0.518
190,1.294,0.441,0.518
191,1.294,0.441,0.518
192,1.335,0.441,0.518
193,1.335,0.441,0.518
194,1.335,0.441,0.518
195,1.335,0.441,0.518
196,1.335,0.441,0.518
197,1.335,0.441,0.518
198,1.376,0.441,0.518
199,1.376,0.441,0.518
200,1.376,0.441,0.518
201,1.376,0.441,0.518
202,1.4169999999999998,0.441,0.517
203,1.4169999999999998,0.441,0.517
204,1.4169999999999998,0.441,0.517
205,1.4169999999999998,0.441,0.517
206,1.4169999999999998,0.441,0.517
207,1.4169999999999998,0.441,0.517
208,1.457,0.441,0.517
209,1.457,0.441,0.517
210,1.457,0.441,0.517
211,1.457,0.441,0.517
212,1.497,0.441,0.517
213,1.497,0.441,0.517
214,1.497,0.441,0.517
215,1.497,0.441,0.517
216,1.538,0.441,0.517
217,1.538,0.441,0.517
218,1.538,0.441,0.517
219,1.538,0.441,0.517
220,1.579,0.441,0.517
221,1.579,0.441,0.517
222,1.579,0.441,0.518
223,1.579,0.441,0.518
224,1.579,0.441,0.518
225,1.579,0.441,0.518
226,1.62,0.441,0.518
227,1.62,0.441,0.518
228,1.62,0.441,0.518
229,1.62,0.441,0.518
230,1.661,0.441,0.518
231,1.661,0.441,0.518
232,1.661,0.441,0.518
233,1.661,0.441,0.518
234,1.702,0.441,0.518
235,1.702,0.441,0.518
236,1.702,0.441,0.518
237,1.702,0.441,0.518
238,1.702,0.441,0.518
239,1.702,0.441,0.518
240,1.743,0.441,0.518
241,1.743,0.441,0.518
242,1.743,0.441,0.518
243,1.743,0.441,0.518
244,1.783,0.441,0.518
245,1.783,0.441,0.518
246,1.783,0.441,0.518
247,1.783,0.441,0.518
248,1.783,0.442,0.519
249,1.783,0.442,0.519
250,1.823,0.442,0.519
251,1.823,0.442,0.519
252,1.864,0.442,0.519
253,1.864,0.442,0.519
254,1.864,0.442,0.519
255,1.864,0.442,0.519
256,1.864,0.442,0.519
257,1.864,0.442,0.519
258,1.905,0.442,0.519
259,1.905,0.442,0.519
260,1.905,0.442,0.519
261,1.905,0.442,0.519
262,1.945,0.442,0.519
263,1.945,0.442,0.519
264,1.945,0.442,0.519
265,1.945,0.442,0.519
266,1.986,0.442,0.519
267,1.986,0.442,0.519
268,1.986,0.442,0.519
269,1.986,0.442,0.519
270,1.986,0.442,0.519
271,1.986,0.442,0.519
272,2.026,0.442,0.519
273,2.026,0.442,0.519
274,2.066,0.442,0.519
275,2.066,0.442,0.519
276,2.066,0.442,0.519
277,2.066,0.442,0.519
278,2.066,0.442,0.52
279,2.066,0.442,0.52
280,2.106,0.442,0.52
281,2.106,0.442,0.52
282,2.106,0.442,0.52
283,2.106,0.442,0.52
284,2.147,0.442,0.52
285,2.147,0.442,0.52
286,2.147,0.441,0.52
287,2.147,0.441,0.52
288,2.187,0.441,0.521
289,2.187,0.441,0.521
290,2.187,0.441,0.521
291,2.187,0.441,0.521
292,2.227,0.441,0.521
293,2.227,0.441,0.521
294,2.227,0.441,0.522
295,2.227,0.441,0.522
296,2.267,0.441,0.522
297,2.267,0.441,0.522
298,2.267,0.441,0.522
299,2.267,0.441,0.522
300,2.267,0.44,0.524
301,2.267,0.44,0.524
302,2.3080000000000003,0.44,0.527
303,2.3080000000000003,0.44,0.527
304,2.3480000000000003,0.438,0.535
305,2.3480000000000003,0.438,0.535
306,2.389,0.4370000000000001,0.542
307,2.389,0.4370000000000001,0.542
308,2.389,0.434,0.556
309,2.389,0.434,0.556
310,2.4290000000000003,0.433,0.563
311,2.4290000000000003,0.433,0.563
312,2.4290000000000003,0.433,0.563
313,2.4290000000000003,0.433,0.563
314,2.469,0.4320000000000001,0.5710000000000001
315,2.469,0.4320000000000001,0.5710000000000001
316,2.469,0.431,0.58
317,2.469,0.431,0.58
318,2.469,0.43,0.5870000000000001
319,2.469,0.43,0.5870000000000001
320,2.51,0.429,0.59
321,2.51,0.429,0.59
322,2.51,0.429,0.588
323,2.51,0.429,0.588
324,2.55,0.429,0.588
325,2.55,0.429,0.588
326,2.55,0.429,0.591
327,2.55,0.429,0.591
328,2.55,0.429,0.593
329,2.55,0.429,0.593
330,2.59,0.429,0.595
331,2.59,0.429,0.595
332,2.59,0.43,0.596
333,2.59,0.43,0.596
334,2.63,0.43,0.596
335,2.63,0.43,0.596
336,2.63,0.43,0.596
337,2.63,0.43,0.596
338,2.63,0.43,0.596
339,2.63,0.43,0.596
340,2.669,0.43,0.596
341,2.669,0.43,0.596
342,2.669,0.43,0.597
343,2.669,0.43,0.597
344,2.712,0.43,0.597
345,2.712,0.43,0.597
346,2.712,0.43,0.597
347,2.712,0.43,0.597
348,2.752,0.43,0.598
349,2.752,0.43,0.598
350,2.752,0.43,0.599
351,2.752,0.43,0.599
352,2.793,0.43,0.599
353,2.793,0.43,0.599
354,2.793,0.43,0.599
355,2.793,0.43,0.599
356,2.834,0.43,0.6
