,time,2dmu,2dmv
0,0.0,0.519,0.475
1,0.0,0.519,0.475
2,0.0,0.519,0.475
3,0.0,0.519,0.475
4,0.0,0.519,0.475
5,0.0,0.519,0.475
6,0.0,0.519,0.474
7,0.0,0.519,0.474
8,0.0,0.519,0.474
9,0.0,0.519,0.474
10,0.0,0.519,0.474
11,0.0,0.519,0.474
12,0.0,0.519,0.474
13,0.0,0.519,0.474
14,0.0,0.521,0.474
15,0.0,0.521,0.474
16,0.0,0.521,0.474
17,0.0,0.521,0.474
18,0.0,0.521,0.473
19,0.0,0.521,0.473
20,0.0,0.521,0.473
21,0.0,0.521,0.473
22,0.0,0.522,0.473
23,0.0,0.522,0.473
24,0.0,0.522,0.473
25,0.0,0.522,0.473
26,0.0,0.522,0.473
27,0.0,0.522,0.473
28,0.0,0.522,0.473
29,0.0,0.522,0.473
30,0.0,0.522,0.473
31,0.0,0.522,0.473
32,0.0,0.522,0.473
33,0.0,0.522,0.473
34,0.0,0.522,0.473
35,0.0,0.522,0.473
36,0.0,0.522,0.473
37,0.0,0.522,0.473
38,0.0,0.522,0.474
39,0.0,0.522,0.474
40,0.0,0.522,0.473
41,0.0,0.522,0.473
42,0.041,0.522,0.473
43,0.041,0.522,0.473
44,0.041,0.522,0.473
45,0.041,0.522,0.473
46,0.081,0.522,0.473
47,0.081,0.522,0.473
48,0.081,0.522,0.473
49,0.081,0.522,0.473
50,0.081,0.522,0.473
51,0.081,0.522,0.473
52,0.121,0.522,0.473
53,0.121,0.522,0.473
54,0.121,0.522,0.473
55,0.121,0.522,0.473
56,0.163,0.521,0.473
57,0.163,0.521,0.473
58,0.163,0.521,0.473
59,0.163,0.521,0.473
60,0.163,0.521,0.473
61,0.163,0.521,0.473
62,0.204,0.521,0.473
63,0.204,0.521,0.473
64,0.204,0.521,0.473
65,0.204,0.521,0.473
66,0.245,0.521,0.473
67,0.245,0.521,0.473
68,0.245,0.521,0.473
69,0.245,0.521,0.473
70,0.245,0.521,0.473
71,0.245,0.521,0.473
72,0.285,0.521,0.473
73,0.285,0.521,0.473
74,0.285,0.521,0.473
75,0.285,0.521,0.473
76,0.324,0.521,0.473
77,0.324,0.521,0.473
78,0.324,0.521,0.473
79,0.324,0.521,0.473
80,0.364,0.521,0.473
81,0.364,0.521,0.473
82,0.364,0.521,0.473
83,0.364,0.521,0.473
84,0.364,0.521,0.473
85,0.364,0.521,0.473
86,0.405,0.521,0.473
87,0.405,0.521,0.473
88,0.405,0.521,0.472
89,0.405,0.521,0.472
90,0.445,0.521,0.472
91,0.445,0.521,0.472
92,0.445,0.521,0.472
93,0.445,0.521,0.472
94,0.445,0.52,0.473
95,0.445,0.52,0.473
96,0.485,0.52,0.473
97,0.485,0.52,0.473
98,0.485,0.52,0.473
99,0.485,0.52,0.473
100,0.525,0.52,0.473
101,0.525,0.52,0.473
102,0.525,0.52,0.473
103,0.525,0.52,0.473
104,0.525,0.52,0.473
105,0.525,0.52,0.473
106,0.565,0.52,0.473
107,0.565,0.52,0.473
108,0.565,0.52,0.473
109,0.565,0.52,0.473
110,0.606,0.52,0.473
111,0.606,0.52,0.473
