,time,2dmu,2dmv
0,0.0,0.495,0.494
1,0.0,0.495,0.494
2,0.0,0.495,0.494
3,0.0,0.495,0.494
4,0.0,0.495,0.494
5,0.0,0.495,0.494
6,0.0,0.495,0.494
7,0.0,0.495,0.494
8,0.0,0.495,0.494
9,0.0,0.495,0.494
10,0.0,0.495,0.494
11,0.0,0.495,0.494
12,0.0,0.495,0.493
13,0.0,0.495,0.493
14,0.0,0.495,0.493
15,0.0,0.495,0.493
16,0.0,0.495,0.493
17,0.0,0.495,0.493
18,0.0,0.495,0.493
19,0.0,0.495,0.493
20,0.0,0.495,0.493
21,0.0,0.495,0.493
22,0.0,0.495,0.493
23,0.0,0.495,0.493
24,0.0,0.496,0.493
25,0.0,0.496,0.493
26,0.0,0.496,0.493
27,0.0,0.496,0.493
28,0.0,0.496,0.493
29,0.0,0.496,0.493
30,0.0,0.496,0.493
31,0.0,0.496,0.493
32,0.0,0.496,0.493
33,0.0,0.496,0.493
34,0.0,0.496,0.494
35,0.0,0.496,0.494
36,0.0,0.496,0.494
37,0.0,0.496,0.494
38,0.0,0.4970000000000001,0.494
39,0.0,0.4970000000000001,0.494
40,0.0,0.4970000000000001,0.495
41,0.0,0.4970000000000001,0.495
42,0.0,0.4970000000000001,0.495
43,0.0,0.4970000000000001,0.495
44,0.0,0.4970000000000001,0.495
45,0.0,0.4970000000000001,0.495
46,0.0,0.4970000000000001,0.495
47,0.0,0.4970000000000001,0.495
48,0.0,0.4970000000000001,0.496
49,0.0,0.4970000000000001,0.496
50,0.0,0.4970000000000001,0.496
51,0.0,0.4970000000000001,0.496
52,0.0,0.4970000000000001,0.496
53,0.0,0.4970000000000001,0.496
54,0.041,0.4970000000000001,0.496
55,0.041,0.4970000000000001,0.496
56,0.041,0.4970000000000001,0.4970000000000001
57,0.041,0.4970000000000001,0.4970000000000001
58,0.08199999999999999,0.4970000000000001,0.4970000000000001
59,0.08199999999999999,0.4970000000000001,0.4970000000000001
60,0.08199999999999999,0.4970000000000001,0.4970000000000001
61,0.08199999999999999,0.4970000000000001,0.4970000000000001
62,0.123,0.4970000000000001,0.4970000000000001
63,0.123,0.4970000000000001,0.4970000000000001
64,0.123,0.4970000000000001,0.4970000000000001
65,0.123,0.4970000000000001,0.4970000000000001
66,0.123,0.4970000000000001,0.496
67,0.123,0.4970000000000001,0.496
68,0.163,0.4970000000000001,0.496
69,0.163,0.4970000000000001,0.496
70,0.163,0.4970000000000001,0.496
71,0.163,0.4970000000000001,0.496
72,0.203,0.4970000000000001,0.495
73,0.203,0.4970000000000001,0.495
74,0.203,0.498,0.495
75,0.203,0.498,0.495
76,0.244,0.498,0.494
77,0.244,0.498,0.494
78,0.244,0.498,0.493
79,0.244,0.498,0.493
80,0.244,0.499,0.4920000000000001
81,0.244,0.499,0.4920000000000001
82,0.284,0.499,0.491
83,0.284,0.499,0.491
84,0.284,0.499,0.491
85,0.284,0.499,0.491
86,0.324,0.5,0.49
87,0.324,0.5,0.49
88,0.324,0.5,0.49
89,0.324,0.5,0.49
90,0.324,0.501,0.489
91,0.324,0.501,0.489
92,0.364,0.502,0.488
93,0.364,0.502,0.488
94,0.405,0.504,0.485
95,0.405,0.504,0.485
96,0.445,0.505,0.484
97,0.445,0.505,0.484
98,0.486,0.507,0.481
99,0.486,0.507,0.481
100,0.486,0.508,0.479
101,0.486,0.508,0.479
102,0.528,0.508,0.479
103,0.528,0.508,0.479
104,0.528,0.509,0.475
105,0.528,0.509,0.475
106,0.568,0.511,0.472
107,0.568,0.511,0.472
108,0.609,0.511,0.472
109,0.609,0.511,0.472
110,0.609,0.512,0.471
111,0.609,0.512,0.471
112,0.649,0.513,0.469
113,0.649,0.513,0.469
114,0.649,0.514,0.468
115,0.649,0.514,0.468
116,0.69,0.514,0.468
117,0.69,0.514,0.468
118,0.69,0.514,0.466
119,0.69,0.514,0.466
120,0.69,0.515,0.465
121,0.69,0.515,0.465
122,0.73,0.515,0.465
123,0.73,0.515,0.465
124,0.73,0.515,0.464
125,0.73,0.515,0.464
126,0.7709999999999999,0.516,0.462
127,0.7709999999999999,0.516,0.462
128,0.812,0.516,0.462
129,0.812,0.516,0.462
130,0.812,0.516,0.461
131,0.812,0.516,0.461
132,0.812,0.516,0.46
133,0.812,0.516,0.46
134,0.853,0.516,0.46
135,0.853,0.516,0.46
136,0.853,0.516,0.46
137,0.853,0.516,0.46
138,0.894,0.516,0.459
139,0.894,0.516,0.459
140,0.894,0.516,0.459
141,0.894,0.516,0.459
142,0.934,0.517,0.459
143,0.934,0.517,0.459
144,0.977,0.517,0.459
145,0.977,0.517,0.459
146,0.977,0.518,0.459
147,0.977,0.518,0.459
148,1.019,0.518,0.459
149,1.019,0.518,0.459
150,1.019,0.518,0.459
151,1.019,0.518,0.459
152,1.0590000000000002,0.519,0.458
153,1.0590000000000002,0.519,0.458
154,1.0590000000000002,0.519,0.458
155,1.0590000000000002,0.519,0.458
156,1.0590000000000002,0.52,0.458
157,1.0590000000000002,0.52,0.458
158,1.099,0.521,0.457
159,1.099,0.521,0.457
160,1.099,0.521,0.457
161,1.099,0.521,0.457
162,1.14,0.521,0.457
163,1.14,0.521,0.457
164,1.14,0.522,0.456
165,1.14,0.522,0.456
166,1.18,0.523,0.455
167,1.18,0.523,0.455
168,1.221,0.525,0.452
169,1.221,0.525,0.452
170,1.221,0.526,0.451
171,1.221,0.526,0.451
172,1.262,0.529,0.449
173,1.262,0.529,0.449
174,1.301,0.534,0.449
175,1.301,0.534,0.449
176,1.301,0.534,0.449
177,1.301,0.534,0.449
178,1.3430000000000002,0.54,0.451
179,1.3430000000000002,0.54,0.451
180,1.3430000000000002,0.5429999999999999,0.453
181,1.3430000000000002,0.5429999999999999,0.453
182,1.383,0.5429999999999999,0.453
183,1.383,0.5429999999999999,0.453
184,1.383,0.547,0.456
185,1.383,0.547,0.456
186,1.4240000000000002,0.552,0.463
187,1.4240000000000002,0.552,0.463
188,1.4240000000000002,0.552,0.463
189,1.4240000000000002,0.552,0.463
190,1.4240000000000002,0.556,0.476
191,1.4240000000000002,0.556,0.476
192,1.464,0.562,0.491
193,1.464,0.562,0.491
194,1.464,0.5670000000000001,0.509
195,1.464,0.5670000000000001,0.509
196,1.504,0.573,0.521
197,1.504,0.573,0.521
198,1.504,0.573,0.521
199,1.504,0.573,0.521
200,1.544,0.5720000000000001,0.518
201,1.544,0.5720000000000001,0.518
202,1.544,0.5760000000000001,0.527
203,1.544,0.5760000000000001,0.527
204,1.544,0.578,0.535
205,1.544,0.578,0.535
206,1.584,0.58,0.5429999999999999
207,1.584,0.58,0.5429999999999999
208,1.584,0.58,0.5429999999999999
209,1.584,0.58,0.5429999999999999
210,1.6230000000000002,0.5820000000000001,0.551
211,1.6230000000000002,0.5820000000000001,0.551
212,1.6230000000000002,0.584,0.5579999999999999
213,1.6230000000000002,0.584,0.5579999999999999
214,1.6230000000000002,0.586,0.564
215,1.6230000000000002,0.586,0.564
216,1.663,0.5870000000000001,0.5710000000000001
217,1.663,0.5870000000000001,0.5710000000000001
218,1.663,0.5870000000000001,0.579
219,1.663,0.5870000000000001,0.579
220,1.703,0.5870000000000001,0.579
221,1.703,0.589,0.585
222,1.703,0.5870000000000001,0.579
223,1.703,0.589,0.585
224,1.744,0.591,0.5920000000000001
225,1.744,0.591,0.5920000000000001
226,1.744,0.5920000000000001,0.597
227,1.744,0.5920000000000001,0.597
228,1.744,0.594,0.601
229,1.744,0.594,0.601
230,1.785,0.594,0.601
231,1.785,0.594,0.601
232,1.785,0.594,0.6
233,1.785,0.594,0.6
234,1.826,0.596,0.603
235,1.826,0.596,0.603
236,1.826,0.597,0.605
237,1.826,0.597,0.605
238,1.826,0.598,0.607
239,1.826,0.598,0.607
240,1.867,0.598,0.607
241,1.867,0.598,0.607
242,1.867,0.599,0.607
243,1.867,0.599,0.607
244,1.907,0.6,0.607
245,1.907,0.6,0.607
246,1.907,0.6,0.607
247,1.907,0.6,0.607
248,1.907,0.599,0.606
249,1.907,0.599,0.606
250,1.948,0.599,0.605
251,1.948,0.599,0.605
252,1.948,0.599,0.605
253,1.948,0.599,0.605
254,1.989,0.599,0.604
255,1.989,0.599,0.604
256,1.989,0.598,0.602
257,1.989,0.598,0.602
258,1.989,0.598,0.599
259,1.989,0.598,0.599
260,2.029,0.597,0.596
261,2.029,0.597,0.596
262,2.029,0.597,0.596
263,2.029,0.597,0.596
264,2.069,0.597,0.596
265,2.069,0.597,0.596
266,2.069,0.596,0.5920000000000001
267,2.069,0.596,0.5920000000000001
268,2.109,0.595,0.586
269,2.109,0.595,0.586
270,2.109,0.593,0.578
271,2.109,0.593,0.578
272,2.109,0.593,0.578
273,2.109,0.593,0.578
274,2.15,0.59,0.57
275,2.15,0.59,0.57
276,2.15,0.5870000000000001,0.561
277,2.15,0.5870000000000001,0.561
278,2.191,0.5820000000000001,0.5529999999999999
279,2.191,0.5820000000000001,0.5529999999999999
280,2.191,0.5770000000000001,0.546
281,2.191,0.5770000000000001,0.546
282,2.191,0.5720000000000001,0.537
283,2.191,0.5720000000000001,0.537
284,2.23,0.5720000000000001,0.537
285,2.23,0.5720000000000001,0.537
286,2.23,0.565,0.529
287,2.23,0.565,0.529
288,2.271,0.5589999999999999,0.521
289,2.271,0.5589999999999999,0.521
290,2.271,0.55,0.514
291,2.271,0.55,0.514
292,2.311,0.542,0.507
293,2.311,0.542,0.507
294,2.311,0.542,0.507
295,2.311,0.542,0.507
296,2.311,0.541,0.506
297,2.311,0.541,0.506
298,2.352,0.532,0.499
299,2.352,0.532,0.499
300,2.352,0.522,0.4920000000000001
301,2.352,0.522,0.4920000000000001
302,2.393,0.512,0.486
303,2.393,0.512,0.486
304,2.393,0.512,0.486
305,2.393,0.512,0.486
306,2.393,0.502,0.482
307,2.393,0.502,0.482
308,2.4330000000000003,0.493,0.478
309,2.4330000000000003,0.493,0.478
310,2.4330000000000003,0.484,0.476
311,2.4330000000000003,0.484,0.476
312,2.4730000000000003,0.476,0.473
313,2.4730000000000003,0.476,0.473
314,2.4730000000000003,0.469,0.472
315,2.4730000000000003,0.469,0.472
316,2.513,0.462,0.471
317,2.513,0.462,0.471
318,2.513,0.455,0.47
319,2.513,0.455,0.47
320,2.5540000000000003,0.449,0.469
321,2.5540000000000003,0.449,0.469
322,2.5540000000000003,0.443,0.468
323,2.5540000000000003,0.443,0.468
324,2.5540000000000003,0.443,0.468
325,2.5540000000000003,0.443,0.468
326,2.596,0.4370000000000001,0.468
327,2.596,0.4370000000000001,0.468
328,2.636,0.431,0.467
329,2.636,0.431,0.467
330,2.636,0.426,0.465
331,2.636,0.426,0.465
332,2.676,0.42,0.465
333,2.676,0.42,0.465
334,2.676,0.414,0.464
335,2.676,0.414,0.464
336,2.717,0.408,0.463
337,2.717,0.408,0.463
338,2.757,0.401,0.462
339,2.757,0.401,0.462
340,2.757,0.385,0.461
341,2.757,0.385,0.461
342,2.757,0.385,0.461
343,2.757,0.385,0.461
344,2.797,0.375,0.46
345,2.797,0.375,0.46
346,2.8360000000000003,0.35200000000000004,0.456
347,2.8360000000000003,0.35200000000000004,0.456
348,2.8360000000000003,0.35200000000000004,0.456
349,2.8360000000000003,0.35200000000000004,0.456
350,2.878,0.339,0.454
351,2.878,0.339,0.454
352,2.878,0.326,0.453
353,2.878,0.326,0.453
354,2.918,0.326,0.453
355,2.918,0.326,0.453
356,2.918,0.299,0.449
357,2.918,0.299,0.449
358,2.959,0.28600000000000003,0.447
359,2.959,0.28600000000000003,0.447
360,2.959,0.273,0.444
361,2.959,0.273,0.444
362,2.959,0.261,0.441
363,2.959,0.261,0.441
364,3.0,0.261,0.441
365,3.0,0.261,0.441
366,3.0,0.262,0.44
367,3.0,0.262,0.44
368,3.0410000000000004,0.251,0.436
369,3.0410000000000004,0.251,0.436
370,3.0410000000000004,0.242,0.431
371,3.0410000000000004,0.242,0.431
372,3.0810000000000004,0.234,0.4270000000000001
373,3.0810000000000004,0.234,0.4270000000000001
374,3.0810000000000004,0.226,0.423
375,3.0810000000000004,0.226,0.423
376,3.122,0.219,0.418
377,3.122,0.219,0.418
378,3.122,0.212,0.414
379,3.122,0.212,0.414
380,3.162,0.206,0.411
381,3.162,0.206,0.411
382,3.162,0.199,0.408
383,3.162,0.199,0.408
384,3.162,0.199,0.408
385,3.162,0.199,0.408
386,3.202,0.199,0.409
387,3.202,0.199,0.409
388,3.202,0.194,0.407
389,3.202,0.194,0.407
390,3.242,0.188,0.406
391,3.242,0.188,0.406
392,3.242,0.183,0.404
393,3.242,0.183,0.404
394,3.242,0.183,0.404
395,3.242,0.183,0.404
396,3.282,0.17800000000000002,0.403
397,3.282,0.17800000000000002,0.403
398,3.282,0.173,0.401
399,3.282,0.173,0.401
400,3.322,0.168,0.399
401,3.322,0.168,0.399
402,3.322,0.162,0.397
403,3.322,0.162,0.397
404,3.322,0.157,0.395
405,3.322,0.157,0.395
406,3.362,0.157,0.395
407,3.362,0.157,0.395
408,3.362,0.152,0.393
409,3.362,0.152,0.393
410,3.402,0.147,0.391
411,3.402,0.147,0.391
412,3.402,0.142,0.389
413,3.402,0.142,0.389
414,3.442,0.142,0.389
415,3.442,0.142,0.389
416,3.442,0.138,0.386
417,3.442,0.138,0.386
418,3.442,0.133,0.383
419,3.442,0.133,0.383
420,3.482,0.128,0.381
421,3.482,0.128,0.381
422,3.482,0.129,0.381
423,3.482,0.129,0.381
424,3.522,0.124,0.38
425,3.522,0.124,0.38
426,3.522,0.124,0.38
427,3.522,0.124,0.38
428,3.522,0.12,0.379
429,3.522,0.12,0.379
430,3.563,0.117,0.377
