,time,2dmu,2dmv
0,0.0,0.498,0.499
1,0.0,0.498,0.499
2,0.0,0.498,0.499
3,0.0,0.498,0.499
4,0.0,0.498,0.499
5,0.0,0.498,0.499
6,0.0,0.498,0.499
7,0.0,0.498,0.499
8,0.0,0.498,0.498
9,0.0,0.498,0.498
10,0.0,0.498,0.498
11,0.0,0.498,0.498
12,0.0,0.498,0.498
13,0.0,0.498,0.498
14,0.0,0.498,0.498
15,0.0,0.498,0.498
16,0.0,0.498,0.498
17,0.0,0.498,0.498
18,0.0,0.498,0.498
19,0.0,0.498,0.498
20,0.0,0.498,0.498
21,0.0,0.498,0.498
22,0.0,0.498,0.498
23,0.0,0.498,0.498
24,0.0,0.498,0.498
25,0.0,0.498,0.498
26,0.0,0.498,0.498
27,0.0,0.498,0.498
28,0.0,0.498,0.498
29,0.0,0.498,0.498
30,0.0,0.498,0.498
31,0.0,0.498,0.498
32,0.0,0.498,0.498
33,0.0,0.498,0.498
34,0.0,0.498,0.498
35,0.0,0.498,0.498
36,0.0,0.499,0.498
37,0.0,0.499,0.498
38,0.0,0.499,0.498
39,0.0,0.499,0.498
40,0.0,0.499,0.498
41,0.0,0.499,0.498
42,0.0,0.499,0.498
43,0.0,0.499,0.498
44,0.0,0.499,0.498
45,0.0,0.499,0.498
46,0.041,0.499,0.498
47,0.041,0.499,0.498
48,0.041,0.499,0.498
49,0.041,0.499,0.498
50,0.041,0.499,0.498
51,0.041,0.499,0.498
52,0.081,0.499,0.498
53,0.081,0.499,0.498
54,0.081,0.499,0.498
55,0.081,0.499,0.498
56,0.121,0.499,0.498
57,0.121,0.499,0.498
58,0.121,0.499,0.498
59,0.121,0.499,0.498
60,0.121,0.499,0.498
61,0.121,0.499,0.498
62,0.161,0.499,0.498
63,0.161,0.499,0.498
64,0.161,0.499,0.498
65,0.161,0.499,0.498
66,0.202,0.499,0.499
67,0.202,0.499,0.499
68,0.202,0.499,0.499
69,0.202,0.499,0.499
70,0.241,0.499,0.499
71,0.241,0.499,0.499
72,0.241,0.499,0.499
73,0.241,0.499,0.499
74,0.241,0.499,0.499
75,0.241,0.499,0.499
76,0.281,0.499,0.499
77,0.281,0.499,0.499
78,0.281,0.499,0.499
79,0.281,0.499,0.499
80,0.322,0.499,0.498
81,0.322,0.499,0.498
82,0.322,0.499,0.498
83,0.322,0.499,0.498
84,0.322,0.499,0.498
85,0.322,0.499,0.498
86,0.362,0.499,0.498
87,0.362,0.499,0.498
88,0.362,0.499,0.498
89,0.362,0.499,0.498
90,0.403,0.499,0.498
91,0.403,0.499,0.498
92,0.403,0.499,0.498
93,0.403,0.499,0.498
94,0.403,0.499,0.498
95,0.403,0.499,0.498
96,0.443,0.499,0.498
97,0.443,0.499,0.498
98,0.443,0.499,0.498
99,0.443,0.499,0.498
100,0.482,0.499,0.498
101,0.482,0.499,0.498
102,0.482,0.499,0.498
103,0.482,0.499,0.498
104,0.522,0.5,0.498
105,0.522,0.5,0.498
106,0.522,0.5,0.498
107,0.522,0.5,0.498
108,0.522,0.5,0.498
109,0.522,0.5,0.498
110,0.562,0.5,0.498
111,0.562,0.5,0.498
112,0.562,0.5,0.498
113,0.562,0.5,0.498
114,0.603,0.5,0.498
115,0.603,0.5,0.498
116,0.603,0.5,0.498
117,0.603,0.5,0.498
118,0.603,0.5,0.498
119,0.603,0.5,0.498
120,0.643,0.5,0.498
121,0.643,0.5,0.498
122,0.643,0.5,0.498
123,0.643,0.5,0.498
124,0.6829999999999999,0.5,0.498
125,0.6829999999999999,0.5,0.498
126,0.6829999999999999,0.5,0.4970000000000001
127,0.6829999999999999,0.5,0.4970000000000001
128,0.723,0.5,0.4970000000000001
129,0.723,0.5,0.4970000000000001
130,0.723,0.5,0.4970000000000001
131,0.723,0.5,0.4970000000000001
132,0.723,0.501,0.4970000000000001
133,0.723,0.501,0.4970000000000001
134,0.763,0.501,0.496
135,0.763,0.501,0.496
136,0.763,0.501,0.496
137,0.763,0.501,0.496
138,0.804,0.501,0.496
139,0.804,0.501,0.496
140,0.804,0.5,0.496
141,0.804,0.5,0.496
142,0.804,0.5,0.495
143,0.804,0.5,0.495
144,0.8440000000000001,0.499,0.494
145,0.8440000000000001,0.499,0.494
146,0.8440000000000001,0.4970000000000001,0.494
147,0.8440000000000001,0.4970000000000001,0.494
148,0.884,0.494,0.493
149,0.884,0.494,0.493
150,0.884,0.494,0.493
151,0.884,0.494,0.493
152,0.924,0.49,0.4920000000000001
153,0.924,0.49,0.4920000000000001
154,0.924,0.486,0.491
155,0.924,0.486,0.491
156,0.924,0.481,0.489
157,0.924,0.481,0.489
158,0.964,0.475,0.488
159,0.964,0.475,0.488
160,0.964,0.475,0.488
161,0.964,0.475,0.488
162,1.005,0.469,0.486
163,1.005,0.469,0.486
164,1.005,0.463,0.484
165,1.005,0.463,0.484
166,1.005,0.457,0.482
167,1.005,0.457,0.482
168,1.045,0.457,0.482
169,1.045,0.457,0.482
170,1.045,0.451,0.48
171,1.045,0.451,0.48
172,1.085,0.446,0.478
173,1.085,0.446,0.478
174,1.085,0.446,0.478
175,1.085,0.446,0.478
176,1.085,0.441,0.477
177,1.085,0.441,0.477
178,1.125,0.4370000000000001,0.475
179,1.125,0.4370000000000001,0.475
180,1.125,0.4370000000000001,0.475
181,1.125,0.4370000000000001,0.475
182,1.165,0.4320000000000001,0.473
183,1.165,0.4320000000000001,0.473
184,1.165,0.429,0.472
185,1.165,0.429,0.472
186,1.205,0.425,0.471
187,1.205,0.425,0.471
188,1.205,0.422,0.469
189,1.205,0.422,0.469
190,1.205,0.422,0.469
191,1.205,0.422,0.469
192,1.246,0.419,0.468
193,1.246,0.419,0.468
194,1.246,0.417,0.466
195,1.246,0.417,0.466
196,1.285,0.414,0.465
197,1.285,0.414,0.465
198,1.285,0.413,0.464
199,1.285,0.413,0.464
200,1.285,0.413,0.464
201,1.285,0.413,0.464
202,1.325,0.412,0.463
203,1.325,0.412,0.463
204,1.325,0.41,0.461
205,1.325,0.41,0.461
206,1.365,0.41,0.461
207,1.365,0.41,0.461
208,1.365,0.409,0.46
209,1.365,0.409,0.46
210,1.406,0.409,0.46
211,1.406,0.409,0.46
212,1.406,0.41,0.46
213,1.406,0.41,0.46
214,1.406,0.41,0.459
215,1.406,0.41,0.459
216,1.446,0.41,0.458
217,1.446,0.41,0.458
218,1.446,0.41,0.458
219,1.446,0.41,0.458
220,1.487,0.41,0.458
221,1.487,0.41,0.458
222,1.487,0.41,0.457
223,1.487,0.41,0.457
224,1.487,0.41,0.457
225,1.487,0.41,0.457
226,1.527,0.41,0.456
227,1.527,0.41,0.456
228,1.527,0.411,0.455
229,1.527,0.411,0.455
230,1.567,0.411,0.455
231,1.567,0.411,0.455
232,1.567,0.411,0.455
233,1.567,0.411,0.455
234,1.608,0.411,0.454
235,1.608,0.411,0.454
236,1.608,0.412,0.454
237,1.608,0.412,0.454
238,1.608,0.412,0.453
239,1.608,0.412,0.453
240,1.648,0.412,0.453
241,1.648,0.412,0.453
242,1.648,0.412,0.453
243,1.648,0.412,0.453
244,1.689,0.412,0.453
245,1.689,0.412,0.453
246,1.689,0.413,0.453
247,1.689,0.413,0.453
248,1.689,0.413,0.453
249,1.689,0.413,0.453
250,1.731,0.413,0.452
251,1.731,0.413,0.452
252,1.731,0.413,0.452
253,1.731,0.413,0.452
254,1.77,0.413,0.452
255,1.77,0.413,0.452
256,1.77,0.413,0.452
257,1.77,0.413,0.452
258,1.77,0.414,0.452
259,1.77,0.414,0.452
260,1.811,0.414,0.452
261,1.811,0.414,0.452
262,1.811,0.414,0.452
263,1.811,0.414,0.452
264,1.851,0.414,0.451
265,1.851,0.414,0.451
266,1.851,0.414,0.451
267,1.851,0.414,0.451
268,1.851,0.414,0.451
269,1.851,0.414,0.451
270,1.892,0.414,0.451
271,1.892,0.414,0.451
272,1.892,0.414,0.451
273,1.892,0.414,0.451
274,1.932,0.415,0.451
275,1.932,0.415,0.451
276,1.932,0.415,0.451
277,1.932,0.415,0.451
278,1.972,0.415,0.451
279,1.972,0.415,0.451
280,1.972,0.416,0.45
281,1.972,0.416,0.45
282,1.972,0.416,0.45
283,1.972,0.416,0.45
284,2.013,0.417,0.45
285,2.013,0.417,0.45
286,2.013,0.417,0.45
287,2.013,0.417,0.45
288,2.053,0.418,0.45
289,2.053,0.418,0.45
290,2.053,0.419,0.45
291,2.053,0.419,0.45
292,2.053,0.419,0.45
293,2.053,0.419,0.45
294,2.093,0.42,0.45
295,2.093,0.42,0.45
296,2.093,0.422,0.449
297,2.093,0.422,0.449
298,2.133,0.423,0.45
299,2.133,0.423,0.45
300,2.133,0.425,0.45
301,2.133,0.425,0.45
302,2.173,0.4270000000000001,0.45
303,2.173,0.4270000000000001,0.45
304,2.173,0.4270000000000001,0.45
305,2.173,0.4270000000000001,0.45
306,2.173,0.43,0.45
307,2.173,0.43,0.45
308,2.213,0.433,0.45
309,2.213,0.433,0.45
310,2.213,0.436,0.451
311,2.213,0.436,0.451
312,2.253,0.436,0.451
313,2.253,0.436,0.451
314,2.253,0.44,0.452
315,2.253,0.44,0.452
316,2.253,0.445,0.452
317,2.253,0.445,0.452
318,2.293,0.45,0.454
319,2.293,0.45,0.454
320,2.293,0.451,0.454
321,2.293,0.451,0.454
322,2.334,0.451,0.454
323,2.334,0.451,0.454
324,2.334,0.457,0.456
325,2.334,0.457,0.456
326,2.375,0.464,0.457
327,2.375,0.464,0.457
328,2.375,0.47,0.459
329,2.375,0.47,0.459
330,2.375,0.477,0.461
331,2.375,0.477,0.461
332,2.416,0.477,0.461
333,2.416,0.477,0.461
334,2.416,0.484,0.463
335,2.416,0.484,0.463
336,2.455,0.491,0.465
337,2.455,0.491,0.465
338,2.455,0.498,0.466
339,2.455,0.498,0.466
340,2.455,0.505,0.468
341,2.455,0.505,0.468
342,2.496,0.512,0.469
343,2.496,0.512,0.469
344,2.496,0.512,0.469
345,2.496,0.512,0.469
346,2.536,0.52,0.471
347,2.536,0.52,0.471
348,2.536,0.527,0.472
349,2.536,0.527,0.472
350,2.536,0.534,0.474
351,2.536,0.534,0.474
352,2.576,0.534,0.474
353,2.576,0.534,0.474
354,2.576,0.54,0.475
355,2.576,0.54,0.475
356,2.617,0.546,0.476
357,2.617,0.546,0.476
358,2.617,0.546,0.476
359,2.617,0.546,0.476
360,2.657,0.552,0.477
361,2.657,0.552,0.477
362,2.657,0.552,0.477
363,2.657,0.552,0.477
364,2.657,0.5579999999999999,0.477
365,2.657,0.5579999999999999,0.477
366,2.698,0.563,0.478
367,2.698,0.563,0.478
368,2.698,0.569,0.479
369,2.698,0.569,0.479
370,2.739,0.574,0.479
371,2.739,0.574,0.479
372,2.739,0.574,0.479
373,2.739,0.574,0.479
374,2.739,0.58,0.48
375,2.739,0.58,0.48
376,2.78,0.586,0.48
377,2.78,0.586,0.48
378,2.78,0.591,0.479
379,2.78,0.591,0.479
380,2.819,0.596,0.479
381,2.819,0.601,0.477
382,2.819,0.596,0.479
383,2.819,0.601,0.477
384,2.819,0.601,0.477
385,2.819,0.601,0.477
386,2.861,0.605,0.477
387,2.861,0.605,0.477
388,2.861,0.61,0.476
389,2.861,0.61,0.476
390,2.902,0.614,0.474
391,2.902,0.614,0.474
392,2.902,0.618,0.473
393,2.902,0.618,0.473
394,2.902,0.618,0.473
395,2.902,0.618,0.473
396,2.943,0.618,0.473
397,2.943,0.618,0.473
398,2.943,0.622,0.472
399,2.943,0.622,0.472
400,2.984,0.626,0.47
401,2.984,0.626,0.47
402,2.984,0.63,0.469
403,2.984,0.63,0.469
404,3.025,0.63,0.469
405,3.025,0.63,0.469
406,3.025,0.634,0.468
407,3.025,0.634,0.468
408,3.025,0.637,0.466
409,3.025,0.637,0.466
410,3.0660000000000003,0.64,0.466
411,3.0660000000000003,0.64,0.466
412,3.0660000000000003,0.642,0.465
413,3.0660000000000003,0.642,0.465
414,3.107,0.642,0.465
415,3.107,0.642,0.465
416,3.107,0.645,0.464
417,3.107,0.645,0.464
418,3.107,0.647,0.463
419,3.107,0.647,0.463
420,3.148,0.649,0.463
421,3.148,0.649,0.463
422,3.148,0.65,0.462
423,3.148,0.65,0.462
424,3.189,0.65,0.462
425,3.189,0.65,0.462
426,3.189,0.652,0.461
427,3.189,0.652,0.461
428,3.189,0.653,0.461
429,3.189,0.653,0.461
430,3.23,0.654,0.46
431,3.23,0.654,0.46
432,3.23,0.655,0.46
433,3.23,0.655,0.46
434,3.27,0.655,0.46
435,3.27,0.655,0.46
436,3.27,0.654,0.46
437,3.27,0.654,0.46
438,3.27,0.655,0.46
439,3.27,0.655,0.46
440,3.3110000000000004,0.655,0.459
441,3.3110000000000004,0.655,0.459
442,3.3110000000000004,0.6559999999999999,0.459
443,3.3110000000000004,0.6559999999999999,0.459
444,3.3510000000000004,0.6559999999999999,0.459
445,3.3510000000000004,0.6559999999999999,0.459
446,3.3510000000000004,0.657,0.459
447,3.3510000000000004,0.657,0.459
448,3.392,0.657,0.459
449,3.392,0.657,0.459
450,3.392,0.657,0.459
451,3.392,0.657,0.459
452,3.392,0.6579999999999999,0.46
453,3.392,0.6579999999999999,0.46
454,3.432,0.6579999999999999,0.46
455,3.432,0.6579999999999999,0.46
456,3.432,0.6579999999999999,0.46
457,3.432,0.6579999999999999,0.46
458,3.4730000000000003,0.6579999999999999,0.46
459,3.4730000000000003,0.6579999999999999,0.46
460,3.4730000000000003,0.6579999999999999,0.46
461,3.4730000000000003,0.6579999999999999,0.46
462,3.4730000000000003,0.6579999999999999,0.461
