,time,2dmu,2dmv
0,0.0,0.53,0.486
1,0.0,0.53,0.486
2,0.0,0.53,0.486
3,0.0,0.53,0.486
4,0.0,0.529,0.486
5,0.0,0.528,0.485
6,0.0,0.529,0.486
7,0.0,0.528,0.485
8,0.0,0.528,0.485
9,0.0,0.528,0.485
10,0.0,0.528,0.485
11,0.0,0.528,0.485
12,0.0,0.528,0.485
13,0.0,0.528,0.485
14,0.0,0.527,0.485
15,0.0,0.527,0.485
16,0.0,0.527,0.485
17,0.0,0.527,0.485
18,0.0,0.527,0.485
19,0.0,0.527,0.485
20,0.0,0.526,0.485
21,0.0,0.526,0.485
22,0.0,0.526,0.484
23,0.0,0.526,0.484
24,0.0,0.525,0.484
25,0.0,0.525,0.484
26,0.0,0.525,0.484
27,0.0,0.525,0.484
28,0.0,0.524,0.484
29,0.0,0.524,0.484
30,0.0,0.524,0.484
31,0.0,0.524,0.484
32,0.0,0.524,0.484
33,0.0,0.524,0.484
34,0.0,0.524,0.484
35,0.0,0.524,0.484
36,0.0,0.524,0.484
37,0.0,0.524,0.484
38,0.0,0.524,0.484
39,0.0,0.524,0.484
40,0.0,0.523,0.484
41,0.0,0.523,0.484
42,0.0,0.523,0.484
43,0.0,0.523,0.484
44,0.0,0.523,0.484
45,0.0,0.523,0.484
46,0.015,0.523,0.484
47,0.015,0.523,0.484
48,0.015,0.522,0.484
49,0.015,0.522,0.484
50,0.015,0.522,0.484
51,0.015,0.522,0.484
52,0.055,0.522,0.484
53,0.055,0.522,0.484
54,0.055,0.522,0.484
55,0.055,0.522,0.484
56,0.095,0.522,0.484
57,0.095,0.522,0.484
58,0.095,0.522,0.484
59,0.095,0.522,0.484
60,0.135,0.522,0.484
61,0.135,0.522,0.484
62,0.135,0.522,0.484
63,0.135,0.522,0.484
64,0.135,0.522,0.484
65,0.135,0.522,0.484
66,0.17600000000000002,0.522,0.484
67,0.17600000000000002,0.522,0.484
68,0.17600000000000002,0.521,0.484
69,0.17600000000000002,0.521,0.484
70,0.217,0.521,0.483
71,0.217,0.521,0.483
72,0.217,0.521,0.483
73,0.217,0.521,0.483
74,0.217,0.521,0.483
75,0.217,0.521,0.483
76,0.257,0.52,0.483
77,0.257,0.52,0.483
78,0.257,0.52,0.483
79,0.257,0.52,0.483
80,0.297,0.52,0.483
81,0.297,0.52,0.483
82,0.297,0.52,0.483
83,0.297,0.52,0.483
84,0.297,0.518,0.483
85,0.297,0.518,0.483
86,0.337,0.517,0.482
87,0.337,0.517,0.482
88,0.337,0.515,0.482
89,0.337,0.515,0.482
90,0.377,0.513,0.482
91,0.377,0.513,0.482
92,0.377,0.511,0.481
93,0.377,0.511,0.481
94,0.418,0.511,0.481
95,0.418,0.511,0.481
96,0.418,0.508,0.48
97,0.418,0.508,0.48
98,0.418,0.505,0.48
99,0.418,0.505,0.48
100,0.458,0.502,0.48
101,0.458,0.502,0.48
102,0.458,0.499,0.479
103,0.458,0.499,0.479
104,0.499,0.499,0.479
105,0.499,0.499,0.479
106,0.499,0.499,0.479
107,0.499,0.499,0.479
108,0.499,0.496,0.478
109,0.499,0.496,0.478
110,0.539,0.493,0.478
111,0.539,0.493,0.478
112,0.539,0.49,0.478
113,0.539,0.49,0.478
114,0.579,0.49,0.478
115,0.579,0.49,0.478
116,0.579,0.488,0.477
117,0.579,0.488,0.477
118,0.619,0.486,0.477
119,0.619,0.486,0.477
120,0.619,0.484,0.477
121,0.619,0.484,0.477
122,0.619,0.483,0.477
123,0.619,0.483,0.477
124,0.66,0.481,0.477
125,0.66,0.481,0.477
126,0.66,0.481,0.477
127,0.66,0.481,0.477
128,0.701,0.48,0.477
129,0.701,0.48,0.477
130,0.701,0.479,0.477
131,0.701,0.479,0.477
132,0.701,0.478,0.477
133,0.701,0.478,0.477
134,0.741,0.477,0.477
135,0.741,0.477,0.477
136,0.741,0.477,0.477
137,0.741,0.477,0.477
138,0.782,0.477,0.477
139,0.782,0.477,0.477
140,0.782,0.476,0.477
141,0.782,0.476,0.477
142,0.782,0.475,0.477
143,0.782,0.475,0.477
144,0.823,0.474,0.477
145,0.823,0.474,0.477
146,0.823,0.474,0.478
147,0.823,0.474,0.478
148,0.863,0.474,0.478
149,0.863,0.474,0.478
150,0.863,0.473,0.477
151,0.863,0.473,0.477
152,0.903,0.472,0.477
153,0.903,0.472,0.477
154,0.903,0.471,0.477
155,0.903,0.471,0.477
156,0.903,0.471,0.477
157,0.903,0.471,0.477
158,0.943,0.471,0.477
159,0.943,0.471,0.477
160,0.943,0.471,0.477
161,0.943,0.471,0.477
162,0.983,0.47,0.477
163,0.983,0.47,0.477
164,0.983,0.47,0.477
165,0.983,0.47,0.477
166,0.983,0.47,0.477
167,0.983,0.47,0.477
168,1.024,0.47,0.477
169,1.024,0.47,0.477
170,1.024,0.47,0.477
171,1.024,0.47,0.477
172,1.065,0.469,0.477
173,1.065,0.469,0.477
174,1.065,0.469,0.477
175,1.065,0.469,0.477
176,1.065,0.469,0.477
177,1.065,0.469,0.477
178,1.107,0.469,0.477
179,1.107,0.469,0.477
180,1.107,0.469,0.477
181,1.107,0.469,0.477
182,1.148,0.469,0.477
183,1.148,0.469,0.477
184,1.148,0.469,0.477
185,1.148,0.469,0.477
186,1.148,0.469,0.477
187,1.148,0.469,0.477
188,1.188,0.469,0.477
189,1.188,0.469,0.477
190,1.188,0.469,0.477
191,1.188,0.469,0.477
192,1.229,0.469,0.477
193,1.229,0.469,0.477
194,1.229,0.469,0.477
195,1.229,0.469,0.477
196,1.269,0.469,0.477
197,1.269,0.469,0.477
198,1.269,0.469,0.477
199,1.269,0.469,0.477
200,1.269,0.469,0.477
201,1.269,0.469,0.477
202,1.3090000000000002,0.469,0.477
203,1.3090000000000002,0.469,0.477
204,1.3090000000000002,0.469,0.477
205,1.3090000000000002,0.469,0.477
206,1.349,0.469,0.477
207,1.349,0.469,0.477
208,1.349,0.469,0.477
209,1.349,0.469,0.477
210,1.349,0.469,0.477
211,1.349,0.469,0.477
212,1.39,0.469,0.477
213,1.39,0.469,0.477
214,1.39,0.469,0.478
215,1.39,0.469,0.478
216,1.43,0.469,0.478
217,1.43,0.469,0.478
218,1.43,0.469,0.478
219,1.43,0.469,0.478
220,1.471,0.47,0.478
221,1.471,0.47,0.478
222,1.471,0.47,0.478
223,1.471,0.47,0.478
224,1.471,0.47,0.478
225,1.471,0.47,0.478
226,1.511,0.47,0.478
227,1.511,0.47,0.478
228,1.511,0.47,0.478
229,1.511,0.47,0.478
230,1.5519999999999998,0.47,0.478
231,1.5519999999999998,0.47,0.478
232,1.5519999999999998,0.47,0.478
233,1.5519999999999998,0.47,0.478
234,1.5519999999999998,0.47,0.478
235,1.5519999999999998,0.47,0.478
236,1.592,0.47,0.478
237,1.592,0.47,0.478
238,1.592,0.47,0.479
239,1.592,0.47,0.479
240,1.633,0.47,0.479
241,1.633,0.47,0.479
242,1.633,0.47,0.479
243,1.633,0.47,0.479
244,1.633,0.471,0.479
245,1.633,0.471,0.479
246,1.6740000000000002,0.471,0.479
247,1.6740000000000002,0.471,0.479
248,1.6740000000000002,0.471,0.479
249,1.6740000000000002,0.471,0.479
250,1.714,0.471,0.479
251,1.714,0.471,0.479
252,1.714,0.471,0.479
253,1.714,0.471,0.479
254,1.714,0.471,0.479
255,1.714,0.471,0.479
256,1.755,0.471,0.479
257,1.755,0.471,0.479
258,1.755,0.471,0.479
259,1.755,0.471,0.479
260,1.796,0.471,0.479
261,1.796,0.471,0.479
262,1.796,0.471,0.479
263,1.796,0.471,0.479
264,1.837,0.471,0.479
265,1.837,0.471,0.479
266,1.837,0.471,0.479
267,1.837,0.471,0.479
268,1.837,0.471,0.479
269,1.837,0.471,0.479
270,1.877,0.471,0.479
271,1.877,0.471,0.479
272,1.877,0.471,0.479
273,1.877,0.471,0.479
274,1.919,0.471,0.479
275,1.919,0.471,0.479
276,1.919,0.471,0.479
277,1.919,0.471,0.479
278,1.919,0.471,0.479
279,1.919,0.471,0.479
280,1.96,0.471,0.479
281,1.96,0.471,0.479
282,1.96,0.471,0.479
283,1.96,0.471,0.479
284,2.001,0.471,0.48
285,2.001,0.471,0.48
286,2.001,0.471,0.48
287,2.001,0.471,0.48
288,2.001,0.471,0.48
289,2.001,0.471,0.48
290,2.042,0.47,0.48
291,2.042,0.47,0.48
292,2.042,0.47,0.48
293,2.042,0.47,0.48
294,2.082,0.47,0.48
295,2.082,0.47,0.48
296,2.082,0.47,0.48
297,2.082,0.47,0.48
298,2.082,0.47,0.48
299,2.082,0.47,0.48
300,2.122,0.47,0.48
301,2.122,0.47,0.48
302,2.122,0.47,0.48
303,2.122,0.47,0.48
304,2.1630000000000003,0.47,0.48
305,2.1630000000000003,0.47,0.48
306,2.1630000000000003,0.47,0.48
307,2.1630000000000003,0.47,0.48
308,2.204,0.47,0.48
309,2.204,0.47,0.48
310,2.204,0.47,0.48
311,2.204,0.47,0.48
312,2.204,0.47,0.48
313,2.204,0.47,0.48
314,2.245,0.47,0.48
315,2.245,0.47,0.48
316,2.245,0.47,0.48
317,2.245,0.47,0.48
318,2.286,0.47,0.48
319,2.286,0.47,0.48
320,2.286,0.47,0.48
321,2.286,0.47,0.48
322,2.286,0.47,0.48
323,2.286,0.47,0.48
324,2.326,0.47,0.48
325,2.326,0.47,0.48
326,2.367,0.47,0.48
327,2.367,0.47,0.48
328,2.367,0.47,0.479
329,2.367,0.47,0.479
330,2.367,0.47,0.479
331,2.367,0.47,0.479
332,2.4090000000000003,0.47,0.479
333,2.4090000000000003,0.47,0.479
334,2.449,0.47,0.479
335,2.449,0.47,0.479
336,2.449,0.47,0.479
337,2.449,0.47,0.479
338,2.489,0.47,0.479
339,2.489,0.47,0.479
340,2.53,0.471,0.479
341,2.53,0.471,0.479
342,2.571,0.473,0.479
343,2.571,0.473,0.479
344,2.571,0.473,0.479
345,2.571,0.473,0.479
346,2.571,0.476,0.479
347,2.571,0.476,0.479
348,2.611,0.478,0.478
349,2.611,0.478,0.478
350,2.652,0.481,0.479
351,2.652,0.481,0.479
352,2.652,0.484,0.479
353,2.652,0.484,0.479
354,2.652,0.485,0.479
355,2.652,0.485,0.479
356,2.692,0.488,0.479
357,2.692,0.488,0.479
358,2.692,0.491,0.479
359,2.692,0.491,0.479
360,2.732,0.491,0.479
361,2.732,0.491,0.479
362,2.732,0.495,0.48
363,2.732,0.495,0.48
364,2.732,0.498,0.48
365,2.732,0.498,0.48
366,2.773,0.501,0.48
367,2.773,0.501,0.48
368,2.773,0.504,0.48
369,2.773,0.504,0.48
370,2.814,0.504,0.48
371,2.814,0.504,0.48
372,2.814,0.507,0.48
373,2.814,0.507,0.48
374,2.814,0.509,0.48
375,2.814,0.509,0.48
376,2.854,0.511,0.48
377,2.854,0.511,0.48
378,2.854,0.513,0.48
379,2.854,0.513,0.48
380,2.895,0.513,0.48
381,2.895,0.513,0.48
382,2.895,0.513,0.48
383,2.895,0.513,0.48
384,2.935,0.515,0.481
385,2.935,0.515,0.481
386,2.935,0.517,0.481
387,2.935,0.517,0.481
388,2.935,0.519,0.481
389,2.935,0.519,0.481
390,2.977,0.521,0.482
391,2.977,0.521,0.482
392,3.017,0.522,0.482
393,3.017,0.522,0.482
394,3.017,0.525,0.483
395,3.057,0.527,0.483
396,3.057,0.527,0.483
397,3.017,0.525,0.483
398,3.0980000000000003,0.528,0.483
399,3.0980000000000003,0.528,0.483
