,time,2dmu,2dmv
0,0.0,0.499,0.49
1,0.0,0.499,0.49
2,0.0,0.499,0.49
3,0.0,0.499,0.49
4,0.0,0.499,0.489
5,0.0,0.499,0.489
6,0.0,0.499,0.489
7,0.0,0.499,0.489
8,0.0,0.499,0.488
9,0.0,0.499,0.488
10,0.0,0.499,0.488
11,0.0,0.499,0.488
12,0.0,0.499,0.487
13,0.0,0.499,0.487
14,0.0,0.498,0.485
15,0.0,0.498,0.485
16,0.0,0.498,0.485
17,0.0,0.498,0.485
18,0.0,0.4970000000000001,0.483
19,0.0,0.4970000000000001,0.483
20,0.0,0.496,0.481
21,0.0,0.496,0.481
22,0.0,0.496,0.482
23,0.0,0.496,0.482
24,0.0,0.496,0.482
25,0.0,0.496,0.482
26,0.0,0.4970000000000001,0.482
27,0.0,0.4970000000000001,0.482
28,0.0,0.4970000000000001,0.482
29,0.0,0.4970000000000001,0.482
30,0.0,0.498,0.482
31,0.0,0.498,0.482
32,0.0,0.498,0.482
33,0.0,0.498,0.482
34,0.0,0.498,0.482
35,0.0,0.498,0.482
36,0.0,0.499,0.482
37,0.0,0.499,0.482
38,0.0,0.499,0.482
39,0.0,0.499,0.482
40,0.0,0.499,0.481
41,0.0,0.499,0.481
42,0.0,0.499,0.481
43,0.0,0.499,0.481
44,0.0,0.499,0.481
45,0.0,0.499,0.481
46,0.0,0.499,0.481
47,0.0,0.499,0.481
48,0.0,0.499,0.481
49,0.0,0.499,0.481
50,0.0,0.5,0.482
51,0.0,0.5,0.482
52,0.0,0.5,0.482
53,0.0,0.5,0.482
54,0.0,0.5,0.482
55,0.0,0.5,0.482
56,0.016,0.5,0.482
57,0.016,0.5,0.482
58,0.016,0.5,0.481
59,0.016,0.5,0.481
60,0.056,0.5,0.481
61,0.056,0.5,0.481
62,0.056,0.499,0.48
63,0.056,0.499,0.48
64,0.056,0.499,0.479
65,0.056,0.499,0.479
66,0.096,0.499,0.479
67,0.096,0.499,0.479
68,0.096,0.499,0.479
69,0.096,0.499,0.479
70,0.13699999999999998,0.4970000000000001,0.477
71,0.13699999999999998,0.4970000000000001,0.477
72,0.13699999999999998,0.496,0.476
73,0.13699999999999998,0.496,0.476
74,0.13699999999999998,0.495,0.475
75,0.13699999999999998,0.495,0.475
76,0.177,0.495,0.475
77,0.177,0.495,0.475
78,0.177,0.494,0.473
79,0.177,0.494,0.473
80,0.218,0.4920000000000001,0.472
81,0.218,0.4920000000000001,0.472
82,0.218,0.49,0.471
83,0.218,0.49,0.471
84,0.218,0.487,0.47
85,0.218,0.487,0.47
86,0.258,0.487,0.47
87,0.258,0.487,0.47
88,0.258,0.485,0.469
89,0.258,0.485,0.469
90,0.299,0.483,0.468
91,0.299,0.483,0.468
92,0.299,0.48,0.467
93,0.299,0.48,0.467
94,0.34,0.477,0.466
95,0.34,0.477,0.466
96,0.34,0.477,0.466
97,0.34,0.477,0.466
98,0.34,0.477,0.466
99,0.34,0.477,0.466
100,0.381,0.474,0.465
101,0.381,0.474,0.465
102,0.381,0.473,0.465
103,0.381,0.473,0.465
104,0.421,0.469,0.463
105,0.421,0.469,0.463
106,0.421,0.469,0.463
107,0.421,0.469,0.463
108,0.421,0.466,0.462
109,0.421,0.466,0.462
110,0.462,0.464,0.461
111,0.462,0.464,0.461
112,0.462,0.461,0.459
113,0.462,0.461,0.459
114,0.503,0.459,0.458
115,0.503,0.459,0.458
116,0.503,0.459,0.458
117,0.503,0.459,0.458
118,0.503,0.456,0.456
119,0.503,0.456,0.456
120,0.5429999999999999,0.454,0.455
121,0.5429999999999999,0.454,0.455
122,0.5429999999999999,0.452,0.454
123,0.5429999999999999,0.452,0.454
124,0.584,0.449,0.453
125,0.584,0.449,0.453
126,0.584,0.449,0.453
127,0.584,0.449,0.453
128,0.624,0.447,0.452
129,0.624,0.447,0.452
130,0.624,0.445,0.451
131,0.624,0.445,0.451
132,0.624,0.442,0.451
133,0.624,0.442,0.451
134,0.665,0.44,0.45
135,0.665,0.44,0.45
136,0.665,0.44,0.45
137,0.665,0.44,0.45
138,0.706,0.441,0.45
139,0.706,0.441,0.45
140,0.706,0.439,0.449
141,0.706,0.439,0.449
142,0.706,0.4370000000000001,0.448
143,0.706,0.4370000000000001,0.448
144,0.746,0.436,0.446
145,0.746,0.436,0.446
146,0.746,0.436,0.446
147,0.746,0.436,0.446
148,0.7859999999999999,0.434,0.445
149,0.7859999999999999,0.434,0.445
