,time,2dmu,2dmv
0,0.0,0.502,0.463
1,0.0,0.502,0.463
2,0.0,0.502,0.462
3,0.0,0.502,0.462
4,0.0,0.502,0.462
5,0.0,0.502,0.462
6,0.0,0.502,0.461
7,0.0,0.502,0.461
8,0.0,0.502,0.462
9,0.0,0.502,0.462
10,0.0,0.502,0.462
11,0.0,0.502,0.462
12,0.0,0.502,0.462
13,0.0,0.502,0.462
14,0.0,0.502,0.462
15,0.0,0.502,0.462
16,0.0,0.502,0.462
17,0.0,0.502,0.462
18,0.0,0.502,0.463
19,0.0,0.502,0.463
20,0.0,0.502,0.463
21,0.0,0.502,0.463
22,0.0,0.502,0.463
23,0.0,0.502,0.463
24,0.0,0.502,0.463
25,0.0,0.502,0.463
26,0.0,0.502,0.463
27,0.0,0.502,0.463
28,0.0,0.503,0.465
29,0.0,0.503,0.465
30,0.0,0.503,0.465
31,0.0,0.504,0.465
32,0.0,0.503,0.465
33,0.0,0.504,0.465
34,0.0,0.504,0.465
35,0.0,0.504,0.465
36,0.0,0.504,0.462
37,0.0,0.504,0.462
38,0.0,0.504,0.462
39,0.0,0.504,0.462
40,0.0,0.504,0.456
41,0.0,0.504,0.456
42,0.0,0.504,0.455
43,0.0,0.504,0.455
44,0.0,0.504,0.457
45,0.0,0.504,0.457
46,0.0,0.505,0.457
47,0.0,0.505,0.457
48,0.0,0.505,0.457
49,0.0,0.505,0.457
50,0.0,0.506,0.458
51,0.0,0.506,0.458
52,0.0,0.507,0.457
53,0.0,0.507,0.457
54,0.0,0.508,0.457
55,0.0,0.508,0.457
56,0.0,0.508,0.458
57,0.0,0.508,0.458
58,0.0,0.509,0.459
59,0.0,0.509,0.459
60,0.0,0.509,0.459
61,0.0,0.509,0.459
62,0.0,0.51,0.459
63,0.0,0.51,0.459
64,0.0,0.511,0.46
65,0.0,0.511,0.46
66,0.0,0.512,0.461
67,0.0,0.512,0.461
68,0.0,0.512,0.461
69,0.0,0.512,0.461
70,0.015,0.513,0.461
71,0.015,0.513,0.461
72,0.015,0.514,0.461
73,0.015,0.514,0.461
74,0.055,0.515,0.461
75,0.055,0.515,0.461
76,0.055,0.516,0.46
