,time,2dmu,2dmv
0,0.0,0.513,0.551
1,0.0,0.513,0.551
2,0.0,0.513,0.551
3,0.0,0.513,0.551
4,0.0,0.513,0.551
5,0.0,0.513,0.551
6,0.0,0.513,0.551
7,0.0,0.513,0.551
8,0.0,0.513,0.551
9,0.0,0.513,0.551
10,0.0,0.513,0.551
11,0.0,0.513,0.551
12,0.0,0.513,0.551
13,0.0,0.513,0.551
14,0.0,0.513,0.551
15,0.0,0.513,0.551
16,0.0,0.512,0.551
17,0.0,0.512,0.551
18,0.0,0.512,0.551
19,0.0,0.512,0.551
20,0.0,0.511,0.551
21,0.0,0.511,0.551
22,0.0,0.511,0.551
23,0.0,0.511,0.551
24,0.0,0.511,0.551
25,0.0,0.511,0.551
26,0.0,0.511,0.551
27,0.0,0.511,0.551
28,0.0,0.51,0.551
29,0.0,0.51,0.551
30,0.0,0.51,0.551
31,0.0,0.51,0.551
32,0.0,0.51,0.551
33,0.0,0.51,0.551
34,0.0,0.51,0.551
35,0.0,0.51,0.551
36,0.0,0.509,0.551
37,0.0,0.509,0.551
38,0.0,0.509,0.551
39,0.0,0.509,0.551
40,0.0,0.509,0.551
41,0.0,0.509,0.551
42,0.0,0.509,0.551
43,0.0,0.509,0.551
44,0.0,0.509,0.55
45,0.0,0.509,0.55
46,0.0,0.509,0.55
47,0.0,0.509,0.55
48,0.0,0.509,0.55
49,0.0,0.509,0.55
50,0.0,0.509,0.55
51,0.0,0.509,0.55
52,0.0,0.509,0.55
53,0.0,0.509,0.55
54,0.0,0.509,0.55
55,0.0,0.509,0.55
56,0.0,0.509,0.55
57,0.0,0.509,0.55
58,0.0,0.509,0.55
59,0.0,0.509,0.55
60,0.0,0.51,0.55
61,0.0,0.51,0.55
62,0.0,0.51,0.55
63,0.0,0.51,0.55
64,0.0,0.51,0.55
65,0.0,0.51,0.55
66,0.0,0.51,0.55
67,0.0,0.51,0.55
68,0.012,0.51,0.55
69,0.012,0.51,0.55
70,0.012,0.511,0.55
71,0.012,0.511,0.55
72,0.053,0.511,0.5489999999999999
73,0.053,0.511,0.5489999999999999
74,0.053,0.511,0.5489999999999999
75,0.053,0.511,0.5489999999999999
76,0.053,0.511,0.5489999999999999
77,0.053,0.511,0.5489999999999999
78,0.093,0.511,0.5489999999999999
79,0.093,0.511,0.5489999999999999
80,0.093,0.511,0.5489999999999999
81,0.093,0.511,0.5489999999999999
82,0.133,0.512,0.5489999999999999
83,0.133,0.512,0.5489999999999999
84,0.133,0.512,0.5479999999999999
85,0.133,0.512,0.5479999999999999
86,0.173,0.512,0.5479999999999999
87,0.173,0.512,0.5479999999999999
88,0.173,0.512,0.5479999999999999
89,0.173,0.512,0.5479999999999999
90,0.173,0.512,0.5479999999999999
91,0.173,0.512,0.5479999999999999
92,0.213,0.512,0.5479999999999999
93,0.213,0.512,0.5479999999999999
94,0.213,0.512,0.5479999999999999
95,0.213,0.512,0.5479999999999999
96,0.254,0.512,0.547
97,0.254,0.512,0.547
98,0.254,0.511,0.547
99,0.254,0.511,0.547
100,0.254,0.511,0.547
101,0.254,0.511,0.547
102,0.295,0.511,0.546
103,0.295,0.511,0.546
104,0.295,0.511,0.546
105,0.295,0.511,0.546
106,0.335,0.511,0.545
107,0.335,0.511,0.545
108,0.335,0.511,0.544
109,0.335,0.511,0.544
110,0.335,0.51,0.5429999999999999
111,0.335,0.51,0.5429999999999999
112,0.376,0.509,0.542
113,0.376,0.509,0.542
114,0.376,0.509,0.542
115,0.376,0.509,0.542
116,0.417,0.508,0.542
117,0.417,0.508,0.542
118,0.417,0.506,0.542
119,0.417,0.506,0.542
120,0.457,0.504,0.541
121,0.457,0.504,0.541
122,0.457,0.502,0.54
123,0.457,0.502,0.54
124,0.457,0.502,0.54
125,0.457,0.502,0.54
126,0.4970000000000001,0.499,0.54
127,0.4970000000000001,0.499,0.54
128,0.4970000000000001,0.496,0.539
129,0.4970000000000001,0.496,0.539
130,0.537,0.493,0.539
131,0.537,0.493,0.539
132,0.537,0.49,0.5379999999999999
133,0.537,0.49,0.5379999999999999
134,0.537,0.49,0.5379999999999999
135,0.537,0.49,0.5379999999999999
136,0.578,0.487,0.5379999999999999
137,0.578,0.487,0.5379999999999999
138,0.578,0.484,0.537
139,0.578,0.484,0.537
140,0.619,0.481,0.536
141,0.619,0.481,0.536
142,0.619,0.481,0.536
143,0.619,0.481,0.536
144,0.619,0.477,0.535
145,0.619,0.477,0.535
146,0.659,0.474,0.534
147,0.659,0.474,0.534
148,0.659,0.471,0.534
149,0.659,0.471,0.534
150,0.6990000000000001,0.471,0.534
151,0.6990000000000001,0.471,0.534
152,0.6990000000000001,0.471,0.5329999999999999
153,0.6990000000000001,0.471,0.5329999999999999
154,0.74,0.468,0.532
155,0.74,0.468,0.532
156,0.74,0.465,0.531
157,0.74,0.465,0.531
158,0.74,0.461,0.53
159,0.74,0.461,0.53
160,0.78,0.46,0.529
161,0.78,0.46,0.529
162,0.78,0.458,0.529
163,0.78,0.458,0.529
164,0.82,0.455,0.528
165,0.82,0.455,0.528
166,0.82,0.452,0.527
167,0.82,0.452,0.527
168,0.82,0.452,0.527
169,0.82,0.452,0.527
170,0.861,0.449,0.526
171,0.861,0.449,0.526
172,0.861,0.447,0.525
173,0.861,0.447,0.525
174,0.901,0.444,0.524
175,0.901,0.444,0.524
176,0.901,0.441,0.523
177,0.901,0.441,0.523
178,0.901,0.441,0.523
179,0.901,0.441,0.523
180,0.942,0.438,0.523
181,0.942,0.438,0.523
182,0.942,0.436,0.523
183,0.942,0.436,0.523
184,0.982,0.433,0.523
185,0.982,0.433,0.523
186,0.982,0.43,0.523
187,0.982,0.43,0.523
188,1.022,0.43,0.523
189,1.022,0.43,0.523
190,1.022,0.428,0.522
191,1.022,0.428,0.522
