,time,2dmu,2dmv
0,0.0,0.521,0.456
1,0.0,0.521,0.456
2,0.0,0.521,0.456
3,0.0,0.521,0.456
4,0.0,0.521,0.457
5,0.0,0.521,0.457
6,0.0,0.52,0.459
7,0.0,0.52,0.459
8,0.0,0.52,0.459
9,0.0,0.52,0.459
10,0.0,0.519,0.462
11,0.0,0.519,0.462
12,0.0,0.519,0.462
13,0.0,0.519,0.462
14,0.0,0.517,0.464
15,0.0,0.517,0.464
16,0.0,0.517,0.464
17,0.0,0.517,0.464
18,0.0,0.516,0.465
19,0.0,0.516,0.465
20,0.0,0.516,0.467
21,0.0,0.516,0.467
22,0.0,0.516,0.467
23,0.0,0.516,0.467
24,0.0,0.516,0.468
25,0.0,0.516,0.468
26,0.0,0.516,0.468
27,0.0,0.516,0.468
28,0.0,0.515,0.469
29,0.0,0.515,0.469
30,0.0,0.515,0.469
31,0.0,0.515,0.469
32,0.0,0.515,0.469
33,0.0,0.517,0.471
34,0.0,0.515,0.469
35,0.0,0.517,0.471
36,0.0,0.517,0.471
37,0.0,0.517,0.471
38,0.0,0.518,0.471
39,0.0,0.518,0.471
40,0.0,0.518,0.471
41,0.0,0.518,0.471
42,0.0,0.517,0.47
43,0.0,0.517,0.47
44,0.0,0.517,0.47
45,0.0,0.517,0.47
46,0.017,0.517,0.469
47,0.017,0.517,0.469
48,0.017,0.517,0.469
49,0.017,0.517,0.469
50,0.057,0.517,0.469
51,0.057,0.517,0.469
52,0.057,0.517,0.468
53,0.057,0.517,0.468
54,0.098,0.517,0.468
55,0.098,0.517,0.468
56,0.098,0.517,0.468
57,0.098,0.517,0.468
58,0.098,0.517,0.468
59,0.098,0.517,0.468
60,0.138,0.517,0.467
61,0.138,0.517,0.467
62,0.138,0.517,0.467
63,0.138,0.517,0.467
64,0.17800000000000002,0.517,0.467
65,0.17800000000000002,0.517,0.467
66,0.17800000000000002,0.517,0.467
67,0.17800000000000002,0.517,0.467
68,0.17800000000000002,0.517,0.466
69,0.17800000000000002,0.517,0.466
70,0.218,0.517,0.466
71,0.218,0.517,0.466
72,0.218,0.517,0.466
73,0.218,0.517,0.466
74,0.259,0.517,0.466
75,0.259,0.517,0.466
76,0.259,0.517,0.466
77,0.259,0.517,0.466
78,0.299,0.517,0.466
79,0.299,0.517,0.466
80,0.299,0.517,0.466
81,0.299,0.517,0.466
82,0.299,0.517,0.466
83,0.299,0.517,0.466
84,0.339,0.516,0.466
85,0.339,0.516,0.466
86,0.339,0.516,0.466
87,0.339,0.516,0.466
88,0.379,0.516,0.466
89,0.379,0.516,0.466
90,0.379,0.516,0.466
91,0.379,0.516,0.466
92,0.379,0.516,0.466
93,0.379,0.516,0.466
94,0.419,0.516,0.466
95,0.419,0.516,0.466
96,0.419,0.516,0.466
97,0.419,0.516,0.466
98,0.458,0.516,0.466
99,0.458,0.516,0.466
100,0.458,0.516,0.466
101,0.458,0.516,0.466
102,0.498,0.516,0.466
103,0.498,0.516,0.466
104,0.498,0.516,0.466
105,0.498,0.516,0.466
106,0.498,0.516,0.465
107,0.498,0.516,0.465
108,0.5379999999999999,0.516,0.465
109,0.5379999999999999,0.516,0.465
110,0.5379999999999999,0.516,0.465
111,0.5379999999999999,0.516,0.465
112,0.578,0.516,0.465
113,0.578,0.516,0.465
114,0.578,0.516,0.465
115,0.578,0.516,0.465
116,0.578,0.516,0.465
117,0.578,0.516,0.465
118,0.618,0.516,0.465
119,0.618,0.516,0.465
120,0.618,0.516,0.465
121,0.618,0.516,0.465
122,0.66,0.516,0.465
123,0.66,0.516,0.465
124,0.66,0.516,0.465
125,0.66,0.516,0.465
126,0.7,0.516,0.465
127,0.7,0.516,0.465
128,0.7,0.516,0.464
129,0.7,0.516,0.464
130,0.7,0.516,0.464
131,0.7,0.516,0.464
132,0.74,0.516,0.464
133,0.74,0.516,0.464
134,0.74,0.516,0.464
135,0.74,0.516,0.464
136,0.78,0.516,0.464
137,0.78,0.516,0.464
138,0.78,0.516,0.464
139,0.78,0.516,0.464
140,0.78,0.516,0.464
141,0.78,0.516,0.464
142,0.821,0.516,0.464
143,0.821,0.516,0.464
144,0.821,0.516,0.464
145,0.821,0.516,0.464
146,0.861,0.515,0.464
147,0.861,0.515,0.464
148,0.861,0.515,0.464
149,0.861,0.515,0.464
150,0.861,0.515,0.464
151,0.861,0.515,0.464
152,0.902,0.515,0.463
153,0.902,0.515,0.463
154,0.902,0.515,0.463
155,0.902,0.515,0.463
156,0.941,0.515,0.463
157,0.941,0.515,0.463
158,0.941,0.515,0.463
159,0.941,0.515,0.463
160,0.982,0.515,0.463
161,0.982,0.515,0.463
162,0.982,0.515,0.463
163,0.982,0.515,0.463
164,0.982,0.515,0.463
165,0.982,0.515,0.463
166,1.022,0.515,0.463
167,1.022,0.515,0.463
168,1.022,0.515,0.463
169,1.022,0.515,0.463
170,1.062,0.515,0.462
171,1.062,0.515,0.462
172,1.062,0.515,0.462
173,1.062,0.515,0.462
174,1.062,0.515,0.462
175,1.062,0.515,0.462
176,1.102,0.515,0.462
177,1.102,0.515,0.462
178,1.102,0.515,0.462
179,1.102,0.515,0.462
180,1.142,0.515,0.462
181,1.142,0.515,0.462
182,1.142,0.515,0.462
183,1.142,0.515,0.462
184,1.182,0.515,0.461
185,1.182,0.515,0.461
186,1.182,0.515,0.461
187,1.182,0.515,0.461
188,1.182,0.514,0.461
189,1.182,0.514,0.461
190,1.223,0.514,0.46
191,1.223,0.514,0.46
192,1.223,0.514,0.46
193,1.223,0.514,0.46
194,1.264,0.514,0.46
195,1.264,0.514,0.46
196,1.264,0.514,0.46
197,1.264,0.514,0.46
198,1.264,0.514,0.459
199,1.264,0.514,0.459
200,1.304,0.514,0.459
201,1.304,0.514,0.459
202,1.304,0.514,0.458
203,1.304,0.514,0.458
204,1.345,0.514,0.457
205,1.345,0.514,0.457
206,1.345,0.514,0.456
207,1.345,0.514,0.456
208,1.345,0.514,0.455
209,1.345,0.514,0.455
210,1.386,0.514,0.453
211,1.386,0.514,0.453
212,1.386,0.514,0.452
213,1.386,0.514,0.452
214,1.426,0.514,0.45
215,1.426,0.514,0.45
216,1.426,0.513,0.449
217,1.426,0.513,0.449
218,1.466,0.513,0.449
219,1.466,0.513,0.449
220,1.466,0.512,0.449
221,1.466,0.512,0.449
222,1.466,0.51,0.45
223,1.466,0.51,0.45
224,1.507,0.508,0.45
225,1.507,0.508,0.45
226,1.507,0.505,0.452
227,1.507,0.505,0.452
228,1.548,0.5,0.454
229,1.548,0.5,0.454
230,1.548,0.494,0.456
231,1.548,0.494,0.456
232,1.548,0.494,0.456
233,1.548,0.494,0.456
234,1.589,0.493,0.456
235,1.589,0.493,0.456
236,1.589,0.487,0.457
237,1.589,0.487,0.457
238,1.629,0.481,0.458
239,1.629,0.481,0.458
240,1.629,0.475,0.46
241,1.629,0.475,0.46
242,1.629,0.475,0.46
243,1.629,0.475,0.46
244,1.67,0.469,0.461
245,1.67,0.469,0.461
246,1.67,0.464,0.462
247,1.67,0.464,0.462
248,1.71,0.458,0.462
249,1.71,0.458,0.462
250,1.71,0.452,0.462
251,1.71,0.452,0.462
252,1.75,0.447,0.46
253,1.75,0.447,0.46
254,1.75,0.447,0.46
255,1.75,0.447,0.46
256,1.75,0.443,0.46
257,1.75,0.443,0.46
258,1.79,0.439,0.46
259,1.79,0.439,0.46
260,1.79,0.435,0.463
261,1.79,0.435,0.463
262,1.831,0.431,0.465
263,1.831,0.431,0.465
264,1.831,0.431,0.465
265,1.831,0.431,0.465
266,1.831,0.4320000000000001,0.465
267,1.831,0.4320000000000001,0.465
268,1.871,0.428,0.466
269,1.871,0.428,0.466
270,1.871,0.425,0.467
271,1.871,0.425,0.467
272,1.912,0.421,0.469
273,1.912,0.421,0.469
274,1.912,0.421,0.469
275,1.912,0.421,0.469
276,1.912,0.419,0.47
277,1.912,0.419,0.47
278,1.952,0.416,0.47
279,1.952,0.416,0.47
280,1.952,0.414,0.47
281,1.952,0.414,0.47
282,1.993,0.41,0.469
283,1.993,0.41,0.469
284,1.993,0.407,0.468
285,1.993,0.407,0.468
286,2.0340000000000003,0.407,0.468
287,2.0340000000000003,0.407,0.468
288,2.0340000000000003,0.404,0.467
289,2.0340000000000003,0.404,0.467
290,2.0340000000000003,0.4,0.467
291,2.0340000000000003,0.4,0.467
292,2.075,0.396,0.465
293,2.075,0.396,0.465
294,2.075,0.396,0.465
295,2.075,0.396,0.465
296,2.114,0.393,0.463
297,2.114,0.393,0.463
298,2.114,0.391,0.461
299,2.114,0.391,0.461
300,2.114,0.389,0.459
301,2.114,0.389,0.459
302,2.154,0.39,0.459
303,2.154,0.39,0.459
304,2.154,0.39,0.459
305,2.154,0.39,0.459
306,2.194,0.389,0.457
307,2.194,0.389,0.457
308,2.194,0.388,0.455
309,2.194,0.388,0.455
310,2.194,0.388,0.454
311,2.194,0.388,0.454
312,2.235,0.388,0.454
313,2.235,0.388,0.454
314,2.235,0.388,0.454
315,2.235,0.388,0.454
316,2.276,0.388,0.454
317,2.276,0.388,0.454
318,2.276,0.388,0.455
319,2.276,0.388,0.455
320,2.317,0.389,0.455
321,2.317,0.389,0.455
322,2.317,0.39,0.455
323,2.317,0.39,0.455
324,2.317,0.39,0.455
325,2.317,0.39,0.455
326,2.357,0.392,0.455
327,2.357,0.392,0.455
328,2.357,0.393,0.456
329,2.357,0.393,0.456
330,2.397,0.394,0.456
331,2.397,0.394,0.456
332,2.397,0.396,0.455
333,2.397,0.396,0.455
334,2.397,0.396,0.455
335,2.397,0.396,0.455
336,2.437,0.399,0.456
337,2.437,0.399,0.456
338,2.437,0.403,0.457
339,2.437,0.403,0.457
340,2.478,0.407,0.458
341,2.478,0.407,0.458
342,2.478,0.414,0.459
343,2.478,0.414,0.459
344,2.478,0.414,0.459
345,2.478,0.414,0.459
346,2.517,0.416,0.459
347,2.517,0.416,0.459
348,2.517,0.423,0.461
349,2.517,0.423,0.461
350,2.5580000000000003,0.43,0.463
351,2.5580000000000003,0.43,0.463
352,2.5580000000000003,0.4370000000000001,0.465
353,2.5580000000000003,0.4370000000000001,0.465
354,2.5980000000000003,0.4370000000000001,0.465
355,2.5980000000000003,0.4370000000000001,0.465
356,2.5980000000000003,0.445,0.466
357,2.5980000000000003,0.445,0.466
358,2.5980000000000003,0.451,0.468
359,2.5980000000000003,0.451,0.468
360,2.638,0.457,0.47
361,2.638,0.457,0.47
362,2.638,0.463,0.472
363,2.638,0.463,0.472
364,2.679,0.467,0.472
365,2.679,0.467,0.472
366,2.679,0.467,0.472
367,2.679,0.467,0.472
368,2.679,0.472,0.472
369,2.679,0.472,0.472
370,2.719,0.475,0.473
371,2.719,0.475,0.473
372,2.719,0.478,0.474
373,2.719,0.478,0.474
374,2.759,0.478,0.474
375,2.759,0.478,0.474
376,2.759,0.48,0.473
377,2.759,0.48,0.473
378,2.799,0.479,0.473
379,2.799,0.479,0.473
380,2.799,0.484,0.473
381,2.799,0.484,0.473
382,2.799,0.484,0.473
383,2.799,0.484,0.473
384,2.84,0.485,0.472
385,2.84,0.485,0.472
386,2.84,0.485,0.472
387,2.84,0.485,0.472
388,2.881,0.486,0.472
389,2.881,0.486,0.472
390,2.881,0.488,0.47
391,2.881,0.488,0.47
392,2.881,0.489,0.47
393,2.881,0.489,0.47
394,2.922,0.489,0.469
395,2.922,0.489,0.469
396,2.922,0.489,0.469
397,2.922,0.489,0.469
398,2.962,0.49,0.471
399,2.962,0.49,0.471
400,2.962,0.491,0.472
401,2.962,0.491,0.472
402,2.962,0.491,0.474
403,2.962,0.491,0.474
404,3.002,0.4920000000000001,0.476
405,3.002,0.4920000000000001,0.476
406,3.002,0.4920000000000001,0.476
407,3.002,0.4920000000000001,0.476
408,3.043,0.493,0.478
409,3.043,0.493,0.478
410,3.043,0.493,0.479
411,3.043,0.493,0.479
412,3.083,0.494,0.48
413,3.083,0.494,0.48
414,3.083,0.494,0.481
415,3.083,0.494,0.481
416,3.083,0.494,0.481
417,3.083,0.494,0.481
418,3.124,0.494,0.481
419,3.124,0.494,0.481
