,time,2dmu,2dmv
0,0.0,0.509,0.534
1,0.0,0.509,0.534
2,0.0,0.509,0.534
3,0.0,0.509,0.534
4,0.0,0.509,0.534
5,0.0,0.509,0.534
6,0.0,0.51,0.534
7,0.0,0.51,0.534
8,0.0,0.51,0.534
9,0.0,0.51,0.534
10,0.0,0.511,0.5329999999999999
11,0.0,0.511,0.5329999999999999
12,0.0,0.511,0.532
13,0.0,0.511,0.532
14,0.0,0.511,0.532
15,0.0,0.511,0.532
16,0.0,0.513,0.53
17,0.0,0.513,0.53
18,0.0,0.513,0.53
19,0.0,0.513,0.53
20,0.0,0.514,0.529
21,0.0,0.514,0.529
22,0.0,0.515,0.527
23,0.0,0.515,0.527
24,0.0,0.515,0.527
25,0.0,0.515,0.527
26,0.0,0.516,0.525
27,0.0,0.516,0.525
28,0.0,0.517,0.525
29,0.0,0.517,0.525
30,0.0,0.517,0.525
31,0.0,0.517,0.525
32,0.0,0.516,0.524
33,0.0,0.516,0.524
34,0.0,0.516,0.523
35,0.0,0.516,0.523
36,0.0,0.516,0.523
37,0.0,0.516,0.523
38,0.0,0.515,0.522
39,0.0,0.515,0.522
40,0.0,0.515,0.522
41,0.0,0.515,0.522
42,0.0,0.51,0.523
43,0.0,0.51,0.523
44,0.0,0.51,0.523
45,0.0,0.51,0.523
46,0.0,0.509,0.523
47,0.0,0.509,0.523
48,0.0,0.507,0.524
49,0.0,0.507,0.524
50,0.0,0.507,0.525
51,0.0,0.507,0.525
52,0.0,0.506,0.526
53,0.0,0.506,0.526
54,0.0,0.506,0.526
55,0.0,0.506,0.526
56,0.0,0.502,0.528
57,0.0,0.502,0.528
58,0.0,0.501,0.528
59,0.0,0.501,0.528
60,0.0,0.499,0.529
61,0.0,0.499,0.529
62,0.02,0.499,0.528
63,0.02,0.499,0.528
64,0.02,0.499,0.528
65,0.02,0.499,0.528
66,0.061,0.498,0.528
67,0.061,0.498,0.528
68,0.061,0.496,0.528
69,0.061,0.496,0.528
70,0.061,0.495,0.528
71,0.061,0.495,0.528
72,0.101,0.493,0.527
73,0.101,0.493,0.527
74,0.101,0.491,0.527
75,0.101,0.491,0.527
76,0.141,0.491,0.527
77,0.141,0.491,0.527
78,0.141,0.49,0.526
79,0.141,0.49,0.526
80,0.141,0.489,0.525
81,0.141,0.489,0.525
82,0.182,0.488,0.524
83,0.182,0.488,0.524
84,0.182,0.488,0.524
85,0.182,0.488,0.524
86,0.222,0.487,0.523
87,0.222,0.487,0.523
88,0.222,0.486,0.523
89,0.222,0.486,0.523
90,0.263,0.486,0.522
91,0.263,0.486,0.522
92,0.263,0.486,0.522
93,0.263,0.486,0.522
94,0.263,0.486,0.522
95,0.263,0.486,0.522
96,0.304,0.485,0.52
97,0.304,0.485,0.52
98,0.304,0.483,0.518
99,0.304,0.483,0.518
100,0.34600000000000003,0.482,0.515
101,0.34600000000000003,0.482,0.515
102,0.34600000000000003,0.48,0.512
103,0.34600000000000003,0.48,0.512
104,0.34600000000000003,0.48,0.512
105,0.34600000000000003,0.48,0.512
106,0.387,0.478,0.509
107,0.387,0.478,0.509
108,0.387,0.477,0.506
109,0.387,0.477,0.506
110,0.4270000000000001,0.474,0.503
111,0.4270000000000001,0.474,0.503
112,0.4270000000000001,0.472,0.499
113,0.4270000000000001,0.472,0.499
114,0.4270000000000001,0.469,0.496
115,0.4270000000000001,0.469,0.496
116,0.467,0.469,0.496
117,0.467,0.469,0.496
118,0.467,0.467,0.494
119,0.467,0.467,0.494
120,0.508,0.465,0.491
121,0.508,0.465,0.491
122,0.508,0.462,0.489
123,0.508,0.462,0.489
124,0.508,0.462,0.489
125,0.508,0.462,0.489
126,0.5479999999999999,0.46,0.487
127,0.5479999999999999,0.46,0.487
128,0.5479999999999999,0.458,0.485
129,0.5479999999999999,0.458,0.485
130,0.588,0.456,0.485
131,0.588,0.456,0.485
132,0.588,0.456,0.485
133,0.588,0.456,0.485
134,0.628,0.456,0.485
135,0.628,0.456,0.485
136,0.628,0.455,0.484
137,0.628,0.455,0.484
138,0.628,0.453,0.483
139,0.628,0.453,0.483
140,0.669,0.453,0.483
141,0.669,0.453,0.483
142,0.669,0.452,0.482
143,0.669,0.452,0.482
144,0.71,0.452,0.482
145,0.71,0.452,0.482
146,0.71,0.451,0.482
147,0.71,0.451,0.482
148,0.71,0.451,0.482
149,0.71,0.451,0.482
150,0.7509999999999999,0.451,0.482
151,0.7509999999999999,0.451,0.482
152,0.7509999999999999,0.451,0.482
153,0.7509999999999999,0.451,0.482
154,0.7909999999999999,0.451,0.482
155,0.7909999999999999,0.451,0.482
156,0.7909999999999999,0.45,0.482
157,0.7909999999999999,0.45,0.482
158,0.7909999999999999,0.45,0.482
159,0.7909999999999999,0.45,0.482
160,0.831,0.45,0.481
161,0.831,0.45,0.481
162,0.831,0.45,0.481
163,0.831,0.45,0.481
164,0.871,0.45,0.481
165,0.871,0.45,0.481
166,0.871,0.45,0.481
167,0.871,0.45,0.481
168,0.913,0.45,0.482
169,0.913,0.45,0.482
170,0.913,0.45,0.484
171,0.913,0.45,0.484
172,0.913,0.45,0.484
173,0.913,0.45,0.484
174,0.953,0.45,0.486
175,0.953,0.45,0.486
176,0.953,0.449,0.487
177,0.953,0.449,0.487
178,0.993,0.448,0.489
179,0.993,0.448,0.489
180,0.993,0.448,0.489
181,0.993,0.448,0.489
182,0.993,0.447,0.489
183,0.993,0.447,0.489
184,1.034,0.446,0.489
185,1.034,0.446,0.489
186,1.034,0.446,0.489
187,1.034,0.446,0.489
188,1.075,0.445,0.489
189,1.075,0.445,0.489
190,1.075,0.445,0.489
191,1.075,0.445,0.489
192,1.075,0.444,0.489
193,1.075,0.444,0.489
194,1.117,0.444,0.489
195,1.117,0.444,0.489
196,1.117,0.444,0.489
197,1.117,0.444,0.489
198,1.157,0.445,0.488
199,1.157,0.445,0.488
200,1.157,0.445,0.488
201,1.157,0.445,0.488
202,1.157,0.445,0.488
203,1.157,0.445,0.488
204,1.199,0.447,0.487
205,1.199,0.447,0.487
206,1.199,0.448,0.487
207,1.199,0.448,0.487
208,1.239,0.449,0.486
209,1.239,0.449,0.486
210,1.239,0.449,0.486
211,1.239,0.449,0.486
212,1.279,0.45,0.486
213,1.279,0.45,0.486
214,1.279,0.452,0.486
215,1.279,0.452,0.486
216,1.279,0.453,0.485
217,1.279,0.453,0.485
218,1.32,0.454,0.485
219,1.32,0.454,0.485
220,1.32,0.454,0.485
221,1.32,0.454,0.485
222,1.361,0.455,0.484
223,1.361,0.455,0.484
224,1.361,0.456,0.484
225,1.361,0.456,0.484
226,1.361,0.456,0.483
227,1.361,0.456,0.483
228,1.401,0.456,0.483
229,1.401,0.456,0.483
230,1.401,0.456,0.482
231,1.401,0.456,0.482
232,1.4409999999999998,0.456,0.481
233,1.4409999999999998,0.456,0.481
234,1.4409999999999998,0.456,0.48
235,1.4409999999999998,0.456,0.48
236,1.4409999999999998,0.457,0.479
237,1.4409999999999998,0.457,0.479
238,1.481,0.457,0.479
239,1.481,0.457,0.479
240,1.481,0.457,0.478
241,1.481,0.457,0.478
242,1.5219999999999998,0.457,0.477
243,1.5219999999999998,0.457,0.477
244,1.5219999999999998,0.457,0.475
245,1.5219999999999998,0.457,0.475
246,1.5630000000000002,0.457,0.474
247,1.5630000000000002,0.457,0.474
248,1.5630000000000002,0.457,0.474
249,1.5630000000000002,0.457,0.474
250,1.5630000000000002,0.457,0.474
251,1.5630000000000002,0.457,0.474
252,1.604,0.457,0.474
253,1.604,0.457,0.474
254,1.604,0.457,0.473
255,1.604,0.457,0.473
256,1.645,0.457,0.473
257,1.645,0.457,0.473
258,1.645,0.458,0.472
259,1.645,0.458,0.472
260,1.645,0.458,0.472
261,1.645,0.458,0.472
262,1.686,0.458,0.47
263,1.686,0.458,0.47
264,1.686,0.458,0.469
265,1.686,0.458,0.469
266,1.726,0.459,0.469
267,1.726,0.459,0.469
268,1.726,0.459,0.469
269,1.726,0.459,0.469
270,1.726,0.459,0.468
271,1.726,0.459,0.468
272,1.768,0.459,0.467
273,1.768,0.459,0.467
274,1.768,0.459,0.467
275,1.768,0.459,0.467
276,1.809,0.46,0.467
277,1.809,0.46,0.467
278,1.809,0.46,0.466
279,1.809,0.46,0.466
280,1.809,0.46,0.466
281,1.809,0.46,0.466
282,1.849,0.46,0.465
283,1.849,0.46,0.465
284,1.849,0.46,0.465
285,1.849,0.46,0.465
286,1.891,0.46,0.465
287,1.891,0.46,0.465
288,1.891,0.461,0.465
289,1.891,0.461,0.465
290,1.891,0.461,0.465
291,1.891,0.461,0.465
292,1.932,0.461,0.465
293,1.932,0.461,0.465
294,1.932,0.461,0.464
295,1.932,0.461,0.464
296,1.973,0.46,0.464
297,1.973,0.46,0.464
298,1.973,0.46,0.464
299,1.973,0.46,0.464
300,1.973,0.46,0.464
301,1.973,0.46,0.464
302,2.015,0.46,0.464
303,2.015,0.46,0.464
304,2.015,0.46,0.464
305,2.015,0.46,0.464
306,2.055,0.46,0.464
307,2.055,0.46,0.464
308,2.055,0.459,0.464
309,2.055,0.459,0.464
310,2.095,0.459,0.464
311,2.095,0.459,0.464
312,2.095,0.459,0.464
313,2.095,0.459,0.464
314,2.095,0.458,0.464
315,2.095,0.458,0.464
316,2.137,0.458,0.464
317,2.137,0.458,0.464
318,2.137,0.458,0.464
319,2.137,0.458,0.464
320,2.177,0.457,0.463
321,2.177,0.457,0.463
322,2.177,0.457,0.463
323,2.177,0.457,0.463
324,2.177,0.457,0.463
325,2.177,0.457,0.463
326,2.217,0.456,0.462
327,2.217,0.456,0.462
328,2.217,0.456,0.462
329,2.217,0.456,0.462
330,2.258,0.455,0.462
331,2.258,0.455,0.462
332,2.258,0.455,0.462
333,2.258,0.455,0.462
334,2.258,0.455,0.462
335,2.258,0.455,0.462
336,2.298,0.455,0.461
337,2.298,0.455,0.461
338,2.298,0.455,0.461
339,2.298,0.455,0.461
340,2.339,0.454,0.461
341,2.339,0.454,0.461
342,2.339,0.454,0.461
343,2.339,0.454,0.461
344,2.38,0.454,0.461
345,2.38,0.454,0.461
346,2.38,0.454,0.461
347,2.38,0.454,0.461
348,2.38,0.454,0.461
349,2.38,0.454,0.461
350,2.42,0.454,0.461
351,2.42,0.454,0.461
352,2.42,0.454,0.461
353,2.42,0.454,0.461
354,2.46,0.454,0.46
355,2.46,0.454,0.46
356,2.46,0.454,0.46
357,2.46,0.454,0.46
358,2.46,0.455,0.459
359,2.46,0.455,0.459
360,2.501,0.454,0.458
361,2.501,0.454,0.458
362,2.501,0.454,0.458
363,2.501,0.454,0.458
364,2.542,0.455,0.457
365,2.542,0.455,0.457
366,2.542,0.455,0.454
367,2.542,0.455,0.454
368,2.542,0.455,0.451
369,2.542,0.455,0.451
370,2.583,0.455,0.451
371,2.583,0.455,0.451
372,2.583,0.454,0.447
373,2.583,0.454,0.447
374,2.623,0.454,0.44
375,2.623,0.454,0.44
376,2.623,0.454,0.434
377,2.623,0.454,0.434
378,2.664,0.454,0.4270000000000001
379,2.664,0.454,0.4270000000000001
380,2.664,0.454,0.4270000000000001
381,2.664,0.454,0.4270000000000001
382,2.664,0.454,0.418
383,2.664,0.454,0.418
384,2.705,0.454,0.41
385,2.705,0.454,0.41
386,2.705,0.454,0.401
387,2.705,0.454,0.401
388,2.745,0.454,0.401
389,2.745,0.454,0.401
390,2.745,0.455,0.392
391,2.745,0.455,0.392
392,2.745,0.455,0.385
393,2.745,0.455,0.385
394,2.786,0.456,0.379
395,2.786,0.456,0.379
396,2.786,0.457,0.38
397,2.786,0.457,0.38
398,2.8280000000000003,0.457,0.38
399,2.8280000000000003,0.457,0.38
400,2.8280000000000003,0.457,0.374
401,2.8280000000000003,0.457,0.374
402,2.8280000000000003,0.458,0.37
403,2.8280000000000003,0.458,0.37
404,2.8680000000000003,0.46,0.3670000000000001
405,2.8680000000000003,0.46,0.3670000000000001
406,2.8680000000000003,0.461,0.364
407,2.8680000000000003,0.461,0.364
408,2.909,0.461,0.364
409,2.909,0.461,0.364
410,2.909,0.462,0.363
411,2.909,0.462,0.363
412,2.909,0.463,0.361
413,2.909,0.463,0.361
414,2.949,0.464,0.359
415,2.949,0.464,0.359
416,2.949,0.465,0.358
417,2.949,0.465,0.358
418,2.99,0.466,0.35700000000000004
419,2.99,0.466,0.35700000000000004
420,2.99,0.466,0.35700000000000004
421,2.99,0.466,0.35700000000000004
422,3.03,0.467,0.35700000000000004
423,3.03,0.467,0.35700000000000004
424,3.03,0.468,0.35600000000000004
425,3.03,0.468,0.35600000000000004
426,3.03,0.468,0.355
427,3.03,0.468,0.355
428,3.072,0.468,0.355
429,3.072,0.468,0.355
430,3.072,0.469,0.354
431,3.072,0.469,0.354
432,3.112,0.469,0.355
433,3.112,0.469,0.355
434,3.112,0.469,0.355
435,3.112,0.469,0.355
436,3.112,0.469,0.355
437,3.112,0.469,0.355
438,3.153,0.469,0.355
439,3.153,0.469,0.355
440,3.153,0.469,0.35600000000000004
441,3.153,0.469,0.35600000000000004
442,3.194,0.47,0.35600000000000004
443,3.194,0.47,0.35600000000000004
444,3.194,0.47,0.35700000000000004
445,3.194,0.47,0.35700000000000004
446,3.194,0.47,0.35700000000000004
447,3.194,0.47,0.35700000000000004
448,3.234,0.47,0.358
449,3.234,0.47,0.358
450,3.234,0.469,0.358
451,3.234,0.469,0.358
452,3.275,0.469,0.359
453,3.275,0.469,0.359
454,3.275,0.469,0.359
455,3.275,0.469,0.359
456,3.275,0.469,0.359
457,3.275,0.469,0.359
458,3.315,0.469,0.36
459,3.315,0.469,0.36
460,3.315,0.468,0.36
461,3.315,0.468,0.36
462,3.355,0.468,0.36
463,3.355,0.468,0.36
464,3.355,0.468,0.361
465,3.355,0.468,0.361
466,3.3960000000000004,0.467,0.361
467,3.3960000000000004,0.467,0.361
468,3.3960000000000004,0.467,0.361
469,3.3960000000000004,0.467,0.361
470,3.3960000000000004,0.467,0.362
471,3.3960000000000004,0.467,0.362
472,3.437,0.467,0.363
473,3.437,0.467,0.363
474,3.437,0.466,0.364
475,3.437,0.466,0.364
476,3.477,0.466,0.364
477,3.477,0.466,0.364
478,3.477,0.465,0.364
479,3.477,0.465,0.364
480,3.477,0.465,0.365
481,3.477,0.465,0.365
482,3.517,0.465,0.366
483,3.517,0.465,0.366
484,3.517,0.464,0.3670000000000001
485,3.517,0.464,0.3670000000000001
486,3.5580000000000003,0.464,0.3670000000000001
487,3.5580000000000003,0.464,0.3670000000000001
488,3.5580000000000003,0.463,0.368
489,3.5580000000000003,0.463,0.368
490,3.5580000000000003,0.463,0.369
491,3.5580000000000003,0.463,0.369
492,3.5980000000000003,0.462,0.37
493,3.5980000000000003,0.462,0.37
494,3.5980000000000003,0.461,0.371
495,3.5980000000000003,0.461,0.371
496,3.638,0.461,0.371
497,3.638,0.461,0.371
498,3.638,0.461,0.373
