,time,2dmu,2dmv
0,0.0,0.499,0.502
1,0.0,0.499,0.502
2,0.0,0.499,0.502
3,0.0,0.499,0.502
4,0.0,0.499,0.502
5,0.0,0.499,0.502
6,0.0,0.499,0.502
7,0.0,0.499,0.502
8,0.0,0.499,0.502
9,0.0,0.499,0.502
10,0.0,0.499,0.502
11,0.0,0.499,0.502
12,0.0,0.499,0.502
13,0.0,0.499,0.502
14,0.0,0.499,0.502
15,0.0,0.499,0.502
16,0.0,0.499,0.502
17,0.0,0.499,0.502
18,0.0,0.499,0.502
19,0.0,0.499,0.502
20,0.0,0.499,0.502
21,0.0,0.499,0.502
22,0.0,0.499,0.502
23,0.0,0.499,0.502
24,0.0,0.499,0.502
25,0.0,0.499,0.502
26,0.0,0.499,0.502
27,0.0,0.499,0.502
28,0.0,0.499,0.502
29,0.0,0.499,0.502
30,0.0,0.499,0.502
31,0.0,0.499,0.502
32,0.0,0.499,0.502
33,0.0,0.499,0.502
34,0.0,0.499,0.502
35,0.0,0.499,0.502
36,0.0,0.499,0.502
37,0.0,0.499,0.502
38,0.0,0.499,0.502
39,0.0,0.499,0.502
40,0.0,0.498,0.502
41,0.0,0.498,0.502
42,0.0,0.499,0.502
43,0.0,0.499,0.502
44,0.0,0.499,0.502
45,0.0,0.499,0.502
46,0.0,0.499,0.502
47,0.0,0.499,0.502
48,0.0,0.499,0.502
49,0.0,0.499,0.502
50,0.0,0.499,0.502
51,0.0,0.499,0.502
52,0.0,0.499,0.502
53,0.0,0.499,0.502
54,0.0,0.499,0.502
55,0.0,0.499,0.502
56,0.0,0.499,0.502
57,0.0,0.499,0.502
58,0.0,0.499,0.502
59,0.0,0.499,0.502
60,0.0,0.499,0.502
61,0.0,0.499,0.502
62,0.018000000000000002,0.499,0.502
63,0.018000000000000002,0.499,0.502
64,0.018000000000000002,0.499,0.502
65,0.018000000000000002,0.499,0.502
66,0.018000000000000002,0.499,0.501
67,0.018000000000000002,0.499,0.501
68,0.059,0.499,0.501
69,0.059,0.499,0.501
70,0.059,0.499,0.501
71,0.059,0.499,0.501
72,0.099,0.499,0.501
73,0.099,0.499,0.501
74,0.099,0.499,0.501
75,0.099,0.499,0.501
76,0.099,0.499,0.501
77,0.099,0.499,0.501
78,0.139,0.499,0.501
79,0.139,0.499,0.501
80,0.139,0.499,0.501
81,0.139,0.499,0.501
82,0.18,0.5,0.501
83,0.18,0.5,0.501
84,0.18,0.5,0.501
85,0.18,0.5,0.501
86,0.22,0.5,0.501
87,0.22,0.5,0.501
88,0.22,0.501,0.501
89,0.22,0.501,0.501
90,0.22,0.501,0.501
91,0.22,0.501,0.501
92,0.26,0.501,0.501
93,0.26,0.501,0.501
94,0.26,0.501,0.501
95,0.26,0.501,0.501
96,0.3,0.501,0.501
97,0.3,0.501,0.501
98,0.3,0.502,0.5
99,0.3,0.502,0.5
100,0.3,0.502,0.5
101,0.3,0.502,0.5
102,0.34,0.502,0.5
103,0.34,0.502,0.5
104,0.34,0.502,0.499
105,0.34,0.502,0.499
106,0.381,0.502,0.499
107,0.381,0.502,0.499
108,0.381,0.502,0.498
109,0.381,0.502,0.498
110,0.381,0.503,0.4970000000000001
111,0.381,0.503,0.4970000000000001
112,0.422,0.504,0.495
113,0.422,0.504,0.495
114,0.422,0.505,0.493
115,0.422,0.505,0.493
116,0.463,0.505,0.493
117,0.463,0.505,0.493
118,0.463,0.506,0.491
119,0.463,0.506,0.491
120,0.463,0.508,0.488
121,0.463,0.508,0.488
122,0.504,0.511,0.485
123,0.504,0.511,0.485
124,0.504,0.514,0.481
125,0.504,0.514,0.481
126,0.545,0.517,0.477
127,0.545,0.517,0.477
128,0.545,0.517,0.477
129,0.545,0.517,0.477
130,0.586,0.52,0.473
131,0.586,0.52,0.473
132,0.586,0.523,0.469
133,0.586,0.523,0.469
134,0.586,0.527,0.465
135,0.586,0.527,0.465
136,0.627,0.529,0.46
137,0.627,0.529,0.46
138,0.627,0.529,0.46
139,0.627,0.529,0.46
140,0.6659999999999999,0.529,0.46
141,0.6659999999999999,0.529,0.46
142,0.6659999999999999,0.532,0.456
143,0.6659999999999999,0.532,0.456
144,0.6659999999999999,0.534,0.452
145,0.6659999999999999,0.534,0.452
146,0.7070000000000001,0.537,0.448
147,0.7070000000000001,0.537,0.448
148,0.7070000000000001,0.537,0.448
149,0.7070000000000001,0.537,0.448
150,0.747,0.539,0.444
151,0.747,0.539,0.444
152,0.747,0.542,0.439
153,0.747,0.542,0.439
154,0.747,0.544,0.435
155,0.747,0.544,0.435
156,0.787,0.546,0.43
157,0.787,0.546,0.43
158,0.787,0.5479999999999999,0.425
159,0.787,0.5479999999999999,0.425
160,0.828,0.5479999999999999,0.425
161,0.828,0.5479999999999999,0.425
162,0.828,0.55,0.421
163,0.828,0.55,0.421
164,0.8690000000000001,0.552,0.416
165,0.8690000000000001,0.552,0.416
166,0.8690000000000001,0.5529999999999999,0.411
167,0.8690000000000001,0.5529999999999999,0.411
168,0.8690000000000001,0.555,0.407
169,0.8690000000000001,0.555,0.407
170,0.91,0.555,0.407
171,0.91,0.555,0.407
172,0.91,0.555,0.407
173,0.91,0.555,0.407
174,0.95,0.557,0.404
175,0.95,0.557,0.404
176,0.95,0.5589999999999999,0.4
177,0.95,0.5589999999999999,0.4
178,0.95,0.56,0.396
179,0.95,0.56,0.396
180,0.989,0.562,0.393
181,0.989,0.562,0.393
182,0.989,0.562,0.39
183,0.989,0.562,0.39
184,1.03,0.562,0.39
185,1.03,0.562,0.39
186,1.03,0.563,0.388
187,1.03,0.563,0.388
188,1.07,0.563,0.387
189,1.07,0.563,0.387
