,time,2dmu,2dmv
0,0.0,0.504,0.5
1,0.0,0.504,0.5
2,0.0,0.504,0.5
3,0.0,0.504,0.5
4,0.0,0.504,0.5
5,0.0,0.504,0.5
6,0.0,0.504,0.501
7,0.0,0.504,0.501
8,0.0,0.504,0.501
9,0.0,0.504,0.501
10,0.0,0.504,0.502
11,0.0,0.504,0.502
12,0.0,0.504,0.502
13,0.0,0.504,0.502
14,0.0,0.504,0.502
15,0.0,0.504,0.502
16,0.0,0.504,0.503
17,0.0,0.504,0.503
18,0.0,0.504,0.503
19,0.0,0.504,0.503
20,0.0,0.504,0.503
21,0.0,0.504,0.503
22,0.0,0.503,0.503
23,0.0,0.503,0.503
24,0.0,0.503,0.504
25,0.0,0.503,0.504
26,0.0,0.503,0.504
27,0.0,0.503,0.504
28,0.0,0.503,0.504
29,0.0,0.503,0.504
30,0.0,0.503,0.505
31,0.0,0.503,0.505
32,0.0,0.503,0.505
33,0.0,0.503,0.505
34,0.0,0.503,0.506
35,0.0,0.503,0.506
36,0.0,0.503,0.506
37,0.0,0.503,0.506
38,0.0,0.502,0.506
39,0.0,0.502,0.506
40,0.0,0.502,0.506
41,0.0,0.502,0.506
42,0.0,0.502,0.506
43,0.0,0.502,0.506
44,0.0,0.502,0.506
45,0.0,0.502,0.506
46,0.0,0.502,0.506
47,0.0,0.502,0.506
48,0.0,0.502,0.506
49,0.0,0.502,0.506
50,0.0,0.503,0.505
51,0.0,0.503,0.505
52,0.015,0.503,0.505
53,0.015,0.503,0.505
54,0.055,0.503,0.505
55,0.055,0.503,0.505
56,0.095,0.503,0.505
57,0.095,0.503,0.505
58,0.095,0.503,0.505
59,0.095,0.503,0.505
60,0.135,0.503,0.505
61,0.135,0.503,0.505
62,0.175,0.503,0.505
63,0.175,0.503,0.505
64,0.175,0.503,0.504
65,0.175,0.503,0.504
66,0.215,0.503,0.504
67,0.215,0.503,0.504
68,0.215,0.503,0.504
69,0.215,0.503,0.504
70,0.255,0.503,0.504
71,0.255,0.503,0.504
72,0.255,0.503,0.504
73,0.255,0.503,0.504
74,0.29600000000000004,0.503,0.504
75,0.29600000000000004,0.503,0.504
76,0.29600000000000004,0.503,0.504
77,0.29600000000000004,0.503,0.504
78,0.337,0.502,0.503
79,0.337,0.502,0.503
80,0.377,0.502,0.503
81,0.377,0.502,0.503
82,0.377,0.502,0.503
83,0.377,0.502,0.503
84,0.418,0.502,0.502
85,0.418,0.502,0.502
86,0.418,0.502,0.502
87,0.418,0.502,0.502
88,0.459,0.502,0.502
89,0.459,0.502,0.502
90,0.459,0.502,0.502
91,0.459,0.502,0.502
92,0.499,0.502,0.502
93,0.499,0.502,0.502
94,0.499,0.502,0.502
95,0.499,0.502,0.502
96,0.539,0.503,0.501
97,0.539,0.503,0.501
98,0.579,0.503,0.501
99,0.579,0.503,0.501
100,0.579,0.503,0.501
101,0.579,0.503,0.501
102,0.579,0.503,0.501
103,0.579,0.503,0.501
104,0.619,0.503,0.501
105,0.619,0.503,0.501
106,0.659,0.503,0.5
107,0.659,0.503,0.5
108,0.659,0.503,0.5
109,0.659,0.503,0.5
110,0.6990000000000001,0.503,0.5
111,0.6990000000000001,0.503,0.5
112,0.6990000000000001,0.503,0.5
113,0.6990000000000001,0.503,0.5
114,0.7390000000000001,0.503,0.499
115,0.7390000000000001,0.503,0.499
116,0.7809999999999999,0.503,0.499
117,0.7809999999999999,0.503,0.499
118,0.7809999999999999,0.503,0.499
119,0.7809999999999999,0.503,0.499
120,0.7809999999999999,0.503,0.498
121,0.7809999999999999,0.503,0.498
122,0.821,0.503,0.498
123,0.821,0.503,0.498
124,0.862,0.503,0.4970000000000001
125,0.862,0.503,0.4970000000000001
126,0.862,0.503,0.496
127,0.862,0.503,0.496
128,0.903,0.503,0.495
129,0.903,0.503,0.495
130,0.903,0.503,0.494
131,0.903,0.503,0.494
132,0.943,0.503,0.494
133,0.943,0.503,0.494
134,0.943,0.503,0.4920000000000001
135,0.943,0.503,0.4920000000000001
136,0.983,0.503,0.4920000000000001
137,0.983,0.503,0.4920000000000001
138,0.983,0.503,0.491
139,0.983,0.503,0.491
140,0.983,0.503,0.49
141,1.023,0.503,0.489
142,0.983,0.503,0.49
143,1.023,0.503,0.489
144,1.023,0.503,0.489
145,1.023,0.503,0.489
146,1.064,0.503,0.489
147,1.064,0.503,0.489
148,1.064,0.503,0.488
149,1.064,0.503,0.488
150,1.064,0.503,0.487
151,1.064,0.503,0.487
152,1.104,0.503,0.487
153,1.104,0.503,0.487
154,1.104,0.503,0.486
155,1.104,0.503,0.486
156,1.144,0.503,0.486
157,1.144,0.503,0.486
158,1.144,0.503,0.486
159,1.144,0.503,0.486
160,1.144,0.504,0.485
161,1.144,0.504,0.485
162,1.185,0.504,0.485
163,1.185,0.504,0.485
164,1.185,0.504,0.484
165,1.185,0.504,0.484
166,1.225,0.504,0.484
167,1.225,0.504,0.484
168,1.225,0.504,0.484
169,1.225,0.504,0.484
170,1.265,0.504,0.484
171,1.265,0.504,0.484
172,1.265,0.504,0.483
173,1.265,0.504,0.483
174,1.265,0.504,0.483
175,1.265,0.504,0.483
176,1.307,0.504,0.483
177,1.307,0.504,0.483
178,1.307,0.504,0.482
179,1.307,0.504,0.482
180,1.347,0.504,0.482
181,1.347,0.504,0.482
182,1.347,0.504,0.482
183,1.347,0.504,0.482
184,1.347,0.504,0.482
185,1.347,0.504,0.482
186,1.388,0.504,0.481
187,1.388,0.504,0.481
188,1.388,0.504,0.481
189,1.388,0.504,0.481
190,1.429,0.505,0.481
191,1.429,0.505,0.481
192,1.429,0.505,0.481
193,1.429,0.505,0.481
194,1.429,0.505,0.481
195,1.429,0.505,0.481
196,1.47,0.505,0.481
197,1.47,0.505,0.481
198,1.47,0.505,0.48
199,1.47,0.505,0.48
200,1.51,0.505,0.48
201,1.51,0.505,0.48
202,1.51,0.505,0.48
203,1.51,0.505,0.48
204,1.551,0.505,0.479
205,1.551,0.505,0.479
206,1.551,0.505,0.479
207,1.551,0.505,0.479
208,1.551,0.505,0.479
209,1.551,0.505,0.479
210,1.591,0.505,0.479
211,1.591,0.505,0.479
212,1.591,0.505,0.479
213,1.591,0.505,0.479
214,1.632,0.505,0.479
215,1.632,0.505,0.479
216,1.632,0.505,0.479
217,1.632,0.505,0.479
218,1.632,0.505,0.48
219,1.632,0.505,0.48
220,1.673,0.505,0.48
221,1.673,0.505,0.48
222,1.673,0.505,0.48
223,1.673,0.505,0.48
