,time,2dmu,2dmv
0,0.0,0.4920000000000001,0.455
1,0.0,0.4920000000000001,0.455
2,0.0,0.4920000000000001,0.455
3,0.0,0.4920000000000001,0.455
4,0.0,0.4920000000000001,0.455
5,0.0,0.4920000000000001,0.455
6,0.0,0.4920000000000001,0.455
7,0.0,0.4920000000000001,0.455
8,0.0,0.4920000000000001,0.455
9,0.0,0.4920000000000001,0.455
10,0.0,0.4920000000000001,0.455
11,0.0,0.4920000000000001,0.455
12,0.0,0.4920000000000001,0.455
13,0.0,0.4920000000000001,0.455
14,0.0,0.4920000000000001,0.456
15,0.0,0.4920000000000001,0.456
16,0.0,0.4920000000000001,0.456
17,0.0,0.4920000000000001,0.456
18,0.0,0.4920000000000001,0.456
19,0.0,0.4920000000000001,0.456
20,0.0,0.491,0.456
21,0.0,0.491,0.456
22,0.0,0.491,0.456
23,0.0,0.491,0.456
24,0.0,0.491,0.456
25,0.0,0.491,0.456
26,0.0,0.491,0.455
27,0.0,0.491,0.455
28,0.0,0.491,0.455
29,0.0,0.491,0.455
30,0.0,0.491,0.455
31,0.0,0.491,0.455
32,0.0,0.491,0.455
33,0.0,0.491,0.455
34,0.0,0.491,0.455
35,0.0,0.491,0.455
36,0.0,0.4920000000000001,0.454
37,0.0,0.4920000000000001,0.454
38,0.0,0.4920000000000001,0.454
39,0.0,0.4920000000000001,0.454
40,0.0,0.4920000000000001,0.454
41,0.0,0.4920000000000001,0.454
42,0.0,0.4920000000000001,0.454
43,0.0,0.4920000000000001,0.454
44,0.0,0.4920000000000001,0.454
45,0.0,0.4920000000000001,0.454
46,0.0,0.4920000000000001,0.454
47,0.0,0.4920000000000001,0.454
48,0.0,0.4920000000000001,0.454
49,0.0,0.4920000000000001,0.454
50,0.0,0.4920000000000001,0.454
51,0.0,0.4920000000000001,0.454
52,0.02,0.4920000000000001,0.454
53,0.02,0.4920000000000001,0.454
54,0.02,0.4920000000000001,0.454
55,0.02,0.4920000000000001,0.454
56,0.06,0.4920000000000001,0.454
57,0.06,0.4920000000000001,0.454
58,0.06,0.4920000000000001,0.454
59,0.06,0.4920000000000001,0.454
60,0.1,0.4920000000000001,0.454
61,0.1,0.4920000000000001,0.454
62,0.1,0.4920000000000001,0.454
63,0.1,0.4920000000000001,0.454
64,0.14,0.4920000000000001,0.454
65,0.14,0.4920000000000001,0.454
66,0.14,0.4920000000000001,0.454
67,0.14,0.4920000000000001,0.454
68,0.14,0.4920000000000001,0.454
69,0.14,0.4920000000000001,0.454
70,0.182,0.4920000000000001,0.454
71,0.182,0.4920000000000001,0.454
72,0.182,0.4920000000000001,0.453
73,0.182,0.4920000000000001,0.453
74,0.222,0.4920000000000001,0.453
75,0.222,0.4920000000000001,0.453
76,0.222,0.4920000000000001,0.453
77,0.222,0.4920000000000001,0.453
78,0.263,0.4920000000000001,0.453
79,0.263,0.4920000000000001,0.453
80,0.263,0.4920000000000001,0.453
81,0.263,0.4920000000000001,0.453
82,0.263,0.4920000000000001,0.453
83,0.263,0.4920000000000001,0.453
84,0.303,0.4920000000000001,0.453
85,0.303,0.4920000000000001,0.453
86,0.303,0.4920000000000001,0.453
87,0.303,0.4920000000000001,0.453
88,0.343,0.4920000000000001,0.453
89,0.343,0.4920000000000001,0.453
90,0.343,0.4920000000000001,0.453
91,0.343,0.4920000000000001,0.453
92,0.343,0.4920000000000001,0.453
93,0.343,0.4920000000000001,0.453
94,0.384,0.4920000000000001,0.453
95,0.384,0.4920000000000001,0.453
96,0.384,0.4920000000000001,0.453
97,0.384,0.4920000000000001,0.453
98,0.425,0.4920000000000001,0.453
99,0.425,0.4920000000000001,0.453
100,0.425,0.491,0.453
101,0.425,0.491,0.453
102,0.425,0.491,0.453
103,0.425,0.491,0.453
104,0.465,0.491,0.453
105,0.465,0.491,0.453
106,0.465,0.491,0.453
107,0.465,0.491,0.453
108,0.505,0.491,0.453
109,0.505,0.491,0.453
110,0.505,0.491,0.453
111,0.505,0.491,0.453
112,0.546,0.491,0.452
113,0.546,0.491,0.452
114,0.546,0.491,0.452
115,0.546,0.491,0.452
116,0.546,0.491,0.452
117,0.546,0.491,0.452
118,0.586,0.491,0.452
119,0.586,0.491,0.452
120,0.586,0.491,0.452
121,0.586,0.491,0.452
122,0.626,0.491,0.452
123,0.626,0.491,0.452
124,0.626,0.491,0.452
125,0.626,0.491,0.452
126,0.626,0.491,0.452
127,0.626,0.491,0.452
128,0.6679999999999999,0.491,0.452
129,0.6679999999999999,0.491,0.452
130,0.6679999999999999,0.491,0.452
131,0.6679999999999999,0.491,0.452
132,0.708,0.49,0.452
133,0.708,0.49,0.452
134,0.708,0.49,0.452
135,0.708,0.49,0.452
136,0.708,0.49,0.452
137,0.708,0.49,0.452
138,0.748,0.49,0.452
139,0.748,0.49,0.452
140,0.748,0.49,0.452
141,0.748,0.49,0.452
142,0.79,0.49,0.452
143,0.79,0.49,0.452
144,0.79,0.49,0.453
145,0.79,0.49,0.453
146,0.831,0.49,0.453
147,0.831,0.49,0.453
148,0.831,0.49,0.453
149,0.831,0.49,0.453
150,0.831,0.49,0.453
151,0.831,0.49,0.453
152,0.872,0.49,0.453
153,0.872,0.49,0.453
154,0.872,0.49,0.452
155,0.872,0.49,0.452
156,0.911,0.49,0.452
157,0.911,0.49,0.452
158,0.911,0.49,0.452
159,0.911,0.49,0.452
160,0.911,0.49,0.452
161,0.911,0.49,0.452
162,0.951,0.49,0.452
163,0.951,0.49,0.452
164,0.951,0.49,0.452
165,0.951,0.49,0.452
166,0.991,0.49,0.452
167,0.991,0.49,0.452
168,0.991,0.49,0.452
169,0.991,0.49,0.452
170,0.991,0.49,0.452
171,0.991,0.49,0.452
172,1.033,0.49,0.452
173,1.033,0.49,0.452
174,1.033,0.49,0.452
175,1.033,0.49,0.452
176,1.073,0.49,0.452
177,1.073,0.49,0.452
178,1.073,0.49,0.452
179,1.073,0.49,0.452
180,1.112,0.49,0.452
181,1.112,0.49,0.452
182,1.112,0.491,0.452
183,1.112,0.491,0.452
184,1.112,0.491,0.452
185,1.112,0.491,0.452
186,1.152,0.491,0.452
187,1.152,0.491,0.452
188,1.152,0.491,0.452
189,1.152,0.491,0.452
190,1.193,0.491,0.452
191,1.193,0.491,0.452
192,1.193,0.491,0.452
193,1.193,0.491,0.452
194,1.193,0.491,0.452
195,1.193,0.491,0.452
196,1.235,0.491,0.452
197,1.235,0.491,0.452
198,1.235,0.491,0.452
199,1.235,0.491,0.452
200,1.276,0.491,0.453
201,1.276,0.491,0.453
202,1.276,0.491,0.453
203,1.276,0.491,0.453
204,1.276,0.49,0.453
205,1.276,0.49,0.453
206,1.315,0.49,0.453
207,1.315,0.49,0.453
208,1.315,0.49,0.453
209,1.315,0.49,0.453
210,1.355,0.49,0.453
211,1.355,0.49,0.453
212,1.355,0.49,0.453
213,1.355,0.49,0.453
214,1.395,0.49,0.453
215,1.395,0.49,0.453
216,1.395,0.49,0.453
217,1.395,0.49,0.453
218,1.395,0.49,0.453
219,1.395,0.49,0.453
220,1.4369999999999998,0.49,0.453
221,1.4369999999999998,0.49,0.453
222,1.4369999999999998,0.49,0.453
223,1.4369999999999998,0.49,0.453
224,1.477,0.489,0.453
225,1.477,0.489,0.453
226,1.477,0.489,0.453
227,1.477,0.489,0.453
228,1.477,0.488,0.454
229,1.477,0.488,0.454
230,1.517,0.487,0.455
231,1.517,0.487,0.455
232,1.517,0.487,0.455
233,1.517,0.487,0.455
234,1.557,0.485,0.456
235,1.557,0.485,0.456
236,1.557,0.483,0.457
237,1.557,0.483,0.457
238,1.597,0.48,0.459
239,1.597,0.48,0.459
240,1.597,0.476,0.46
241,1.597,0.476,0.46
242,1.597,0.476,0.46
243,1.597,0.476,0.46
244,1.6369999999999998,0.473,0.462
245,1.6369999999999998,0.473,0.462
246,1.6369999999999998,0.469,0.464
247,1.6369999999999998,0.469,0.464
248,1.679,0.464,0.466
249,1.679,0.464,0.466
250,1.679,0.464,0.466
251,1.679,0.464,0.466
252,1.679,0.459,0.468
253,1.679,0.459,0.468
254,1.719,0.454,0.47
255,1.719,0.454,0.47
256,1.719,0.453,0.47
257,1.719,0.453,0.47
258,1.76,0.447,0.472
259,1.76,0.447,0.472
260,1.76,0.447,0.472
261,1.76,0.447,0.472
262,1.76,0.44,0.475
263,1.76,0.44,0.475
264,1.7990000000000002,0.434,0.478
265,1.7990000000000002,0.434,0.478
266,1.7990000000000002,0.4270000000000001,0.482
267,1.7990000000000002,0.4270000000000001,0.482
268,1.839,0.421,0.486
269,1.839,0.421,0.486
270,1.839,0.415,0.489
271,1.839,0.415,0.489
272,1.879,0.415,0.489
273,1.879,0.415,0.489
274,1.879,0.409,0.4920000000000001
275,1.879,0.409,0.4920000000000001
276,1.879,0.403,0.495
277,1.879,0.403,0.495
278,1.919,0.397,0.498
279,1.919,0.397,0.498
280,1.919,0.397,0.498
281,1.919,0.397,0.498
282,1.96,0.393,0.501
283,1.96,0.393,0.501
284,1.96,0.389,0.503
285,1.96,0.389,0.503
286,1.96,0.386,0.505
287,1.96,0.386,0.505
288,2.001,0.384,0.506
289,2.001,0.384,0.506
290,2.001,0.384,0.506
291,2.001,0.384,0.506
292,2.041,0.382,0.508
293,2.041,0.382,0.508
294,2.041,0.381,0.509
295,2.041,0.381,0.509
296,2.081,0.379,0.509
297,2.081,0.379,0.509
298,2.081,0.379,0.509
299,2.081,0.379,0.509
300,2.081,0.378,0.509
301,2.081,0.378,0.509
302,2.121,0.377,0.509
303,2.121,0.377,0.509
304,2.121,0.377,0.509
305,2.121,0.377,0.509
306,2.162,0.375,0.509
307,2.162,0.375,0.509
308,2.162,0.375,0.509
309,2.162,0.375,0.509
310,2.162,0.373,0.509
311,2.162,0.373,0.509
312,2.202,0.3720000000000001,0.509
313,2.202,0.3720000000000001,0.509
314,2.202,0.37,0.509
315,2.202,0.37,0.509
