,time,2dmu,2dmv
0,0.0,0.505,0.487
1,0.0,0.505,0.487
2,0.0,0.505,0.486
3,0.0,0.505,0.486
4,0.0,0.505,0.486
5,0.0,0.505,0.486
6,0.0,0.505,0.487
7,0.0,0.505,0.487
8,0.0,0.505,0.487
9,0.0,0.505,0.487
10,0.0,0.505,0.486
11,0.0,0.505,0.486
12,0.0,0.505,0.486
13,0.0,0.505,0.486
14,0.0,0.505,0.486
15,0.0,0.505,0.486
16,0.0,0.505,0.486
17,0.0,0.505,0.486
18,0.0,0.504,0.486
19,0.0,0.504,0.486
20,0.0,0.504,0.486
21,0.0,0.504,0.486
22,0.0,0.504,0.486
23,0.0,0.504,0.486
24,0.0,0.504,0.486
25,0.0,0.504,0.486
26,0.0,0.504,0.485
27,0.0,0.504,0.485
28,0.0,0.504,0.485
29,0.0,0.504,0.485
30,0.0,0.504,0.485
31,0.0,0.504,0.485
32,0.0,0.504,0.486
33,0.0,0.504,0.486
34,0.0,0.504,0.486
35,0.0,0.504,0.486
36,0.0,0.504,0.486
37,0.0,0.504,0.486
38,0.0,0.504,0.487
39,0.0,0.504,0.487
40,0.0,0.503,0.489
41,0.0,0.503,0.489
42,0.0,0.503,0.4920000000000001
43,0.0,0.503,0.4920000000000001
44,0.0,0.503,0.495
45,0.0,0.503,0.495
46,0.0,0.503,0.495
47,0.0,0.503,0.495
48,0.0,0.502,0.502
49,0.0,0.502,0.502
50,0.0,0.501,0.504
51,0.0,0.501,0.504
52,0.0,0.501,0.506
53,0.0,0.501,0.506
54,0.0,0.5,0.508
55,0.0,0.5,0.508
56,0.0,0.5,0.508
57,0.0,0.5,0.508
58,0.014,0.5,0.507
59,0.014,0.5,0.507
60,0.014,0.5,0.508
61,0.014,0.5,0.508
62,0.014,0.499,0.509
63,0.014,0.499,0.509
64,0.055,0.499,0.509
65,0.055,0.499,0.509
66,0.055,0.499,0.509
67,0.055,0.499,0.509
68,0.096,0.499,0.509
69,0.096,0.499,0.509
70,0.096,0.499,0.509
71,0.096,0.499,0.509
72,0.096,0.499,0.509
73,0.096,0.499,0.509
74,0.135,0.501,0.508
75,0.135,0.501,0.508
76,0.135,0.501,0.508
77,0.135,0.501,0.508
78,0.175,0.504,0.506
79,0.175,0.504,0.506
80,0.175,0.507,0.505
81,0.175,0.507,0.505
82,0.215,0.511,0.503
83,0.215,0.511,0.503
84,0.215,0.515,0.5
85,0.215,0.515,0.5
86,0.215,0.515,0.5
87,0.215,0.515,0.5
88,0.255,0.515,0.5
89,0.255,0.515,0.5
90,0.255,0.519,0.498
91,0.255,0.519,0.498
92,0.295,0.523,0.496
93,0.295,0.523,0.496
94,0.295,0.527,0.495
95,0.295,0.527,0.495
96,0.295,0.531,0.494
97,0.295,0.531,0.494
98,0.337,0.531,0.494
99,0.337,0.531,0.494
100,0.337,0.536,0.4920000000000001
101,0.337,0.536,0.4920000000000001
102,0.377,0.539,0.491
103,0.377,0.539,0.491
104,0.377,0.5429999999999999,0.49
105,0.377,0.5429999999999999,0.49
106,0.417,0.546,0.489
107,0.417,0.546,0.489
108,0.417,0.546,0.489
109,0.417,0.546,0.489
110,0.417,0.5479999999999999,0.489
111,0.417,0.5479999999999999,0.489
112,0.458,0.55,0.488
113,0.458,0.55,0.488
114,0.458,0.552,0.489
115,0.458,0.552,0.489
116,0.499,0.5529999999999999,0.49
117,0.499,0.5529999999999999,0.49
118,0.499,0.5529999999999999,0.49
119,0.499,0.5529999999999999,0.49
120,0.499,0.5539999999999999,0.49
121,0.499,0.5539999999999999,0.49
122,0.5379999999999999,0.556,0.49
123,0.5379999999999999,0.556,0.49
124,0.5379999999999999,0.555,0.49
125,0.5379999999999999,0.555,0.49
126,0.578,0.556,0.49
127,0.578,0.556,0.49
128,0.578,0.556,0.49
129,0.578,0.556,0.49
130,0.618,0.556,0.49
131,0.618,0.556,0.49
132,0.618,0.556,0.49
133,0.618,0.556,0.49
134,0.618,0.556,0.49
135,0.618,0.556,0.49
136,0.659,0.557,0.49
137,0.659,0.557,0.49
138,0.659,0.557,0.49
139,0.659,0.557,0.49
140,0.6990000000000001,0.557,0.49
141,0.6990000000000001,0.557,0.49
142,0.6990000000000001,0.557,0.49
143,0.6990000000000001,0.557,0.49
144,0.6990000000000001,0.557,0.49
145,0.6990000000000001,0.557,0.49
146,0.7390000000000001,0.557,0.49
147,0.7390000000000001,0.557,0.49
148,0.7390000000000001,0.557,0.49
149,0.7390000000000001,0.557,0.49
150,0.78,0.5579999999999999,0.49
151,0.78,0.5579999999999999,0.49
152,0.78,0.5579999999999999,0.49
153,0.78,0.5579999999999999,0.49
154,0.78,0.5579999999999999,0.49
155,0.78,0.5579999999999999,0.49
156,0.82,0.5579999999999999,0.49
157,0.82,0.5579999999999999,0.49
158,0.82,0.5589999999999999,0.49
159,0.82,0.5589999999999999,0.49
160,0.86,0.5589999999999999,0.49
161,0.86,0.5589999999999999,0.49
162,0.86,0.56,0.491
163,0.86,0.56,0.491
164,0.901,0.56,0.491
165,0.901,0.56,0.491
166,0.901,0.56,0.49
167,0.901,0.56,0.49
168,0.901,0.561,0.491
169,0.901,0.561,0.491
170,0.943,0.562,0.491
171,0.943,0.562,0.491
172,0.943,0.564,0.491
173,0.943,0.564,0.491
174,0.985,0.564,0.491
175,0.985,0.564,0.491
176,0.985,0.565,0.4920000000000001
177,0.985,0.565,0.4920000000000001
178,0.985,0.5670000000000001,0.493
179,0.985,0.5670000000000001,0.493
180,1.026,0.5670000000000001,0.493
181,1.026,0.5670000000000001,0.493
182,1.026,0.5670000000000001,0.493
183,1.026,0.5670000000000001,0.493
184,1.067,0.568,0.494
185,1.067,0.568,0.494
186,1.067,0.569,0.495
187,1.067,0.569,0.495
188,1.067,0.57,0.496
189,1.067,0.57,0.496
190,1.106,0.5710000000000001,0.4970000000000001
191,1.106,0.5710000000000001,0.4970000000000001
192,1.106,0.5710000000000001,0.4970000000000001
193,1.106,0.5710000000000001,0.4970000000000001
194,1.147,0.5720000000000001,0.498
195,1.147,0.5720000000000001,0.498
196,1.147,0.573,0.499
197,1.147,0.573,0.499
198,1.147,0.574,0.5
199,1.147,0.574,0.5
200,1.187,0.574,0.501
201,1.187,0.574,0.501
202,1.187,0.574,0.501
203,1.187,0.574,0.501
204,1.227,0.574,0.501
205,1.227,0.574,0.501
206,1.227,0.574,0.501
207,1.227,0.574,0.501
208,1.268,0.574,0.501
209,1.268,0.574,0.501
210,1.268,0.574,0.501
211,1.268,0.574,0.501
212,1.268,0.574,0.501
213,1.268,0.574,0.501
214,1.308,0.5720000000000001,0.502
215,1.308,0.5720000000000001,0.502
216,1.308,0.57,0.501
217,1.308,0.57,0.501
218,1.348,0.569,0.501
219,1.348,0.569,0.501
220,1.348,0.569,0.501
221,1.348,0.569,0.501
222,1.348,0.568,0.501
223,1.348,0.568,0.501
